date,tax,entrepreneur,isPartial
2013-01-06,46,0,False
2013-01-13,59,0,False
2013-01-20,53,0,False
2013-01-27,90,1,False
2013-02-03,72,2,False
2013-02-10,81,1,False
2013-02-17,59,3,False
2013-02-24,64,1,False
2013-03-03,52,1,False
2013-03-10,41,0,False
2013-03-17,43,1,False
2013-03-24,38,1,False
2013-03-31,45,0,False
2013-04-07,65,1,False
2013-04-14,60,1,False
2013-04-21,20,0,False
2013-04-28,27,1,False
2013-05-05,17,0,False
2013-05-12,24,2,False
2013-05-19,15,1,False
2013-05-26,17,1,False
2013-06-02,19,0,False
2013-06-09,20,1,False
2013-06-16,20,3,False
2013-06-23,17,1,False
2013-06-30,16,0,False
2013-07-07,22,0,False
2013-07-14,18,0,False
2013-07-21,22,0,False
2013-07-28,21,1,False
2013-08-04,24,1,False
2013-08-11,18,1,False
2013-08-18,22,2,False
2013-08-25,21,2,False
2013-09-01,18,1,False
2013-09-08,17,2,False
2013-09-15,17,1,False
2013-09-22,20,1,False
2013-09-29,27,0,False
2013-10-06,23,1,False
2013-10-13,24,0,False
2013-10-20,24,0,False
2013-10-27,18,2,False
2013-11-03,24,1,False
2013-11-10,16,0,False
2013-11-17,22,1,False
2013-11-24,17,0,False
2013-12-01,25,0,False
2013-12-08,27,0,False
2013-12-15,21,1,False
2013-12-22,22,0,False
2013-12-29,32,0,False
2014-01-05,34,0,False
2014-01-12,44,1,False
2014-01-19,52,1,False
2014-01-26,75,2,False
2014-02-02,90,1,False
2014-02-09,73,2,False
2014-02-16,56,0,False
2014-02-23,58,0,False
2014-03-02,48,1,False
2014-03-09,40,2,False
2014-03-16,48,0,False
2014-03-23,41,1,False
2014-03-30,47,0,False
2014-04-06,57,1,False
2014-04-13,64,0,False
2014-04-20,31,2,False
2014-04-27,29,2,False
2014-05-04,26,0,False
2014-05-11,19,0,False
2014-05-18,20,1,False
2014-05-25,21,1,False
2014-06-01,18,1,False
2014-06-08,17,2,False
2014-06-15,19,2,False
2014-06-22,16,1,False
2014-06-29,16,1,False
2014-07-06,16,0,False
2014-07-13,19,0,False
2014-07-20,19,2,False
2014-07-27,23,0,False
2014-08-03,21,0,False
2014-08-10,21,0,False
2014-08-17,18,0,False
2014-08-24,22,0,False
2014-08-31,15,3,False
2014-09-07,24,2,False
2014-09-14,15,1,False
2014-09-21,22,0,False
2014-09-28,16,1,False
2014-10-05,22,2,False
2014-10-12,23,0,False
2014-10-19,19,1,False
2014-10-26,17,0,False
2014-11-02,13,2,False
2014-11-09,20,0,False
2014-11-16,21,1,False
2014-11-23,17,1,False
2014-11-30,26,0,False
2014-12-07,24,1,False
2014-12-14,21,2,False
2014-12-21,19,1,False
2014-12-28,30,5,False
2015-01-04,37,1,False
2015-01-11,39,4,False
2015-01-18,52,0,False
2015-01-25,85,1,False
2015-02-01,82,1,False
2015-02-08,69,1,False
2015-02-15,57,0,False
2015-02-22,49,0,False
2015-03-01,42,0,False
2015-03-08,43,2,False
2015-03-15,42,1,False
2015-03-22,29,1,False
2015-03-29,44,1,False
2015-04-05,47,1,False
2015-04-12,61,1,False
2015-04-19,29,0,False
2015-04-26,23,0,False
2015-05-03,21,1,False
2015-05-10,25,0,False
2015-05-17,27,0,False
