,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,11,21,4,66,1,0,0,14,0,2,65,42,0,0,73,2,73,3,15,13,72,0,26,91
1,2007-02-01,4,12,26,2,58,2,0,0,11,0,3,59,33,0,0,88,3,71,5,18,22,100,0,21,99
2,2007-03-01,3,13,17,2,61,2,0,0,13,0,3,70,33,0,0,82,4,70,5,21,7,61,0,7,100
3,2007-04-01,2,12,18,2,62,1,0,0,15,0,2,61,51,0,0,75,2,77,5,22,0,50,0,9,91
4,2007-05-01,5,9,19,2,56,0,0,0,15,0,2,71,38,0,0,83,5,76,9,19,16,23,0,27,89
5,2007-06-01,2,14,19,2,60,2,0,0,11,0,2,79,44,0,0,100,4,76,5,20,13,21,0,20,99
6,2007-07-01,2,11,20,5,63,1,0,0,10,0,2,71,41,0,0,94,6,71,12,25,13,36,0,16,86
7,2007-08-01,3,15,19,2,67,1,0,0,13,0,2,66,39,0,0,99,4,89,4,20,17,50,0,23,91
8,2007-09-01,4,12,24,3,60,1,0,0,17,0,2,64,49,0,0,77,2,72,6,17,14,39,0,22,88
9,2007-10-01,6,11,17,4,59,1,0,0,14,0,2,64,51,0,0,83,8,69,7,16,10,32,0,20,93
10,2007-11-01,2,11,20,2,74,1,0,0,14,0,3,56,38,0,0,79,2,69,7,21,11,32,0,17,83
11,2007-12-01,2,13,18,2,62,1,0,0,14,0,2,60,36,0,0,71,5,69,10,15,17,41,0,19,73
12,2008-01-01,3,13,21,2,59,1,0,0,14,0,3,62,46,0,0,80,4,73,5,14,9,26,0,22,73
13,2008-02-01,5,10,22,1,63,1,0,0,13,0,2,59,45,0,0,80,2,67,7,18,10,45,0,19,83
14,2008-03-01,5,10,23,2,58,1,0,0,13,0,2,60,39,0,0,73,4,78,6,15,15,43,0,16,90
15,2008-04-01,4,14,20,3,59,1,0,0,14,0,3,62,37,0,0,76,7,76,6,16,18,36,0,22,92
16,2008-05-01,3,12,19,2,67,1,0,0,15,0,2,69,34,0,0,74,3,65,6,19,11,26,0,13,68
17,2008-06-01,3,18,16,2,62,1,0,0,11,0,1,75,35,0,0,85,2,84,5,21,26,22,0,20,82
18,2008-07-01,2,24,17,2,65,1,0,0,12,0,2,69,35,0,0,77,4,86,4,17,11,50,0,5,79
19,2008-08-01,3,18,22,2,59,1,0,0,12,0,2,69,44,0,0,73,6,71,5,16,13,49,0,14,83
20,2008-09-01,5,24,21,2,57,1,0,0,19,0,3,62,41,0,0,80,3,87,5,23,17,40,0,15,92
21,2008-10-01,3,21,18,4,59,2,0,0,17,0,2,63,48,0,0,83,7,73,5,14,24,31,0,20,75
22,2008-11-01,3,22,22,2,80,1,0,0,14,0,4,62,44,0,0,63,3,58,5,17,23,35,0,24,74
23,2008-12-01,4,25,20,2,67,1,0,0,14,0,3,69,37,0,0,68,4,83,6,15,10,42,0,12,75
24,2009-01-01,3,27,23,2,59,1,0,0,13,0,2,65,41,0,0,78,5,68,6,19,15,43,0,13,76
25,2009-02-01,4,24,23,2,65,1,0,0,19,0,3,59,47,0,0,76,5,76,9,16,20,46,0,15,93
26,2009-03-01,4,26,21,2,61,1,0,0,14,0,2,67,45,0,0,76,3,75,4,21,9,52,0,20,84
27,2009-04-01,3,26,19,2,63,1,0,0,14,0,3,70,36,0,0,73,5,88,3,17,17,25,0,12,85
28,2009-05-01,2,24,17,2,59,1,0,0,13,0,3,76,27,0,0,74,1,88,5,22,19,38,0,7,68
29,2009-06-01,4,31,17,1,64,1,0,0,13,0,2,89,39,0,0,84,2,75,4,26,15,35,0,18,77
30,2009-07-01,3,29,18,2,69,1,0,0,12,0,3,77,38,0,0,64,4,76,5,23,10,32,0,19,67
31,2009-08-01,3,33,23,2,63,1,0,0,16,0,1,79,40,0,0,72,2,83,2,22,12,43,0,17,84
32,2009-09-01,4,31,23,2,58,1,0,0,20,0,3,74,44,0,0,74,2,68,5,19,13,34,0,15,80
