,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,5,10,25,4,59,1,0,2,12,0,0,64,40,0,0,100,4,65,10,9,27,100,0,52,86
1,2007-02-01,5,13,30,2,50,1,0,3,16,0,4,54,33,0,0,81,0,50,9,28,19,89,0,19,100
2,2007-03-01,6,13,21,3,57,3,0,2,12,0,2,64,27,0,0,85,8,68,4,19,40,57,0,20,92
3,2007-04-01,3,11,22,4,56,2,0,3,15,0,4,59,30,0,0,80,0,56,8,10,16,54,0,28,86
4,2007-05-01,5,14,22,1,50,1,0,2,11,0,4,70,26,0,0,88,0,65,6,12,17,56,0,17,82
5,2007-06-01,3,13,20,4,55,1,0,2,12,0,4,72,27,0,0,68,4,100,5,13,17,55,0,25,65
6,2007-07-01,5,12,17,2,57,2,0,2,7,0,2,81,33,0,0,87,4,88,12,15,0,44,0,33,70
7,2007-08-01,4,17,34,2,62,2,0,1,13,0,2,66,41,0,0,87,6,71,9,16,27,70,0,55,76
8,2007-09-01,4,15,34,6,52,2,0,2,16,0,3,61,44,0,0,68,0,56,6,35,13,78,0,39,85
9,2007-10-01,2,15,26,3,53,2,0,2,11,0,2,59,41,0,0,91,9,84,6,23,14,44,0,35,76
10,2007-11-01,4,13,27,2,72,1,0,2,13,0,3,65,25,0,0,68,3,62,7,10,28,58,0,21,70
11,2007-12-01,5,12,24,3,50,2,0,1,12,0,2,57,29,0,0,71,7,79,6,18,22,52,0,30,65
12,2008-01-01,6,16,29,4,54,1,0,3,17,0,2,67,33,0,0,79,7,79,11,18,12,50,0,25,68
13,2008-02-01,6,12,28,3,60,1,0,2,13,0,3,52,34,0,0,68,5,71,8,10,20,79,0,46,73
14,2008-03-01,4,15,20,2,54,1,0,2,16,0,3,59,36,0,0,71,2,68,4,15,21,54,0,29,69
15,2008-04-01,3,20,28,4,53,1,0,1,14,0,4,67,38,0,0,84,6,79,3,17,16,66,0,31,87
16,2008-05-01,3,13,28,4,54,2,0,1,11,0,3,59,29,0,0,71,3,62,8,15,16,33,0,22,71
17,2008-06-01,3,16,23,3,61,1,0,3,11,0,2,55,25,0,0,72,6,66,6,10,14,40,0,37,67
18,2008-07-01,4,18,17,3,59,1,0,1,13,0,2,67,25,0,0,84,4,85,9,17,21,30,0,17,58
19,2008-08-01,3,24,31,3,51,1,0,1,17,0,1,70,41,0,0,78,2,84,7,14,20,62,0,13,64
20,2008-09-01,5,21,28,4,57,1,0,1,24,0,3,61,37,0,0,69,4,70,7,19,21,69,0,15,63
21,2008-10-01,4,20,22,3,52,0,0,2,17,0,2,64,30,0,0,66,3,75,10,13,17,35,0,28,68
22,2008-11-01,2,23,23,1,74,1,0,2,15,0,4,62,29,0,0,46,3,71,5,8,24,38,0,32,58
23,2008-12-01,4,29,20,2,57,1,0,1,12,0,2,61,32,0,0,68,2,67,7,7,19,41,0,20,70
24,2009-01-01,4,30,27,2,63,0,0,2,15,0,2,70,39,0,0,71,4,73,3,14,25,54,0,29,60
25,2009-02-01,5,26,22,3,65,1,0,3,16,0,2,66,42,0,0,73,4,62,5,12,26,33,0,53,66
26,2009-03-01,4,24,24,2,62,1,0,2,14,0,2,70,37,0,0,72,5,82,6,18,17,57,0,32,74
27,2009-04-01,2,28,22,1,58,1,0,2,15,0,3,66,32,0,0,77,2,76,4,11,20,43,0,21,65
28,2009-05-01,4,29,26,2,55,1,0,2,17,0,2,74,32,0,0,70,2,85,4,15,14,49,0,35,59
29,2009-06-01,5,33,20,3,66,1,0,2,14,0,2,81,26,0,0,76,4,77,10,14,23,61,0,23,62
30,2009-07-01,3,32,23,2,65,0,0,2,12,0,1,80,30,0,0,78,5,81,5,19,14,54,0,10,65
31,2009-08-01,3,38,34,2,62,1,0,2,15,0,2,86,41,0,0,72,2,90,6,17,11,50,0,19,68
32,2009-09-01,4,29,28,1,58,1,0,2,20,0,5,68,39,0,0,65,3,69,8,20,10,40,0,20,58
33,2009-10-01,4,28,33,3,55,1,0,2,16,0,2,77,37,0,0,62,3,76,6,27,35,35,0,25,52
34,2009-11-01,4,36,33,2,100,1,0,1,20,0,2,70,30,0,0,70,3,79,3,20,18,54,0,10,51
35,2009-12-01,3,42,25,1,58,1,0,1,13,0,2,70,29,0,0,58,3,77,3,13,16,34,0,14,52
36,2010-01-01,5,33,31,2,59,1,0,2,19,0,3,66,34,0,0,72,4,89,7,19,17,38,0,20,54
37,2010-02-01,5,31,28,1,64,1,0,1,21,0,2,65,39,0,0,81,3,74,7,16,12,46,0,13,64
38,2010-03-01,3,35,20,2,60,1,0,3,17,0,2,76,35,0,0,70,4,81,4,25,15,22,0,28,61
39,2010-04-01,3,31,27,2,62,1,0,1,20,0,2,70,33,0,0,83,2,75,5,13,31,16,0,22,54
40,2010-05-01,5,39,30,2,62,0,0,1,15,0,3,71,36,0,0,62,8,88,3,15,19,28,0,28,47
41,2010-06-01,2,38,25,4,67,1,0,1,13,0,3,89,29,0,0,77,0,100,4,21,21,16,0,27,46
42,2010-07-01,3,39,22,1,66,1,0,3,13,0,2,85,35,0,0,76,2,89,2,25,15,22,0,20,57
43,2010-08-01,4,34,33,2,65,1,0,2,11,0,3,94,38,0,0,70,2,84,3,24,31,22,0,19,63
44,2010-09-01,5,32,35,2,58,1,0,1,18,0,2,78,32,0,0,56,4,59,5,18,9,32,0,47,53
45,2010-10-01,4,24,33,2,54,1,0,2,22,0,4,69,32,0,0,64,7,72,4,20,74,17,0,20,63
46,2010-11-01,5,33,30,5,76,1,0,2,23,0,5,65,34,0,0,79,6,69,2,11,27,26,0,10,58
47,2010-12-01,4,37,24,2,59,1,0,1,14,0,1,63,29,0,0,66,4,72,4,18,20,18,0,20,50
48,2011-01-01,6,35,29,2,64,0,0,1,16,0,2,67,36,0,0,59,3,85,5,13,10,16,0,13,61
49,2011-02-01,4,35,25,2,64,1,0,1,18,0,3,71,36,0,0,66,2,67,4,16,27,17,0,17,61
50,2011-03-01,4,30,26,2,73,1,0,1,15,0,2,74,34,0,0,66,3,81,4,17,13,11,0,24,57
51,2011-04-01,3,32,19,3,62,1,0,2,15,0,2,79,33,0,0,64,2,73,5,15,34,16,0,21,62
52,2011-05-01,4,33,22,2,60,1,0,1,15,0,3,79,26,0,0,61,3,76,4,16,21,14,0,10,53
