,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,3,14,19,2,64,1,0,4,10,0,1,74,30,0,0,94,4,75,5,18,13,91,0,15,100
1,2007-02-01,3,13,19,3,71,1,0,4,13,0,1,65,33,0,0,99,5,67,6,21,13,100,0,18,96
2,2007-03-01,2,13,17,2,68,1,0,3,12,0,2,69,28,0,0,97,5,75,5,19,10,55,0,23,99
3,2007-04-01,3,14,18,2,67,1,0,4,10,0,2,65,32,0,0,89,4,74,6,17,9,42,0,14,96
4,2007-05-01,2,13,18,3,65,1,0,4,9,0,1,76,31,0,0,98,3,80,6,22,11,35,0,19,83
5,2007-06-01,4,16,15,2,69,1,0,4,9,0,1,76,28,0,0,91,4,87,5,17,6,42,0,18,80
6,2007-07-01,3,17,15,2,67,1,0,4,9,0,1,77,28,0,0,100,4,85,5,18,9,44,0,20,80
7,2007-08-01,4,16,18,3,68,1,0,4,11,0,2,77,27,0,0,95,5,85,4,24,5,53,0,14,88
8,2007-09-01,3,14,17,2,69,1,0,3,11,0,1,72,34,0,0,86,3,81,4,17,10,40,0,22,87
9,2007-10-01,2,15,15,2,67,1,0,3,10,0,2,69,30,0,0,91,3,83,6,16,9,36,0,20,97
10,2007-11-01,4,15,17,3,83,1,0,3,12,0,2,66,30,0,0,88,4,81,4,21,10,44,0,16,86
11,2007-12-01,3,16,17,2,61,1,0,2,12,0,2,68,25,0,0,73,3,77,5,14,8,41,0,14,74
12,2008-01-01,3,17,20,3,71,1,0,3,10,0,2,71,37,0,0,87,5,79,4,16,15,43,0,15,76
13,2008-02-01,4,15,18,2,73,1,0,4,11,0,2,68,32,0,0,97,2,84,3,18,9,45,0,19,82
14,2008-03-01,2,16,16,3,72,1,0,3,12,0,1,71,32,0,0,90,4,84,6,16,8,36,0,19,85
15,2008-04-01,3,15,17,2,73,1,0,4,11,0,2,67,34,0,0,96,4,83,5,16,14,37,0,21,87
16,2008-05-01,3,15,17,2,69,1,0,3,10,0,1,70,28,0,0,91,4,80,7,13,14,43,0,16,79
17,2008-06-01,4,22,17,2,74,1,0,3,10,0,1,82,29,0,0,97,5,81,7,21,12,42,0,18,76
18,2008-07-01,3,21,17,3,68,1,0,3,10,0,1,77,32,0,0,94,4,89,6,18,11,38,0,24,74
19,2008-08-01,3,20,19,2,64,1,0,3,14,0,1,78,31,0,0,89,5,83,6,18,9,41,0,17,79
20,2008-09-01,3,24,22,2,63,1,0,3,14,0,2,74,33,0,0,79,3,80,6,13,12,33,0,18,81
21,2008-10-01,3,21,17,2,67,1,0,3,12,0,1,67,33,0,0,91,3,83,3,17,9,34,0,15,79
22,2008-11-01,2,24,16,2,83,1,0,2,11,0,2,70,31,0,0,81,4,80,3,12,13,45,0,16,81
23,2008-12-01,2,29,18,3,75,1,0,2,10,0,1,72,30,0,0,82,3,73,4,13,9,39,0,22,71
24,2009-01-01,4,27,19,3,71,1,0,4,11,0,1,73,29,0,0,82,4,81,4,16,11,32,0,18,75
25,2009-02-01,3,28,19,2,71,1,0,3,13,0,2,71,40,0,0,87,3,83,5,17,13,40,0,20,86
26,2009-03-01,4,26,18,3,72,1,0,2,12,0,2,75,34,0,0,93,4,90,4,23,15,41,0,24,87
27,2009-04-01,3,29,20,3,69,1,0,3,12,0,1,76,33,0,0,93,4,89,3,21,14,31,0,19,90
28,2009-05-01,2,28,18,2,69,1,0,3,12,0,2,80,33,0,0,90,3,94,4,20,14,42,0,15,79
29,2009-06-01,4,33,20,2,74,1,0,3,11,0,1,87,28,0,0,97,3,100,5,24,12,38,0,14,91
30,2009-07-01,3,30,18,2,73,1,0,4,11,0,1,90,29,0,0,98,3,96,5,21,14,31,0,21,83
31,2009-08-01,3,32,22,2,73,1,0,3,14,0,1,86,32,0,0,98,4,86,8,22,15,34,0,20,76
32,2009-09-01,3,32,24,3,67,1,0,3,17,0,2,79,37,0,0,97,3,87,6,21,11,44,0,19,91
33,2009-10-01,3,34,23,2,66,1,0,3,13,0,2,79,33,0,0,95,4,86,6,21,14,26,0,19,90
34,2009-11-01,3,33,22,2,100,1,0,3,13,0,2,78,31,0,0,88,4,94,5,21,13,26,0,13,84
35,2009-12-01,3,35,23,2,71,1,0,3,13,0,2,82,26,0,0,81,4,84,3,20,11,25,0,15,71
36,2010-01-01,3,34,25,3,71,1,0,4,17,0,2,77,33,0,0,85,4,88,3,19,8,29,0,17,78
37,2010-02-01,4,35,22,3,74,1,0,3,17,0,2,78,36,0,0,87,4,79,4,18,12,24,0,22,80
38,2010-03-01,3,35,22,2,74,1,0,3,16,0,2,79,39,0,0,89,3,88,4,22,27,21,0,21,80
39,2010-04-01,3,34,22,2,71,1,0,4,13,0,2,78,32,0,0,85,4,84,5,18,24,16,0,17,86
40,2010-05-01,3,37,21,2,74,1,0,3,14,0,2,85,26,0,0,82,4,95,3,18,17,19,0,15,73
41,2010-06-01,3,40,24,1,74,1,0,4,12,0,1,95,26,0,0,90,4,99,4,18,12,14,0,16,78
42,2010-07-01,3,39,20,2,70,1,0,3,10,0,1,92,30,0,0,87,4,83,3,22,22,12,0,14,72
43,2010-08-01,3,37,28,2,66,1,0,3,16,0,2,90,33,0,0,82,4,88,4,18,15,17,0,15,77
44,2010-09-01,4,33,28,2,67,1,0,3,17,0,2,83,34,0,0,82,2,83,3,18,24,21,0,17,82
45,2010-10-01,4,33,23,3,64,1,0,3,15,0,1,84,33,0,0,84,3,83,3,17,22,21,0,20,82
46,2010-11-01,3,34,24,3,80,1,0,3,15,0,2,80,28,0,0,78,3,85,3,17,20,16,0,14,79
47,2010-12-01,2,38,21,2,70,1,0,2,14,0,2,80,26,0,0,71,3,74,2,16,13,16,0,16,67
48,2011-01-01,2,42,18,2,66,1,0,2,13,0,2,84,29,0,0,51,2,84,3,15,17,14,0,14,55
49,2011-02-01,3,37,17,2,71,1,0,2,12,0,2,82,28,0,0,53,2,79,3,17,16,13,0,9,65
50,2011-03-01,2,36,17,2,67,1,0,2,11,0,1,80,28,0,0,55,3,80,3,19,19,11,0,13,67
51,2011-04-01,2,37,14,2,64,1,0,2,11,0,1,79,27,0,0,50,3,83,3,18,21,10,0,13,65
