,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,16,28,3,68,1,0,5,9,0,1,55,37,0,0,92,3,55,4,13,8,96,0,42,95
1,2007-02-01,4,19,25,3,74,1,0,4,10,0,1,53,35,0,0,98,5,62,5,18,10,100,0,30,100
2,2007-03-01,4,17,25,4,77,1,0,5,9,0,1,58,34,0,0,100,4,67,4,13,12,79,0,23,90
3,2007-04-01,4,17,21,4,75,1,0,4,9,0,2,54,26,0,0,96,4,61,3,14,5,59,0,26,93
4,2007-05-01,4,15,20,3,66,1,0,4,8,0,1,60,29,0,0,90,4,65,5,14,10,48,0,23,96
5,2007-06-01,5,18,22,3,72,1,0,4,7,0,1,68,34,0,0,95,2,66,4,21,6,50,0,32,84
6,2007-07-01,4,18,21,3,80,2,0,4,6,0,1,65,30,0,0,89,3,69,5,15,13,49,0,31,87
7,2007-08-01,4,17,26,3,74,1,0,4,10,0,1,61,31,0,0,98,5,71,3,16,8,38,0,11,90
8,2007-09-01,5,16,28,3,76,1,0,4,10,0,1,59,33,0,0,85,4,69,5,14,10,50,0,26,85
9,2007-10-01,3,18,22,3,74,1,0,5,10,0,1,60,36,0,0,88,4,56,4,16,8,47,0,22,80
10,2007-11-01,5,18,21,3,86,1,0,3,10,0,1,55,30,0,0,82,5,63,4,12,9,57,0,36,81
11,2007-12-01,4,19,19,3,64,1,0,2,10,0,1,56,31,0,0,76,2,60,2,12,5,61,0,23,76
12,2008-01-01,3,21,28,3,73,1,0,4,10,0,1,53,33,0,0,90,4,58,4,12,10,56,0,32,77
13,2008-02-01,5,18,26,2,76,1,0,4,11,0,1,54,30,0,0,90,3,59,3,15,13,60,0,27,79
14,2008-03-01,3,18,24,2,71,1,0,4,9,0,1,54,33,0,0,83,3,64,4,15,5,58,0,30,81
15,2008-04-01,5,18,25,2,75,1,0,4,10,0,2,58,34,0,0,87,3,67,4,17,9,43,0,26,81
16,2008-05-01,4,18,22,3,72,0,0,4,8,0,1,66,26,0,0,86,3,73,3,15,16,44,0,29,75
17,2008-06-01,4,25,24,3,74,1,0,4,8,0,1,69,29,0,0,87,4,75,3,17,15,37,0,22,72
18,2008-07-01,5,22,21,3,77,1,0,4,9,0,1,70,27,0,0,86,4,74,3,14,10,45,0,27,75
19,2008-08-01,4,27,23,2,70,1,0,4,10,0,1,62,28,0,0,90,4,70,5,13,5,56,0,19,72
20,2008-09-01,5,29,25,3,66,1,0,3,11,0,1,60,35,0,0,85,2,65,4,15,12,53,0,29,72
21,2008-10-01,4,28,22,3,69,1,0,4,11,0,1,56,33,0,0,81,2,62,4,14,7,43,0,28,73
22,2008-11-01,3,31,23,2,85,1,0,3,8,0,1,57,26,0,0,71,2,60,4,13,13,43,0,23,71
23,2008-12-01,4,33,26,3,70,1,0,3,10,0,1,58,27,0,0,74,2,63,3,12,6,48,0,19,65
24,2009-01-01,3,33,26,3,73,1,0,4,9,0,1,62,35,0,0,80,3,67,4,12,12,63,0,25,70
25,2009-02-01,5,33,23,2,73,1,0,4,11,0,1,58,38,0,0,92,3,59,4,16,12,54,0,25,75
26,2009-03-01,4,31,26,3,74,1,0,4,10,0,1,59,35,0,0,83,3,73,2,13,16,51,0,28,70
27,2009-04-01,4,30,22,3,70,1,0,4,11,0,1,61,32,0,0,87,5,67,3,14,12,48,0,25,75
28,2009-05-01,4,28,21,3,74,1,0,3,9,0,1,71,29,0,0,87,3,74,3,15,5,42,0,14,66
29,2009-06-01,4,33,21,3,75,1,0,3,8,0,1,75,26,0,0,97,3,72,4,19,12,44,0,23,73
30,2009-07-01,3,37,22,3,75,1,0,4,7,0,0,78,26,0,0,93,3,77,4,16,16,51,0,25,66
31,2009-08-01,4,42,27,2,77,1,0,3,11,0,1,75,29,0,0,93,2,77,3,17,11,44,0,25,74
32,2009-09-01,4,40,29,3,71,1,0,5,12,0,1,66,36,0,0,87,2,77,3,18,10,39,0,22,77
33,2009-10-01,4,44,28,3,68,1,0,4,12,0,1,66,34,0,0,90,3,69,4,14,14,33,0,26,76
34,2009-11-01,4,41,30,3,100,1,0,4,10,0,1,64,31,0,0,82,3,67,3,13,19,36,0,29,71
35,2009-12-01,4,43,27,3,69,1,0,3,10,0,1,65,29,0,0,77,3,65,3,14,7,35,0,20,66
36,2010-01-01,5,43,28,3,79,1,0,4,10,0,2,64,32,0,0,88,3,70,3,17,12,29,0,29,71
37,2010-02-01,5,43,29,3,73,1,0,4,13,0,1,59,40,0,0,87,3,65,3,19,15,22,0,24,75
38,2010-03-01,5,43,25,3,79,1,0,4,12,0,1,65,36,0,0,92,3,72,3,19,20,28,0,27,75
39,2010-04-01,5,41,25,3,76,1,0,3,11,0,1,69,36,0,0,89,3,69,3,15,19,23,0,12,77
40,2010-05-01,4,44,25,2,72,1,0,4,11,0,2,69,30,0,0,88,3,72,2,14,14,22,0,26,74
41,2010-06-01,4,51,23,3,76,1,0,3,9,0,1,79,29,0,0,98,3,90,4,17,13,25,0,26,69
42,2010-07-01,3,44,25,3,77,0,0,3,8,0,1,77,28,0,0,91,4,83,3,16,18,14,0,18,71
43,2010-08-01,3,46,28,3,73,1,0,3,9,0,1,70,33,0,0,92,3,75,3,14,12,17,0,26,75
44,2010-09-01,5,43,29,3,71,1,0,4,14,0,1,68,34,0,0,96,3,62,3,18,23,20,0,27,82
45,2010-10-01,5,43,28,3,65,1,0,3,11,0,1,66,33,0,0,93,3,71,3,15,15,16,0,28,77
46,2010-11-01,3,42,27,3,88,1,0,4,11,0,1,67,29,0,0,85,3,64,2,15,16,18,0,30,77
47,2010-12-01,4,44,22,3,68,1,0,3,11,0,1,67,26,0,0,81,2,60,2,13,16,18,0,32,72
48,2011-01-01,4,52,24,3,69,1,0,3,10,0,1,62,33,0,0,62,3,63,3,12,17,18,0,25,58
49,2011-02-01,4,45,19,3,68,1,0,3,10,0,1,61,29,0,0,64,2,62,3,13,15,11,0,13,65
50,2011-03-01,4,39,20,3,66,1,0,3,9,0,1,62,30,0,0,59,2,63,2,15,11,11,0,22,72
51,2011-04-01,3,42,19,2,67,1,0,3,9,0,1,60,29,0,0,65,3,65,2,16,13,11,0,24,67
52,2011-05-01,3,44,19,3,67,1,0,3,8,0,1,68,27,0,0,63,3,64,3,13,13,11,0,26,61
53,2011-06-01,3,49,18,3,66,1,0,3,7,0,1,79,23,0,0,67,2,74,2,15,10,8,0,16,60
54,2011-07-01,3,54,15,2,65,1,0,2,6,0,0,73,21,0,0,57,2,70,3,14,14,11,0,17,55
55,2011-08-01,3,54,19,3,67,1,0,3,8,0,1,72,28,0,0,60,3,70,2,16,11,7,0,20,58
56,2011-09-01,3,54,21,3,66,1,0,3,11,0,1,66,30,0,0,59,2,65,2,14,12,8,0,21,66
57,2011-10-01,3,51,19,3,62,1,0,3,9,0,1,62,27,0,0,55,3,66,2,13,18,6,0,17,63
58,2011-11-01,3,47,18,3,83,1,0,3,9,0,1,60,25,0,0,58,2,64,2,11,13,10,0,23,63
59,2011-12-01,3,52,20,3,65,1,0,2,8,0,1,62,23,0,0,48,2,61,2,11,12,10,0,15,55
60,2012-01-01,3,50,18,2,67,1,0,3,9,0,1,64,30,0,0,58,2,63,2,13,10,8,0,19,58
61,2012-02-01,3,48,18,3,68,1,0,4,8,0,1,58,27,0,0,57,2,63,2,12,15,7,0,15,62
62,2012-03-01,3,48,17,3,67,1,0,3,8,0,1,63,27,0,0,55,2,69,2,15,13,6,0,21,60
63,2012-04-01,3,48,16,3,65,1,0,3,8,0,1,66,26,0,0,58,3,68,2,15,15,9,0,21,59
64,2012-05-01,3,51,16,3,64,1,0,3,8,0,1,68,24,0,0,55,3,71,3,12,11,6,0,23,54
65,2012-06-01,3,52,15,2,63,0,0,3,5,0,0,76,21,0,0,58,2,76,2,14,15,7,0,18,55
66,2012-07-01,3,59,15,2,68,1,0,3,5,0,0,73,22,0,0,52,2,77,2,14,12,6,0,17,54
67,2012-08-01,3,59,18,2,61,1,0,3,6,0,1,70,25,0,0,55,2,74,2,15,11,6,0,17,57
68,2012-09-01,3,55,19,3,63,1,0,2,9,0,1,66,26,0,0,49,2,71,2,13,16,5,0,19,60
