,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,12,16,3,63,1,0,3,12,0,1,64,39,0,0,78,3,71,4,15,11,74,0,25,69
1,2007-02-01,4,16,18,2,64,1,0,3,14,0,2,65,32,0,0,84,2,65,3,15,18,100,0,16,88
2,2007-03-01,3,12,15,2,68,1,0,3,15,0,1,68,31,0,0,82,3,80,3,14,14,44,0,25,74
3,2007-04-01,3,11,16,1,66,1,0,3,12,0,2,60,32,0,0,96,3,78,3,19,15,53,0,7,80
4,2007-05-01,2,12,15,2,67,1,0,3,14,0,3,64,29,0,0,76,3,71,3,20,27,35,0,22,78
5,2007-06-01,3,13,13,2,68,1,0,3,11,0,1,69,26,0,0,100,3,78,4,23,10,38,0,13,73
6,2007-07-01,3,13,13,1,72,1,0,5,9,0,1,74,27,0,0,83,5,79,5,21,14,58,0,17,75
7,2007-08-01,3,17,13,2,67,1,0,3,10,0,1,70,30,0,0,89,3,69,3,24,10,56,0,12,72
8,2007-09-01,3,14,14,2,69,0,0,4,17,0,1,67,33,0,0,70,2,80,4,20,9,52,0,30,84
9,2007-10-01,4,14,17,2,62,1,0,3,15,0,2,63,37,0,0,87,3,74,4,20,6,40,0,22,79
10,2007-11-01,3,12,14,2,86,1,0,2,16,0,2,58,30,0,0,80,3,70,4,15,13,45,0,30,71
11,2007-12-01,2,14,13,1,65,1,0,2,13,0,1,62,25,0,0,62,3,65,3,11,17,50,0,18,71
12,2008-01-01,3,14,18,1,62,1,0,3,14,0,2,62,33,0,0,79,3,69,5,14,14,47,0,18,70
13,2008-02-01,3,14,16,2,64,1,0,4,15,0,2,58,38,0,0,82,2,71,3,18,15,57,0,22,75
14,2008-03-01,3,11,15,2,61,1,0,3,11,0,2,60,35,0,0,78,3,66,3,20,21,39,0,14,68
15,2008-04-01,3,14,14,3,66,1,0,4,14,0,2,60,31,0,0,79,4,76,1,17,21,55,0,11,77
16,2008-05-01,2,12,16,2,65,1,0,3,14,0,3,63,25,0,0,84,3,92,3,17,17,27,0,24,66
17,2008-06-01,2,17,12,2,67,1,0,2,13,0,2,74,31,0,0,84,2,84,3,17,17,28,0,24,72
18,2008-07-01,3,19,14,2,64,1,0,2,9,0,2,73,31,0,0,81,2,81,6,16,14,36,0,27,67
19,2008-08-01,2,23,15,2,68,1,0,2,11,0,1,76,33,0,0,88,2,81,3,20,20,40,0,12,67
20,2008-09-01,4,21,21,1,65,1,0,4,20,0,1,66,41,0,0,87,2,78,2,17,12,62,0,19,64
21,2008-10-01,4,19,17,1,61,0,0,4,18,0,2,67,40,0,0,77,2,71,4,19,11,38,0,17,72
22,2008-11-01,2,23,18,2,84,1,0,3,17,0,2,61,34,0,0,76,2,74,5,14,10,51,0,14,64
23,2008-12-01,2,23,19,2,68,1,0,2,15,0,1,69,32,0,0,69,2,65,2,14,12,63,0,22,69
24,2009-01-01,3,23,19,2,61,1,0,3,15,0,2,65,35,0,0,75,3,72,3,13,14,44,0,25,59
25,2009-02-01,3,22,15,2,69,1,0,3,15,0,2,65,39,0,0,77,4,62,3,19,15,34,0,23,68
26,2009-03-01,3,21,19,2,67,1,0,3,17,0,2,67,37,0,0,82,3,81,2,17,26,32,0,18,67
27,2009-04-01,3,19,17,2,72,1,0,3,17,0,2,66,29,0,0,81,2,75,3,20,18,51,0,24,69
28,2009-05-01,3,20,15,2,66,1,0,3,14,0,2,69,30,0,0,79,2,74,3,20,14,38,0,13,65
29,2009-06-01,3,23,16,3,68,0,0,3,14,0,2,82,32,0,0,82,2,85,2,23,5,36,0,22,59
30,2009-07-01,2,28,15,2,73,1,0,3,11,0,2,84,30,0,0,75,2,86,4,23,16,29,0,23,60
31,2009-08-01,3,32,15,2,70,0,0,3,12,0,1,84,28,0,0,74,3,89,4,24,20,29,0,26,57
32,2009-09-01,3,28,20,2,72,1,0,3,22,0,1,75,42,0,0,75,2,78,4,19,18,30,0,19,64
33,2009-10-01,4,27,17,3,68,1,0,3,19,0,2,77,32,0,0,76,1,86,3,18,22,37,0,16,62
34,2009-11-01,4,29,20,2,100,1,0,3,18,0,2,68,34,0,0,70,3,84,3,16,14,28,0,33,68
35,2009-12-01,2,31,17,1,66,0,0,3,20,0,2,69,31,0,0,64,2,77,2,15,14,29,0,15,62
36,2010-01-01,3,33,22,3,67,1,0,3,20,0,2,71,34,0,0,70,2,77,3,17,19,30,0,14,55
37,2010-02-01,3,32,20,2,67,2,0,2,19,0,2,70,33,0,0,73,3,62,3,19,14,25,0,25,65
38,2010-03-01,4,33,20,2,70,1,0,3,22,0,3,75,39,0,0,79,2,76,4,20,20,15,0,25,71
39,2010-04-01,3,31,16,2,67,1,0,3,18,0,2,74,36,0,0,75,2,78,3,23,18,21,0,30,68
40,2010-05-01,3,30,19,1,62,0,0,2,19,0,3,75,28,0,0,72,4,84,3,19,21,14,0,16,68
41,2010-06-01,3,37,17,2,71,1,0,3,15,0,1,83,30,0,0,78,2,90,2,24,20,18,0,11,55
42,2010-07-01,2,35,17,2,68,0,0,3,10,0,1,87,25,0,0,74,3,81,2,16,14,17,0,14,57
43,2010-08-01,3,35,18,1,71,1,0,2,14,0,1,83,23,0,0,74,3,82,4,18,21,10,0,18,55
44,2010-09-01,3,35,24,2,63,1,0,3,20,0,2,78,39,0,0,71,2,81,4,19,28,7,0,16,63
45,2010-10-01,3,31,22,2,63,1,0,3,23,0,2,74,36,0,0,69,3,82,2,18,29,19,0,13,68
46,2010-11-01,3,30,17,2,85,1,0,2,22,0,2,66,32,0,0,66,3,76,2,17,24,19,0,16,64
47,2010-12-01,2,35,15,1,60,1,0,3,21,0,2,66,29,0,0,65,2,78,2,13,19,13,0,15,61
48,2011-01-01,3,38,16,2,61,1,0,2,17,0,2,72,32,0,0,67,2,74,4,16,19,17,0,18,56
49,2011-02-01,3,36,16,2,68,1,0,2,18,0,2,74,38,0,0,75,3,76,2,17,17,12,0,24,63
50,2011-03-01,3,32,17,2,69,1,0,4,17,0,2,77,34,0,0,74,2,72,3,20,25,17,0,23,63
51,2011-04-01,3,31,16,2,67,1,0,3,18,0,2,76,32,0,0,75,2,82,3,21,21,8,0,22,59
52,2011-05-01,3,34,15,2,67,1,0,2,18,0,2,81,29,0,0,68,3,86,3,20,23,15,0,18,58
53,2011-06-01,3,38,14,2,75,1,0,3,14,0,2,88,32,0,0,79,3,79,3,23,21,12,0,21,59
54,2011-07-01,2,42,13,2,84,1,0,2,11,0,1,90,26,0,0,73,2,90,3,20,22,3,0,22,57
55,2011-08-01,2,49,15,2,73,1,0,3,11,0,1,84,28,0,0,73,2,82,4,16,23,9,0,24,57
56,2011-09-01,3,47,19,2,69,0,0,3,22,0,2,83,40,0,0,75,3,84,3,21,20,8,0,24,62
57,2011-10-01,3,42,16,2,69,1,0,3,17,0,2,74,37,0,0,72,3,79,3,17,21,11,0,19,66
58,2011-11-01,3,41,16,2,94,1,0,3,17,0,2,78,32,0,0,71,1,81,2,17,21,5,0,23,57
59,2011-12-01,3,44,17,2,66,1,0,2,16,0,2,74,29,0,0,59,2,78,2,16,15,12,0,18,58
60,2012-01-01,3,43,16,2,67,1,0,3,16,0,2,71,32,0,0,74,3,79,3,16,26,5,0,22,63
61,2012-02-01,3,40,16,2,73,1,0,3,16,0,2,66,39,0,0,68,3,71,3,21,23,6,0,22,68
62,2012-03-01,3,37,15,2,72,1,0,3,16,0,2,72,34,0,0,74,2,80,3,19,29,7,0,17,67
63,2012-04-01,3,38,14,2,72,1,0,3,14,0,2,73,31,0,0,71,2,83,2,22,29,4,0,16,63
64,2012-05-01,3,38,13,2,75,1,0,3,14,0,3,79,32,0,0,71,2,88,2,20,22,6,0,24,58
65,2012-06-01,3,42,13,2,71,1,0,3,11,0,2,82,27,0,0,78,3,95,2,20,22,5,0,16,60
66,2012-07-01,3,43,14,2,74,1,0,3,11,0,1,84,26,0,0,76,3,83,4,21,23,4,0,20,60
67,2012-08-01,2,44,16,2,73,0,0,2,13,0,1,84,28,0,0,75,2,83,3,24,20,5,0,17,63
68,2012-09-01,3,43,18,2,70,1,0,3,19,0,1,75,38,0,0,65,2,87,3,19,29,7,0,22,66
69,2012-10-01,3,46,15,2,62,1,0,3,17,0,2,70,37,0,0,70,2,83,2,18,29,6,0,15,67
70,2012-11-01,2,43,15,3,79,1,0,3,15,0,2,73,32,0,0,60,2,80,3,17,22,5,0,17,64
71,2012-12-01,1,51,8,1,52,0,0,1,7,0,1,51,15,0,0,28,1,52,1,11,12,4,0,5,32
72,2013-01-01,2,48,11,2,56,0,0,2,11,0,1,60,25,0,0,46,1,62,2,14,18,3,0,16,60
73,2013-02-01,3,40,15,2,64,1,0,3,15,0,2,67,31,0,0,67,3,71,2,18,20,4,0,15,74
74,2013-03-01,2,42,14,2,68,1,0,3,13,0,2,73,33,0,0,65,3,81,2,19,22,4,0,16,65
75,2013-04-01,3,39,14,3,72,1,0,3,14,0,2,74,35,0,0,66,2,91,2,23,24,3,0,19,69
76,2013-05-01,3,41,12,2,70,0,0,3,14,0,2,76,28,0,0,65,3,87,3,24,26,5,0,20,60
77,2013-06-01,2,46,13,2,69,1,0,3,11,0,1,83,27,0,0,66,1,89,2,20,19,4,0,21,60
78,2013-07-01,2,49,13,2,75,1,0,3,11,0,1,89,29,0,0,71,3,84,3,22,20,5,0,15,59
79,2013-08-01,3,50,17,2,75,1,0,2,13,0,1,83,30,0,0,70,2,95,2,21,24,5,0,15,54
80,2013-09-01,3,49,17,2,71,1,0,3,18,0,1,75,39,0,0,60,2,86,2,20,24,5,0,16,59
81,2013-10-01,3,45,15,2,68,1,0,3,17,0,1,76,38,0,0,71,2,83,2,21,26,4,0,24,67
82,2013-11-01,2,46,14,2,81,1,0,3,14,0,2,70,32,0,0,69,2,88,2,16,18,4,0,18,60
83,2013-12-01,2,53,14,2,66,1,0,2,13,0,1,69,26,0,0,58,2,75,2,16,17,4,0,18,53
84,2014-01-01,3,53,17,2,66,1,0,3,13,0,1,72,34,0,0,61,3,72,3,18,28,5,0,24,63
85,2014-02-01,3,50,15,2,68,1,0,3,13,0,1,69,38,0,0,68,2,73,2,17,22,2,0,22,69
86,2014-03-01,3,49,16,3,67,1,0,3,14,0,1,76,35,0,0,71,3,83,3,21,25,5,0,19,65
87,2014-04-01,2,49,14,3,73,1,0,3,13,0,1,74,34,0,0,75,2,80,2,22,26,6,0,18,63
88,2014-05-01,3,38,10,2,55,1,0,3,10,0,1,62,28,0,0,55,3,66,4,18,12,3,0,17,100
