,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,software development,cleaning,data entry,inspection
0,2007-01-01,3,14,15,2,63,1,0,6,10,82,4,38
1,2007-02-01,3,12,14,2,62,1,0,7,8,75,2,39
2,2007-03-01,3,13,14,3,59,1,0,7,5,79,4,40
3,2007-04-01,3,12,13,1,61,1,0,6,5,89,6,40
4,2007-05-01,2,12,12,1,62,1,0,6,4,92,4,36
5,2007-06-01,3,14,11,2,58,1,0,6,7,88,6,42
6,2007-07-01,3,12,13,2,61,0,0,7,8,92,6,42
7,2007-08-01,3,14,15,2,60,1,0,7,5,75,7,37
8,2007-09-01,3,14,15,2,63,1,0,6,5,84,4,33
9,2007-10-01,3,13,13,2,56,2,0,6,9,80,5,34
10,2007-11-01,3,14,14,2,79,2,0,5,6,75,6,31
11,2007-12-01,2,14,12,2,58,1,0,4,5,85,4,27
12,2008-01-01,3,15,15,2,61,1,0,5,6,86,5,33
13,2008-02-01,3,13,14,2,59,1,0,5,7,71,5,33
14,2008-03-01,2,13,13,2,60,1,0,7,6,80,6,35
15,2008-04-01,3,12,14,2,63,1,0,6,6,81,5,34
16,2008-05-01,3,13,13,2,60,1,0,5,4,85,3,38
17,2008-06-01,2,17,13,2,65,1,0,6,6,92,4,40
18,2008-07-01,3,19,13,1,68,1,0,5,5,89,6,36
19,2008-08-01,2,19,13,2,63,1,0,4,6,83,5,35
20,2008-09-01,3,22,15,2,56,1,0,5,6,78,4,28
21,2008-10-01,3,18,12,2,57,1,0,4,5,68,4,36
22,2008-11-01,2,18,13,1,75,1,0,5,5,83,4,32
23,2008-12-01,2,24,12,2,64,1,0,4,3,73,4,26
24,2009-01-01,3,24,15,2,65,1,0,5,5,91,5,31
25,2009-02-01,3,22,17,2,68,1,0,5,4,76,5,36
26,2009-03-01,3,21,15,2,66,1,0,5,6,89,4,37
27,2009-04-01,2,22,14,3,67,1,0,5,7,97,3,34
28,2009-05-01,3,21,12,2,66,1,0,5,5,89,5,33
29,2009-06-01,3,24,14,2,69,1,0,6,5,90,5,44
30,2009-07-01,3,25,13,2,70,1,0,5,4,93,5,41
31,2009-08-01,2,24,16,2,70,1,0,5,5,90,6,46
32,2009-09-01,3,27,18,2,69,1,0,6,6,91,5,43
33,2009-10-01,3,26,17,2,68,1,0,5,5,89,5,34
34,2009-11-01,3,26,17,2,100,1,0,6,5,91,5,30
35,2009-12-01,2,29,18,1,69,1,0,4,5,82,4,33
36,2010-01-01,3,28,19,2,72,1,0,5,4,86,3,38
37,2010-02-01,3,29,17,2,66,1,0,4,5,75,5,34
38,2010-03-01,3,30,18,2,70,1,0,5,5,86,5,39
39,2010-04-01,3,28,16,2,68,1,0,6,5,90,5,39
40,2010-05-01,3,29,17,2,67,1,0,5,5,94,5,41
41,2010-06-01,3,38,17,2,71,1,0,5,4,94,6,47
42,2010-07-01,3,36,16,2,69,1,0,5,6,94,6,47
43,2010-08-01,3,33,19,2,76,1,0,6,5,95,4,40
44,2010-09-01,4,30,18,2,67,1,0,5,6,86,4,36
45,2010-10-01,3,28,17,2,59,1,0,5,4,79,4,38
46,2010-11-01,3,30,19,2,80,1,0,5,4,86,3,35
47,2010-12-01,3,35,15,2,66,1,0,4,5,82,3,33
48,2011-01-01,3,40,13,2,55,1,0,5,6,73,2,37
49,2011-02-01,2,37,12,2,58,1,0,5,3,72,5,40
50,2011-03-01,2,36,12,3,58,1,0,7,4,80,3,45
51,2011-04-01,2,36,10,2,57,1,0,4,4,68,4,40
52,2011-05-01,2,43,7,2,54,1,0,4,2,83,3,45
53,2011-06-01,2,48,8,2,57,1,0,4,4,83,2,44
54,2011-07-01,2,49,8,2,56,1,0,4,3,78,2,45
55,2011-08-01,2,58,8,2,54,1,0,4,3,80,2,48
56,2011-09-01,2,55,9,2,55,1,0,3,3,82,3,44
57,2011-10-01,2,48,8,2,55,1,0,4,3,82,2,39
58,2011-11-01,2,46,9,2,77,1,0,4,4,78,2,32
59,2011-12-01,1,53,8,2,53,1,0,3,2,73,2,29
60,2012-01-01,2,53,7,2,53,1,0,4,3,75,2,37
61,2012-02-01,1,48,8,2,58,1,0,4,3,72,3,38
62,2012-03-01,1,51,7,1,55,1,0,3,2,77,2,43
63,2012-04-01,1,51,5,2,53,1,0,3,2,73,2,40
64,2012-05-01,1,54,6,2,57,1,0,3,3,78,2,42
65,2012-06-01,2,58,6,1,54,1,0,3,3,73,3,43
66,2012-07-01,1,60,6,2,57,1,0,4,2,75,2,42
67,2012-08-01,1,64,7,2,57,0,0,3,2,78,4,42
68,2012-09-01,2,62,8,2,53,1,0,3,2,75,3,41
69,2012-10-01,1,60,6,2,50,1,0,3,3,72,3,37
70,2012-11-01,2,54,9,2,67,1,0,4,4,81,2,38
71,2012-12-01,2,53,12,3,57,1,0,5,3,92,2,38
72,2013-01-01,2,43,10,3,55,1,0,5,3,96,3,45
73,2013-02-01,2,46,10,2,54,1,0,4,4,79,2,36
74,2013-03-01,1,47,8,2,54,1,0,4,3,82,2,41
75,2013-04-01,1,51,6,2,56,1,0,4,3,78,3,43
76,2013-05-01,1,53,7,2,56,1,0,4,2,88,3,47
77,2013-06-01,2,53,6,1,57,1,0,4,2,93,2,49
78,2013-07-01,3,46,11,4,59,1,0,6,4,94,2,53
79,2013-08-01,3,48,14,3,63,1,0,7,5,96,3,63
80,2013-09-01,2,60,11,3,58,1,0,5,5,82,3,51
81,2013-10-01,2,48,12,3,54,2,0,6,4,80,3,45
82,2013-11-01,2,50,10,3,62,2,0,6,4,86,2,43
83,2013-12-01,3,56,12,3,59,1,0,5,4,83,2,41
84,2014-01-01,2,55,10,3,49,1,0,6,2,76,2,39
85,2014-02-01,2,51,10,3,53,1,0,4,3,73,1,41
86,2014-03-01,2,54,10,2,53,1,0,4,3,81,2,47
87,2014-04-01,2,49,8,2,48,1,0,4,4,79,2,38
88,2014-05-01,2,54,11,4,54,1,0,6,3,93,3,52
89,2014-06-01,3,53,10,3,54,2,0,7,3,97,4,56
90,2014-07-01,2,59,9,3,54,1,0,5,3,95,2,54
91,2014-08-01,2,62,10,3,58,1,0,4,3,96,2,51
92,2014-09-01,1,63,9,3,55,1,0,4,3,84,2,44
93,2014-10-01,1,63,7,2,53,0,0,3,2,84,1,39
94,2014-11-01,1,60,6,2,65,1,0,3,3,85,2,34
95,2014-12-01,1,69,6,2,56,0,0,3,2,83,1,35
96,2015-01-01,1,63,7,2,56,1,0,3,2,79,2,37
97,2015-02-01,1,67,7,2,58,1,0,4,3,81,3,38
98,2015-03-01,1,65,6,3,57,1,0,4,2,78,2,48
99,2015-04-01,1,68,5,3,57,1,0,4,3,88,3,48
100,2015-05-01,1,70,5,2,58,1,0,4,2,92,3,43
101,2015-06-01,1,71,6,3,57,1,0,4,3,99,2,50
102,2015-07-01,1,82,6,3,59,1,0,3,3,96,2,54
103,2015-08-01,1,86,6,3,61,1,0,3,2,93,3,59
104,2015-09-01,1,92,7,3,60,1,0,3,2,90,2,48
105,2015-10-01,1,88,7,3,57,1,0,3,2,84,3,47
106,2015-11-01,1,85,6,3,70,1,0,3,2,87,2,43
107,2015-12-01,1,96,5,2,57,1,0,3,3,82,3,45
108,2016-01-01,1,85,6,3,53,1,0,3,2,84,3,45
109,2016-02-01,1,92,5,3,57,1,0,3,2,80,2,52
110,2016-03-01,1,85,5,2,54,1,0,3,2,87,2,58
111,2016-04-01,1,76,5,2,55,1,0,3,2,85,3,56
112,2016-05-01,1,77,3,2,54,1,0,3,2,94,2,60
113,2016-06-01,1,88,4,3,55,1,0,3,3,93,2,59
114,2016-07-01,1,97,4,2,54,1,0,3,1,86,2,53
115,2016-08-01,1,94,6,2,56,1,0,3,1,88,1,62
116,2016-09-01,1,82,4,2,55,1,0,4,2,87,2,55
117,2016-10-01,1,77,4,2,50,1,0,3,2,85,2,50
118,2016-11-01,1,86,5,3,63,1,0,3,2,84,2,41
119,2016-12-01,1,100,4,3,53,1,0,3,2,80,2,46
120,2017-01-01,1,86,6,3,51,1,0,3,3,87,2,45
121,2017-02-01,1,84,4,3,54,1,0,4,2,85,3,56
122,2017-03-01,1,77,5,3,53,1,0,3,2,87,2,61
123,2017-04-01,1,83,4,2,50,1,0,3,2,95,2,56
124,2017-05-01,1,93,4,3,58,1,0,3,2,97,2,59
125,2017-06-01,1,93,5,3,54,1,0,3,3,94,2,60
126,2017-07-01,1,97,5,3,53,1,0,3,3,100,2,62
127,2017-08-01,1,93,5,3,55,1,0,3,2,100,2,66
128,2017-09-01,1,95,5,2,54,1,0,2,3,86,2,55
129,2017-10-01,1,96,4,3,51,1,0,4,3,91,2,57
130,2017-11-01,1,94,7,3,57,1,0,4,3,92,2,59
131,2017-12-01,1,100,7,3,47,1,0,4,4,88,3,49
