,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,3,10,12,8,59,2,0,6,11,0,0,49,0,0,0,47,66
1,2007-02-01,7,11,18,3,61,2,0,5,9,0,0,38,0,0,0,77,86
2,2007-03-01,6,12,9,3,68,0,0,4,10,0,0,55,0,0,0,52,72
3,2007-04-01,3,8,17,2,64,2,0,2,10,0,0,54,0,0,0,42,85
4,2007-05-01,4,10,13,8,75,3,0,3,13,0,0,57,0,0,0,40,79
5,2007-06-01,4,19,11,3,75,0,0,8,9,0,0,54,0,0,0,100,79
6,2007-07-01,3,10,12,3,72,2,0,8,6,0,0,60,0,0,0,64,89
7,2007-08-01,3,11,13,4,74,3,0,2,12,0,0,66,0,0,0,94,83
8,2007-09-01,5,14,12,4,80,0,0,3,16,0,0,49,0,0,0,45,93
9,2007-10-01,2,5,17,2,70,2,0,3,16,0,0,53,0,0,0,59,94
10,2007-11-01,5,8,9,2,96,0,0,7,11,0,0,45,0,0,0,40,72
11,2007-12-01,2,8,11,5,66,5,0,2,19,0,0,45,0,0,0,43,59
12,2008-01-01,5,15,17,3,66,0,0,6,11,0,0,53,0,0,0,57,84
13,2008-02-01,4,13,15,3,52,2,0,7,13,0,0,43,0,0,0,38,91
14,2008-03-01,6,11,17,4,61,3,0,3,11,0,0,44,0,0,0,72,69
15,2008-04-01,4,13,12,5,60,5,0,6,13,0,0,44,0,0,0,40,89
16,2008-05-01,5,16,11,3,60,3,0,3,22,0,0,49,0,0,0,46,71
17,2008-06-01,5,17,15,2,59,4,0,2,11,0,0,51,0,0,0,85,71
18,2008-07-01,0,13,11,5,74,2,0,7,6,0,0,60,0,0,0,40,60
19,2008-08-01,3,19,10,2,52,2,0,4,12,0,0,51,0,0,0,40,54
20,2008-09-01,5,24,20,4,54,2,0,6,16,0,0,61,0,0,0,38,67
21,2008-10-01,3,21,16,2,58,2,0,3,10,0,0,43,0,0,0,71,74
22,2008-11-01,5,14,13,0,79,2,0,10,18,0,0,47,0,0,0,47,74
23,2008-12-01,3,25,14,4,72,2,0,4,11,0,0,51,0,0,0,58,71
24,2009-01-01,5,28,13,3,74,2,0,3,14,0,0,61,0,0,0,88,62
25,2009-02-01,5,25,18,5,66,2,0,3,12,0,0,45,0,0,0,33,62
26,2009-03-01,3,21,14,2,62,4,0,2,14,0,0,55,0,0,0,0,68
27,2009-04-01,2,14,11,3,78,4,0,4,9,0,0,43,0,0,0,34,63
28,2009-05-01,5,20,11,2,68,2,0,4,13,0,0,55,0,0,0,0,61
29,2009-06-01,5,24,16,5,65,2,0,4,10,0,0,76,0,0,0,34,63
30,2009-07-01,5,33,13,3,62,3,0,3,10,0,0,58,0,0,0,69,66
31,2009-08-01,3,21,15,6,67,2,0,6,14,0,0,74,0,0,0,52,66
32,2009-09-01,2,32,17,3,58,3,0,3,24,0,0,54,0,0,0,61,76
33,2009-10-01,2,25,19,3,65,1,0,4,19,0,0,49,0,0,0,50,66
34,2009-11-01,5,29,17,2,100,2,0,2,15,0,0,43,0,0,0,31,64
35,2009-12-01,4,35,13,3,67,2,0,4,17,0,0,53,0,0,0,31,70
36,2010-01-01,3,28,19,6,69,3,0,2,18,0,0,55,0,0,0,30,74
37,2010-02-01,2,31,18,3,56,1,0,4,22,0,0,56,0,0,0,43,87
38,2010-03-01,4,37,17,1,63,3,0,3,18,0,0,64,0,0,0,28,67
39,2010-04-01,4,28,11,3,83,2,0,7,13,0,0,60,0,0,0,28,90
40,2010-05-01,3,26,15,3,68,2,0,2,15,0,0,57,0,0,0,29,100
41,2010-06-01,3,40,15,3,71,2,0,5,12,0,0,71,0,0,0,36,78
42,2010-07-01,4,28,11,4,69,2,0,4,8,0,0,70,0,0,0,59,89
43,2010-08-01,4,44,18,5,57,2,0,3,9,0,0,62,0,0,0,31,69
44,2010-09-01,4,27,25,2,60,1,0,3,16,0,0,59,0,0,0,30,87
45,2010-10-01,3,22,16,3,58,1,0,5,18,0,0,54,0,0,0,39,75
46,2010-11-01,2,33,17,3,89,1,0,4,21,0,0,51,0,0,0,62,88
47,2010-12-01,6,23,15,3,53,3,0,3,15,0,0,52,0,0,0,54,82
48,2011-01-01,3,29,14,2,60,1,0,2,15,0,0,58,0,0,0,20,45
49,2011-02-01,4,28,16,3,66,1,0,2,18,0,0,52,0,0,0,26,69
50,2011-03-01,2,29,15,3,63,0,0,4,15,0,0,59,0,0,0,16,62
51,2011-04-01,2,34,15,3,58,1,0,3,10,0,0,60,0,0,0,33,58
52,2011-05-01,3,29,16,3,60,1,0,2,10,0,0,60,0,0,0,19,66
53,2011-06-01,3,37,14,2,61,1,0,3,10,0,0,61,0,0,0,28,67
54,2011-07-01,2,38,14,4,68,1,0,3,9,0,0,71,0,0,0,35,56
55,2011-08-01,1,39,11,3,72,1,0,1,11,0,0,64,0,0,0,22,52
56,2011-09-01,4,37,15,3,67,1,0,5,17,0,0,67,0,0,0,28,67
57,2011-10-01,3,35,15,3,65,1,0,2,15,0,0,58,0,0,0,19,56
