,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,2,11,13,1,67,1,0,3,42,0,0,89,3,80,7,17,9,96,0,26,100
1,2007-02-01,2,9,13,2,67,1,0,2,46,0,0,90,3,78,4,18,13,100,0,19,99
2,2007-03-01,2,10,13,2,64,0,0,3,40,0,0,98,4,78,6,17,12,64,0,18,98
3,2007-04-01,2,10,12,1,69,1,0,2,46,0,0,96,3,85,5,16,8,50,0,20,96
4,2007-05-01,2,10,13,1,62,1,0,3,39,0,0,100,3,81,7,17,11,52,0,18,92
5,2007-06-01,2,11,11,1,65,1,0,2,38,0,0,100,3,84,7,19,10,53,0,22,95
6,2007-07-01,2,11,11,1,68,1,0,2,41,0,0,97,3,83,6,16,13,42,0,20,83
7,2007-08-01,2,10,13,1,64,1,0,3,41,0,0,98,3,83,7,19,6,48,0,21,95
8,2007-09-01,2,11,14,1,65,1,0,2,45,0,0,89,4,79,7,16,14,56,0,19,99
9,2007-10-01,2,11,12,1,61,1,0,3,40,0,0,85,3,79,7,18,17,44,0,27,94
10,2007-11-01,2,10,12,1,83,1,0,2,42,0,0,92,2,82,6,16,13,46,0,22,89
11,2007-12-01,2,10,12,1,60,1,0,2,34,0,0,76,3,85,4,13,9,57,0,18,78
12,2008-01-01,2,12,14,1,66,1,0,2,43,0,0,90,3,87,6,16,12,52,0,22,81
13,2008-02-01,2,11,14,1,68,1,0,3,47,0,0,86,4,80,5,18,14,51,0,20,90
14,2008-03-01,2,11,13,1,68,1,0,3,40,0,0,89,3,85,6,17,14,51,0,24,86
15,2008-04-01,2,12,13,1,70,1,0,2,43,0,0,95,3,84,6,18,15,50,0,20,82
16,2008-05-01,2,11,14,1,63,1,0,2,41,0,0,91,2,83,6,17,10,54,0,24,81
17,2008-06-01,2,15,12,1,66,1,0,2,41,0,0,95,4,88,7,19,16,42,0,19,81
18,2008-07-01,2,14,12,1,68,1,0,2,43,0,0,94,4,83,5,18,20,45,0,16,83
19,2008-08-01,2,15,13,1,60,1,0,2,40,0,0,88,2,80,8,16,15,56,0,20,76
20,2008-09-01,2,18,15,2,59,1,0,2,49,0,0,92,3,80,7,18,17,46,0,25,85
21,2008-10-01,2,17,14,1,63,1,0,2,46,0,0,95,3,82,6,18,19,50,0,22,84
22,2008-11-01,2,17,13,1,82,1,0,2,44,0,0,82,3,84,4,14,18,40,0,17,75
23,2008-12-01,1,21,13,1,68,1,0,2,38,0,0,79,3,79,4,16,14,57,0,20,73
24,2009-01-01,2,20,15,2,68,1,0,2,46,0,0,85,3,87,5,17,16,60,0,22,74
25,2009-02-01,2,19,14,1,70,1,0,2,50,0,0,91,3,82,4,21,19,46,0,21,85
26,2009-03-01,2,18,15,1,68,1,0,3,47,0,0,88,3,87,5,21,19,45,0,20,85
27,2009-04-01,2,19,14,1,67,1,0,2,48,0,0,87,2,84,5,19,16,45,0,20,85
28,2009-05-01,2,19,13,1,65,1,0,2,40,0,0,85,2,86,5,19,15,44,0,17,73
29,2009-06-01,2,22,13,1,65,1,0,3,42,0,0,89,3,83,5,21,19,44,0,21,76
30,2009-07-01,2,22,14,2,66,1,0,2,40,0,0,88,3,88,4,21,18,41,0,19,72
31,2009-08-01,2,23,15,1,63,1,0,2,44,0,0,85,3,84,5,18,16,50,0,20,71
32,2009-09-01,2,24,18,1,66,1,0,2,52,0,0,84,3,88,6,19,19,46,0,22,83
33,2009-10-01,2,24,17,2,63,1,0,2,48,0,0,86,3,82,5,20,14,39,0,24,82
34,2009-11-01,2,23,17,1,100,1,0,2,41,0,0,77,3,86,4,18,18,41,0,17,81
35,2009-12-01,2,25,15,1,67,1,0,2,40,0,0,78,2,74,4,17,16,30,0,17,74
36,2010-01-01,2,26,17,1,67,1,0,2,45,0,0,74,3,83,5,21,16,34,0,22,72
37,2010-02-01,2,26,17,2,71,1,0,3,49,0,0,83,3,79,5,20,18,25,0,21,79
38,2010-03-01,2,26,15,1,67,1,0,2,44,0,0,88,2,79,5,21,22,24,0,18,78
39,2010-04-01,2,25,15,1,66,1,0,2,44,0,0,82,2,85,4,22,21,23,0,22,76
40,2010-05-01,2,27,15,1,61,1,0,2,43,0,0,78,3,88,4,23,23,19,0,15,71
41,2010-06-01,2,32,16,1,67,1,0,3,40,0,0,85,3,91,5,22,20,17,0,20,66
42,2010-07-01,2,27,14,1,61,1,0,2,37,0,0,75,2,83,4,21,19,21,0,18,62
43,2010-08-01,2,26,16,1,61,1,0,2,41,0,0,76,2,80,4,20,25,19,0,18,70
44,2010-09-01,2,25,17,1,59,1,0,2,46,0,0,78,2,76,4,21,22,17,0,20,75
45,2010-10-01,2,25,15,1,57,1,0,2,43,0,0,70,3,73,3,18,25,16,0,17,77
46,2010-11-01,2,25,15,1,77,1,0,2,37,0,0,69,2,83,3,17,20,14,0,16,69
47,2010-12-01,1,27,13,1,59,1,0,2,32,0,0,64,3,69,3,15,15,18,0,15,64
