,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,12,21,2,66,1,0,3,12,1,2,68,43,0,0,91,3,88,7,21,9,81,0,33,92
1,2007-02-01,3,11,15,2,68,1,0,3,13,1,3,62,40,0,0,90,5,70,6,22,10,100,0,15,100
2,2007-03-01,2,11,13,1,64,1,0,3,12,1,2,68,36,0,1,95,4,79,6,25,12,55,0,26,96
3,2007-04-01,3,10,12,1,63,1,0,3,10,0,2,70,38,0,0,91,4,87,5,23,13,51,0,25,99
4,2007-05-01,2,12,13,2,63,0,0,3,11,0,2,71,36,0,1,88,4,88,7,20,15,53,0,31,85
5,2007-06-01,3,13,12,2,65,1,0,4,9,1,1,81,36,0,0,100,3,90,7,23,16,42,0,23,87
6,2007-07-01,3,14,14,2,73,1,0,3,9,1,1,84,36,0,1,94,3,94,6,24,15,44,0,22,82
7,2007-08-01,2,12,15,1,66,1,0,4,13,1,2,78,36,0,1,94,4,83,7,23,15,59,0,25,87
8,2007-09-01,3,13,14,2,66,1,0,3,14,1,2,75,43,0,1,84,4,88,6,22,14,56,0,27,90
9,2007-10-01,3,13,13,1,65,1,0,3,13,0,2,68,40,0,0,96,3,88,6,22,19,46,0,30,93
10,2007-11-01,2,11,15,2,77,1,0,3,12,0,2,67,37,0,0,84,3,84,6,19,12,47,0,21,84
11,2007-12-01,2,13,13,1,61,1,0,3,11,0,2,67,32,0,0,77,2,81,4,17,11,50,0,22,76
12,2008-01-01,2,12,16,2,64,1,0,3,12,1,2,69,44,0,0,86,4,88,7,20,13,49,0,29,81
13,2008-02-01,3,12,14,1,62,1,0,3,13,1,2,63,38,0,1,87,4,82,8,20,21,55,0,28,83
14,2008-03-01,3,12,15,2,63,1,0,3,12,1,2,69,37,0,0,85,4,87,6,20,15,47,0,29,87
15,2008-04-01,3,12,14,2,66,1,0,3,13,1,3,69,41,0,1,94,6,89,6,22,14,50,0,22,88
16,2008-05-01,2,13,14,1,62,1,0,3,10,1,2,75,34,0,1,89,4,88,7,19,19,42,0,28,77
17,2008-06-01,3,16,13,1,67,1,0,3,10,1,1,83,35,0,1,90,3,86,7,23,12,41,0,24,77
18,2008-07-01,2,17,13,2,74,1,0,3,11,1,1,82,33,0,0,93,4,93,7,21,17,38,0,28,75
19,2008-08-01,3,18,17,1,65,1,0,3,13,1,2,75,38,0,0,85,3,82,8,21,15,51,0,24,76
20,2008-09-01,3,21,16,2,61,1,0,3,16,1,2,72,41,0,0,89,4,83,6,18,18,39,0,19,83
21,2008-10-01,2,19,14,2,63,1,0,3,14,0,2,70,41,0,0,93,4,78,5,20,20,31,0,27,77
22,2008-11-01,2,20,14,2,81,1,0,3,13,1,2,70,37,0,0,79,3,75,4,17,18,56,0,27,74
23,2008-12-01,2,25,13,1,66,1,0,2,12,1,2,74,31,0,0,75,3,78,5,16,10,44,0,24,67
24,2009-01-01,3,23,15,2,69,1,0,3,13,1,2,76,42,0,1,79,4,88,7,19,20,52,0,21,73
25,2009-02-01,3,22,17,2,66,1,0,3,13,1,2,72,41,0,0,90,4,83,4,21,20,44,0,24,79
26,2009-03-01,2,22,14,2,65,1,0,3,13,1,2,77,39,0,1,89,4,88,4,21,20,41,0,33,75
27,2009-04-01,3,21,14,2,64,1,0,2,14,1,2,78,39,0,0,91,3,86,3,23,16,37,0,25,77
28,2009-05-01,2,23,14,1,66,1,0,3,14,1,2,84,33,0,0,86,4,91,5,21,13,48,0,27,69
29,2009-06-01,2,25,14,2,67,1,0,3,11,1,1,90,34,0,1,94,4,100,4,26,18,47,0,26,70
30,2009-07-01,2,25,15,2,70,1,0,3,11,1,1,87,36,0,0,86,4,86,5,23,19,45,0,16,69
31,2009-08-01,2,25,16,2,65,1,0,3,15,1,2,84,39,0,0,81,3,93,5,23,21,42,0,33,74
32,2009-09-01,3,26,17,2,64,1,0,3,15,1,2,82,42,0,0,78,4,87,5,22,15,40,0,22,77
33,2009-10-01,3,27,18,2,63,1,0,3,15,1,2,77,41,0,0,84,4,85,5,23,18,45,0,26,75
34,2009-11-01,2,26,19,2,100,1,0,3,16,1,2,77,35,0,1,80,3,91,4,21,20,34,0,22,73
35,2009-12-01,2,30,17,1,67,1,0,2,14,1,2,78,33,0,0,72,3,82,4,17,13,24,0,22,62
36,2010-01-01,3,30,18,1,66,1,0,3,15,1,2,79,43,0,0,76,3,82,5,21,14,23,0,30,64
37,2010-02-01,3,30,17,1,67,1,0,4,18,1,3,76,43,0,0,84,2,81,3,23,18,30,0,23,72
38,2010-03-01,3,31,16,2,66,1,0,3,14,1,2,79,41,0,0,88,3,84,5,23,24,26,0,21,76
39,2010-04-01,2,30,15,2,66,1,0,3,17,1,2,82,38,0,1,87,3,77,4,22,23,24,0,21,76
40,2010-05-01,2,31,15,1,63,1,0,3,15,1,2,82,35,0,0,79,3,93,4,20,22,21,0,22,66
41,2010-06-01,2,36,16,2,69,1,0,3,11,1,1,93,34,0,0,87,3,89,5,23,20,23,0,20,65
42,2010-07-01,2,33,15,1,67,1,0,3,11,1,1,86,30,0,0,77,3,91,4,21,21,20,0,25,63
43,2010-08-01,2,31,18,2,63,1,0,3,14,1,1,83,37,0,0,79,3,79,4,22,22,23,0,27,66
44,2010-09-01,3,29,19,1,61,1,0,3,16,1,3,74,39,0,0,75,3,75,3,19,23,20,0,22,72
45,2010-10-01,3,28,18,1,57,1,0,3,16,1,2,72,34,0,0,73,3,77,3,19,24,17,0,20,73
46,2010-11-01,2,28,17,1,77,1,0,2,15,1,2,70,34,0,0,66,2,77,4,19,21,19,0,19,68
47,2010-12-01,2,31,15,1,60,1,0,2,14,1,2,72,28,0,0,63,2,72,4,13,17,17,0,16,62
48,2011-01-01,2,36,15,1,60,1,0,2,12,1,1,69,33,0,0,53,3,71,4,16,18,17,0,20,51
