,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,16,28,2,71,1,0,6,17,0,0,61,51,0,0,71,4,58,5,18,0,30,0,26,87
1,2007-02-01,6,19,33,2,65,0,0,4,13,0,0,52,57,0,0,93,3,39,3,14,0,100,0,44,98
2,2007-03-01,10,16,33,3,63,1,0,2,13,0,0,58,56,0,0,100,3,47,3,15,0,68,0,21,86
3,2007-04-01,5,16,32,2,65,2,0,3,10,0,0,60,41,0,0,84,3,46,12,24,0,43,0,25,71
4,2007-05-01,4,17,22,5,67,1,0,4,14,0,0,57,52,0,0,84,4,46,2,15,0,35,0,0,71
5,2007-06-01,4,18,29,3,64,1,0,3,13,0,0,59,55,0,0,97,3,51,5,22,0,21,0,17,69
6,2007-07-01,5,21,27,4,70,2,0,4,9,0,0,70,40,0,0,89,4,56,2,18,0,57,0,18,88
7,2007-08-01,5,22,35,4,64,1,0,3,16,0,0,48,66,0,0,87,2,57,3,17,0,29,0,9,76
8,2007-09-01,7,19,35,2,62,0,0,2,17,0,0,63,61,0,0,78,3,45,2,15,0,26,0,9,77
9,2007-10-01,5,21,27,4,65,2,0,2,15,0,0,54,70,0,0,96,2,58,5,18,0,33,0,23,69
10,2007-11-01,4,14,30,4,83,3,0,3,13,0,0,53,39,0,0,75,4,55,5,12,0,48,0,21,75
11,2007-12-01,4,19,23,3,50,2,0,2,11,0,0,57,43,0,0,77,4,55,4,21,0,31,0,8,69
12,2008-01-01,6,17,37,5,59,1,0,4,9,0,0,68,68,0,0,61,4,69,5,14,0,26,0,11,73
13,2008-02-01,4,9,27,2,70,2,0,3,14,0,0,68,52,0,0,80,4,64,2,19,0,41,0,9,63
14,2008-03-01,8,19,26,4,58,2,0,2,11,0,0,64,46,0,0,94,2,52,4,18,0,39,0,28,73
15,2008-04-01,9,21,34,3,63,1,0,4,15,0,0,59,64,0,0,82,0,56,6,14,0,36,0,36,64
16,2008-05-01,5,19,29,4,61,1,0,3,18,0,0,55,44,0,0,76,2,49,3,13,0,39,0,15,75
17,2008-06-01,3,18,28,2,70,1,0,2,9,0,0,66,52,0,0,75,4,62,6,22,0,30,0,10,57
18,2008-07-01,4,25,29,4,73,1,0,4,8,0,0,63,50,0,0,89,4,69,6,17,0,38,0,18,54
19,2008-08-01,7,21,35,2,66,2,0,3,13,0,0,58,53,0,0,80,3,56,6,15,0,38,0,23,62
20,2008-09-01,4,30,36,6,70,1,0,3,20,0,0,64,84,0,0,91,5,63,7,19,0,42,0,17,78
21,2008-10-01,5,23,32,3,61,1,0,5,16,0,0,60,72,0,0,74,2,57,6,15,0,39,0,29,81
22,2008-11-01,4,23,32,3,88,2,0,4,13,0,0,64,55,0,0,53,3,57,5,12,0,25,0,25,74
23,2008-12-01,3,27,32,2,73,2,0,3,14,0,0,59,52,0,0,75,0,62,3,13,0,41,0,41,71
24,2009-01-01,7,31,30,5,73,1,0,2,19,0,0,67,52,0,0,62,2,64,3,18,0,40,0,0,58
25,2009-02-01,6,29,37,2,66,1,0,3,17,0,0,63,72,0,0,70,0,56,3,19,0,36,0,27,70
26,2009-03-01,4,22,31,4,66,1,0,4,16,0,0,65,61,0,0,73,3,70,7,26,0,40,0,12,70
27,2009-04-01,6,27,29,3,61,2,0,3,16,0,0,66,60,0,0,76,5,61,3,15,0,20,0,13,69
28,2009-05-01,7,27,32,1,64,1,0,2,18,0,0,63,41,0,0,63,2,66,2,16,0,31,0,28,64
29,2009-06-01,4,25,24,3,67,2,0,2,8,0,0,72,50,0,0,66,3,73,3,27,0,33,0,17,61
30,2009-07-01,6,28,30,3,71,3,0,4,12,0,0,70,40,0,0,83,2,71,2,24,0,22,0,18,66
31,2009-08-01,5,30,32,3,69,1,0,1,12,0,0,70,62,0,0,71,2,56,2,28,0,20,0,20,63
32,2009-09-01,9,37,39,4,57,1,0,3,19,0,0,65,54,0,0,87,0,63,5,14,0,35,0,10,72
33,2009-10-01,4,38,28,2,63,1,0,3,14,0,0,66,64,0,0,76,2,68,3,20,0,33,0,14,59
34,2009-11-01,6,38,34,3,100,1,0,1,17,0,0,61,52,0,0,71,2,61,3,18,0,30,0,12,71
35,2009-12-01,7,39,37,2,73,1,0,2,15,0,0,62,70,0,0,79,5,58,4,17,0,17,0,8,56
36,2010-01-01,5,40,39,2,69,1,0,3,14,0,0,64,55,0,0,57,2,58,4,17,0,29,0,11,58
37,2010-02-01,5,34,35,4,64,1,0,2,20,0,0,68,58,0,0,69,2,64,5,19,0,19,0,8,79
38,2010-03-01,7,40,35,3,61,1,0,3,18,0,0,74,69,0,0,60,2,58,3,16,0,21,0,7,66
39,2010-04-01,4,41,34,3,64,2,0,2,19,0,0,67,62,0,0,80,3,63,3,16,0,12,0,14,63
40,2010-05-01,5,37,35,2,65,2,0,4,19,0,0,63,45,0,0,54,3,54,4,22,0,14,0,9,57
41,2010-06-01,5,42,36,2,68,2,0,3,13,0,0,75,41,0,0,65,2,77,2,13,0,12,0,19,55
42,2010-07-01,2,38,32,3,68,1,0,2,11,0,0,79,41,0,0,69,1,62,4,29,0,22,0,6,55
43,2010-08-01,5,37,40,4,62,1,0,3,19,0,0,78,46,0,0,74,2,64,2,15,0,17,0,6,72
44,2010-09-01,7,27,33,3,61,1,0,3,21,0,0,68,61,0,0,66,2,61,3,20,0,11,0,13,70
45,2010-10-01,5,34,40,3,61,2,0,2,16,0,0,63,68,0,0,73,1,65,3,21,0,22,0,8,72
46,2010-11-01,4,36,35,5,83,1,0,1,15,0,0,65,52,0,0,54,2,48,3,19,0,10,0,8,65
47,2010-12-01,7,44,33,4,56,1,0,4,18,0,0,69,41,0,0,53,2,52,2,21,0,14,0,10,54
48,2011-01-01,4,40,38,3,64,1,0,3,17,0,0,71,47,0,0,49,2,62,1,23,0,16,0,18,50
49,2011-02-01,4,41,27,2,66,1,0,2,19,0,0,66,64,0,0,53,2,63,3,21,0,11,0,15,56
50,2011-03-01,5,37,27,3,61,1,0,2,15,0,0,70,56,0,0,58,2,52,3,18,0,10,0,16,67
51,2011-04-01,3,35,26,2,67,0,0,3,16,0,0,71,51,0,0,50,2,60,2,22,0,14,0,14,56
52,2011-05-01,4,33,26,3,67,1,0,2,15,0,0,70,48,0,0,47,2,55,2,21,0,10,0,14,53
53,2011-06-01,5,40,22,3,65,1,0,3,10,0,0,79,44,0,0,61,1,67,4,26,0,11,0,11,51
54,2011-07-01,3,41,27,3,62,1,0,3,12,0,0,80,42,0,0,53,1,55,5,26,0,8,0,19,48
55,2011-08-01,4,51,31,3,62,1,0,2,16,0,0,75,58,0,0,41,1,61,1,26,0,11,0,17,52
56,2011-09-01,6,42,31,3,59,1,0,2,21,0,0,68,68,0,0,42,2,56,2,19,0,5,0,21,71
57,2011-10-01,4,43,28,3,60,1,0,3,16,0,0,68,53,0,0,40,2,55,3,15,0,0,0,14,63
58,2011-11-01,5,44,28,2,95,1,0,3,17,0,0,68,49,0,0,48,2,58,2,15,0,10,0,5,58
59,2011-12-01,3,44,23,4,64,1,0,2,15,0,0,74,43,0,0,35,1,49,2,17,0,9,0,8,58
60,2012-01-01,5,39,29,2,63,1,0,3,15,0,0,63,53,0,0,43,3,67,3,19,0,7,0,15,53
61,2012-02-01,3,45,29,3,68,1,0,2,15,0,0,66,53,0,0,49,1,56,4,19,0,7,0,8,53
62,2012-03-01,3,37,22,2,64,0,0,3,16,0,0,66,56,0,0,53,1,55,3,16,0,7,0,11,60
63,2012-04-01,3,42,27,2,69,1,0,2,14,0,0,60,59,0,0,60,2,58,3,20,0,3,0,11,63
64,2012-05-01,4,41,26,2,64,1,0,2,16,0,0,68,55,0,0,50,2,64,2,19,0,3,0,5,50
65,2012-06-01,3,50,26,4,65,0,0,2,10,0,0,74,40,0,0,49,1,70,2,23,0,7,0,11,50
66,2012-07-01,2,45,23,2,64,1,0,2,9,0,0,72,48,0,0,42,1,66,3,23,0,4,0,6,48
67,2012-08-01,4,44,30,2,59,1,0,3,14,0,0,72,44,0,0,43,1,62,4,21,0,4,0,13,56
68,2012-09-01,5,53,26,3,62,0,0,2,14,0,0,66,59,0,0,45,1,59,2,20,0,4,0,11,60
69,2012-10-01,2,51,23,2,63,1,0,3,15,0,0,67,58,0,0,52,2,60,2,19,0,5,0,7,68
70,2012-11-01,3,43,24,3,92,1,0,2,14,0,0,65,60,0,0,38,1,56,2,20,0,7,0,11,67
71,2012-12-01,3,48,17,2,63,1,0,2,11,0,0,60,43,0,0,37,1,53,3,17,0,3,0,7,54
72,2013-01-01,5,45,26,2,67,1,0,2,15,0,0,72,54,0,0,48,1,65,2,21,0,6,0,5,100
73,2013-02-01,4,44,26,2,65,1,0,2,13,0,0,60,52,0,0,46,2,63,1,22,0,3,0,9,88
