,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,6,16,25,2,62,1,0,3,12,0,1,61,32,0,0,87,3,76,6,13,21,100,0,27,91
1,2007-02-01,4,16,28,4,60,2,0,2,13,0,2,56,30,0,0,83,0,55,6,16,12,79,0,12,100
2,2007-03-01,5,19,21,5,62,1,0,2,10,0,1,63,40,0,0,85,3,62,4,15,26,51,0,22,90
3,2007-04-01,4,13,24,3,66,1,0,3,12,0,3,56,19,0,0,71,3,56,4,19,25,79,0,36,90
4,2007-05-01,6,17,26,5,66,1,0,3,13,0,2,60,21,0,0,78,3,68,4,21,19,46,0,22,82
5,2007-06-01,5,15,22,3,74,1,0,4,14,0,2,73,22,0,0,87,4,76,5,20,37,65,0,20,84
6,2007-07-01,4,20,26,4,74,2,0,2,9,0,2,69,21,0,0,83,5,70,6,12,11,55,0,23,81
7,2007-08-01,7,19,27,2,63,1,0,3,9,0,2,72,24,0,0,88,4,75,9,21,26,67,0,22,92
8,2007-09-01,5,17,28,4,61,2,0,3,16,0,2,59,33,0,0,74,3,70,3,16,10,45,0,35,88
9,2007-10-01,7,20,22,4,56,2,0,3,13,0,1,56,29,0,0,73,2,72,5,21,12,36,0,18,88
10,2007-11-01,7,18,25,5,72,1,0,2,13,0,3,63,37,0,0,64,2,70,6,12,34,50,0,28,76
11,2007-12-01,4,14,23,6,53,1,0,2,14,0,2,52,20,0,0,63,2,64,2,10,9,29,0,16,77
12,2008-01-01,8,17,27,5,63,1,0,3,17,0,2,53,28,0,0,69,2,68,2,15,9,32,0,26,71
13,2008-02-01,7,18,29,6,59,1,0,2,15,0,2,57,31,0,0,65,5,55,4,16,16,54,0,31,80
14,2008-03-01,5,15,29,3,62,1,0,2,14,0,2,52,32,0,0,82,6,71,5,23,11,62,0,12,69
15,2008-04-01,4,15,25,3,66,2,0,2,13,0,3,60,28,0,0,78,3,70,6,22,22,45,0,21,81
16,2008-05-01,6,15,24,3,62,1,0,3,14,0,3,62,21,0,0,83,3,78,5,10,18,46,0,18,75
17,2008-06-01,4,19,29,4,69,1,0,2,12,0,1,69,18,0,0,100,2,76,3,21,25,48,0,38,75
18,2008-07-01,5,24,24,3,76,2,0,2,11,0,1,65,24,0,0,91,3,84,4,19,0,53,0,17,73
19,2008-08-01,7,23,32,5,64,1,0,2,12,0,1,66,32,0,0,80,4,67,6,12,9,39,0,23,66
20,2008-09-01,6,26,28,3,59,2,0,2,18,0,2,61,38,0,0,77,2,64,2,23,10,34,0,34,75
21,2008-10-01,7,23,25,3,61,2,0,2,16,0,1,57,33,0,0,77,3,62,2,15,8,53,0,23,88
22,2008-11-01,5,25,25,3,71,1,0,2,13,0,3,59,25,0,0,66,3,71,6,17,13,39,0,34,80
23,2008-12-01,5,25,28,4,63,0,0,2,12,0,1,58,26,0,0,63,5,65,4,16,13,44,0,11,71
24,2009-01-01,4,23,26,3,63,1,0,2,14,0,1,62,26,0,0,72,2,68,4,12,13,51,0,11,70
25,2009-02-01,5,29,32,4,65,1,0,2,16,0,1,61,31,0,0,81,2,58,3,18,11,50,0,36,85
