,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,5,15,21,2,61,1,0,3,10,0,1,58,43,0,1,86,4,58,7,14,19,100,0,22,86
1,2007-02-01,3,11,19,6,57,1,0,1,11,0,2,56,31,0,1,78,3,60,4,13,22,94,0,28,100
2,2007-03-01,5,14,17,2,62,1,0,2,12,0,1,62,31,0,1,87,2,65,3,11,13,64,0,25,88
3,2007-04-01,4,12,19,3,60,1,0,3,11,0,2,63,35,0,3,82,1,63,2,18,12,78,0,30,91
4,2007-05-01,5,16,18,3,62,1,0,2,10,0,2,71,34,0,1,85,3,71,5,15,12,52,0,25,83
5,2007-06-01,5,14,18,3,64,1,0,4,13,0,1,66,31,0,1,91,4,73,4,13,15,48,0,34,81
6,2007-07-01,4,15,17,4,75,1,0,3,12,0,2,74,30,0,1,87,2,80,5,17,9,60,0,22,92
7,2007-08-01,5,15,21,2,63,1,0,2,11,0,2,75,33,0,1,100,3,80,3,16,12,77,0,29,82
8,2007-09-01,4,12,19,2,62,1,0,2,15,0,2,65,41,0,1,75,5,67,2,14,19,56,0,21,86
9,2007-10-01,4,14,20,3,57,1,0,3,16,0,2,58,42,0,1,85,2,72,3,16,25,64,0,27,83
10,2007-11-01,3,11,17,4,78,1,0,2,14,0,2,61,38,0,1,84,3,71,4,14,17,59,0,25,88
11,2007-12-01,4,14,18,2,57,1,0,2,12,0,2,59,31,0,0,71,2,68,3,7,7,91,0,20,74
12,2008-01-01,6,16,25,3,60,1,0,2,16,0,1,59,33,0,1,81,4,68,4,19,8,67,0,28,85
13,2008-02-01,4,15,22,2,63,1,0,3,14,0,2,60,36,0,2,94,4,62,3,13,20,66,0,30,88
14,2008-03-01,5,14,19,3,66,1,0,2,12,0,3,62,37,0,1,94,2,64,4,18,21,46,0,23,82
15,2008-04-01,4,15,22,4,69,1,0,3,15,0,2,66,40,0,1,87,2,76,3,16,14,63,0,12,94
16,2008-05-01,4,14,20,4,66,1,0,3,15,0,2,66,31,0,1,92,3,74,5,16,25,59,0,36,74
17,2008-06-01,5,18,24,3,73,2,0,3,12,0,1,79,29,0,1,97,3,83,4,17,22,34,0,14,74
18,2008-07-01,4,18,18,3,76,1,0,2,12,0,1,78,30,0,1,95,3,83,5,15,27,59,0,18,72
19,2008-08-01,4,19,24,2,69,1,0,3,13,0,1,67,30,0,1,96,4,68,5,16,18,61,0,27,76
20,2008-09-01,5,22,21,3,61,1,0,3,18,0,2,62,47,0,1,85,2,69,4,13,21,54,0,38,89
21,2008-10-01,3,19,22,4,61,1,0,2,16,0,2,64,40,0,1,87,3,61,5,11,18,46,0,36,82
22,2008-11-01,4,22,19,3,80,1,0,2,16,0,1,56,29,0,0,75,2,69,4,10,16,69,0,18,75
23,2008-12-01,4,28,22,4,62,1,0,2,14,0,2,68,30,0,1,72,2,64,3,10,12,83,0,23,80
24,2009-01-01,3,24,21,3,63,1,0,3,16,0,1,68,37,0,1,73,3,57,3,11,18,82,0,26,75
25,2009-02-01,4,21,24,3,65,1,0,2,18,0,2,66,39,0,1,84,2,60,4,13,29,63,0,25,90
26,2009-03-01,5,21,22,4,65,1,0,3,14,0,1,66,37,0,1,82,3,79,3,13,20,52,0,27,91
27,2009-04-01,5,20,20,3,69,1,0,2,17,0,2,69,36,0,0,84,3,66,5,13,23,56,0,31,88
28,2009-05-01,4,20,19,2,67,1,0,2,16,0,2,78,28,0,1,76,4,77,3,18,8,65,0,28,78
29,2009-06-01,2,26,20,2,78,1,0,2,10,0,1,84,31,0,1,99,3,91,4,16,12,63,0,27,73
30,2009-07-01,4,27,20,3,71,1,0,2,13,0,1,79,28,0,1,84,2,74,4,15,27,54,0,25,71
31,2009-08-01,4,34,22,3,65,1,0,2,15,0,1,83,31,0,1,74,3,85,4,15,17,65,0,37,69
32,2009-09-01,5,27,28,3,64,1,0,3,20,0,2,73,43,0,1,66,2,78,3,15,28,47,0,31,82
33,2009-10-01,4,30,22,2,64,2,0,2,18,0,2,70,39,0,1,88,4,68,2,15,23,39,0,19,87
34,2009-11-01,3,29,23,4,100,1,0,2,16,0,2,68,34,0,1,74,2,71,2,14,25,38,0,45,77
35,2009-12-01,3,30,22,4,63,1,0,2,15,0,2,64,32,0,0,73,2,62,2,9,28,38,0,22,75
36,2010-01-01,4,32,29,3,68,1,0,3,18,0,1,72,38,0,0,77,3,74,3,11,16,33,0,22,75
37,2010-02-01,5,31,25,4,64,1,0,2,20,0,3,68,43,0,0,70,3,60,4,15,5,31,0,24,89
38,2010-03-01,4,31,20,3,67,1,0,2,17,0,2,70,37,0,1,85,3,67,3,15,23,15,0,37,79
39,2010-04-01,4,34,23,4,71,1,0,3,20,0,2,76,36,0,1,77,4,67,3,17,26,37,0,22,83
40,2010-05-01,4,36,20,3,69,1,0,2,17,0,1,74,26,0,1,76,2,76,5,16,33,16,0,25,67
41,2010-06-01,5,46,24,4,72,1,0,3,13,0,1,79,32,0,1,86,2,94,5,21,39,29,0,23,72
42,2010-07-01,4,41,23,3,72,1,0,2,13,0,1,89,27,0,1,86,3,87,3,13,20,25,0,27,76
43,2010-08-01,4,34,25,3,74,1,0,2,17,0,1,87,31,0,1,88,1,76,2,15,25,18,0,32,69
44,2010-09-01,5,33,27,3,70,1,0,3,20,0,2,68,49,0,0,79,4,63,3,13,40,19,0,29,85
45,2010-10-01,5,32,22,3,62,1,0,2,17,0,2,69,32,0,1,77,3,71,3,17,27,28,0,24,80
46,2010-11-01,5,34,22,4,79,1,0,3,17,0,2,70,38,0,1,71,2,68,4,11,20,12,0,34,84
47,2010-12-01,3,35,20,2,60,1,0,2,16,0,2,72,29,0,0,73,1,61,5,14,20,33,0,25,76
48,2011-01-01,4,35,24,2,66,1,0,2,17,0,2,67,37,0,0,58,3,69,3,11,29,21,0,21,64
49,2011-02-01,4,32,21,2,68,1,0,2,16,0,2,71,44,0,0,60,2,67,3,13,24,26,0,25,70
50,2011-03-01,3,31,20,3,67,1,0,2,15,0,2,69,30,0,0,55,2,72,3,16,24,19,0,21,68
51,2011-04-01,4,30,19,3,70,1,0,2,16,0,2,72,35,0,1,59,2,74,4,15,28,22,0,24,70
52,2011-05-01,3,29,19,3,66,1,0,2,15,0,2,82,28,0,0,57,2,81,4,14,22,15,0,21,56
53,2011-06-01,3,39,17,2,69,1,0,2,13,0,1,90,30,0,0,64,2,82,4,16,21,21,0,21,64
54,2011-07-01,3,40,17,2,72,1,0,2,11,0,1,88,25,0,1,58,2,83,2,14,27,15,0,19,54
55,2011-08-01,3,43,21,2,67,0,0,2,15,0,1,85,31,0,0,55,2,78,4,15,19,17,0,20,62
56,2011-09-01,4,42,22,3,67,1,0,2,18,0,2,72,37,0,0,59,3,71,3,15,25,15,0,20,72
57,2011-10-01,3,37,19,3,62,1,0,2,15,0,2,74,37,0,0,56,3,74,3,12,20,9,0,27,76
58,2011-11-01,3,35,20,3,86,1,0,2,14,0,2,68,32,0,1,53,2,75,3,10,28,13,0,23,66
59,2011-12-01,3,38,16,2,64,1,0,2,13,0,2,68,26,0,1,45,2,70,2,11,23,16,0,21,62
60,2012-01-01,3,39,20,3,64,1,0,2,15,0,2,70,32,0,0,48,2,69,3,14,20,11,0,21,59
61,2012-02-01,3,34,19,2,68,1,0,2,17,0,3,67,37,0,1,50,2,72,2,14,25,8,0,22,67
62,2012-03-01,3,35,17,3,65,1,0,2,13,0,2,71,32,0,0,51,1,79,3,16,23,13,0,26,67
63,2012-04-01,4,34,16,3,66,1,0,2,14,0,2,69,33,0,0,53,3,77,3,15,25,10,0,21,69
64,2012-05-01,3,39,15,3,69,1,0,2,13,0,2,79,28,0,0,54,2,87,2,15,21,8,0,25,54
65,2012-06-01,3,42,16,2,69,0,0,2,11,0,1,80,25,0,0,58,2,82,3,14,28,4,0,22,58
66,2012-07-01,3,42,16,2,70,1,0,2,9,0,1,86,23,0,0,51,2,91,3,18,30,8,0,17,56
67,2012-08-01,3,40,23,3,66,1,0,2,14,0,2,77,30,0,0,52,2,85,3,17,24,6,0,26,67
