,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,14,22,4,44,1,0,2,13,0,2,60,41,0,2,81,8,66,6,12,9,89,0,16,84
1,2007-02-01,4,14,23,3,46,1,0,1,16,0,2,64,35,0,1,87,3,71,5,12,14,100,0,23,94
2,2007-03-01,5,12,24,3,45,1,0,2,13,0,3,66,33,0,0,68,4,64,5,16,13,82,0,13,100
3,2007-04-01,4,11,18,3,47,1,0,2,15,0,3,66,36,0,0,84,5,70,11,18,13,55,0,13,99
4,2007-05-01,3,15,21,3,45,1,0,1,15,0,2,71,32,0,0,80,3,70,6,19,10,53,0,16,75
5,2007-06-01,4,12,16,2,51,1,0,2,8,0,3,77,38,0,1,84,2,74,5,16,15,34,0,20,65
6,2007-07-01,3,15,21,3,58,1,0,2,10,0,2,81,28,0,0,75,3,77,6,21,14,54,0,24,72
7,2007-08-01,3,15,26,3,52,1,0,1,14,0,1,70,42,0,1,75,4,60,5,20,9,47,0,16,74
8,2007-09-01,6,13,25,2,50,1,0,1,17,0,3,65,39,0,1,81,2,70,5,11,9,30,0,16,86
9,2007-10-01,7,15,22,4,44,1,0,2,14,0,3,59,33,0,1,89,5,76,5,13,16,45,0,6,79
10,2007-11-01,4,15,22,4,63,1,0,2,15,0,2,60,27,0,1,68,4,68,7,12,12,45,0,8,71
11,2007-12-01,3,14,22,2,44,0,0,1,15,0,2,64,23,0,0,59,2,62,3,13,11,48,0,13,69
12,2008-01-01,4,17,24,1,45,1,0,2,15,0,2,60,38,0,0,76,3,83,7,9,12,61,0,21,74
13,2008-02-01,4,14,24,2,48,1,0,1,16,0,2,60,33,0,1,73,3,73,4,11,15,44,0,14,72
14,2008-03-01,5,15,22,3,52,1,0,2,16,0,2,60,34,0,1,89,5,70,5,12,14,62,0,10,78
15,2008-04-01,5,16,18,3,47,1,0,2,16,0,4,66,36,0,1,100,4,69,5,17,10,33,0,21,78
16,2008-05-01,4,15,21,2,49,1,0,1,11,0,2,63,24,0,0,92,2,66,8,15,11,40,0,21,73
17,2008-06-01,5,23,20,3,58,1,0,1,10,0,1,75,33,0,0,99,3,79,6,19,7,33,0,26,69
18,2008-07-01,3,22,20,2,58,1,0,2,11,0,2,76,26,0,1,89,2,82,8,15,17,55,0,15,76
19,2008-08-01,5,19,27,2,54,1,0,1,15,0,3,66,38,0,0,84,4,67,4,12,15,65,0,17,85
20,2008-09-01,4,22,24,3,54,1,0,1,23,0,2,62,43,0,2,91,4,74,4,19,12,43,0,14,73
21,2008-10-01,5,20,24,3,51,1,0,2,19,0,3,55,38,0,1,86,3,74,2,15,21,37,0,19,77
22,2008-11-01,4,22,23,2,72,1,0,1,14,0,3,60,27,0,2,72,1,65,5,14,17,38,0,13,73
23,2008-12-01,4,25,24,2,52,1,0,1,14,0,1,62,29,0,0,85,5,52,5,11,12,39,0,20,67
24,2009-01-01,3,30,27,2,54,1,0,2,14,0,3,64,37,0,1,72,3,79,4,9,18,60,0,22,64
25,2009-02-01,4,30,22,2,54,1,0,1,17,0,2,67,45,0,2,86,3,60,4,16,20,49,0,14,77
26,2009-03-01,5,22,24,5,52,1,0,2,16,0,2,67,41,0,1,77,2,71,4,14,18,45,0,18,79
27,2009-04-01,3,24,21,2,55,1,0,1,14,0,3,71,31,0,1,94,3,76,7,16,17,27,0,15,75
28,2009-05-01,4,27,22,3,51,1,0,1,14,0,2,72,34,0,1,84,3,67,3,19,14,43,0,16,66
29,2009-06-01,5,31,17,2,57,1,0,1,12,0,1,86,32,0,1,92,2,83,6,18,11,46,0,20,63
30,2009-07-01,4,26,21,3,62,1,0,1,12,0,2,87,35,0,0,93,2,84,6,16,9,30,0,25,68
31,2009-08-01,5,31,26,3,56,1,0,2,16,0,1,80,44,0,1,87,4,80,3,17,19,34,0,29,71
32,2009-09-01,4,32,27,2,54,0,0,1,20,0,3,73,41,0,1,96,2,78,6,16,22,50,0,17,79
33,2009-10-01,6,29,26,2,54,1,0,2,18,0,2,68,36,0,0,87,3,73,5,16,13,40,0,18,77
34,2009-11-01,4,31,29,2,100,1,0,2,17,0,2,71,35,0,1,82,2,81,5,15,21,16,0,16,63
35,2009-12-01,3,36,24,1,55,0,0,1,16,0,2,72,26,0,1,77,3,71,5,13,24,21,0,16,54
36,2010-01-01,4,36,29,2,57,1,0,1,18,0,2,67,41,0,1,81,3,78,6,17,10,22,0,17,64
37,2010-02-01,4,34,25,2,59,1,0,1,20,0,2,74,40,0,1,83,2,67,4,16,10,11,0,16,72
38,2010-03-01,5,35,28,2,59,1,0,1,18,0,2,68,37,0,1,88,4,76,3,17,23,36,0,23,76
39,2010-04-01,4,33,24,2,56,1,0,2,18,0,4,75,32,0,1,86,1,76,6,19,19,20,0,14,69
40,2010-05-01,3,36,25,2,57,1,0,2,16,0,3,76,28,0,2,77,3,84,6,14,15,16,0,19,60
41,2010-06-01,5,41,28,3,57,0,0,2,14,0,1,90,32,0,1,92,4,98,6,20,19,11,0,10,62
42,2010-07-01,3,38,23,2,62,0,0,1,12,0,1,89,27,0,1,86,3,76,6,17,10,16,0,24,61
43,2010-08-01,4,37,29,2,59,1,0,1,18,0,2,81,37,0,2,89,4,70,4,15,18,34,0,15,64
44,2010-09-01,6,36,32,2,59,1,0,1,22,0,2,79,50,0,1,80,3,81,5,18,16,19,0,14,71
45,2010-10-01,5,33,27,2,50,0,0,1,20,0,2,64,42,0,1,74,2,75,4,14,16,20,0,15,73
46,2010-11-01,5,32,27,3,73,1,0,2,19,0,3,67,31,0,1,69,2,75,3,16,15,14,0,12,64
47,2010-12-01,3,38,24,2,57,1,0,1,15,0,1,68,32,0,1,71,2,59,3,11,14,14,0,22,60
48,2011-01-01,4,35,29,2,60,1,0,1,18,0,2,69,35,0,1,58,3,72,4,13,17,22,0,16,55
49,2011-02-01,4,36,24,2,64,0,0,1,19,0,2,72,39,0,1,66,3,68,2,19,11,14,0,9,59
50,2011-03-01,5,33,24,2,61,1,0,1,16,0,3,72,35,0,1,62,3,74,4,17,24,10,0,13,65
51,2011-04-01,4,36,19,2,60,1,0,2,14,0,2,79,35,0,0,57,2,76,5,16,20,10,0,11,66
52,2011-05-01,3,35,19,2,59,1,0,1,14,0,3,85,29,0,1,59,2,79,4,16,13,13,0,11,54
53,2011-06-01,4,41,21,3,65,0,0,1,11,0,2,90,25,0,1,77,2,84,4,17,10,9,0,16,63
54,2011-07-01,3,40,18,2,65,1,0,2,14,0,1,86,27,0,1,65,4,86,6,15,12,12,0,19,49
55,2011-08-01,4,44,27,3,63,1,0,1,18,0,2,82,33,0,1,63,2,78,3,18,15,11,0,14,61
56,2011-09-01,4,42,25,2,59,1,0,1,22,0,2,78,38,0,1,55,2,67,4,15,20,7,0,13,69
57,2011-10-01,4,41,20,2,57,1,0,2,14,0,2,77,38,0,2,57,2,71,3,14,19,19,0,16,63
58,2011-11-01,3,44,19,2,75,0,0,1,13,0,2,69,28,0,1,44,2,76,4,14,16,5,0,10,52
59,2011-12-01,2,52,17,1,52,0,0,1,9,0,1,69,22,0,0,32,1,67,1,11,9,8,0,6,40
60,2012-01-01,3,50,20,2,56,0,0,1,13,0,1,71,30,0,1,49,1,69,4,15,13,7,0,12,45
61,2012-02-01,3,45,20,2,62,1,0,1,14,0,2,71,34,0,1,53,2,72,2,16,17,7,0,18,52
62,2012-03-01,3,35,20,2,58,0,0,2,14,0,3,73,28,0,1,64,1,73,2,15,22,4,0,11,60
63,2012-04-01,4,38,18,3,58,1,0,1,13,0,3,80,35,0,1,62,3,78,3,18,19,4,0,9,54
64,2012-05-01,2,46,14,2,62,0,0,1,11,0,2,87,24,0,1,58,1,79,2,14,13,5,0,11,49
65,2012-06-01,3,43,12,2,60,0,0,1,9,0,1,82,24,0,1,60,2,82,3,18,12,9,0,14,46
66,2012-07-01,4,47,16,2,62,1,0,1,8,0,1,84,23,0,2,59,2,85,3,16,21,9,0,12,51
67,2012-08-01,2,42,25,2,60,1,0,1,14,0,2,79,32,0,1,67,2,81,4,14,23,6,0,11,58
