,date,microsoft word,customer contact,microsoft powerpoint,repair,software development,cleaning,data entry,inspection
0,2007-01-01,15,0,4,55,3,65,5,32
1,2007-02-01,13,0,2,57,3,65,8,27
2,2007-03-01,11,0,2,56,3,75,6,28
3,2007-04-01,14,0,3,59,5,72,8,31
4,2007-05-01,14,0,3,62,3,76,6,25
5,2007-06-01,12,0,2,64,7,82,5,27
6,2007-07-01,10,0,1,58,3,88,4,34
7,2007-08-01,15,0,1,67,4,76,4,27
8,2007-09-01,19,0,2,59,2,74,4,26
9,2007-10-01,14,0,3,55,4,75,6,22
10,2007-11-01,14,0,2,51,3,73,4,20
11,2007-12-01,13,0,2,59,2,79,5,26
12,2008-01-01,13,0,3,58,2,80,4,27
13,2008-02-01,16,0,3,55,3,70,4,23
14,2008-03-01,13,0,2,63,0,89,5,32
15,2008-04-01,17,0,4,60,2,73,4,29
16,2008-05-01,14,0,2,66,4,77,3,24
17,2008-06-01,12,0,1,65,3,87,4,35
18,2008-07-01,10,0,1,66,4,83,6,31
19,2008-08-01,15,0,2,60,3,70,7,30
20,2008-09-01,18,0,3,62,4,67,6,29
21,2008-10-01,17,0,3,55,5,71,6,28
22,2008-11-01,15,0,3,60,4,75,4,27
23,2008-12-01,14,0,2,66,1,75,3,24
24,2009-01-01,15,0,2,70,6,74,4,33
25,2009-02-01,17,0,4,57,2,62,5,23
26,2009-03-01,15,0,2,62,2,68,5,25
27,2009-04-01,15,0,4,68,2,69,3,23
28,2009-05-01,15,0,3,71,3,76,5,33
29,2009-06-01,13,0,2,74,5,83,7,35
30,2009-07-01,11,0,1,77,2,88,5,37
31,2009-08-01,18,0,2,77,3,80,5,36
32,2009-09-01,20,0,2,69,3,82,5,27
33,2009-10-01,20,0,3,67,3,71,4,27
34,2009-11-01,18,0,5,66,2,60,2,22
35,2009-12-01,14,0,2,67,2,70,5,23
36,2010-01-01,20,0,2,68,2,75,3,33
37,2010-02-01,17,0,2,69,3,58,4,31
38,2010-03-01,23,0,2,66,3,83,7,40
39,2010-04-01,19,0,2,73,2,79,4,36
40,2010-05-01,18,0,3,73,4,89,5,32
41,2010-06-01,15,0,1,89,2,92,7,34
42,2010-07-01,15,0,1,79,4,92,4,29
43,2010-08-01,17,0,2,85,4,81,4,31
44,2010-09-01,22,0,2,70,3,76,3,30
45,2010-10-01,14,0,2,66,3,69,4,28
46,2010-11-01,16,0,3,64,2,69,3,31
47,2010-12-01,16,0,2,74,3,66,4,23
48,2011-01-01,18,0,2,69,2,72,4,28
49,2011-02-01,21,0,3,65,3,73,5,32
50,2011-03-01,16,0,2,69,1,76,4,34
51,2011-04-01,16,0,3,71,2,72,4,37
52,2011-05-01,14,0,2,71,2,75,4,33
53,2011-06-01,14,0,1,88,2,84,4,33
54,2011-07-01,11,0,1,82,1,80,3,33
55,2011-08-01,16,0,2,82,2,87,5,34
56,2011-09-01,19,0,2,72,2,77,6,25
57,2011-10-01,18,0,3,70,3,72,4,30
58,2011-11-01,16,0,3,65,2,73,3,26
59,2011-12-01,14,0,3,68,2,77,2,22
60,2012-01-01,16,0,2,65,2,77,3,26
61,2012-02-01,13,0,2,68,1,70,2,29
62,2012-03-01,12,0,2,68,2,72,3,32
63,2012-04-01,12,0,3,73,2,77,2,29
64,2012-05-01,11,0,2,79,2,90,3,33
65,2012-06-01,9,0,1,84,2,85,3,31
66,2012-07-01,6,0,0,78,1,80,3,27
