,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,2,12,16,2,63,1,0,5,12,0,2,74,36,0,1,76,4,67,3,31,43,0,0,54,88
1,2007-02-01,3,11,16,2,51,1,0,5,15,0,3,70,35,0,2,77,4,58,3,22,34,0,0,56,100
2,2007-03-01,3,11,17,2,56,1,0,4,12,0,1,72,32,0,1,79,3,63,3,27,41,0,0,65,96
3,2007-04-01,4,10,15,2,57,1,0,3,13,0,2,76,31,0,1,91,4,78,5,28,34,0,0,100,94
4,2007-05-01,3,13,13,2,57,1,0,4,15,0,2,76,31,0,0,90,5,81,5,34,48,0,0,61,93
5,2007-06-01,3,15,12,2,61,1,0,5,12,0,1,81,27,0,1,91,4,75,3,38,28,0,0,59,90
6,2007-07-01,3,13,14,3,68,1,0,4,10,0,1,82,29,0,1,87,5,76,4,34,26,0,0,55,90
7,2007-08-01,3,12,15,3,62,1,0,4,12,0,0,83,30,0,1,97,5,77,4,37,25,0,0,52,88
8,2007-09-01,2,12,17,2,59,1,0,4,19,0,2,71,41,0,1,80,3,64,4,32,49,0,0,31,92
9,2007-10-01,3,15,13,3,59,1,0,5,18,0,2,72,33,0,1,88,4,75,3,30,31,0,0,53,99
10,2007-11-01,3,14,13,3,90,1,0,4,15,0,2,68,31,0,0,79,4,66,5,26,51,0,0,74,88
11,2007-12-01,3,12,14,2,58,1,0,3,14,0,2,73,28,0,1,77,6,66,3,22,30,0,0,41,83
12,2008-01-01,3,14,18,2,65,1,0,4,17,0,2,72,31,0,0,96,5,76,5,27,40,0,0,77,76
13,2008-02-01,3,13,16,2,61,1,0,4,17,0,2,70,33,0,1,88,5,65,3,29,45,0,0,37,92
14,2008-03-01,3,12,18,2,59,0,0,5,15,0,2,72,35,0,0,93,5,73,6,28,42,0,0,42,89
15,2008-04-01,2,13,14,3,63,1,0,4,16,0,3,70,36,0,1,94,4,77,4,26,38,0,0,38,96
16,2008-05-01,2,12,15,2,57,1,0,4,15,0,2,75,33,0,0,93,6,79,3,29,42,0,0,63,86
17,2008-06-01,3,15,14,2,63,1,0,5,13,0,1,83,30,0,0,100,4,69,5,30,34,0,0,46,82
18,2008-07-01,3,17,16,2,65,1,0,4,12,0,1,85,28,0,1,89,4,75,3,32,34,0,0,64,83
19,2008-08-01,3,17,15,3,61,1,0,4,16,0,1,77,32,0,0,94,5,76,6,31,37,0,0,74,76
20,2008-09-01,3,21,19,2,59,1,0,4,21,0,2,76,41,0,1,86,5,73,5,31,36,0,0,47,89
21,2008-10-01,4,18,17,2,58,1,0,4,18,0,2,72,40,0,1,95,5,73,5,29,34,0,0,53,93
22,2008-11-01,3,18,18,3,80,1,0,4,16,0,3,77,34,0,1,83,4,71,4,26,32,0,0,45,86
23,2008-12-01,3,24,17,2,67,1,0,4,15,0,2,74,29,0,1,85,2,65,3,27,29,0,0,60,76
24,2009-01-01,3,24,16,2,56,1,0,3,17,0,2,77,34,0,1,88,4,68,4,31,55,0,0,68,74
25,2009-02-01,3,23,20,2,62,1,0,4,17,0,2,74,34,0,0,94,4,69,5,28,44,0,0,68,94
26,2009-03-01,3,22,18,3,60,1,0,4,17,0,2,77,38,0,1,96,4,79,4,33,47,0,0,63,89
27,2009-04-01,3,20,17,2,56,1,0,4,18,0,2,76,34,0,2,93,5,69,2,30,43,0,0,46,93
28,2009-05-01,3,24,14,2,62,1,0,4,16,0,3,91,33,0,1,85,4,78,2,31,47,0,0,74,79
29,2009-06-01,3,28,15,2,64,1,0,6,15,0,1,94,31,0,1,94,3,81,3,40,45,0,0,68,82
30,2009-07-01,2,28,16,3,63,1,0,5,14,0,1,94,28,0,1,86,4,80,5,38,38,0,0,58,77
31,2009-08-01,2,29,18,2,62,1,0,4,13,0,2,98,28,0,0,89,4,79,4,32,65,0,0,60,76
32,2009-09-01,3,29,19,2,60,1,0,6,22,0,2,83,38,0,0,89,4,81,5,33,49,0,0,74,85
33,2009-10-01,3,27,19,3,57,1,0,6,23,0,2,81,40,0,1,86,5,79,3,34,63,0,0,61,85
34,2009-11-01,4,29,18,2,100,1,0,5,20,0,3,80,38,0,0,84,5,78,5,27,61,0,0,44,87
35,2009-12-01,2,30,18,2,62,1,0,4,19,0,2,76,29,0,0,82,4,74,2,27,40,0,0,35,72
36,2010-01-01,4,32,19,2,56,1,0,4,20,0,1,82,35,0,1,82,4,78,4,31,52,0,0,54,73
37,2010-02-01,3,29,19,2,54,1,0,5,22,0,2,78,34,0,1,83,4,67,4,26,42,0,0,28,74
38,2010-03-01,3,32,17,3,63,1,0,5,23,0,2,84,40,0,1,96,6,78,4,32,82,0,0,59,86
39,2010-04-01,3,31,18,3,60,1,0,5,20,0,3,92,38,0,0,93,4,77,4,33,86,0,0,51,91
40,2010-05-01,2,32,17,2,59,1,0,5,20,0,2,82,32,0,0,90,5,81,3,36,60,0,0,44,73
41,2010-06-01,4,39,17,2,60,1,0,4,17,0,2,92,32,0,0,88,4,85,4,32,70,0,0,65,74
42,2010-07-01,2,37,17,2,62,1,0,5,16,0,2,98,27,0,1,81,4,82,5,39,76,0,0,80,71
43,2010-08-01,3,38,20,2,61,1,0,5,15,0,1,93,28,0,0,91,5,82,3,38,59,0,0,73,73
44,2010-09-01,3,33,25,3,60,1,0,5,23,0,3,85,37,0,1,78,3,76,4,33,67,0,0,48,76
45,2010-10-01,3,32,19,3,53,1,0,5,23,0,2,76,37,0,1,85,4,69,4,32,54,0,0,44,82
46,2010-11-01,3,34,20,3,76,1,0,4,21,0,2,77,33,0,0,85,4,72,2,30,78,0,0,53,80
47,2010-12-01,3,36,16,3,56,1,0,3,20,0,2,77,30,0,1,78,3,69,4,27,70,0,0,47,74
48,2011-01-01,2,38,17,2,53,0,0,4,17,0,2,81,30,0,1,65,3,73,4,27,43,0,0,53,59
49,2011-02-01,3,34,17,2,57,1,0,4,20,0,2,81,38,0,1,69,4,67,3,28,68,0,0,47,68
50,2011-03-01,2,29,17,2,57,1,0,4,17,0,2,84,35,0,1,73,3,76,3,30,75,0,0,53,73
51,2011-04-01,2,32,15,2,55,1,0,4,16,0,2,86,31,0,1,70,5,75,4,28,50,0,0,61,73
52,2011-05-01,2,33,15,3,56,1,0,4,16,0,2,87,31,0,1,68,4,80,3,32,46,0,0,43,68
53,2011-06-01,2,41,13,2,57,1,0,4,15,0,2,95,30,0,0,73,4,77,3,31,52,0,0,45,69
54,2011-07-01,2,43,15,3,60,1,0,4,14,0,1,96,29,0,1,69,4,79,3,29,53,0,0,41,66
55,2011-08-01,2,44,15,3,57,1,0,4,15,0,1,89,27,0,0,66,4,76,4,30,49,0,0,33,60
56,2011-09-01,3,43,17,2,57,1,0,4,20,0,3,88,35,0,0,60,3,75,4,27,48,0,0,47,69
57,2011-10-01,2,39,16,3,54,1,0,4,18,0,2,80,32,0,0,60,3,76,3,27,64,0,0,52,72
58,2011-11-01,2,36,16,3,73,1,0,4,17,0,2,79,30,0,0,55,4,71,4,27,50,0,0,47,70
59,2011-12-01,1,42,15,2,53,1,0,3,16,0,2,80,24,0,0,52,3,71,3,22,45,0,0,37,58
60,2012-01-01,2,41,14,2,53,1,0,3,15,0,2,78,30,0,0,54,3,68,3,27,60,0,0,41,55
61,2012-02-01,2,38,15,2,57,1,0,4,18,0,2,72,34,0,0,58,4,70,3,28,49,0,0,39,70
62,2012-03-01,2,37,14,3,57,1,0,4,16,0,2,76,33,0,0,64,3,79,2,30,53,0,0,47,69
63,2012-04-01,2,36,13,3,54,1,0,4,15,0,2,79,30,0,1,64,4,78,3,29,62,0,0,53,76
64,2012-05-01,2,39,12,3,58,1,0,4,15,0,3,86,30,0,1,61,4,81,3,31,57,0,0,39,65
65,2012-06-01,3,41,12,2,56,1,0,4,13,0,1,91,26,0,1,66,4,85,4,36,61,0,0,49,67
66,2012-07-01,2,43,14,3,57,1,0,4,13,0,1,100,26,0,1,65,3,100,3,31,63,0,0,39,68
67,2012-08-01,2,41,15,3,58,1,0,4,14,0,2,87,30,0,0,69,4,79,4,32,56,0,0,45,70
68,2012-09-01,3,40,16,2,52,1,0,4,20,0,2,81,35,0,0,60,3,79,3,30,78,0,0,54,76
69,2012-10-01,2,42,14,3,51,1,0,5,19,0,2,81,32,0,1,62,4,74,3,28,76,0,0,50,78
70,2012-11-01,2,47,12,3,67,1,0,3,15,0,2,77,27,0,0,46,3,71,3,24,54,0,0,36,61
71,2012-12-01,2,51,11,3,49,1,0,3,13,0,1,72,22,0,0,40,3,66,2,23,56,0,0,32,48
72,2013-01-01,2,48,12,2,51,1,0,3,13,0,1,72,25,0,0,45,3,73,3,26,57,0,0,35,70
73,2013-02-01,2,43,14,2,54,1,0,4,17,0,1,72,32,0,0,51,3,67,3,27,66,0,0,41,76
74,2013-03-01,2,40,13,3,53,1,0,4,15,0,2,74,30,0,1,56,3,71,3,28,51,0,0,47,70
75,2013-04-01,2,41,14,3,56,1,0,4,16,0,2,82,29,0,0,64,3,73,2,31,69,0,0,50,79
76,2013-05-01,2,47,11,3,54,1,0,3,14,0,2,83,26,0,1,53,3,77,3,31,64,0,0,43,62
77,2013-06-01,2,52,10,2,55,1,0,3,9,0,1,88,22,0,0,50,3,82,3,34,52,0,0,54,53
78,2013-07-01,2,44,12,3,57,1,0,4,12,0,1,94,25,0,0,60,3,85,3,35,65,0,0,46,62
79,2013-08-01,2,48,14,3,60,1,0,3,13,0,1,87,27,0,1,57,3,83,3,35,49,0,0,44,59
80,2013-09-01,2,45,16,3,54,1,0,4,18,0,1,86,38,0,0,56,4,79,3,31,66,0,0,56,71
81,2013-10-01,2,44,15,3,55,1,0,5,19,0,2,81,33,0,1,63,4,82,4,32,77,0,0,46,86
82,2013-11-01,2,43,15,3,67,1,0,3,16,0,2,82,30,0,0,57,3,81,3,28,52,0,0,50,76
83,2013-12-01,2,53,13,2,53,1,0,3,14,0,1,79,23,0,0,47,3,67,2,25,56,0,0,41,58
84,2014-01-01,2,49,14,3,51,1,0,4,14,0,1,80,29,0,1,54,3,71,4,28,55,0,0,49,69
85,2014-02-01,2,49,15,3,53,1,0,4,15,0,1,78,34,0,0,58,4,72,3,30,75,0,0,53,80
86,2014-03-01,2,46,16,3,53,1,0,4,15,0,2,76,31,0,1,57,3,74,2,34,71,0,0,47,71
87,2014-04-01,2,47,13,3,54,1,0,4,14,0,1,86,35,0,1,63,5,82,2,33,67,0,0,48,78
88,2014-05-01,2,47,13,3,54,1,0,4,14,0,2,96,26,0,1,58,3,83,3,35,57,0,0,54,66
