,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,11,26,4,60,1,0,1,14,0,0,61,24,0,0,100,3,71,6,30,0,59,0,46,64
1,2007-02-01,3,15,31,4,52,1,0,2,7,0,0,56,44,0,0,80,4,65,5,26,0,100,0,20,83
2,2007-03-01,3,14,16,3,58,1,0,2,10,0,0,50,45,0,0,71,3,52,3,18,0,86,0,22,76
3,2007-04-01,2,9,21,4,64,2,0,1,13,0,0,62,40,0,0,54,0,72,6,23,0,62,0,36,71
4,2007-05-01,5,15,15,5,74,2,0,2,10,0,0,60,25,0,0,78,3,80,7,24,0,43,0,45,75
5,2007-06-01,6,20,24,5,64,1,0,2,9,0,0,61,39,0,0,78,11,65,7,31,0,67,0,47,68
6,2007-07-01,2,15,18,3,76,1,0,2,11,0,0,74,26,0,0,92,0,75,7,22,0,43,0,19,71
7,2007-08-01,5,20,17,3,66,0,0,4,14,0,0,74,31,0,0,65,3,63,5,31,0,46,0,46,72
8,2007-09-01,4,15,25,5,53,1,0,3,12,0,0,57,45,0,0,86,6,86,6,28,0,39,0,32,84
9,2007-10-01,4,16,28,6,59,1,0,2,14,0,0,67,41,0,0,74,5,80,5,18,0,73,0,31,97
10,2007-11-01,8,16,15,5,72,1,0,3,16,0,0,59,32,0,0,65,8,75,5,13,0,72,0,44,69
11,2007-12-01,7,17,18,2,46,1,0,1,13,0,0,53,27,0,0,66,6,61,3,27,0,28,0,27,61
12,2008-01-01,5,20,26,2,66,2,0,3,12,0,0,74,40,0,0,75,3,65,5,23,0,67,0,36,69
13,2008-02-01,9,13,24,5,60,1,0,2,12,0,0,59,41,0,0,70,3,68,3,28,0,32,0,25,73
14,2008-03-01,6,17,20,2,66,1,0,3,11,0,0,50,34,0,0,62,4,73,8,19,0,44,0,54,63
15,2008-04-01,4,20,19,3,71,1,0,2,15,0,0,62,34,0,0,62,0,65,5,17,0,30,0,15,82
16,2008-05-01,3,17,19,3,56,2,0,2,9,0,0,67,30,0,0,82,2,66,4,23,0,49,0,20,50
17,2008-06-01,2,18,16,3,72,1,0,2,11,0,0,73,38,0,0,58,6,78,3,20,0,33,0,41,66
18,2008-07-01,3,29,22,4,75,2,0,2,7,0,0,80,28,0,0,83,8,83,4,37,0,38,0,22,56
19,2008-08-01,2,20,19,3,72,1,0,2,8,0,0,71,34,0,0,64,4,87,8,30,0,53,0,15,74
20,2008-09-01,7,25,35,4,62,1,0,2,16,0,0,61,43,0,0,70,4,87,3,26,0,79,0,14,76
21,2008-10-01,7,22,24,3,54,1,0,2,13,0,0,67,38,0,0,70,2,74,4,20,0,75,0,14,77
22,2008-11-01,4,24,25,4,80,0,0,3,10,0,0,63,42,0,0,60,3,63,3,20,0,43,0,38,65
23,2008-12-01,4,30,27,2,67,1,0,2,11,0,0,67,33,0,0,57,3,55,3,15,0,28,0,18,61
24,2009-01-01,5,26,22,2,59,2,0,2,11,0,0,68,30,0,0,64,6,82,2,14,0,73,0,20,52
25,2009-02-01,5,25,25,6,62,1,0,3,15,0,0,59,40,0,0,85,2,64,6,26,0,47,0,28,66
26,2009-03-01,5,19,24,1,66,2,0,2,13,0,0,64,45,0,0,78,5,65,4,22,0,29,0,16,68
27,2009-04-01,6,26,24,4,65,1,0,2,10,0,0,74,40,0,0,54,4,90,5,25,0,62,0,27,67
28,2009-05-01,7,25,19,2,66,1,0,1,9,0,0,70,40,0,0,61,2,83,4,28,0,45,0,40,65
