,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,13,25,4,54,1,0,3,12,0,2,51,45,0,0,74,3,67,5,11,16,92,0,12,100
1,2007-02-01,5,14,26,3,57,1,0,3,10,1,2,47,43,0,0,90,3,66,4,11,14,100,0,17,99
2,2007-03-01,3,14,19,3,55,1,0,2,10,1,1,50,43,0,0,86,3,68,3,13,13,58,0,24,93
3,2007-04-01,4,13,20,3,55,1,0,3,10,0,2,54,47,0,0,78,4,78,3,11,17,60,0,27,100
4,2007-05-01,4,15,20,3,59,1,0,3,10,0,2,60,38,0,0,92,4,82,4,15,8,45,0,21,89
5,2007-06-01,3,14,19,3,63,1,0,3,9,0,1,60,37,0,0,96,3,77,6,13,13,56,0,23,91
6,2007-07-01,3,14,18,2,61,1,0,2,7,0,1,64,36,0,0,97,5,76,4,15,13,54,0,22,83
7,2007-08-01,3,15,22,3,58,0,0,2,8,0,1,60,41,0,0,100,2,83,3,14,8,59,0,22,88
8,2007-09-01,4,14,24,3,62,1,0,3,14,0,2,57,44,0,0,80,3,80,4,13,20,52,0,19,93
9,2007-10-01,4,17,22,4,57,1,0,2,11,0,1,55,45,0,0,93,3,71,3,13,18,50,0,22,98
10,2007-11-01,4,12,20,3,77,1,0,2,11,0,2,49,41,0,0,83,2,75,3,13,18,52,0,25,92
11,2007-12-01,2,12,19,2,51,1,0,2,10,1,1,50,35,0,0,75,1,65,3,10,8,62,0,16,83
12,2008-01-01,5,17,23,3,55,1,0,3,12,1,1,52,44,0,0,84,3,73,3,13,19,50,0,19,80
13,2008-02-01,4,14,22,3,57,1,0,2,11,0,1,52,44,0,0,84,3,59,4,12,17,61,0,25,89
14,2008-03-01,5,14,22,3,64,1,0,3,11,0,2,53,38,0,0,93,2,71,4,13,14,58,0,20,90
15,2008-04-01,4,17,22,3,60,1,0,3,11,0,1,57,44,0,0,90,3,79,4,13,16,49,0,20,85
16,2008-05-01,4,14,20,2,58,1,0,3,11,0,1,59,37,0,0,91,3,79,4,14,17,31,0,22,78
17,2008-06-01,3,18,20,4,64,0,0,3,9,0,2,65,33,0,0,95,4,89,3,14,15,40,0,19,79
18,2008-07-01,4,21,19,2,63,1,0,3,9,0,1,66,33,0,0,87,2,91,2,19,11,43,0,22,80
19,2008-08-01,4,21,23,2,58,1,0,2,10,0,1,60,40,0,0,88,2,80,4,15,14,50,0,26,76
20,2008-09-01,5,22,26,4,56,1,0,3,14,1,2,55,50,0,0,85,3,79,3,12,23,58,0,25,84
