,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,6,17,27,5,63,1,0,4,12,0,2,60,27,0,0,86,5,69,4,19,8,76,0,19,88
1,2007-02-01,7,19,25,5,63,1,0,4,13,0,2,65,24,0,0,85,5,63,4,12,8,100,0,30,99
2,2007-03-01,6,20,25,4,61,1,0,3,11,0,1,67,22,0,0,85,3,67,3,16,12,65,0,29,97
3,2007-04-01,5,18,24,4,71,1,0,3,12,0,2,72,22,0,0,80,3,83,4,12,8,69,0,23,98
4,2007-05-01,5,21,22,4,68,1,0,3,12,0,2,79,23,0,0,88,4,80,5,13,5,36,0,21,100
5,2007-06-01,6,22,20,3,66,1,0,4,9,0,1,78,21,0,0,100,4,84,7,16,9,45,0,21,97
6,2007-07-01,4,23,22,4,68,1,0,4,9,0,1,81,22,0,0,91,5,80,5,15,11,66,0,17,86
7,2007-08-01,7,19,28,4,66,1,0,3,10,0,1,81,24,0,0,91,6,93,6,18,10,42,0,17,87
8,2007-09-01,6,22,27,4,64,1,0,5,12,0,1,67,27,0,0,82,3,77,5,16,7,66,0,22,92
9,2007-10-01,5,22,26,4,63,1,0,3,13,0,1,65,25,0,0,84,2,72,5,16,15,67,0,24,93
10,2007-11-01,5,17,26,4,77,1,0,3,12,0,2,61,23,0,0,83,5,78,3,13,8,62,0,28,89
11,2007-12-01,4,17,25,4,57,1,0,2,13,0,2,69,21,0,0,74,3,69,3,12,7,43,0,10,74
12,2008-01-01,5,21,27,4,59,1,0,4,11,0,2,64,27,0,0,88,6,73,5,10,8,55,0,27,78
13,2008-02-01,5,24,27,4,61,1,0,4,11,0,1,60,25,0,0,83,6,62,5,13,10,57,0,25,87
14,2008-03-01,4,22,24,4,63,1,0,3,11,0,1,66,23,0,0,82,4,67,5,18,18,50,0,27,81
15,2008-04-01,6,19,23,4,67,1,0,4,12,0,2,68,24,0,0,88,4,80,7,17,9,42,0,26,88
16,2008-05-01,5,22,22,4,69,0,0,3,11,0,1,76,23,0,0,87,3,75,2,19,9,31,0,22,81
17,2008-06-01,5,25,25,3,67,1,0,3,10,0,1,85,22,0,0,91,4,89,4,20,16,42,0,19,85
18,2008-07-01,5,29,24,4,68,1,0,3,10,0,1,77,22,0,0,96,3,76,5,18,11,43,0,31,76
19,2008-08-01,5,31,28,4,66,1,0,3,9,0,1,77,23,0,0,89,5,85,2,16,17,44,0,21,78
20,2008-09-01,6,32,32,3,62,1,0,4,15,0,2,68,27,0,0,84,3,78,4,16,18,33,0,26,80
21,2008-10-01,6,34,28,5,61,1,0,3,13,0,1,64,27,0,0,87,3,69,4,13,18,52,0,13,81
22,2008-11-01,4,34,25,4,73,1,0,2,14,0,1,70,23,0,0,80,4,71,4,13,14,53,0,19,72
23,2008-12-01,4,38,25,3,61,1,0,2,12,0,2,74,22,0,0,76,2,62,3,13,10,46,0,23,73
24,2009-01-01,5,38,30,3,65,1,0,4,12,0,1,80,26,0,0,73,4,70,5,17,8,52,0,18,74
25,2009-02-01,5,35,28,4,67,1,0,3,14,0,1,70,27,0,0,86,3,70,7,16,12,47,0,18,82
26,2009-03-01,5,36,27,4,66,1,0,3,14,0,1,73,27,0,0,87,3,78,5,15,13,49,0,24,82
27,2009-04-01,5,34,26,3,68,1,0,3,13,0,2,75,24,0,0,83,4,84,4,17,14,45,0,15,78
28,2009-05-01,4,39,27,4,71,1,0,2,10,0,2,86,20,0,0,81,3,84,3,18,11,37,0,19,79
29,2009-06-01,4,45,26,3,74,1,0,3,11,0,1,91,20,0,0,89,6,90,3,21,9,38,0,23,80
30,2009-07-01,4,44,23,4,79,1,0,3,10,0,0,87,24,0,0,90,4,89,4,21,13,45,0,24,72
