,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,17,24,2,61,1,0,2,13,0,1,61,34,0,1,92,4,69,5,21,15,89,0,32,95
1,2007-02-01,4,13,23,4,61,1,0,3,11,0,1,63,42,0,1,84,4,62,5,19,21,100,0,36,100
2,2007-03-01,3,13,20,2,62,1,0,3,8,0,1,66,31,0,0,94,3,72,5,21,16,76,0,20,96
3,2007-04-01,4,14,18,3,62,1,0,2,11,0,2,66,35,0,0,93,3,65,4,21,13,65,0,17,97
4,2007-05-01,4,17,19,3,62,1,0,3,11,0,2,72,32,0,1,93,3,81,6,26,16,51,0,26,99
5,2007-06-01,4,16,19,3,64,0,0,3,8,0,1,75,31,0,1,98,2,77,3,25,13,49,0,18,88
6,2007-07-01,3,18,19,3,68,1,0,3,9,0,1,76,30,0,0,95,3,85,4,25,11,44,0,27,92
7,2007-08-01,4,18,23,3,66,1,0,3,12,0,1,72,35,0,0,100,5,79,5,25,19,54,0,17,100
8,2007-09-01,5,18,24,3,63,1,0,2,13,0,2,60,37,0,0,87,3,77,5,23,13,50,0,30,90
9,2007-10-01,4,17,20,3,60,1,0,3,13,0,2,61,34,0,0,90,4,75,4,22,16,51,0,18,92
10,2007-11-01,3,17,21,3,75,1,0,2,13,0,2,65,30,0,0,78,3,67,3,18,14,48,0,20,87
11,2007-12-01,4,14,18,2,56,1,0,2,10,0,1,60,27,0,0,71,2,73,5,19,15,53,0,23,77
12,2008-01-01,4,16,23,3,60,1,0,3,11,0,1,63,34,0,0,85,3,70,6,20,9,71,0,22,90
13,2008-02-01,4,17,24,2,64,1,0,3,11,0,2,56,33,0,0,86,3,70,4,20,19,59,0,19,90
14,2008-03-01,3,17,20,3,61,1,0,3,12,0,1,65,34,0,0,82,3,72,3,25,16,58,0,26,89
15,2008-04-01,4,16,19,3,61,1,0,3,14,0,2,61,34,0,1,86,3,73,6,20,11,42,0,22,93
16,2008-05-01,3,17,19,2,60,1,0,2,10,0,2,69,29,0,1,84,3,75,4,21,16,65,0,19,81
17,2008-06-01,3,19,18,3,66,1,0,3,11,0,1,73,27,0,0,87,4,81,4,21,15,53,0,26,83
18,2008-07-01,4,19,20,2,68,1,0,2,11,0,1,76,28,0,1,85,4,75,6,25,13,46,0,21,83
19,2008-08-01,4,22,25,2,61,1,0,2,11,0,1,72,34,0,0,89,2,76,4,24,16,60,0,25,82
20,2008-09-01,4,26,24,3,58,1,0,3,16,0,1,62,36,0,0,80,3,80,4,21,12,58,0,21,82
21,2008-10-01,4,22,20,2,57,1,0,4,13,0,2,61,33,0,1,82,3,67,4,20,17,47,0,25,83
22,2008-11-01,4,26,21,3,77,1,0,3,11,0,2,66,31,0,0,72,3,72,4,16,23,54,0,20,81
23,2008-12-01,3,30,20,2,62,1,0,2,12,0,2,67,27,0,0,67,3,65,2,16,14,48,0,17,70
24,2009-01-01,4,30,22,3,63,1,0,3,12,0,1,68,34,0,0,73,2,73,3,20,18,54,0,27,76
25,2009-02-01,4,30,22,3,68,1,0,2,13,0,2,64,37,0,0,77,2,68,4,20,19,46,0,25,83
26,2009-03-01,5,25,21,2,64,1,0,3,12,0,1,67,31,0,0,80,4,80,4,24,21,50,0,16,73
27,2009-04-01,4,25,23,2,65,1,0,2,13,0,2,69,35,0,0,85,3,86,3,25,21,42,0,30,85
28,2009-05-01,3,26,22,2,68,1,0,2,11,0,1,76,25,0,1,76,2,81,4,23,15,48,0,23,73
29,2009-06-01,3,34,20,2,68,1,0,2,11,0,1,84,25,0,0,81,2,84,5,26,20,51,0,15,76
30,2009-07-01,3,34,21,3,71,1,0,2,10,0,1,82,26,0,1,78,3,85,6,24,22,40,0,21,68
31,2009-08-01,4,36,27,2,67,1,0,2,12,0,1,78,29,0,0,77,3,81,4,26,15,46,0,39,75
32,2009-09-01,4,34,28,3,63,1,0,3,17,0,2,72,36,0,0,75,4,83,5,22,15,44,0,22,78
33,2009-10-01,3,34,26,2,63,1,0,2,14,0,2,73,31,0,1,73,3,81,4,23,24,59,0,17,73
34,2009-11-01,3,36,25,4,100,1,0,2,15,0,2,67,28,0,0,71,3,80,3,23,19,34,0,19,73
35,2009-12-01,3,35,26,3,60,0,0,3,12,0,2,71,26,0,0,66,2,75,3,20,21,28,0,22,63
36,2010-01-01,5,37,27,2,65,1,0,2,15,0,2,71,35,0,0,69,2,80,3,23,14,30,0,19,71
37,2010-02-01,4,37,26,3,63,1,0,2,17,0,1,68,38,0,0,71,4,76,4,24,27,30,0,24,77
38,2010-03-01,4,37,24,2,69,1,0,3,15,0,2,75,34,0,0,75,4,80,4,28,26,25,0,25,75
39,2010-04-01,4,37,22,3,73,1,0,2,16,0,2,74,33,0,1,73,2,79,4,24,44,20,0,22,80
40,2010-05-01,4,40,24,3,65,1,0,2,15,0,2,80,30,0,0,74,2,80,4,24,24,27,0,20,66
41,2010-06-01,4,48,22,2,67,1,0,2,12,0,1,83,26,0,1,70,3,90,4,24,23,19,0,25,70
42,2010-07-01,3,42,23,3,72,1,0,2,9,0,1,86,26,0,1,67,2,85,3,24,19,16,0,22,62
43,2010-08-01,3,36,30,3,71,1,0,2,13,0,1,85,28,0,0,72,2,85,4,26,26,19,0,19,66
44,2010-09-01,4,34,28,2,65,1,0,2,17,0,2,75,36,0,0,72,3,77,4,24,19,22,0,20,69
45,2010-10-01,4,32,26,2,62,1,0,2,17,0,2,74,33,0,0,71,3,82,3,19,30,16,0,17,70
46,2010-11-01,3,33,27,2,81,1,0,2,16,0,2,71,30,0,0,63,2,81,3,23,24,26,0,22,66
47,2010-12-01,4,37,22,2,59,1,0,2,14,0,2,73,27,0,0,60,2,67,3,18,19,25,0,19,61
48,2011-01-01,4,39,23,2,63,1,0,3,13,0,1,70,31,0,0,57,2,75,4,21,21,18,0,22,63
49,2011-02-01,3,36,19,2,70,1,0,2,14,0,2,69,34,0,0,60,3,70,4,22,29,13,0,19,70
50,2011-03-01,4,37,20,2,69,1,0,2,13,0,1,70,35,0,0,64,3,76,3,24,22,18,0,20,71
51,2011-04-01,3,38,19,2,68,1,0,2,11,0,2,76,36,0,1,66,2,75,3,26,27,16,0,18,70
52,2011-05-01,3,40,18,2,63,1,0,2,11,0,2,76,27,0,0,60,2,79,3,24,20,11,0,16,63
53,2011-06-01,4,47,17,2,69,1,0,2,9,0,1,87,27,0,0,72,2,81,3,29,19,17,0,20,66
