,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,14,20,2,66,1,0,1,13,0,2,67,62,0,0,63,5,75,5,16,0,100,0,11,91
1,2007-02-01,7,12,25,2,61,1,0,5,19,0,5,76,54,0,0,89,5,64,3,22,0,38,0,18,100
2,2007-03-01,4,11,18,3,59,3,0,2,11,0,2,75,38,0,0,75,3,83,10,16,0,55,0,35,91
3,2007-04-01,2,11,24,2,69,2,0,3,15,0,3,75,47,0,0,99,5,97,7,28,0,33,0,12,88
4,2007-05-01,3,17,23,2,61,1,0,2,10,0,2,77,44,0,0,82,6,88,7,32,0,17,0,17,74
5,2007-06-01,6,18,16,5,58,2,0,4,9,0,0,89,39,0,0,90,5,100,9,26,0,52,0,20,86
6,2007-07-01,6,20,23,3,61,1,0,1,11,0,2,76,42,0,0,88,3,88,7,39,0,49,0,18,82
7,2007-08-01,3,14,21,1,51,1,0,3,14,0,1,79,38,0,0,100,6,84,16,14,0,45,0,10,81
8,2007-09-01,2,17,22,3,60,1,0,2,19,0,2,69,63,0,0,77,0,83,7,35,0,35,0,40,89
9,2007-10-01,3,14,25,3,64,1,0,3,14,0,3,71,48,0,0,93,6,73,6,27,0,55,0,14,92
10,2007-11-01,5,13,26,2,71,1,0,1,15,0,3,71,42,0,0,86,3,94,10,17,0,29,0,13,72
11,2007-12-01,5,18,23,2,58,1,0,1,12,0,2,77,38,0,0,69,5,82,6,21,0,56,0,25,62
12,2008-01-01,5,14,25,2,59,1,0,3,13,0,3,69,50,0,0,74,9,75,9,27,0,31,0,21,62
13,2008-02-01,5,18,23,2,60,1,0,2,18,0,2,59,51,0,0,80,3,57,5,25,0,25,0,25,79
14,2008-03-01,3,10,25,3,58,1,0,2,15,0,2,67,53,0,0,62,5,91,4,30,0,25,0,17,75
15,2008-04-01,3,14,28,3,61,2,0,4,14,0,4,77,44,0,0,70,3,80,12,17,0,35,0,12,69
16,2008-05-01,4,16,20,2,63,2,0,2,13,0,3,80,48,0,0,81,3,87,4,21,0,33,0,33,67
17,2008-06-01,5,21,17,2,66,1,0,2,10,0,2,87,51,0,0,92,5,94,10,26,0,32,0,25,64
18,2008-07-01,2,25,18,3,64,1,0,2,14,0,2,81,45,0,0,58,6,78,8,34,0,9,0,28,68
19,2008-08-01,4,22,21,1,58,1,0,3,12,0,3,69,44,0,0,68,4,76,5,22,0,28,0,14,56
20,2008-09-01,6,31,25,3,56,1,0,1,19,0,2,63,50,0,0,65,5,79,7,21,0,40,0,13,60
21,2008-10-01,3,25,26,2,54,1,0,2,16,0,3,69,49,0,0,81,5,73,10,31,0,28,0,13,61
22,2008-11-01,5,22,24,1,73,2,0,1,15,0,3,69,35,0,0,57,3,66,6,22,0,44,0,11,63
23,2008-12-01,3,32,18,3,63,1,0,1,16,0,1,67,34,0,0,60,3,82,4,23,0,36,0,14,61
24,2009-01-01,4,31,23,2,58,1,0,2,14,0,2,66,58,0,0,57,0,61,7,30,0,31,0,13,72
25,2009-02-01,4,26,21,3,64,1,0,2,17,0,1,65,48,0,0,61,3,78,4,27,0,27,0,19,67
26,2009-03-01,3,29,24,3,62,1,0,2,14,0,3,76,53,0,0,61,2,79,7,15,0,29,0,7,63
27,2009-04-01,4,27,30,0,58,1,0,2,15,0,2,66,59,0,0,67,4,84,5,23,0,37,0,34,66
28,2009-05-01,2,28,22,3,54,1,0,1,14,0,2,69,36,0,0,61,8,97,5,23,0,16,0,0,56
29,2009-06-01,1,36,21,2,67,0,0,2,11,0,3,76,48,0,0,68,0,86,6,28,0,38,0,22,52
30,2009-07-01,2,32,21,2,62,1,0,2,15,0,2,80,45,0,0,60,0,82,8,33,0,36,0,13,65
31,2009-08-01,2,35,24,2,63,1,0,2,18,0,3,82,47,0,0,59,3,90,5,30,0,34,0,17,55
32,2009-09-01,4,25,30,3,58,1,0,2,21,0,2,70,60,0,0,55,3,85,6,30,0,26,0,19,70
33,2009-10-01,4,35,28,2,57,1,0,3,17,0,3,78,46,0,0,55,5,90,7,21,0,34,0,20,65
34,2009-11-01,4,32,33,2,100,2,0,3,21,0,2,69,59,0,0,57,3,79,3,27,0,10,0,24,65
35,2009-12-01,3,36,23,1,63,1,0,2,14,0,3,70,34,0,0,64,9,70,2,27,0,23,0,8,57
36,2010-01-01,4,38,33,2,60,1,0,2,18,0,2,72,51,0,0,57,3,67,5,27,0,20,0,16,54
37,2010-02-01,4,36,31,5,64,1,0,3,21,0,2,77,53,0,0,71,4,83,4,26,0,30,0,22,74
38,2010-03-01,5,40,27,2,60,1,0,2,16,0,2,74,44,0,0,62,4,76,4,36,0,18,0,24,65
39,2010-04-01,6,36,23,2,60,2,0,2,23,0,3,80,60,0,0,68,5,83,5,19,0,7,0,16,66
40,2010-05-01,3,35,24,2,68,1,0,3,17,0,2,71,44,0,0,64,3,84,14,17,0,15,0,23,66
41,2010-06-01,4,47,28,3,61,2,0,3,13,0,2,86,51,0,0,69,4,92,5,30,0,7,0,21,58
