,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,13,21,31,5,61,2,0,3,7,0,0,45,82,0,0,0,0,57,10,11,0,100,0,0,54
1,2007-02-01,9,22,42,8,72,2,0,4,11,0,0,50,79,0,0,0,0,59,9,14,0,63,0,63,100
2,2007-03-01,13,17,29,13,76,2,0,3,9,0,0,53,83,0,0,0,0,53,6,8,0,80,0,36,91
3,2007-04-01,11,26,28,6,75,2,0,6,13,0,0,45,57,0,0,0,0,71,10,10,0,81,0,42,64
4,2007-05-01,7,21,47,8,80,0,0,3,11,0,0,57,38,0,0,0,0,57,10,13,0,44,0,78,81
5,2007-06-01,7,22,22,9,73,3,0,5,9,0,0,67,45,0,0,0,0,76,10,11,0,74,0,51,80
6,2007-07-01,7,21,40,5,82,2,0,3,10,0,0,59,58,0,0,0,0,53,6,7,0,74,0,97,67
7,2007-08-01,16,10,38,4,72,2,0,4,8,0,0,51,65,0,0,0,0,62,5,13,0,68,0,30,93
8,2007-09-01,6,12,39,8,65,0,0,3,10,0,0,61,75,0,0,0,0,59,4,11,0,96,0,33,75
9,2007-10-01,4,31,54,6,69,2,0,7,13,0,0,52,87,0,0,0,0,60,4,17,0,47,0,45,66
10,2007-11-01,7,14,26,9,78,3,0,3,9,0,0,51,60,0,0,0,0,66,12,16,0,48,0,30,76
11,2007-12-01,7,16,33,10,60,5,0,6,11,0,0,44,56,0,0,0,0,48,4,10,0,68,0,0,84
12,2008-01-01,11,21,39,6,59,2,0,2,9,0,0,50,57,0,0,0,0,36,12,11,0,68,0,36,65
13,2008-02-01,6,22,37,6,72,2,0,2,9,0,0,46,81,0,0,0,0,63,0,12,0,98,0,42,76
14,2008-03-01,13,18,34,8,67,1,0,3,13,0,0,52,71,0,0,0,0,49,4,12,0,88,0,26,68
15,2008-04-01,13,25,37,8,69,1,0,2,8,0,0,43,62,0,0,0,0,53,7,14,0,76,0,95,78
16,2008-05-01,7,23,33,3,68,2,0,6,11,0,0,47,59,0,0,0,0,55,4,17,0,27,0,0,68
17,2008-06-01,6,16,37,7,69,2,0,3,9,0,0,78,42,0,0,0,0,77,7,12,0,40,0,27,50
18,2008-07-01,12,22,26,0,76,2,0,3,11,0,0,75,51,0,0,0,0,70,4,13,0,61,0,27,45
19,2008-08-01,5,39,40,5,73,1,0,4,11,0,0,56,63,0,0,0,0,72,10,8,0,80,0,71,63
20,2008-09-01,13,32,42,6,67,3,0,1,9,0,0,47,82,0,0,0,0,49,6,9,0,72,0,0,79
21,2008-10-01,5,28,36,6,60,1,0,3,10,0,0,51,74,0,0,0,0,64,21,12,0,39,0,24,78
22,2008-11-01,7,32,41,8,80,2,0,5,12,0,0,51,48,0,0,0,0,66,0,13,0,44,0,69,66
