,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development
0,2007-01-01,3,12,17,2,55,1,0,3,14,1,2,70,47,0,0,79,3,71,6,34,11,100,0,18
1,2007-02-01,3,12,17,2,55,1,0,2,13,1,2,59,46,0,0,90,5,60,6,25,12,91,0,29
2,2007-03-01,3,11,14,2,55,1,0,3,11,0,1,63,42,0,0,97,4,73,5,29,9,55,0,25
3,2007-04-01,3,13,17,2,54,1,0,2,11,0,3,71,39,0,0,90,3,76,6,30,14,53,0,18
4,2007-05-01,2,11,14,2,53,1,0,2,14,0,2,68,38,0,0,86,4,81,5,27,9,42,0,24
5,2007-06-01,3,12,16,2,59,1,0,2,9,1,2,78,37,0,0,100,3,89,4,33,12,41,0,22
6,2007-07-01,4,13,17,3,64,1,0,3,10,1,2,75,36,0,0,94,3,81,5,29,9,40,0,27
7,2007-08-01,3,13,19,2,58,1,0,3,13,1,2,77,37,0,0,90,4,84,5,32,7,60,0,24
8,2007-09-01,4,12,19,2,56,1,0,2,15,1,2,70,43,0,0,88,3,73,5,24,11,47,0,32
9,2007-10-01,4,12,16,3,56,1,0,3,14,1,2,67,45,0,0,98,2,82,5,24,12,44,0,24
10,2007-11-01,3,11,16,2,76,0,0,2,12,0,2,61,42,0,0,86,4,73,5,22,10,40,0,26
11,2007-12-01,2,14,17,2,52,1,0,2,11,0,2,65,35,0,0,78,3,81,4,21,10,50,0,22
12,2008-01-01,3,15,19,2,58,1,0,3,12,0,1,69,46,0,0,87,3,74,4,22,19,52,0,23
13,2008-02-01,4,14,19,2,56,1,0,2,14,0,2,65,47,0,0,89,5,73,5,26,7,58,0,26
14,2008-03-01,3,15,18,2,57,1,0,2,13,1,2,65,45,0,0,85,3,75,3,25,18,49,0,28
15,2008-04-01,3,13,18,2,57,1,0,2,13,0,3,65,41,0,0,92,2,82,5,28,10,35,0,23
16,2008-05-01,3,14,17,2,57,1,0,2,11,0,3,69,35,0,0,93,2,84,6,23,10,45,0,19
17,2008-06-01,3,18,16,2,61,1,0,2,11,0,1,82,36,0,0,95,4,80,5,27,12,50,0,23
18,2008-07-01,3,19,15,3,62,1,0,3,10,1,1,80,36,0,0,95,3,89,5,32,12,48,0,24
19,2008-08-01,3,18,20,2,65,1,0,2,12,1,1,72,36,0,0,92,3,79,6,28,15,63,0,17
20,2008-09-01,3,24,20,2,63,1,0,2,17,1,2,65,47,0,0,84,3,76,6,31,14,51,0,25
