,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,JAVA
0,2007-01-01,6,14,44,10,56,6,0,4,10,0,0,54,40,0,0,66,0,36,0,13,73
1,2007-02-01,8,23,41,7,59,2,0,0,23,0,0,48,41,0,0,81,0,46,0,7,75
2,2007-03-01,13,13,32,10,63,2,0,3,13,0,0,46,39,0,0,80,0,27,0,15,89
3,2007-04-01,13,11,36,5,61,3,0,4,12,0,0,58,47,0,0,86,0,21,0,15,79
4,2007-05-01,13,22,28,6,59,6,0,0,19,0,0,49,36,0,0,71,0,35,0,24,76
5,2007-06-01,6,17,26,6,64,2,0,2,10,0,0,72,49,0,0,79,0,51,0,14,62
6,2007-07-01,11,8,29,6,82,0,0,2,11,0,0,72,43,0,0,86,0,69,0,13,67
7,2007-08-01,7,26,52,17,83,4,0,0,14,0,0,75,39,0,0,73,0,67,0,6,55
8,2007-09-01,8,22,37,0,65,7,0,2,16,0,0,71,49,0,0,67,0,68,0,24,84
9,2007-10-01,8,16,41,7,52,2,0,6,10,0,0,67,49,0,0,89,0,61,0,14,100
10,2007-11-01,6,11,38,7,83,3,0,3,8,0,0,51,42,0,0,65,0,51,0,12,70
11,2007-12-01,5,15,29,0,53,2,0,2,12,0,0,53,36,0,0,100,0,31,0,18,63
12,2008-01-01,10,16,41,6,54,1,0,2,13,0,0,53,54,0,0,76,0,31,0,9,75
13,2008-02-01,7,17,46,8,68,1,0,2,12,0,0,46,52,0,0,75,0,31,0,13,75
14,2008-03-01,11,11,45,4,66,0,0,5,14,0,0,54,42,0,0,90,0,43,0,14,45
15,2008-04-01,7,16,29,5,63,1,0,3,14,0,0,56,36,0,0,92,0,44,0,17,66
16,2008-05-01,7,21,31,14,77,2,0,1,12,0,0,58,35,0,0,66,0,59,0,18,47
17,2008-06-01,11,28,31,7,64,0,0,4,8,0,0,63,32,0,0,85,0,44,0,10,61
18,2008-07-01,8,24,37,4,75,2,0,0,7,0,0,61,30,0,0,86,0,49,0,8,73
19,2008-08-01,15,13,35,18,58,2,0,2,11,0,0,64,37,0,0,84,0,76,0,23,89
20,2008-09-01,8,31,52,5,70,2,0,1,18,0,0,57,38,0,0,80,0,41,0,15,63
