,date,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development
0,2007-01-01,64,0,0,2,11,0,0,63,24,0,0,80,3,66,6,20,0,98,0,33
1,2007-02-01,71,0,0,1,15,0,0,67,31,0,0,76,4,58,6,26,0,76,0,21
2,2007-03-01,58,0,0,2,13,0,0,52,31,0,0,75,4,56,4,21,0,63,0,38
3,2007-04-01,65,1,0,4,10,0,0,58,26,0,0,81,3,73,4,22,0,64,0,44
4,2007-05-01,68,1,0,2,12,0,0,58,28,0,0,86,6,75,8,23,0,49,0,29
5,2007-06-01,69,1,0,6,9,0,0,53,35,0,0,74,7,60,7,33,0,56,0,20
6,2007-07-01,76,1,0,2,9,0,0,78,23,0,0,78,3,78,4,19,0,84,0,51
7,2007-08-01,64,2,0,2,12,0,0,70,28,0,0,89,2,65,3,27,0,100,0,39
8,2007-09-01,68,1,0,3,15,0,0,59,40,0,0,77,4,73,4,21,0,67,0,29
9,2007-10-01,67,0,0,2,14,0,0,60,37,0,0,97,5,66,4,19,0,27,0,30
10,2007-11-01,86,2,0,2,11,0,0,49,27,0,0,100,4,58,2,24,0,71,0,22
11,2007-12-01,61,0,0,2,10,0,0,41,22,0,0,65,9,51,2,22,0,46,0,16
12,2008-01-01,57,1,0,2,14,0,0,59,30,0,0,77,3,79,6,13,0,36,0,24
13,2008-02-01,68,1,0,3,12,0,0,51,23,0,0,93,4,60,5,27,0,48,0,22
14,2008-03-01,60,1,0,3,13,0,0,60,30,0,0,82,3,57,10,18,0,65,0,21
15,2008-04-01,67,1,0,3,13,0,0,56,40,0,0,80,0,65,3,23,0,45,0,40
16,2008-05-01,70,1,0,1,10,0,0,65,30,0,0,81,4,65,0,19,0,56,0,32
17,2008-06-01,83,2,0,3,15,0,0,82,20,0,0,74,4,79,7,30,0,34,0,39
18,2008-07-01,77,0,0,2,10,0,0,81,21,0,0,86,3,85,3,34,0,33,0,22
19,2008-08-01,67,1,0,2,9,0,0,78,27,0,0,75,4,73,3,27,0,45,0,45
20,2008-09-01,67,1,0,1,11,0,0,64,43,0,0,100,5,74,7,31,0,63,0,24
21,2008-10-01,59,2,0,4,13,0,0,58,34,0,0,65,3,61,5,24,0,54,0,0
22,2008-11-01,92,3,0,1,12,0,0,54,23,0,0,63,2,74,6,23,0,60,0,25
23,2008-12-01,68,1,0,1,14,0,0,66,26,0,0,69,2,52,7,22,0,30,0,69
24,2009-01-01,68,1,0,3,7,0,0,66,29,0,0,63,3,74,5,19,0,46,0,32
25,2009-02-01,80,1,0,3,13,0,0,61,30,0,0,92,6,66,2,18,0,43,0,30
26,2009-03-01,71,1,0,1,10,0,0,65,35,0,0,75,2,55,4,24,0,86,0,40
27,2009-04-01,77,1,0,3,11,0,0,66,41,0,0,89,2,76,2,31,0,35,0,22
28,2009-05-01,70,1,0,1,11,0,0,66,29,0,0,76,5,63,4,25,0,54,0,36
29,2009-06-01,67,1,0,1,14,0,0,68,29,0,0,71,4,75,5,35,0,14,0,14
30,2009-07-01,71,1,0,2,11,0,0,76,27,0,0,69,4,71,0,25,0,55,0,44
31,2009-08-01,67,1,0,2,10,0,0,86,25,0,0,77,3,81,3,32,0,19,0,37
32,2009-09-01,65,2,0,2,17,0,0,73,42,0,0,75,5,73,0,24,0,66,0,26
33,2009-10-01,70,1,0,3,13,0,0,64,41,0,0,77,2,63,2,28,0,36,0,57
34,2009-11-01,100,1,0,1,14,0,0,65,28,0,0,76,3,66,3,24,0,49,0,33
35,2009-12-01,75,1,0,2,13,0,0,60,27,0,0,61,3,51,2,21,0,26,0,17
36,2010-01-01,65,1,0,1,14,0,0,67,38,0,0,58,5,64,2,21,0,22,0,20
37,2010-02-01,66,2,0,3,16,0,0,58,39,0,0,79,3,55,5,21,0,33,0,25
38,2010-03-01,65,0,0,2,17,0,0,68,38,0,0,71,3,63,4,28,0,24,0,19
39,2010-04-01,78,1,0,1,14,0,0,74,37,0,0,62,3,67,3,26,0,16,0,31
40,2010-05-01,67,1,0,3,14,0,0,70,35,0,0,65,7,66,3,26,0,11,0,26
41,2010-06-01,70,1,0,2,10,0,0,78,25,0,0,65,3,72,4,28,0,26,0,26
42,2010-07-01,75,0,0,2,9,0,0,83,24,0,0,67,4,79,3,26,0,17,0,51
43,2010-08-01,67,2,0,1,11,0,0,69,27,0,0,60,4,75,2,20,0,33,0,26
44,2010-09-01,65,1,0,2,18,0,0,67,32,0,0,60,3,58,3,28,0,0,0,32
45,2010-10-01,62,1,0,3,14,0,0,64,40,0,0,55,3,74,2,19,0,11,0,18
46,2010-11-01,81,1,0,3,15,0,0,54,28,0,0,59,3,60,2,24,0,20,0,26
47,2010-12-01,68,1,0,3,17,0,0,65,21,0,0,59,3,55,7,23,0,10,0,11
48,2011-01-01,63,1,0,3,17,0,0,67,32,0,0,57,3,59,2,19,0,14,0,28
49,2011-02-01,67,1,0,3,14,0,0,66,33,0,0,58,2,57,2,25,0,21,0,32
50,2011-03-01,65,0,0,2,13,0,0,62,24,0,0,64,5,73,3,30,0,27,0,33
51,2011-04-01,71,0,0,2,14,0,0,70,33,0,0,63,2,73,3,32,0,14,0,10
52,2011-05-01,66,1,0,3,11,0,0,71,29,0,0,57,4,76,2,33,0,18,0,39
53,2011-06-01,67,1,0,3,13,0,0,84,29,0,0,78,2,77,2,32,0,19,0,33
