,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,3,11,13,2,58,1,0,2,15,1,2,68,8,87,0,29,91
1,2007-02-01,3,10,14,2,57,1,0,3,18,1,2,65,10,100,0,21,99
2,2007-03-01,3,12,13,2,58,1,0,3,13,1,2,69,12,68,0,19,100
3,2007-04-01,2,10,12,2,60,1,0,3,14,0,2,73,8,50,0,22,97
4,2007-05-01,2,10,12,1,55,1,0,3,15,1,3,77,16,50,0,26,91
5,2007-06-01,3,13,12,2,57,0,0,3,12,1,2,79,14,36,0,27,92
6,2007-07-01,3,14,11,1,64,1,0,4,10,0,1,86,16,51,0,29,85
7,2007-08-01,2,14,13,2,56,1,0,3,11,1,1,77,9,49,0,29,90
8,2007-09-01,3,12,15,2,62,1,0,3,20,0,1,73,9,42,0,18,86
9,2007-10-01,3,12,12,2,56,0,0,3,19,1,2,68,9,28,0,25,93
10,2007-11-01,3,12,13,2,80,1,0,3,17,1,2,69,9,45,0,23,82
11,2007-12-01,2,12,12,2,54,1,0,2,13,1,2,69,10,52,0,17,72
12,2008-01-01,3,13,15,2,58,1,0,3,17,1,2,76,9,60,0,23,79
13,2008-02-01,3,12,14,1,54,1,0,3,17,1,2,66,11,53,0,26,87
14,2008-03-01,2,11,13,2,58,1,0,3,16,1,2,70,18,51,0,22,85
15,2008-04-01,3,12,13,2,59,1,0,3,17,1,2,72,11,52,0,27,85
16,2008-05-01,2,12,12,1,59,1,0,3,16,1,2,73,12,44,0,21,77
17,2008-06-01,3,17,11,2,59,1,0,3,13,1,2,80,14,45,0,23,74
18,2008-07-01,2,17,11,2,64,1,0,3,12,1,1,85,14,55,0,25,76
19,2008-08-01,2,17,13,1,60,1,0,3,12,1,1,76,11,43,0,24,67
20,2008-09-01,3,20,16,2,58,1,0,3,21,1,2,76,11,47,0,26,82
21,2008-10-01,3,19,14,2,61,1,0,3,20,1,3,79,11,46,0,24,78
22,2008-11-01,2,17,13,2,82,1,0,2,17,1,2,75,13,40,0,15,70
23,2008-12-01,2,22,14,1,64,0,0,2,18,1,2,79,8,56,0,24,69
24,2009-01-01,3,21,15,1,63,1,0,3,18,1,2,77,15,45,0,22,69
25,2009-02-01,3,21,14,2,65,1,0,3,19,1,2,74,14,44,0,20,83
26,2009-03-01,2,19,14,2,64,1,0,3,19,1,2,74,15,41,0,23,82
27,2009-04-01,2,22,13,2,63,1,0,3,19,1,2,82,12,40,0,29,80
28,2009-05-01,2,20,13,2,63,0,0,2,16,1,2,84,13,40,0,22,70
29,2009-06-01,2,23,13,2,64,1,0,3,15,1,2,89,19,38,0,21,68
30,2009-07-01,2,25,12,2,66,0,0,3,12,1,1,90,16,39,0,26,70
31,2009-08-01,3,26,14,2,65,0,0,3,14,1,1,96,14,34,0,30,64
32,2009-09-01,2,25,18,2,65,0,0,3,24,1,2,88,15,45,0,23,73
33,2009-10-01,3,26,17,2,66,1,0,3,20,1,2,83,13,38,0,25,71
34,2009-11-01,3,26,17,2,100,0,0,3,19,1,2,82,17,27,0,26,70
35,2009-12-01,2,27,17,1,65,1,0,2,20,1,2,85,17,31,0,17,65
36,2010-01-01,2,28,18,2,66,1,0,3,21,2,3,88,16,27,0,18,61
37,2010-02-01,3,30,18,2,65,1,0,3,24,2,2,82,20,26,0,22,73
38,2010-03-01,2,30,16,2,69,1,0,3,22,1,2,97,20,26,0,22,69
39,2010-04-01,3,28,15,2,71,1,0,3,20,1,3,90,24,17,0,33,76
40,2010-05-01,2,29,15,2,66,1,0,3,20,1,2,97,19,14,0,29,68
41,2010-06-01,2,34,16,2,70,1,0,3,17,1,2,100,17,17,0,21,68
42,2010-07-01,2,34,14,2,71,1,0,3,12,1,1,98,19,20,0,24,63
43,2010-08-01,2,32,15,1,63,1,0,3,13,1,1,90,19,17,0,22,65
44,2010-09-01,2,30,18,2,63,1,0,3,22,1,2,88,22,18,0,20,73
45,2010-10-01,3,29,16,2,62,1,0,3,22,1,2,82,18,13,0,24,70
46,2010-11-01,2,27,16,2,82,1,0,3,19,1,2,81,19,15,0,24,69
