,date,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,63,1,0,3,12,0,1,51,60,0,0,66,0,79,0,26,79
1,2007-02-01,64,2,0,3,14,0,3,57,44,0,0,69,0,100,0,21,95
2,2007-03-01,66,1,0,2,11,0,1,55,36,0,0,93,0,71,0,60,91
3,2007-04-01,61,1,0,3,8,0,2,48,32,0,0,82,0,27,0,37,100
4,2007-05-01,64,2,0,3,9,0,2,55,47,0,0,82,0,56,0,28,74
5,2007-06-01,61,1,0,4,7,0,2,53,38,0,0,66,0,26,0,30,85
6,2007-07-01,65,1,0,3,7,0,1,75,40,0,0,74,0,48,0,32,81
7,2007-08-01,67,1,0,4,8,0,2,74,37,0,0,77,0,55,0,41,68
8,2007-09-01,58,2,0,4,14,0,2,54,38,0,0,63,0,56,0,25,79
9,2007-10-01,61,1,0,3,9,0,1,55,35,0,0,84,0,89,0,23,82
10,2007-11-01,71,2,0,2,12,0,2,57,32,0,0,56,0,37,0,28,93
11,2007-12-01,63,2,0,3,10,0,2,57,39,0,0,55,0,39,0,15,62
12,2008-01-01,60,1,0,3,10,0,1,53,37,0,0,85,0,50,0,32,73
13,2008-02-01,70,1,0,4,10,0,4,48,48,0,0,80,0,47,0,47,79
14,2008-03-01,66,2,0,4,15,0,2,51,42,0,0,75,0,37,0,38,73
15,2008-04-01,63,1,0,2,11,0,2,49,37,0,0,84,0,48,0,22,85
16,2008-05-01,67,1,0,1,9,0,1,57,31,0,0,95,0,41,0,23,62
17,2008-06-01,61,1,0,3,8,0,1,59,39,0,0,100,0,54,0,13,68
18,2008-07-01,74,0,0,3,9,0,0,63,35,0,0,98,0,37,0,23,79
19,2008-08-01,67,1,0,3,9,0,1,66,52,0,0,87,0,50,0,38,71
20,2008-09-01,68,2,0,5,14,0,2,44,41,0,0,64,0,26,0,27,86
21,2008-10-01,61,1,0,2,15,0,1,48,53,0,0,72,0,49,0,11,70
22,2008-11-01,77,1,0,4,12,0,5,55,30,0,0,67,0,62,0,61,73
23,2008-12-01,68,2,0,3,14,0,3,56,38,0,0,47,0,43,0,17,64
24,2009-01-01,68,1,0,4,13,0,2,60,41,0,0,50,0,77,0,16,71
25,2009-02-01,66,1,0,4,10,0,2,53,56,0,0,71,0,34,0,33,83
26,2009-03-01,68,2,0,3,11,0,2,52,39,0,0,64,0,40,0,40,74
27,2009-04-01,70,2,0,3,12,0,1,57,42,0,0,72,0,45,0,37,75
28,2009-05-01,71,1,0,3,8,0,1,56,31,0,0,65,0,47,0,20,52
29,2009-06-01,75,1,0,4,8,0,2,71,32,0,0,64,0,75,0,12,89
30,2009-07-01,73,1,0,2,9,0,1,75,29,0,0,81,0,43,0,30,67
31,2009-08-01,80,1,0,2,11,0,1,75,45,0,0,89,0,25,0,40,80
32,2009-09-01,64,1,0,3,18,0,1,63,39,0,0,58,0,45,0,56,74
33,2009-10-01,68,2,0,4,14,0,1,67,37,0,0,73,0,24,0,24,77
34,2009-11-01,100,2,0,3,16,0,2,64,37,0,0,74,0,41,0,39,89
35,2009-12-01,67,1,0,3,13,0,2,62,30,0,0,64,0,26,0,0,70
36,2010-01-01,71,1,0,2,10,0,1,62,36,0,0,62,0,23,0,12,69
37,2010-02-01,70,1,0,5,16,0,1,67,48,0,0,65,0,28,0,24,74
38,2010-03-01,75,2,0,3,14,0,2,61,46,0,0,87,0,41,0,12,74
39,2010-04-01,70,1,0,2,15,0,2,58,42,0,0,77,0,21,0,12,74
40,2010-05-01,75,1,0,3,14,0,3,73,31,0,0,75,0,29,0,20,63
41,2010-06-01,78,1,0,2,11,0,1,82,35,0,0,87,0,12,0,32,72
42,2010-07-01,82,1,0,3,10,0,2,77,40,0,0,77,0,21,0,22,69
43,2010-08-01,81,1,0,4,10,0,2,65,57,0,0,86,0,33,0,13,72
44,2010-09-01,63,1,0,3,20,0,2,58,50,0,0,75,0,17,0,11,90
45,2010-10-01,75,2,0,5,11,0,2,58,46,0,0,59,0,12,0,27,92
46,2010-11-01,84,1,0,2,11,0,4,61,38,0,0,69,0,11,0,11,88
47,2010-12-01,72,2,0,3,16,0,2,67,35,0,0,63,0,11,0,11,70
48,2011-01-01,78,1,0,3,13,0,1,64,38,0,0,49,0,18,0,12,57
49,2011-02-01,78,0,0,3,14,0,1,71,40,0,0,39,0,9,0,13,60
50,2011-03-01,72,0,0,2,13,0,1,67,37,0,0,39,0,17,0,14,77
51,2011-04-01,77,1,0,2,13,0,2,70,35,0,0,46,0,5,0,14,67
52,2011-05-01,67,1,0,2,12,0,1,73,36,0,0,48,0,14,0,17,62
53,2011-06-01,69,1,0,2,11,0,1,73,33,0,0,56,0,13,0,13,63
54,2011-07-01,69,1,0,3,11,0,1,80,28,0,0,49,0,17,0,21,50
55,2011-08-01,73,1,0,2,13,0,1,74,31,0,0,52,0,8,0,10,58
56,2011-09-01,72,1,0,2,18,0,2,67,42,0,0,44,0,13,0,20,66
57,2011-10-01,62,1,0,3,13,0,2,66,35,0,0,50,0,14,0,24,66
58,2011-11-01,91,1,0,2,11,0,1,64,39,0,0,49,0,8,0,17,67
59,2011-12-01,64,1,0,1,10,0,1,63,28,0,0,34,0,14,0,11,54
60,2012-01-01,69,1,0,2,12,0,1,61,45,0,0,41,0,7,0,17,49
61,2012-02-01,72,1,0,2,15,0,1,63,42,0,0,47,0,4,0,28,55
62,2012-03-01,68,1,0,2,10,0,1,67,37,0,0,41,0,9,0,8,57
63,2012-04-01,64,1,0,1,14,0,2,64,38,0,0,43,0,11,0,22,55
64,2012-05-01,69,1,0,2,12,0,2,73,34,0,0,42,0,7,0,11,47
65,2012-06-01,75,1,0,2,9,0,1,75,33,0,0,49,0,11,0,20,50
66,2012-07-01,70,1,0,2,9,0,0,73,30,0,0,41,0,7,0,16,53
67,2012-08-01,70,1,0,2,11,0,2,74,30,0,0,46,0,9,0,11,61
68,2012-09-01,69,1,0,2,11,0,2,71,42,0,0,43,0,8,0,17,67
69,2012-10-01,68,1,0,3,13,0,2,63,33,0,0,42,0,15,0,11,65
70,2012-11-01,82,1,0,2,11,0,1,59,30,0,0,36,0,4,0,18,53
71,2012-12-01,63,1,0,1,10,0,1,63,28,0,0,31,0,9,0,19,47
72,2013-01-01,75,1,0,1,11,0,1,64,37,0,0,46,0,8,0,21,80
73,2013-02-01,75,1,0,2,13,0,1,63,44,0,0,39,0,7,0,17,64
74,2013-03-01,74,1,0,3,12,0,1,60,32,0,0,42,0,8,0,13,57
75,2013-04-01,74,1,0,2,10,0,2,66,37,0,0,43,0,6,0,18,63
76,2013-05-01,74,1,0,3,12,0,1,66,28,0,0,41,0,5,0,15,51
77,2013-06-01,73,0,0,2,9,0,1,71,31,0,0,39,0,12,0,10,56
78,2013-07-01,79,1,0,2,7,0,1,77,27,0,0,40,0,7,0,15,49
79,2013-08-01,76,1,0,2,12,0,1,72,36,0,0,34,0,15,0,20,51
80,2013-09-01,68,0,0,3,16,0,2,68,39,0,0,31,0,6,0,11,53
81,2013-10-01,67,1,0,2,14,0,1,61,33,0,0,36,0,7,0,16,63
82,2013-11-01,81,1,0,2,11,0,1,62,32,0,0,30,0,7,0,13,49
83,2013-12-01,72,1,0,1,9,0,1,55,31,0,0,29,0,5,0,8,39
84,2014-01-01,70,0,0,1,11,0,1,65,38,0,0,33,0,9,0,12,50
85,2014-02-01,74,1,0,2,10,0,1,67,38,0,0,38,0,5,0,11,58
86,2014-03-01,73,1,0,2,11,0,1,68,35,0,0,34,0,8,0,9,50
87,2014-04-01,73,1,0,1,9,0,2,68,32,0,0,43,0,6,0,15,50
88,2014-05-01,75,1,0,1,10,0,1,71,31,0,0,35,0,4,0,13,47
89,2014-06-01,74,0,0,2,9,0,1,80,26,0,0,40,0,7,0,19,51
90,2014-07-01,80,0,0,2,9,0,1,80,28,0,0,46,0,10,0,16,46
91,2014-08-01,76,0,0,1,11,0,0,70,35,0,0,42,0,7,0,12,48
92,2014-09-01,70,1,0,2,12,0,1,68,38,0,0,39,0,7,0,13,57
93,2014-10-01,64,1,0,2,12,0,1,67,34,0,0,36,0,6,0,17,52
94,2014-11-01,89,1,0,3,10,0,1,66,26,0,0,29,0,7,0,16,53
95,2014-12-01,72,0,0,2,9,0,1,60,29,0,0,35,0,3,0,9,38
96,2015-01-01,75,1,0,2,10,0,1,64,34,0,0,35,0,5,0,8,50
97,2015-02-01,73,1,0,2,11,0,1,60,43,0,0,40,0,9,0,14,47
98,2015-03-01,75,1,0,2,11,0,1,64,37,0,0,45,0,3,0,11,41
99,2015-04-01,77,1,0,2,10,0,1,72,38,0,0,40,0,5,0,17,44
100,2015-05-01,74,1,0,2,10,0,1,73,26,0,0,35,0,0,0,12,39
101,2015-06-01,75,1,0,2,6,0,0,85,26,0,0,38,0,3,0,20,40
102,2015-07-01,81,1,0,2,8,0,0,83,32,0,0,36,0,7,0,15,40
103,2015-08-01,76,1,0,2,10,0,1,78,33,0,0,33,0,5,0,15,40
104,2015-09-01,71,1,0,3,12,0,1,68,44,0,0,36,0,7,0,18,49
105,2015-10-01,63,1,0,2,12,0,1,68,30,0,0,39,0,3,0,17,42
106,2015-11-01,82,1,0,2,10,0,1,69,30,0,0,29,0,9,0,16,32
107,2015-12-01,68,1,0,1,8,0,1,65,26,0,0,32,0,7,0,10,33
108,2016-01-01,69,1,0,3,6,0,0,89,37,0,0,19,0,4,0,18,24
109,2016-02-01,78,1,0,4,6,0,1,100,57,0,0,33,0,4,0,18,31
110,2016-03-01,77,1,0,3,6,0,1,93,56,0,0,32,0,3,0,13,30
111,2016-04-01,72,1,0,3,7,0,0,74,63,0,0,30,0,3,0,18,33
112,2016-05-01,68,1,0,1,7,0,1,75,23,0,0,27,0,3,0,5,27
113,2016-06-01,70,0,0,1,5,0,0,82,22,0,0,31,0,4,0,12,24
114,2016-07-01,77,0,0,1,5,0,0,79,19,0,0,21,0,3,0,11,24
115,2016-08-01,71,0,0,1,6,0,1,75,25,0,0,23,0,3,0,9,26
116,2016-09-01,67,0,0,1,8,0,0,68,25,0,0,23,0,3,0,10,27
117,2016-10-01,62,1,0,1,7,0,1,67,24,0,0,22,0,2,0,7,25
118,2016-11-01,82,1,0,1,7,0,0,63,23,0,0,22,0,3,0,8,27
119,2016-12-01,62,0,0,1,5,0,0,66,20,0,0,21,0,3,0,7,22
120,2017-01-01,63,0,0,2,6,0,0,65,29,0,0,23,0,4,0,14,22
121,2017-02-01,75,0,0,2,7,0,1,65,39,0,0,23,0,2,0,21,28
122,2017-03-01,72,1,0,1,6,0,0,72,32,0,0,25,0,0,0,11,27
123,2017-04-01,75,1,0,2,6,0,0,69,30,0,0,29,0,2,0,12,27
124,2017-05-01,73,0,0,1,5,0,1,75,23,0,0,28,0,2,0,11,20
125,2017-06-01,74,1,0,1,4,0,0,84,23,0,0,23,0,0,0,6,19
126,2017-07-01,72,0,0,1,4,0,0,83,23,0,0,24,0,0,0,11,18
127,2017-08-01,68,1,0,2,5,0,0,76,25,0,0,24,0,0,0,14,21
128,2017-09-01,68,0,0,1,7,0,0,68,22,0,0,22,0,5,0,5,24
129,2017-10-01,65,1,0,1,6,0,0,68,21,0,0,22,0,0,0,6,22
130,2017-11-01,78,1,0,2,6,0,1,68,23,0,0,24,0,2,0,9,22
131,2017-12-01,66,1,0,1,4,0,0,66,19,0,0,19,0,0,0,5,18
