,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,2,15,19,2,79,1,0,2,13,0,1,67,49,0,0,90,5,57,5,13,0,90,0,30,100
1,2007-02-01,5,8,19,3,76,1,0,3,15,0,3,63,43,0,0,98,4,64,3,16,0,91,0,23,88
2,2007-03-01,2,13,19,3,70,1,0,3,11,0,3,70,36,0,0,98,3,71,6,12,0,100,0,32,86
3,2007-04-01,2,13,17,3,70,1,0,2,10,0,3,70,43,0,0,78,2,67,7,14,0,64,0,32,90
4,2007-05-01,2,12,15,3,66,1,0,3,12,0,3,71,40,0,0,83,4,76,5,9,0,40,0,22,94
5,2007-06-01,3,12,12,2,65,1,0,2,11,0,1,74,40,0,0,78,3,72,7,12,0,84,0,19,85
6,2007-07-01,3,15,14,2,69,1,0,2,8,0,1,77,29,0,0,87,0,72,6,15,0,60,0,34,84
7,2007-08-01,3,17,15,2,73,2,0,2,11,0,1,71,36,0,0,93,3,64,4,11,0,58,0,29,81
8,2007-09-01,4,12,16,2,68,1,0,2,19,0,2,68,40,0,0,94,4,80,3,13,0,71,0,34,74
9,2007-10-01,3,14,20,2,67,1,0,3,14,0,2,65,38,0,0,96,3,65,8,11,0,64,0,20,95
10,2007-11-01,3,13,15,2,79,1,0,2,15,0,1,61,35,0,0,83,2,80,6,14,0,63,0,24,86
11,2007-12-01,2,13,14,1,57,2,0,2,12,0,1,70,28,0,0,82,3,54,6,10,0,49,0,25,78
12,2008-01-01,4,14,18,2,68,1,0,2,13,0,1,68,42,0,0,89,3,70,4,5,0,44,0,22,78
13,2008-02-01,4,10,17,1,76,0,0,2,11,0,2,62,38,0,0,77,3,78,1,13,0,79,0,49,84
14,2008-03-01,3,13,14,2,76,1,0,3,15,0,2,66,46,0,0,87,3,81,6,14,0,56,0,25,90
15,2008-04-01,2,16,19,2,66,2,0,3,14,0,3,72,43,0,0,100,3,72,4,7,0,65,0,12,82
16,2008-05-01,2,14,17,1,70,1,0,2,15,0,2,74,45,0,0,81,3,80,4,21,0,52,0,32,78
17,2008-06-01,3,17,16,1,70,1,0,2,13,0,1,76,40,0,0,89,2,86,3,11,0,48,0,30,71
18,2008-07-01,3,16,17,1,76,1,0,3,9,0,1,81,33,0,0,81,2,95,5,18,0,66,0,23,86
19,2008-08-01,1,22,16,3,63,1,0,2,9,0,1,77,38,0,0,83,3,69,5,8,0,75,0,26,77
