,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,5,13,21,2,61,1,0,3,14,1,2,68,34,0,0,83,3,71,4,15,12,97,0,23,97
1,2007-02-01,3,12,20,3,60,1,0,2,15,1,1,66,32,0,0,81,4,62,4,14,15,100,0,28,98
2,2007-03-01,4,15,19,2,61,1,0,3,13,1,2,73,31,0,0,83,2,68,5,18,16,71,0,30,100
3,2007-04-01,3,12,16,3,63,1,0,3,13,1,2,73,32,0,1,83,3,74,3,18,18,61,0,29,91
4,2007-05-01,4,14,15,3,63,1,0,2,13,1,2,78,30,0,0,88,3,80,6,22,15,40,0,21,93
5,2007-06-01,3,15,16,2,63,1,0,3,11,1,1,81,29,0,0,88,4,83,5,19,18,47,0,22,86
6,2007-07-01,3,14,16,2,73,1,0,3,11,1,1,83,31,0,0,89,3,80,4,20,13,51,0,20,87
7,2007-08-01,3,15,18,3,66,1,0,2,13,1,1,77,29,0,0,100,4,76,3,17,14,57,0,28,92
8,2007-09-01,4,14,21,2,68,0,0,3,17,0,2,73,32,0,1,77,3,74,7,18,12,55,0,24,90
9,2007-10-01,4,13,18,3,61,1,0,2,15,1,2,70,30,0,0,88,3,70,3,19,17,44,0,20,95
10,2007-11-01,3,14,17,4,77,1,0,2,14,0,1,68,31,0,0,80,4,76,4,17,9,67,0,20,94
11,2007-12-01,3,15,18,2,59,1,0,2,14,1,2,70,25,0,0,73,3,68,4,13,16,61,0,24,81
12,2008-01-01,4,14,21,3,63,1,0,3,16,0,2,69,36,0,0,82,4,73,4,15,15,68,0,26,79
13,2008-02-01,4,14,20,2,63,1,0,3,15,0,2,69,33,0,0,86,3,67,4,18,18,59,0,28,86
14,2008-03-01,4,14,18,3,65,1,0,2,13,1,2,73,30,0,0,76,2,71,4,17,18,68,0,21,92
