,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,6,14,24,3,52,1,0,3,12,0,1,61,51,0,0,88,3,60,6,15,16,64,0,7,87
1,2007-02-01,4,11,22,2,58,1,0,3,12,0,1,57,51,0,0,100,4,67,7,14,15,100,0,17,100
2,2007-03-01,6,12,21,2,61,1,0,3,10,0,1,70,45,0,0,94,4,62,4,16,16,33,0,13,99
3,2007-04-01,5,14,22,2,62,2,0,2,13,0,2,63,49,0,0,99,5,75,3,22,14,40,0,16,85
4,2007-05-01,4,14,19,3,64,1,0,2,11,0,1,71,35,0,0,93,6,87,3,24,26,56,0,18,83
5,2007-06-01,5,18,20,1,61,1,0,3,9,0,1,70,34,0,0,93,2,71,5,20,10,75,0,14,76
6,2007-07-01,3,13,19,3,72,1,0,3,9,0,2,78,48,0,0,96,3,84,2,20,6,36,0,14,77
7,2007-08-01,4,12,28,3,60,1,0,2,13,0,2,73,44,0,0,94,4,75,7,21,0,44,0,11,84
8,2007-09-01,3,17,27,1,63,1,0,1,13,0,1,65,45,0,0,95,3,65,8,23,7,44,0,15,93
9,2007-10-01,2,14,20,1,61,1,0,2,12,0,2,55,48,0,0,88,5,77,4,24,16,28,0,14,95
10,2007-11-01,4,12,18,1,79,1,0,1,11,0,2,59,41,0,0,90,2,72,5,13,8,63,0,6,86
11,2007-12-01,2,13,20,2,49,1,0,2,10,0,2,59,40,0,0,83,2,67,6,14,6,57,0,9,66
12,2008-01-01,4,15,24,2,61,1,0,3,11,0,2,73,44,0,0,87,4,68,6,21,16,42,0,10,85
13,2008-02-01,4,11,27,3,60,0,0,3,12,0,2,57,53,0,0,93,3,70,3,17,0,54,0,8,93
14,2008-03-01,3,14,24,2,70,1,0,3,11,0,1,68,46,0,0,86,2,82,4,19,12,45,0,9,88
15,2008-04-01,6,17,23,4,64,1,0,3,12,0,2,65,45,0,0,99,3,81,4,19,18,36,0,9,76
16,2008-05-01,3,20,23,2,65,0,0,1,11,0,1,67,41,0,0,89,3,80,5,23,8,27,0,16,68
17,2008-06-01,5,23,22,1,64,1,0,3,9,0,0,74,36,0,0,91,4,81,5,21,9,42,0,10,63
18,2008-07-01,6,20,23,3,64,1,0,3,10,0,2,80,43,0,0,92,2,85,6,21,8,32,0,15,69
19,2008-08-01,5,24,27,3,59,1,0,2,13,0,2,74,47,0,0,89,1,77,3,23,10,39,0,22,71
20,2008-09-01,6,23,26,3,56,1,0,3,13,0,1,67,51,0,0,88,3,70,5,18,9,33,0,12,85
21,2008-10-01,3,24,24,3,58,1,0,2,12,0,1,69,46,0,0,90,2,63,6,16,6,27,0,13,81
22,2008-11-01,4,26,19,2,79,2,0,3,12,0,2,66,45,0,0,69,2,80,7,15,15,30,0,7,69
23,2008-12-01,3,29,25,2,66,1,0,2,13,0,2,72,37,0,0,74,2,74,3,11,14,45,0,10,74
24,2009-01-01,5,31,24,3,66,1,0,2,12,0,1,66,41,0,0,78,3,73,3,23,10,37,0,18,68
25,2009-02-01,5,26,25,2,65,1,0,2,14,0,3,66,48,0,0,93,1,65,3,17,17,34,0,12,85
26,2009-03-01,4,27,28,2,70,1,0,1,9,0,1,67,54,0,0,96,3,76,5,19,12,36,0,24,84
27,2009-04-01,5,24,25,3,66,1,0,3,12,0,2,62,46,0,0,90,2,89,6,32,11,38,0,11,77
28,2009-05-01,3,29,21,2,61,1,0,2,11,0,1,79,38,0,0,90,3,78,4,26,7,37,0,18,70
29,2009-06-01,5,37,21,2,63,1,0,2,13,0,1,82,46,0,0,98,3,89,7,27,7,33,0,10,66
30,2009-07-01,3,36,19,1,72,1,0,3,10,0,1,85,38,0,0,97,2,90,2,23,19,42,0,12,66
31,2009-08-01,3,32,27,2,65,1,0,2,14,0,1,85,44,0,0,91,2,82,5,24,12,32,0,15,61
32,2009-09-01,3,36,27,3,65,1,0,2,19,0,1,77,53,0,0,89,0,78,4,19,13,33,0,13,78
33,2009-10-01,4,34,26,3,57,0,0,2,15,0,1,72,49,0,0,96,5,70,4,22,14,44,0,12,79
34,2009-11-01,4,35,24,2,100,1,0,1,14,0,2,65,46,0,0,72,3,74,5,17,16,31,0,15,74
35,2009-12-01,3,40,29,4,62,1,0,2,12,0,1,75,41,0,0,78,1,73,3,21,6,27,0,12,70
36,2010-01-01,5,37,27,4,58,1,0,2,13,0,1,76,46,0,0,81,3,70,4,22,10,26,0,18,65
37,2010-02-01,3,39,29,1,59,1,0,3,17,0,1,68,46,0,0,90,4,65,6,22,12,21,0,15,83
38,2010-03-01,4,36,24,3,65,1,0,2,13,0,1,79,46,0,0,95,3,76,5,27,18,17,0,13,65
39,2010-04-01,5,39,22,2,69,1,0,1,13,0,2,81,45,0,0,99,2,85,6,25,19,12,0,23,70
40,2010-05-01,4,46,24,3,60,1,0,3,12,0,2,88,45,0,0,91,2,85,5,20,13,8,0,5,61
41,2010-06-01,3,54,24,2,68,1,0,2,11,0,1,93,41,0,0,86,4,83,4,23,14,13,0,18,64
42,2010-07-01,4,45,24,2,68,0,0,2,10,0,1,92,32,0,0,96,1,94,5,20,14,14,0,9,57
43,2010-08-01,5,42,33,2,59,0,0,1,14,0,1,92,51,0,0,97,4,82,4,21,19,20,0,9,63
44,2010-09-01,5,43,27,4,63,1,0,2,14,0,1,74,44,0,0,96,2,83,4,20,11,12,0,16,86
45,2010-10-01,5,37,26,3,60,1,0,2,13,0,1,70,43,0,0,93,4,76,3,17,10,11,0,8,76
46,2010-11-01,3,33,25,3,79,1,0,2,16,0,3,68,47,0,0,80,2,73,4,22,10,11,0,11,75
47,2010-12-01,4,35,24,4,56,1,0,1,14,0,2,77,39,0,0,78,3,71,2,18,6,20,0,9,66
48,2011-01-01,4,41,25,2,59,1,0,2,13,0,1,78,47,0,0,63,3,72,6,18,12,19,0,7,63
49,2011-02-01,4,37,23,1,64,1,0,1,13,0,1,71,35,0,0,62,2,72,3,21,12,15,0,8,69
50,2011-03-01,5,39,24,3,67,1,0,2,12,0,1,77,41,0,0,80,2,79,4,19,15,10,0,12,73
51,2011-04-01,3,35,21,3,67,1,0,2,13,0,1,81,42,0,0,76,2,83,5,20,11,13,0,17,80
52,2011-05-01,3,34,22,3,61,0,0,1,12,0,2,82,32,0,0,65,2,83,4,20,9,12,0,11,65
53,2011-06-01,4,43,22,3,68,1,0,2,11,0,1,100,40,0,0,68,3,92,4,24,11,9,0,10,58
54,2011-07-01,5,41,19,1,65,1,0,2,9,0,1,90,39,0,0,65,2,96,3,25,8,8,0,19,63
55,2011-08-01,4,49,24,1,64,1,0,2,11,0,1,86,42,0,0,63,2,76,4,22,12,8,0,20,61
56,2011-09-01,5,47,24,3,62,1,0,2,16,0,1,78,49,0,0,66,2,82,4,20,14,13,0,13,72
57,2011-10-01,3,43,21,2,60,1,0,2,13,0,1,76,44,0,0,61,3,80,3,22,21,7,0,11,64
58,2011-11-01,4,44,19,2,80,1,0,1,11,0,1,69,34,0,0,59,2,77,3,19,11,8,0,11,59
59,2011-12-01,3,41,21,1,60,1,0,2,11,0,2,70,33,0,0,58,2,73,3,15,10,6,0,10,66
60,2012-01-01,4,39,21,2,60,1,0,2,13,0,1,73,47,0,0,61,2,79,3,24,9,8,0,15,62
61,2012-02-01,4,38,19,2,67,0,0,2,14,0,1,70,46,0,0,61,2,74,4,22,16,9,0,13,67
62,2012-03-01,3,38,20,2,63,1,0,2,11,0,1,74,38,0,0,62,3,82,2,19,16,5,0,12,64
63,2012-04-01,4,40,18,2,63,1,0,1,13,0,2,75,44,0,0,63,2,80,5,20,14,4,0,9,69
64,2012-05-01,3,43,16,1,62,1,0,2,10,0,1,79,35,0,0,60,2,88,3,17,7,8,0,15,57
65,2012-06-01,3,40,16,2,62,1,0,1,9,0,1,91,34,0,0,65,2,86,5,24,12,6,0,9,57
66,2012-07-01,3,38,17,2,67,1,0,2,8,0,1,88,36,0,0,60,2,90,4,19,10,11,0,9,55
67,2012-08-01,3,43,25,2,64,1,0,1,11,0,1,82,40,0,0,60,2,89,3,19,9,6,0,12,64
68,2012-09-01,4,43,24,2,60,1,0,1,15,0,1,74,45,0,0,56,2,82,4,20,13,8,0,13,71
69,2012-10-01,2,43,19,2,55,1,0,2,14,0,1,70,43,0,0,62,2,76,4,20,17,4,0,7,70
70,2012-11-01,4,42,16,2,73,1,0,2,12,0,2,66,40,0,0,54,2,75,4,17,13,7,0,9,66
71,2012-12-01,3,46,17,1,58,1,0,1,10,0,1,61,29,0,0,44,2,75,3,20,13,4,0,8,51
72,2013-01-01,3,42,22,2,58,1,0,1,12,0,2,72,43,0,0,57,4,91,4,20,13,7,0,10,96
73,2013-02-01,4,38,20,2,63,1,0,2,14,0,2,67,44,0,0,54,2,72,3,21,16,2,0,8,75
74,2013-03-01,4,38,18,2,63,1,0,2,12,0,1,75,39,0,0,60,2,84,3,24,15,6,0,11,70
75,2013-04-01,4,42,18,3,61,1,0,1,10,0,1,75,43,0,0,48,2,78,3,23,21,5,0,12,65
76,2013-05-01,3,46,15,2,60,1,0,1,9,0,2,79,34,0,0,48,1,86,3,23,11,2,0,10,52
77,2013-06-01,2,53,13,2,62,0,0,1,6,0,1,88,24,0,0,45,1,85,2,21,11,4,0,10,46
78,2013-07-01,3,58,13,2,64,1,0,1,6,0,1,91,29,0,0,45,1,86,2,21,9,5,0,12,41
79,2013-08-01,3,61,17,2,61,0,0,1,8,0,0,81,32,0,0,38,2,81,3,26,10,3,0,6,38
80,2013-09-01,2,53,16,2,57,0,0,1,10,0,1,74,38,0,0,34,1,75,2,23,17,3,0,8,43
81,2013-10-01,2,57,14,1,54,1,0,1,8,0,1,74,31,0,0,37,2,78,2,22,16,4,0,9,51
82,2013-11-01,2,52,14,2,66,1,0,1,8,0,1,69,28,0,0,32,2,77,2,22,9,4,0,6,42
83,2013-12-01,2,61,12,1,53,0,0,1,7,0,1,68,27,0,0,31,2,68,2,17,10,4,0,7,39
84,2014-01-01,2,56,16,2,58,1,0,1,8,0,1,71,36,0,0,36,1,76,2,22,10,4,0,10,52
85,2014-02-01,2,54,14,2,61,0,0,1,8,0,1,68,39,0,0,37,2,72,3,18,13,2,0,8,46
86,2014-03-01,2,54,14,2,61,1,0,1,6,0,1,71,30,0,0,36,2,80,2,23,12,3,0,10,43
87,2014-04-01,2,56,14,3,63,1,0,1,9,0,1,77,34,0,0,41,1,79,2,21,12,3,0,8,49
88,2014-05-01,2,54,14,2,63,1,0,1,6,0,1,82,32,0,0,46,2,82,4,20,13,4,0,8,44
89,2014-06-01,2,53,14,2,64,0,0,2,6,0,0,91,28,0,0,48,1,86,2,20,9,3,0,7,41
90,2014-07-01,3,58,13,2,64,1,0,1,7,0,1,92,30,0,0,49,2,88,4,20,15,3,0,7,45
91,2014-08-01,3,59,24,2,64,1,0,2,10,0,1,84,35,0,0,50,1,78,2,23,9,5,0,7,50
92,2014-09-01,2,73,13,2,55,1,0,1,8,0,1,76,37,0,0,34,1,76,2,27,14,2,0,6,39
93,2014-10-01,2,75,10,2,51,1,0,1,6,0,1,70,29,0,0,30,1,74,3,24,17,2,0,8,37
94,2014-11-01,2,73,10,3,59,0,0,1,7,0,1,65,27,0,0,35,1,76,2,17,13,2,0,8,40
95,2014-12-01,2,86,11,2,50,0,0,1,6,0,1,67,27,0,0,29,1,77,1,18,8,2,0,7,35
96,2015-01-01,1,78,12,2,50,1,0,1,6,0,0,70,32,0,0,30,1,80,2,20,13,2,0,10,36
97,2015-02-01,3,81,12,2,53,1,0,1,8,0,1,71,36,0,0,34,1,78,2,22,14,2,0,7,40
98,2015-03-01,2,85,11,2,51,0,0,1,6,0,1,77,34,0,0,33,1,80,2,25,10,1,0,7,34
99,2015-04-01,2,85,9,2,53,1,0,1,6,0,1,75,35,0,0,37,2,75,2,24,10,1,0,13,38
100,2015-05-01,2,86,9,2,54,0,0,1,6,0,0,80,25,0,0,34,1,80,2,21,9,1,0,7,31
101,2015-06-01,1,91,10,2,56,0,0,1,4,0,0,88,26,0,0,39,1,87,3,27,12,2,0,10,29
102,2015-07-01,3,70,13,3,69,1,0,1,7,0,0,93,36,0,0,58,3,90,3,24,13,3,0,9,43
103,2015-08-01,3,66,23,3,63,1,0,1,10,0,1,87,44,0,0,60,2,83,3,22,14,6,0,12,48
104,2015-09-01,3,64,18,2,59,1,0,1,13,0,1,76,48,0,0,56,2,78,2,24,16,2,0,10,56
105,2015-10-01,2,65,16,2,57,1,0,2,10,0,1,72,41,0,0,56,2,75,4,23,15,2,0,10,54
106,2015-11-01,2,65,12,3,69,1,0,2,9,0,1,71,33,0,0,48,3,76,3,22,14,3,0,8,47
107,2015-12-01,2,80,13,2,56,1,0,1,8,0,1,74,30,0,0,45,2,82,3,16,12,3,0,8,38
108,2016-01-01,3,71,10,2,60,0,0,1,6,0,0,74,35,0,0,34,1,90,3,21,14,2,0,7,31
109,2016-02-01,3,79,11,3,66,1,0,1,8,0,1,74,40,0,0,39,1,79,3,20,17,2,0,11,41
110,2016-03-01,2,74,9,2,64,0,0,1,7,0,0,78,34,0,0,36,1,83,3,22,12,3,0,7,35
111,2016-04-01,2,68,7,3,68,1,0,1,7,0,1,82,34,0,0,38,1,85,3,24,17,1,0,6,37
112,2016-05-01,2,76,8,2,62,0,0,1,5,0,0,84,30,0,0,37,2,86,4,19,16,2,0,6,25
113,2016-06-01,1,76,8,3,66,0,0,1,4,0,0,98,25,0,0,38,2,98,3,22,10,1,0,8,25
114,2016-07-01,2,86,10,2,70,1,0,2,5,0,0,95,27,0,0,34,3,100,3,23,8,2,0,8,29
115,2016-08-01,2,81,12,2,65,0,0,1,7,0,0,87,36,0,0,39,2,88,3,22,13,2,0,5,26
116,2016-09-01,1,80,11,2,58,1,0,1,8,0,0,77,36,0,0,31,1,84,2,19,13,2,0,8,35
117,2016-10-01,1,71,9,2,58,0,0,1,8,0,0,75,29,0,0,30,1,79,3,18,19,1,0,10,33
118,2016-11-01,2,71,8,2,70,0,0,1,8,0,0,70,27,0,0,34,1,87,2,17,18,2,0,10,33
119,2016-12-01,2,85,8,2,56,1,0,1,6,0,0,74,26,0,0,30,1,77,2,15,10,1,0,7,23
120,2017-01-01,1,79,10,3,55,1,0,1,6,0,0,73,32,0,0,31,1,88,3,18,12,2,0,11,27
121,2017-02-01,2,89,8,2,66,0,0,1,7,0,1,73,35,0,0,37,1,84,2,19,16,1,0,8,36
122,2017-03-01,2,79,9,6,70,1,0,2,6,0,0,82,33,0,0,36,2,91,2,22,16,2,0,12,33
123,2017-04-01,2,78,8,4,66,1,0,2,6,0,0,79,30,0,0,37,2,84,4,21,21,1,0,9,32
124,2017-05-01,1,88,7,2,65,1,0,1,5,0,0,88,27,0,0,33,2,95,2,20,12,1,0,10,25
125,2017-06-01,1,94,6,2,66,0,0,1,3,0,0,96,25,0,0,37,1,97,4,22,12,1,0,5,21
126,2017-07-01,2,100,6,2,67,0,0,1,4,0,0,94,23,0,0,33,1,100,2,22,11,1,0,5,20
127,2017-08-01,1,94,10,3,65,0,0,1,6,0,0,87,29,0,0,38,1,89,3,21,16,1,0,8,21
128,2017-09-01,2,90,9,3,63,0,0,1,8,0,0,78,34,0,0,32,2,83,4,18,18,1,0,9,28
129,2017-10-01,2,91,8,3,59,1,0,1,7,0,0,76,31,0,0,36,1,86,2,19,19,1,0,7,28
130,2017-11-01,1,86,7,2,69,1,0,1,5,0,0,72,26,0,0,32,1,91,2,17,16,2,0,7,27
131,2017-12-01,1,98,6,2,55,0,0,1,6,0,1,69,23,0,0,25,1,81,3,14,12,1,0,3,21
