,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,19,30,4,78,2,0,4,7,0,1,44,24,0,0,88,2,57,3,12,5,90,0,12,75
1,2007-02-01,4,19,37,4,75,2,0,4,8,0,1,42,30,0,0,85,3,46,5,13,11,100,0,18,81
2,2007-03-01,4,19,26,4,77,1,0,3,7,0,1,45,33,0,0,89,2,50,3,11,5,71,0,23,81
3,2007-04-01,5,18,25,3,70,2,0,4,6,0,1,44,30,0,0,81,4,58,4,11,11,44,0,34,77
4,2007-05-01,6,18,25,5,77,1,0,4,7,0,1,44,25,0,0,84,3,56,2,14,9,40,0,30,76
5,2007-06-01,4,21,25,4,79,1,0,4,6,0,1,47,32,0,0,87,4,58,3,9,8,45,0,18,69
6,2007-07-01,4,21,24,3,85,1,0,2,6,0,1,50,25,0,0,90,3,63,4,13,5,52,0,24,70
7,2007-08-01,4,21,24,4,89,1,0,4,6,0,0,50,26,0,0,87,3,72,2,15,9,68,0,26,71
8,2007-09-01,6,18,30,3,80,1,0,3,6,0,1,45,32,0,0,81,2,63,4,14,13,40,0,27,66
9,2007-10-01,3,15,26,4,76,1,0,5,8,0,1,43,31,0,0,90,3,59,4,9,8,52,0,23,73
10,2007-11-01,4,21,28,4,90,2,0,4,7,0,1,40,31,0,0,86,3,50,4,11,18,47,0,26,71
11,2007-12-01,4,22,26,4,72,1,0,4,7,0,1,40,23,0,0,74,2,53,3,7,5,48,0,25,60
12,2008-01-01,6,21,29,4,78,1,0,4,8,0,1,42,33,0,0,83,3,55,2,11,10,69,0,22,68
13,2008-02-01,3,19,31,3,77,1,0,3,7,0,1,42,31,0,0,89,3,52,3,14,9,51,0,19,70
14,2008-03-01,7,18,26,4,80,1,0,4,8,0,1,39,36,0,0,84,5,61,4,14,6,53,0,26,66
15,2008-04-01,5,20,28,2,79,1,0,4,7,0,1,42,32,0,0,90,4,60,3,11,10,57,0,30,70
16,2008-05-01,3,19,23,5,76,1,0,4,8,0,1,44,30,0,0,82,2,57,3,11,3,38,0,19,69
