,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,12,17,3,60,1,0,3,15,1,2,64,38,0,0,81,4,69,4,22,15,81,0,18,90
1,2007-02-01,3,13,19,3,59,1,0,3,16,0,2,65,39,0,0,78,4,60,4,26,10,100,0,27,95
2,2007-03-01,4,12,16,3,61,1,0,3,16,1,3,66,32,0,0,92,3,64,3,26,9,56,0,20,96
3,2007-04-01,3,12,15,4,61,1,0,3,15,0,3,69,37,0,0,85,3,77,4,24,12,36,0,18,98
4,2007-05-01,3,12,17,3,60,1,0,2,15,1,2,77,26,0,1,94,4,74,5,30,10,41,0,23,89
5,2007-06-01,3,14,13,3,63,1,0,3,11,1,1,79,32,0,1,100,4,77,5,34,12,32,0,25,83
6,2007-07-01,3,14,14,3,70,1,0,3,12,1,1,81,27,0,0,93,4,80,6,31,15,49,0,27,81
7,2007-08-01,4,14,16,3,64,1,0,3,13,1,1,80,32,0,1,90,3,79,6,29,17,53,0,23,82
8,2007-09-01,4,13,18,2,63,1,0,3,19,0,2,75,42,0,1,79,3,71,4,24,10,51,0,20,100
9,2007-10-01,3,13,18,3,60,1,0,3,17,1,2,69,39,0,1,85,3,71,3,27,15,37,0,20,95
10,2007-11-01,4,13,17,3,81,1,0,2,16,0,2,66,34,0,0,73,2,70,3,23,7,42,0,16,89
11,2007-12-01,3,13,16,3,55,1,0,2,16,1,1,63,29,0,0,72,2,66,2,18,6,45,0,13,78
12,2008-01-01,4,15,19,3,60,1,0,3,15,1,2,67,34,0,0,81,4,77,5,27,12,41,0,21,81
13,2008-02-01,3,14,19,3,59,1,0,3,16,1,3,65,36,0,0,84,3,64,3,23,16,50,0,22,87
14,2008-03-01,3,13,18,3,62,1,0,3,15,1,3,65,35,0,0,82,4,71,4,27,15,46,0,20,88
15,2008-04-01,3,13,17,3,63,1,0,2,17,1,3,69,34,0,1,87,4,76,3,26,15,39,0,20,92
16,2008-05-01,3,14,16,3,63,1,0,3,16,0,3,72,30,0,0,88,3,81,5,28,11,34,0,22,78
17,2008-06-01,4,18,15,3,65,1,0,2,14,1,2,87,28,0,1,88,3,85,4,31,11,39,0,19,73
18,2008-07-01,4,17,16,3,67,1,0,2,13,1,1,81,30,0,0,95,3,79,4,32,17,35,0,24,73
19,2008-08-01,3,20,18,3,64,1,0,2,13,1,1,79,33,0,1,85,3,79,4,27,10,42,0,19,72
20,2008-09-01,4,22,22,3,60,1,0,3,21,0,3,72,43,0,1,82,4,70,4,24,13,36,0,23,82
21,2008-10-01,3,20,19,3,59,1,0,3,20,0,2,66,40,0,0,81,3,66,4,25,12,35,0,22,86
22,2008-11-01,3,22,17,3,81,1,0,2,18,1,2,69,33,0,0,68,3,74,4,22,13,34,0,17,79
23,2008-12-01,3,26,17,3,64,1,0,2,18,1,2,73,29,0,0,73,3,66,4,22,13,44,0,16,78
24,2009-01-01,3,24,18,2,62,1,0,2,17,1,2,75,34,0,0,80,3,73,3,24,12,45,0,18,74
25,2009-02-01,4,22,20,3,68,1,0,3,20,1,3,69,44,0,1,83,3,68,4,28,13,43,0,25,90
26,2009-03-01,3,20,18,3,63,1,0,3,19,1,3,74,36,0,0,82,3,81,4,28,16,31,0,22,85
27,2009-04-01,3,21,18,3,64,1,0,3,18,1,2,77,36,0,1,84,2,75,3,30,13,36,0,24,83
28,2009-05-01,3,23,15,3,66,0,0,2,16,1,3,81,30,0,0,84,3,81,4,32,15,37,0,22,70
29,2009-06-01,3,28,17,2,68,1,0,3,14,1,2,89,32,0,1,85,3,86,5,35,19,35,0,18,68
30,2009-07-01,3,28,19,3,73,1,0,3,12,1,1,92,30,0,0,89,2,84,4,40,11,35,0,23,70
31,2009-08-01,2,30,20,3,70,1,0,2,16,1,1,91,30,0,1,89,2,83,4,34,18,38,0,24,69
32,2009-09-01,3,27,22,3,65,1,0,2,24,1,2,76,43,0,0,79,3,78,4,31,20,34,0,20,82
33,2009-10-01,4,28,20,4,65,1,0,3,22,1,2,77,37,0,0,83,3,75,3,27,17,33,0,21,80
34,2009-11-01,3,29,22,3,100,1,0,2,20,1,2,76,35,0,1,80,2,72,4,25,14,29,0,22,83
