,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,14,18,1,53,1,0,2,13,0,3,66,44,0,0,92,6,72,4,16,33,82,0,24,78
1,2007-02-01,4,12,20,3,57,1,0,3,15,0,2,56,43,0,0,75,3,70,5,16,9,100,0,12,100
2,2007-03-01,4,9,20,3,50,1,0,2,10,0,1,55,41,0,0,80,7,70,4,16,17,60,0,28,89
3,2007-04-01,3,13,20,2,61,1,0,2,13,0,2,65,50,0,0,90,3,73,3,21,24,49,0,23,92
4,2007-05-01,3,11,17,3,55,1,0,2,11,0,3,75,35,0,0,83,2,85,5,17,20,46,0,19,76
5,2007-06-01,4,12,14,2,60,1,0,2,13,0,2,69,35,0,0,100,5,96,7,24,8,39,0,33,83
6,2007-07-01,3,13,17,2,71,1,0,2,9,0,1,70,45,0,0,99,3,76,2,24,11,45,0,27,80
7,2007-08-01,3,13,23,2,62,1,0,2,12,0,2,62,47,0,0,94,3,70,6,23,20,67,0,26,82
8,2007-09-01,2,14,19,1,56,1,0,2,16,0,3,64,39,0,0,86,3,83,7,17,12,41,0,28,82
9,2007-10-01,2,17,21,2,54,1,0,2,16,0,2,61,49,0,0,84,3,75,7,16,13,42,0,22,73
10,2007-11-01,4,11,15,3,73,1,0,2,13,0,3,51,45,0,0,87,5,84,5,14,9,33,0,23,75
11,2007-12-01,3,10,14,2,52,1,0,2,12,0,2,57,35,0,0,68,2,69,3,19,18,44,0,19,70
12,2008-01-01,4,14,19,2,61,1,0,1,12,0,3,59,53,0,0,90,3,77,2,17,13,58,0,24,69
13,2008-02-01,5,14,19,3,57,1,0,2,18,0,2,59,47,0,0,86,3,71,3,17,21,60,0,25,71
14,2008-03-01,3,10,18,2,56,1,0,3,11,0,1,57,51,0,0,90,4,75,3,21,21,64,0,18,76
15,2008-04-01,2,12,16,3,58,1,0,2,14,0,3,59,49,0,0,92,3,75,7,20,13,42,0,19,85
