,date,microsoft excel,customer service,microsoft office,scheduling,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,10,16,33,5,15,0,0,36,35,0,0,68,6,51,12,9,0,0,0,91,73
1,2007-02-01,11,10,37,14,9,0,0,41,38,0,0,61,8,63,0,9,0,0,0,0,72
2,2007-03-01,10,13,29,4,10,0,0,48,45,0,0,48,0,53,15,12,0,0,0,56,63
3,2007-04-01,10,23,41,10,9,0,0,38,31,0,0,84,11,72,9,17,0,0,0,86,69
4,2007-05-01,11,23,26,0,10,0,0,47,29,0,0,80,5,51,9,20,0,0,0,65,75
5,2007-06-01,20,31,31,7,8,0,0,56,36,0,0,76,6,92,8,15,0,0,0,55,71
6,2007-07-01,8,18,23,7,14,0,0,53,18,0,0,76,0,59,11,26,0,0,0,58,62
7,2007-08-01,7,15,37,8,9,0,0,51,36,0,0,86,7,78,10,15,0,0,0,94,62
8,2007-09-01,6,19,49,6,17,0,0,49,40,0,0,52,6,58,8,14,0,0,0,65,80
9,2007-10-01,5,18,40,12,16,0,0,57,23,0,0,67,4,58,7,14,0,0,0,44,66
10,2007-11-01,14,10,29,12,12,0,0,56,23,0,0,76,7,55,4,8,0,0,0,0,57
11,2007-12-01,8,16,31,4,9,0,0,42,24,0,0,63,5,51,6,14,0,0,0,38,46
12,2008-01-01,3,21,29,5,14,0,0,51,28,0,0,64,7,78,8,11,0,0,0,34,70
13,2008-02-01,6,20,37,5,19,0,0,47,37,0,0,46,11,54,6,8,0,0,0,40,50
14,2008-03-01,10,16,30,7,9,0,0,55,29,0,0,59,0,88,6,9,0,0,0,37,47
15,2008-04-01,6,14,32,5,12,0,0,48,33,0,0,61,8,58,7,11,0,0,0,39,53
16,2008-05-01,5,23,30,10,7,0,0,45,29,0,0,48,4,59,8,17,0,0,0,96,61
17,2008-06-01,8,28,26,0,6,0,0,53,21,0,0,72,0,66,5,15,0,0,0,64,53
18,2008-07-01,11,27,31,5,7,0,0,55,24,0,0,100,0,75,4,16,0,0,0,46,58
19,2008-08-01,5,24,35,6,14,0,0,60,26,0,0,73,6,80,4,6,0,0,0,79,46
20,2008-09-01,8,34,45,7,20,0,0,51,53,0,0,57,4,64,6,14,0,0,0,62,46
21,2008-10-01,10,20,37,4,14,0,0,60,17,0,0,61,6,62,0,5,0,0,0,35,62
22,2008-11-01,11,28,33,8,11,0,0,42,27,0,0,56,0,58,0,11,0,0,0,34,45
23,2008-12-01,10,30,35,4,11,0,0,62,26,0,0,50,0,56,8,15,0,0,0,100,42
24,2009-01-01,4,34,33,8,14,0,0,57,31,0,0,61,3,51,6,8,0,0,0,47,45
25,2009-02-01,3,24,38,4,7,0,0,48,36,0,0,58,8,61,4,10,0,0,0,37,68
26,2009-03-01,7,26,34,5,15,0,0,46,28,0,0,66,3,67,7,9,0,0,0,29,61
