,date,microsoft excel,customer service,microsoft office,scheduling,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,13,23,3,14,0,2,67,37,0,2,94,7,87,5,23,22,96,0,15,85
1,2007-02-01,5,12,20,2,12,0,2,66,37,0,1,88,3,82,7,28,25,100,0,30,99
2,2007-03-01,2,13,21,3,12,0,2,67,37,0,1,81,3,84,5,30,13,56,0,19,97
3,2007-04-01,4,13,20,3,12,0,1,68,38,0,1,75,4,76,7,30,11,47,0,24,93
4,2007-05-01,3,12,17,3,13,0,2,69,34,0,1,85,4,90,8,29,8,58,0,18,90
5,2007-06-01,5,17,18,3,9,0,1,70,32,0,1,95,5,89,7,32,16,62,0,15,95
6,2007-07-01,3,16,17,2,10,0,1,72,32,0,0,89,3,84,7,23,23,64,0,24,78
7,2007-08-01,4,14,24,3,14,0,1,77,35,0,0,96,2,73,7,27,10,81,0,22,100
8,2007-09-01,5,13,22,3,14,0,2,66,38,0,2,80,4,73,6,25,6,46,0,26,93
9,2007-10-01,5,15,20,3,12,0,2,66,44,0,1,90,5,80,5,25,16,46,0,28,87
10,2007-11-01,4,15,21,2,15,0,2,65,35,0,0,79,2,75,6,25,18,53,0,21,87
11,2007-12-01,3,15,20,2,10,0,2,62,32,0,1,72,3,76,6,22,13,55,0,13,74
12,2008-01-01,5,13,24,2,11,0,1,62,37,0,0,92,3,87,7,23,11,41,0,28,74
13,2008-02-01,3,15,19,2,15,0,2,57,36,0,1,98,2,68,6,25,17,61,0,21,81
14,2008-03-01,4,14,20,3,11,0,2,69,30,0,1,96,2,69,7,28,16,62,0,25,79
15,2008-04-01,5,17,20,2,13,0,2,68,41,0,0,91,5,85,8,28,15,34,0,26,88
16,2008-05-01,2,14,19,1,9,0,2,71,32,0,1,87,2,77,5,22,12,44,0,12,75
17,2008-06-01,3,21,17,2,10,0,1,76,37,0,1,88,4,94,7,35,12,48,0,15,74
18,2008-07-01,4,20,17,2,10,0,1,79,31,0,0,89,4,88,5,27,21,52,0,26,83
19,2008-08-01,4,24,24,2,13,0,2,70,36,0,1,89,4,75,5,26,16,46,0,20,73
20,2008-09-01,4,24,21,3,18,0,2,65,40,0,1,80,4,69,4,25,19,55,0,15,82
21,2008-10-01,3,27,20,2,13,0,2,68,38,0,1,90,3,84,6,28,29,30,0,10,76
22,2008-11-01,2,28,21,3,14,0,3,67,32,0,1,77,3,79,5,20,14,47,0,14,64
23,2008-12-01,3,28,18,2,12,0,1,73,32,0,1,83,3,66,4,20,9,51,0,17,73
24,2009-01-01,3,30,23,2,13,0,2,70,43,0,1,84,4,77,6,24,18,44,0,21,70
25,2009-02-01,3,25,24,2,13,0,2,66,35,0,1,81,3,71,3,25,30,30,0,18,82
26,2009-03-01,3,25,17,3,13,0,2,67,41,0,1,91,3,89,4,31,15,30,0,18,79
27,2009-04-01,4,27,21,3,12,0,2,74,37,0,0,86,2,83,4,25,12,38,0,20,75
28,2009-05-01,4,28,17,2,12,0,2,76,33,0,1,80,4,85,5,26,10,25,0,15,72
29,2009-06-01,4,33,18,2,10,0,1,89,30,0,1,82,3,94,4,36,14,32,0,15,76
30,2009-07-01,4,34,21,2,11,0,1,85,29,0,1,93,3,83,7,38,18,34,0,26,76
31,2009-08-01,4,36,24,3,14,0,2,84,35,0,1,91,3,96,6,28,15,52,0,8,72
32,2009-09-01,4,36,27,1,18,0,2,77,41,0,1,87,3,84,3,23,15,42,0,14,78
33,2009-10-01,3,35,26,3,15,0,2,69,38,0,1,78,2,78,4,26,13,36,0,24,77
34,2009-11-01,4,34,25,2,17,0,3,71,34,0,1,80,3,82,4,25,22,39,0,16,77
35,2009-12-01,4,43,25,2,13,0,2,71,35,0,1,74,3,74,4,26,17,34,0,15,66
36,2010-01-01,4,38,26,4,16,0,2,73,41,0,1,81,4,87,6,29,20,22,0,22,72
37,2010-02-01,4,41,24,3,17,0,2,75,40,0,1,84,2,72,4,37,29,15,0,22,69
38,2010-03-01,4,39,24,3,16,0,2,74,34,0,0,96,3,81,5,35,22,22,0,25,70
39,2010-04-01,4,40,20,3,17,0,3,78,37,0,1,94,4,82,5,33,26,13,0,23,76
40,2010-05-01,4,41,22,3,13,0,3,82,25,0,1,92,2,92,2,26,29,14,0,18,67
41,2010-06-01,4,45,25,1,14,0,2,89,35,0,1,95,4,97,5,32,31,14,0,14,61
42,2010-07-01,3,40,21,2,13,0,1,88,37,0,1,100,3,97,6,29,29,17,0,16,73
43,2010-08-01,4,41,26,3,14,0,2,82,39,0,0,94,3,88,4,26,28,19,0,25,67
44,2010-09-01,5,39,26,4,18,0,2,70,37,0,1,90,3,79,4,24,23,16,0,15,69
45,2010-10-01,4,33,25,3,16,0,2,72,38,0,1,87,3,75,4,26,36,15,0,24,67
46,2010-11-01,3,36,27,3,16,0,3,71,35,0,0,77,2,77,5,22,29,18,0,19,70
47,2010-12-01,4,41,20,2,14,0,2,76,28,0,0,66,2,61,3,21,19,19,0,8,61
48,2011-01-01,3,37,24,2,15,0,1,75,34,0,1,58,2,78,3,26,22,16,0,15,63
49,2011-02-01,4,33,23,3,16,0,2,70,36,0,0,65,2,77,4,26,27,11,0,15,65
50,2011-03-01,3,31,19,2,14,0,2,74,32,0,0,67,2,79,3,26,28,12,0,18,68
51,2011-04-01,3,33,19,2,13,0,2,79,31,0,1,66,2,82,4,27,19,15,0,13,62
52,2011-05-01,3,33,18,2,13,0,2,85,26,0,0,56,2,81,3,26,22,18,0,15,61
53,2011-06-01,3,40,18,2,10,0,1,96,31,0,0,65,3,96,4,30,32,6,0,21,67
54,2011-07-01,3,40,18,2,11,0,1,90,30,0,0,63,2,89,3,26,16,11,0,21,58
55,2011-08-01,3,41,22,2,15,0,2,86,31,0,1,65,3,84,4,24,24,7,0,20,58
56,2011-09-01,3,42,21,2,19,0,2,76,37,0,1,60,2,77,3,26,26,7,0,15,63
57,2011-10-01,3,38,21,2,15,0,2,75,32,0,1,57,3,78,4,24,21,10,0,14,69
58,2011-11-01,3,36,19,2,15,0,3,73,29,0,1,54,2,72,4,21,26,9,0,11,58
59,2011-12-01,3,42,18,2,12,0,2,73,26,0,1,49,3,71,3,20,15,9,0,11,54
60,2012-01-01,4,41,20,2,13,0,2,70,32,0,1,55,2,77,3,21,23,7,0,14,55
61,2012-02-01,3,38,18,2,14,0,2,70,36,0,1,58,2,75,4,24,26,5,0,15,62
62,2012-03-01,4,37,19,2,13,0,2,77,30,0,1,58,2,88,3,24,20,8,0,15,59
63,2012-04-01,3,39,16,2,13,0,3,77,31,0,1,58,2,86,3,26,20,8,0,22,60
64,2012-05-01,3,40,14,2,10,0,2,81,25,0,1,53,2,83,3,25,17,7,0,15,51
