,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,5,18,31,4,67,2,0,3,13,0,1,64,32,0,0,73,7,61,7,20,9,70,0,21,97
1,2007-02-01,5,15,34,3,70,2,0,3,13,0,1,53,32,0,0,89,5,69,4,19,13,100,0,22,100
2,2007-03-01,4,20,25,5,68,1,0,2,11,0,2,66,28,0,0,75,6,61,6,17,13,49,0,17,98
3,2007-04-01,4,15,23,5,64,1,0,3,11,0,2,57,24,0,0,76,5,55,3,17,0,44,0,14,93
4,2007-05-01,4,16,23,4,68,1,0,2,8,0,2,62,24,0,0,84,7,61,8,20,7,32,0,15,78
5,2007-06-01,3,18,26,5,72,1,0,3,10,0,1,70,23,0,0,85,4,70,8,20,9,54,0,11,85
6,2007-07-01,5,18,28,1,85,1,0,3,10,0,1,70,24,0,0,81,7,85,5,22,6,37,0,17,78
7,2007-08-01,7,18,31,4,72,1,0,2,12,0,1,71,24,0,0,100,3,85,6,23,10,45,0,8,81
8,2007-09-01,4,18,31,3,72,1,0,3,11,0,2,61,27,0,0,79,3,71,5,17,9,48,0,19,81
9,2007-10-01,5,14,26,2,61,1,0,2,15,0,2,61,29,0,0,77,4,62,4,20,9,43,0,18,90
10,2007-11-01,4,18,25,2,77,1,0,3,14,0,2,55,22,0,0,77,4,63,5,18,5,42,0,18,94
11,2007-12-01,4,18,26,2,62,1,0,1,14,0,2,57,20,0,0,69,2,56,4,15,6,44,0,15,77
12,2008-01-01,5,17,28,3,69,1,0,4,15,0,1,64,24,0,0,80,4,68,5,15,5,40,0,22,83
13,2008-02-01,4,21,26,3,74,1,0,3,13,0,1,61,28,0,0,84,5,59,8,19,8,47,0,19,86
14,2008-03-01,4,17,30,3,71,1,0,3,13,0,2,57,25,0,0,80,3,70,5,21,8,50,0,21,76
15,2008-04-01,5,15,28,4,68,2,0,2,15,0,2,61,26,0,0,78,3,74,5,21,7,75,0,25,83
16,2008-05-01,3,16,25,4,71,2,0,2,15,0,1,72,21,0,0,74,2,72,8,20,0,46,0,5,74
17,2008-06-01,5,26,23,2,70,1,0,3,11,0,1,70,23,0,0,79,3,72,6,22,12,50,0,21,77
18,2008-07-01,4,24,28,2,66,1,0,4,11,0,1,72,20,0,0,89,3,69,7,17,5,45,0,9,82
19,2008-08-01,6,26,26,3,65,1,0,4,10,0,1,69,19,0,0,77,4,77,8,17,8,41,0,11,85
20,2008-09-01,6,30,35,4,69,1,0,3,14,0,2,62,36,0,0,84,3,66,6,19,12,46,0,12,87
21,2008-10-01,3,27,27,3,64,1,0,20,15,0,2,60,27,0,0,77,2,75,6,15,6,30,0,15,81
22,2008-11-01,3,27,27,2,90,1,0,3,11,0,2,58,24,0,0,74,3,79,5,17,5,27,0,26,73
23,2008-12-01,4,35,29,1,67,1,0,3,13,0,2,61,24,0,0,70,1,66,6,16,8,30,0,16,73
24,2009-01-01,4,36,31,2,75,1,0,3,15,0,1,63,26,0,0,74,4,58,5,18,5,44,0,11,70
25,2009-02-01,4,28,30,3,71,1,0,2,11,0,2,61,28,0,0,70,5,67,4,15,8,39,0,11,79
26,2009-03-01,5,29,28,2,74,2,0,3,14,0,2,65,27,0,0,69,2,79,5,23,10,40,0,18,80
27,2009-04-01,5,29,26,3,67,1,0,2,13,0,2,63,29,0,0,77,4,70,3,27,12,35,0,18,82
28,2009-05-01,5,34,26,3,66,1,0,3,12,0,1,72,21,0,0,78,6,88,5,28,8,27,0,17,73
29,2009-06-01,4,33,25,2,66,1,0,2,12,0,1,78,24,0,0,79,2,87,4,28,7,53,0,17,73
30,2009-07-01,5,37,24,3,71,1,0,3,13,0,1,82,25,0,0,80,7,80,7,27,8,26,0,21,66
31,2009-08-01,5,36,32,3,73,2,0,2,14,0,1,77,29,0,0,75,3,76,7,28,7,41,0,12,73
32,2009-09-01,3,42,34,3,71,1,0,3,16,0,2,69,29,0,0,75,3,76,8,20,13,28,0,27,90
33,2009-10-01,3,40,33,3,64,1,0,3,15,0,2,71,34,0,0,77,3,81,6,21,8,29,0,14,84
34,2009-11-01,5,40,30,4,100,1,0,3,17,0,2,68,28,0,0,66,3,66,3,20,8,26,0,10,81
35,2009-12-01,5,38,29,3,70,1,0,2,16,0,1,68,25,0,0,74,4,68,2,17,9,13,0,21,70
36,2010-01-01,3,47,33,4,66,1,0,3,15,0,1,66,35,0,0,81,5,72,4,20,6,29,0,11,72
37,2010-02-01,5,35,33,4,74,1,0,3,17,0,2,70,24,0,0,79,3,70,2,25,16,25,0,12,91
38,2010-03-01,5,36,30,4,71,1,0,4,17,0,2,66,28,0,0,88,5,69,4,22,11,15,0,26,80
39,2010-04-01,4,40,27,3,74,1,0,2,18,0,2,64,28,0,0,85,3,70,4,30,7,21,0,5,81
40,2010-05-01,4,39,31,4,69,1,0,3,15,0,2,71,23,0,0,79,6,74,7,25,8,22,0,17,79
41,2010-06-01,5,46,32,5,71,1,0,2,11,0,1,84,24,0,0,93,3,92,5,28,5,13,0,15,75
42,2010-07-01,3,45,20,3,70,2,0,3,13,0,1,84,22,0,0,80,2,86,4,23,11,16,0,9,74
43,2010-08-01,5,37,31,2,71,2,0,3,15,0,1,82,28,0,0,83,3,89,5,27,9,9,0,10,73
44,2010-09-01,4,41,34,3,66,1,0,3,16,0,2,70,38,0,0,84,2,77,4,26,9,21,0,16,86
45,2010-10-01,7,38,32,4,64,1,0,2,15,0,2,65,30,0,0,76,4,78,3,22,12,18,0,12,78
46,2010-11-01,5,38,30,3,74,1,0,3,18,0,2,65,26,0,0,62,5,71,2,17,8,11,0,10,74
47,2010-12-01,6,45,25,4,66,1,0,2,18,0,2,71,25,0,0,61,2,69,3,22,4,16,0,16,67
48,2011-01-01,5,39,33,3,68,1,0,3,16,0,1,70,28,0,0,56,4,81,4,24,9,15,0,15,71
49,2011-02-01,4,37,23,2,69,1,0,2,16,0,2,66,28,0,0,62,4,73,4,22,12,8,0,17,72
50,2011-03-01,4,36,27,4,65,1,0,3,14,0,1,67,26,0,0,60,3,81,3,24,6,10,0,9,71
51,2011-04-01,4,39,21,2,72,1,0,3,14,0,1,73,26,0,0,63,3,76,5,24,9,6,0,16,71
52,2011-05-01,4,37,24,3,66,1,0,3,13,0,1,80,23,0,0,61,3,81,3,25,7,9,0,15,61
53,2011-06-01,3,49,20,3,68,1,0,2,12,0,1,92,21,0,0,64,3,92,4,27,4,11,0,22,66
54,2011-07-01,5,46,22,3,76,1,0,3,11,0,1,92,21,0,0,55,3,90,3,24,16,3,0,8,60
55,2011-08-01,3,48,27,3,65,1,0,3,14,0,1,88,25,0,0,65,3,88,3,26,14,7,0,9,58
56,2011-09-01,4,49,26,3,70,1,0,2,17,0,1,76,32,0,0,55,2,78,5,23,7,8,0,16,66
57,2011-10-01,3,44,22,3,64,1,0,2,15,0,1,71,28,0,0,60,2,84,4,21,11,9,0,15,65
58,2011-11-01,4,40,23,3,84,2,0,2,14,0,1,70,23,0,0,57,3,77,2,17,6,6,0,10,63
59,2011-12-01,3,44,25,2,62,1,0,2,13,0,2,72,20,0,0,50,3,74,2,20,13,5,0,12,60
60,2012-01-01,4,42,27,4,61,1,0,2,16,0,2,67,28,0,0,51,3,83,3,21,6,5,0,14,63
61,2012-02-01,4,38,23,3,68,1,0,3,13,0,2,64,27,0,0,56,4,79,3,21,5,7,0,8,69
62,2012-03-01,4,37,23,3,64,1,0,3,14,0,2,72,28,0,0,59,3,77,3,24,13,4,0,10,64
63,2012-04-01,3,39,18,3,68,1,0,2,12,0,1,72,26,0,0,63,3,76,3,25,10,4,0,11,63
64,2012-05-01,3,41,19,3,67,1,0,3,12,0,1,78,22,0,0,65,2,83,3,27,10,5,0,13,62
65,2012-06-01,3,42,20,3,66,1,0,3,11,0,1,91,19,0,0,61,3,90,3,25,14,3,0,12,58
66,2012-07-01,4,46,21,3,67,1,0,2,9,0,1,83,20,0,0,56,2,93,3,27,8,7,0,14,53
67,2012-08-01,4,46,25,2,65,1,0,2,12,0,1,76,23,0,0,56,3,88,3,25,13,5,0,10,56
68,2012-09-01,5,44,26,4,64,1,0,2,14,0,2,72,29,0,0,52,4,81,1,24,10,5,0,14,70
69,2012-10-01,4,48,21,4,58,1,0,2,14,0,1,68,24,0,0,58,4,77,3,22,10,3,0,14,63
70,2012-11-01,3,46,22,3,76,1,0,2,14,0,1,65,23,0,0,50,1,81,3,19,11,3,0,11,57
71,2012-12-01,3,43,19,3,58,1,0,2,14,0,1,66,19,0,0,48,2,71,2,17,7,2,0,11,51
72,2013-01-01,4,44,22,3,69,1,0,2,16,0,1,70,27,0,0,53,3,72,3,20,8,6,0,11,75
73,2013-02-01,4,44,23,4,69,1,0,2,13,0,1,67,29,0,0,56,3,78,4,21,8,6,0,9,77
74,2013-03-01,3,38,22,2,67,1,0,3,12,0,1,72,24,0,0,59,2,79,2,24,11,5,0,8,67
75,2013-04-01,4,40,19,3,70,1,0,2,13,0,1,77,25,0,0,57,5,94,5,25,9,3,0,11,65
76,2013-05-01,3,44,18,3,67,1,0,2,11,0,1,80,20,0,0,55,3,84,3,25,13,5,0,12,57
77,2013-06-01,3,49,18,4,66,1,0,2,9,0,1,90,18,0,0,58,3,91,3,25,9,3,0,14,57
78,2013-07-01,3,55,13,3,65,1,0,2,8,0,1,90,17,0,0,48,2,94,2,29,9,2,0,8,49
79,2013-08-01,2,64,16,3,62,1,0,2,8,0,0,81,17,0,0,42,1,81,3,23,7,3,0,7,40
80,2013-09-01,3,63,18,2,58,1,0,1,11,0,1,70,21,0,0,36,2,78,3,20,6,6,0,8,42
81,2013-10-01,3,54,18,3,55,1,0,2,11,0,1,71,22,0,0,50,2,78,2,21,12,3,0,6,53
82,2013-11-01,3,52,17,3,70,1,0,2,10,0,1,65,19,0,0,44,3,81,4,19,8,3,0,8,49
83,2013-12-01,2,56,19,3,63,1,0,2,11,0,1,75,20,0,0,44,2,73,1,15,5,3,0,10,48
84,2014-01-01,3,54,24,4,62,1,0,2,13,0,1,67,29,0,0,52,4,81,2,22,9,5,0,12,69
85,2014-02-01,3,49,19,3,64,1,0,2,13,0,1,67,26,0,0,55,3,75,3,21,11,4,0,14,66
86,2014-03-01,3,48,22,4,65,1,0,2,11,0,1,68,24,0,0,51,3,86,3,25,10,4,0,11,63
87,2014-04-01,3,55,19,3,65,1,0,2,12,0,1,77,27,0,0,60,3,85,4,23,10,6,0,9,63
88,2014-05-01,3,52,17,3,69,1,0,2,10,0,1,85,21,0,0,57,3,91,3,27,10,2,0,11,54
89,2014-06-01,3,55,17,4,69,1,0,2,9,0,0,91,21,0,0,60,2,92,3,29,11,2,0,12,54
90,2014-07-01,2,59,17,3,68,1,0,2,8,0,0,91,21,0,0,55,4,91,3,31,10,2,0,9,53
91,2014-08-01,2,64,23,3,71,1,0,3,10,0,1,82,20,0,0,53,3,97,2,27,9,3,0,8,51
92,2014-09-01,3,59,22,3,64,1,0,2,12,0,1,73,30,0,0,54,3,79,3,24,9,2,0,10,60
93,2014-10-01,3,60,20,3,60,1,0,2,11,0,1,69,26,0,0,55,4,83,3,25,8,4,0,14,61
94,2014-11-01,3,59,18,4,72,1,0,2,9,0,0,71,23,0,0,50,2,81,3,21,7,2,0,13,55
95,2014-12-01,2,71,17,3,62,1,0,2,10,0,1,69,20,0,0,42,2,76,2,19,11,2,0,10,45
96,2015-01-01,3,64,21,4,62,1,0,2,10,0,0,70,26,0,0,47,2,76,3,22,9,2,0,12,50
97,2015-02-01,3,63,19,4,70,1,0,2,10,0,1,70,30,0,0,52,4,78,3,23,10,3,0,10,57
98,2015-03-01,2,61,16,3,65,1,0,2,10,0,1,71,23,0,0,50,3,83,2,24,12,3,0,13,51
99,2015-04-01,3,65,17,5,66,1,0,2,10,0,1,78,27,0,0,54,3,90,3,26,9,2,0,13,54
100,2015-05-01,2,66,15,3,65,1,0,2,9,0,1,75,18,0,0,51,3,91,3,26,7,1,0,10,45
101,2015-06-01,3,73,15,4,69,1,0,2,7,0,0,91,20,0,0,56,3,91,4,27,11,3,0,10,46
102,2015-07-01,2,73,15,4,70,1,0,2,8,0,1,90,20,0,0,57,2,89,2,31,12,2,0,10,48
103,2015-08-01,3,73,18,4,63,1,0,2,8,0,0,85,21,0,0,49,3,91,4,29,6,0,0,12,48
104,2015-09-01,3,70,20,5,62,1,0,2,11,0,1,73,29,0,0,50,2,85,3,26,11,1,0,13,49
105,2015-10-01,3,70,17,4,59,1,0,2,10,0,1,73,25,0,0,53,4,82,3,29,12,3,0,15,54
106,2015-11-01,3,65,17,4,70,1,0,2,9,0,0,75,24,0,0,45,2,80,3,23,9,1,0,13,44
107,2015-12-01,2,79,15,4,60,1,0,2,8,0,1,74,21,0,0,42,3,73,2,21,8,2,0,12,39
108,2016-01-01,2,72,14,3,62,1,0,3,8,0,0,78,27,0,0,34,4,82,3,24,10,2,0,9,36
109,2016-02-01,2,69,13,4,69,1,0,2,8,0,1,73,28,0,0,43,2,85,1,23,14,1,0,12,43
110,2016-03-01,2,68,11,5,66,1,0,2,8,0,0,77,26,0,0,44,2,85,3,27,11,2,0,7,37
111,2016-04-01,2,65,11,4,69,1,0,2,7,0,0,80,23,0,0,38,2,94,2,28,15,2,0,10,37
112,2016-05-01,2,70,10,4,69,0,0,2,6,0,0,87,18,0,0,38,2,92,2,28,8,1,0,7,34
113,2016-06-01,2,76,10,4,64,1,0,2,6,0,0,95,15,0,0,41,2,92,2,35,10,1,0,10,30
114,2016-07-01,1,82,8,3,65,1,0,1,5,0,0,99,13,0,0,37,2,93,3,24,6,1,0,11,28
115,2016-08-01,2,77,14,4,65,1,0,2,7,0,0,94,18,0,0,37,2,96,3,29,9,2,0,10,29
116,2016-09-01,2,76,11,4,64,1,0,2,8,0,0,78,24,0,0,36,2,90,3,26,10,2,0,11,38
117,2016-10-01,2,71,10,3,61,1,0,1,7,0,1,74,20,0,0,39,2,84,2,25,9,1,0,9,34
118,2016-11-01,1,75,9,3,69,1,0,1,6,0,0,71,19,0,0,40,3,87,2,22,9,1,0,8,37
119,2016-12-01,2,86,9,3,60,1,0,2,6,0,1,75,19,0,0,34,2,75,2,19,5,0,0,10,31
120,2017-01-01,2,78,10,4,60,1,0,2,6,0,0,74,23,0,0,35,3,81,2,21,10,1,0,8,38
121,2017-02-01,2,73,11,4,66,1,0,2,8,0,0,69,26,0,0,42,2,81,3,27,10,2,0,13,40
122,2017-03-01,2,75,9,4,67,1,0,2,7,0,0,77,23,0,0,43,2,92,2,38,10,1,0,11,42
123,2017-04-01,1,81,9,4,66,1,0,2,6,0,0,78,23,0,0,42,2,91,3,28,13,2,0,9,37
124,2017-05-01,2,85,8,4,69,1,0,2,6,0,0,90,18,0,0,41,2,96,2,30,9,1,0,10,32
125,2017-06-01,1,93,8,3,69,1,0,2,4,0,0,100,15,0,0,41,3,100,3,34,9,0,0,8,32
126,2017-07-01,1,91,7,4,68,1,0,2,4,0,0,96,15,0,0,35,3,100,2,29,10,1,0,6,28
127,2017-08-01,2,91,11,4,65,1,0,2,5,0,0,92,20,0,0,41,2,93,2,31,9,0,0,10,30
128,2017-09-01,2,90,10,4,63,1,0,2,7,0,0,78,24,0,0,36,3,89,3,27,12,0,0,8,36
129,2017-10-01,2,86,9,4,61,1,0,2,6,0,0,73,22,0,0,41,2,84,3,26,13,1,0,9,36
130,2017-11-01,2,90,10,4,70,1,0,2,6,0,0,68,21,0,0,39,2,88,2,24,12,1,0,8,34
131,2017-12-01,1,100,8,4,57,1,0,2,6,0,0,67,19,0,0,34,2,77,2,22,12,0,0,8,27
