,date,microsoft excel,customer service,microsoft office,scheduling,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development
0,2007-01-01,3,12,16,3,13,0,2,62,39,0,0,92,4,65,5,28,13,100,0,35
1,2007-02-01,3,13,20,2,11,0,2,58,38,0,0,98,4,55,5,29,16,92,0,39
2,2007-03-01,4,14,17,2,12,1,2,64,38,0,0,91,5,64,3,27,6,63,0,34
3,2007-04-01,4,14,17,3,12,1,2,64,37,0,0,92,4,62,4,28,17,68,0,36
4,2007-05-01,3,16,16,2,11,1,1,68,39,0,0,92,4,69,4,27,12,53,0,31
5,2007-06-01,3,16,16,2,10,1,1,71,30,0,0,100,4,71,5,28,14,43,0,34
6,2007-07-01,3,15,16,2,10,1,1,70,31,0,0,89,3,64,4,29,23,55,0,36
7,2007-08-01,3,17,20,3,12,1,1,72,30,0,0,100,4,70,4,29,11,73,0,35
8,2007-09-01,3,13,20,3,15,0,1,63,37,0,0,84,4,60,3,25,16,60,0,31
9,2007-10-01,3,15,17,2,12,1,2,61,34,0,0,88,5,63,4,22,17,44,0,27
10,2007-11-01,3,13,16,1,12,1,2,49,30,0,0,74,3,58,3,20,13,49,0,20
11,2007-12-01,3,14,15,1,11,0,2,53,25,0,0,63,3,53,3,16,7,44,0,20
12,2008-01-01,3,15,19,2,12,0,1,54,32,0,0,76,3,56,4,19,16,42,0,27
13,2008-02-01,3,13,18,2,13,0,2,52,33,0,0,77,2,53,4,20,16,48,0,27
14,2008-03-01,3,12,17,2,13,0,1,52,30,0,0,72,3,55,3,23,15,55,0,26
15,2008-04-01,3,12,17,2,12,0,2,50,29,0,0,75,3,55,4,18,9,52,0,22
16,2008-05-01,2,11,14,2,11,0,2,51,23,0,0,68,3,55,5,18,8,36,0,20
17,2008-06-01,3,14,15,2,10,0,1,53,24,0,0,71,3,53,4,20,15,46,0,16
18,2008-07-01,3,13,15,1,9,0,1,53,24,0,0,69,2,50,3,20,13,40,0,22
19,2008-08-01,3,14,16,1,10,0,1,47,21,0,0,65,2,47,4,18,10,45,0,18
20,2008-09-01,3,15,17,1,13,0,2,45,27,0,0,61,2,47,3,17,9,41,0,20
21,2008-10-01,3,13,15,1,11,0,1,41,25,0,0,72,3,42,4,15,11,39,0,22
22,2008-11-01,2,13,15,1,11,0,1,41,21,0,0,58,2,40,3,14,5,37,0,22
23,2008-12-01,2,16,15,1,10,0,1,44,18,0,0,58,2,41,2,13,11,40,0,15
24,2009-01-01,2,16,16,2,11,1,1,44,25,0,0,60,3,41,3,14,7,45,0,23
25,2009-02-01,2,15,17,1,11,0,1,43,25,0,0,61,2,38,2,15,13,50,0,17
26,2009-03-01,2,14,17,2,11,0,1,41,22,0,0,58,2,41,3,15,10,44,0,19
27,2009-04-01,3,13,16,1,11,0,1,40,23,0,0,60,2,43,2,16,11,35,0,19
28,2009-05-01,3,13,16,1,11,0,1,41,17,0,0,57,2,37,2,13,6,41,0,15
29,2009-06-01,2,15,14,1,10,0,1,42,17,0,0,60,2,40,2,15,10,33,0,14
30,2009-07-01,2,14,15,1,8,0,1,43,18,0,0,57,1,39,2,15,9,34,0,14
31,2009-08-01,2,16,17,1,10,1,1,42,17,0,0,53,2,39,2,15,10,36,0,16
32,2009-09-01,3,15,19,1,13,0,1,38,20,0,0,55,2,36,3,13,9,36,0,16
33,2009-10-01,3,14,19,1,11,0,1,36,21,0,0,55,2,35,2,14,10,33,0,15
34,2009-11-01,2,15,19,1,11,0,1,35,17,0,0,52,2,33,2,11,10,27,0,17
35,2009-12-01,2,17,19,1,10,1,1,36,16,0,0,45,1,33,2,10,8,26,0,11
36,2010-01-01,2,16,18,1,10,1,1,38,19,0,0,49,1,36,2,12,9,28,0,13
37,2010-02-01,3,16,20,1,11,1,1,33,20,0,0,49,2,33,2,13,9,19,0,14
38,2010-03-01,2,16,19,1,11,1,1,35,20,0,0,52,2,34,2,13,9,20,0,15
39,2010-04-01,2,16,18,1,11,0,1,35,18,0,0,51,2,33,2,13,12,18,0,16
40,2010-05-01,2,17,17,1,10,0,1,34,15,0,0,48,1,35,2,13,11,14,0,13
41,2010-06-01,2,22,16,1,9,1,1,38,15,0,0,48,1,37,2,13,9,12,0,14
42,2010-07-01,2,21,14,1,6,1,0,39,14,0,0,40,1,34,2,12,8,14,0,12
43,2010-08-01,2,21,16,1,8,1,1,39,15,0,0,43,1,36,2,14,10,14,0,13
44,2010-09-01,2,21,16,1,9,1,1,36,18,0,0,40,2,32,1,11,10,14,0,9
45,2010-10-01,2,20,16,1,9,1,1,34,17,0,0,41,1,33,2,11,10,11,0,12
46,2010-11-01,2,22,16,1,9,1,1,34,14,0,0,37,1,31,1,10,11,10,0,12
47,2010-12-01,1,25,13,1,7,1,1,34,13,0,0,34,1,30,1,9,9,12,0,7
48,2011-01-01,3,35,20,2,16,1,2,66,34,0,0,72,4,64,3,25,23,15,0,23
49,2011-02-01,3,33,19,2,15,1,2,66,35,0,0,74,4,65,3,27,30,15,0,28
50,2011-03-01,3,31,18,3,15,1,2,66,33,0,0,84,4,65,3,30,26,15,0,27
51,2011-04-01,3,31,18,2,14,1,2,70,33,0,0,78,3,71,2,28,28,18,0,29
52,2011-05-01,3,35,16,2,12,1,2,76,33,0,0,73,3,77,3,29,28,13,0,26
53,2011-06-01,3,37,17,2,12,1,2,82,31,0,0,83,3,81,4,33,22,15,0,28
54,2011-07-01,3,41,17,2,12,1,1,84,31,0,0,77,4,77,4,35,22,8,0,24
55,2011-08-01,3,45,17,2,11,1,1,74,32,0,0,75,3,75,3,34,22,10,0,24
56,2011-09-01,3,43,19,2,16,1,1,73,35,0,0,76,3,72,4,28,22,10,0,28
57,2011-10-01,3,39,17,2,15,1,1,71,36,0,0,70,4,71,3,29,20,11,0,26
58,2011-11-01,3,37,17,2,13,1,2,66,33,0,0,71,5,71,2,24,27,10,0,26
59,2011-12-01,2,41,17,2,12,1,2,67,27,0,0,62,2,68,3,23,25,11,0,24
60,2012-01-01,3,40,18,2,13,1,2,66,35,0,0,63,3,70,3,25,24,10,0,31
61,2012-02-01,3,38,16,2,14,1,2,65,37,0,0,67,4,72,4,27,26,8,0,28
62,2012-03-01,3,38,17,2,13,1,2,70,34,0,0,69,4,73,3,30,32,6,0,27
63,2012-04-01,2,38,14,2,12,1,2,67,34,0,0,69,4,72,3,29,22,10,0,26
64,2012-05-01,3,41,15,2,12,1,1,74,31,0,0,73,4,73,3,30,22,7,0,21
65,2012-06-01,3,43,13,2,11,1,1,81,31,0,0,78,4,81,3,33,29,7,0,25
66,2012-07-01,2,47,15,2,9,1,1,82,28,0,0,73,4,77,3,34,29,10,0,22
67,2012-08-01,3,48,19,2,11,1,1,80,33,0,0,77,4,82,4,35,23,6,0,23
