,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,16,26,4,75,1,0,4,9,0,1,65,23,0,0,84,3,57,2,17,4,87,0,16,85
1,2007-02-01,4,14,26,3,83,1,0,4,12,0,1,62,25,0,0,92,3,62,3,18,8,100,0,16,90
2,2007-03-01,4,16,27,3,81,1,0,3,10,0,1,60,26,0,0,93,2,60,3,20,12,88,0,18,87
3,2007-04-01,3,17,23,3,89,1,0,5,10,1,1,65,22,0,0,87,4,66,3,17,5,74,0,16,93
4,2007-05-01,4,16,24,3,69,1,0,4,9,1,2,69,24,0,0,92,4,65,3,18,6,50,0,19,86
5,2007-06-01,4,16,23,3,70,1,0,4,9,0,1,68,22,0,0,92,3,66,3,19,11,51,0,27,84
6,2007-07-01,3,20,21,2,70,1,0,3,7,1,1,73,22,0,0,97,4,68,3,18,9,60,0,23,84
7,2007-08-01,4,19,22,2,73,1,0,3,9,0,1,72,19,0,0,100,3,74,3,20,8,70,0,22,83
8,2007-09-01,3,17,23,3,71,1,0,4,10,1,1,68,19,0,0,95,4,70,4,14,10,60,0,17,78
9,2007-10-01,4,18,24,3,69,1,0,4,12,0,1,66,24,0,0,93,4,60,4,16,9,65,0,18,90
10,2007-11-01,4,17,25,4,78,1,0,4,10,0,1,64,22,0,0,84,3,64,3,12,8,55,0,19,81
11,2007-12-01,5,16,24,2,71,1,0,3,9,1,1,65,18,0,0,74,4,62,3,13,7,59,0,13,70
12,2008-01-01,3,18,26,4,76,1,0,4,12,0,1,61,23,0,0,83,4,67,3,17,8,57,0,22,78
13,2008-02-01,4,15,26,3,84,1,0,4,10,0,1,61,25,0,0,94,4,62,2,16,7,56,0,21,87
14,2008-03-01,3,17,25,3,78,1,0,4,11,0,2,61,22,0,0,91,4,64,3,16,5,60,0,19,86
15,2008-04-01,4,18,26,3,83,1,0,4,10,0,1,64,24,0,0,98,4,67,2,15,6,51,0,18,87
16,2008-05-01,4,19,23,3,71,1,0,4,11,1,2,64,23,0,0,84,4,65,4,16,9,50,0,17,84
17,2008-06-01,4,22,24,2,72,1,0,4,11,0,1,69,20,0,0,89,4,68,3,17,7,51,0,17,75
18,2008-07-01,4,22,19,3,73,1,0,4,9,0,1,75,20,0,0,100,4,73,3,15,8,52,0,25,80
19,2008-08-01,4,24,22,3,68,1,0,3,9,0,1,70,20,0,0,92,3,71,3,17,7,52,0,16,69
20,2008-09-01,3,29,25,2,69,1,0,3,11,1,1,68,25,0,0,94,3,70,5,14,5,48,0,19,76
21,2008-10-01,4,27,25,3,66,1,0,4,11,1,1,67,26,0,0,92,3,64,3,13,8,54,0,14,82
22,2008-11-01,3,29,23,3,85,1,0,3,10,0,2,61,21,0,0,83,3,61,3,12,4,44,0,14,79
23,2008-12-01,3,32,23,2,73,1,0,3,9,0,1,63,18,0,0,77,3,61,3,12,8,41,0,16,72
24,2009-01-01,4,34,25,3,78,1,0,4,11,1,1,71,25,0,0,83,4,67,3,14,9,55,0,17,74
25,2009-02-01,3,32,24,3,87,1,0,4,11,0,1,66,24,0,0,95,3,64,3,17,6,51,0,19,82
26,2009-03-01,3,28,23,3,86,1,0,3,11,0,1,63,25,0,0,91,3,72,4,18,11,53,0,17,83
27,2009-04-01,4,28,24,2,88,1,0,3,12,1,1,68,24,0,0,92,3,71,3,19,6,48,0,14,82
28,2009-05-01,4,31,22,3,74,1,0,3,11,0,1,74,22,0,0,80,2,70,4,15,6,44,0,12,73
29,2009-06-01,4,38,22,3,74,0,0,3,10,0,1,72,22,0,0,92,3,77,3,17,8,34,0,19,70
30,2009-07-01,3,36,24,2,76,1,0,3,9,1,0,79,21,0,0,82,2,77,3,16,9,40,0,13,74
31,2009-08-01,3,39,24,2,75,1,0,3,10,1,1,79,21,0,0,85,4,79,2,18,9,40,0,16,71
32,2009-09-01,3,40,28,3,74,1,0,4,12,1,2,73,23,0,0,74,3,74,4,17,11,35,0,15,69
33,2009-10-01,4,38,28,2,75,1,0,3,13,0,1,70,25,0,0,80,2,68,2,17,7,50,0,22,75
34,2009-11-01,5,39,30,3,100,1,0,3,13,1,1,69,24,0,0,73,3,70,3,13,11,31,0,15,81
35,2009-12-01,4,43,26,3,76,1,0,3,12,1,1,73,20,0,0,69,2,64,2,12,7,29,0,11,73
36,2010-01-01,4,44,30,3,76,1,0,3,15,1,1,69,25,0,0,71,3,67,3,19,7,27,0,20,70
37,2010-02-01,4,41,29,3,84,1,0,3,13,1,1,67,26,0,0,85,3,71,3,18,9,16,0,15,76
38,2010-03-01,4,45,26,3,82,1,0,4,13,1,2,72,24,0,0,84,3,65,3,17,13,20,0,14,80
39,2010-04-01,4,42,27,2,84,1,0,3,14,1,1,73,26,0,0,78,3,69,3,18,16,27,0,21,81
40,2010-05-01,3,41,27,3,73,1,0,4,12,1,1,69,23,0,0,73,3,72,2,17,14,16,0,14,71
41,2010-06-01,4,46,30,3,71,1,0,4,14,1,1,73,22,0,0,80,3,77,2,16,8,13,0,21,67
42,2010-07-01,3,49,26,3,71,1,0,3,9,1,1,77,17,0,0,68,3,73,3,16,14,15,0,13,65
43,2010-08-01,3,43,22,3,72,1,0,3,9,1,1,77,21,0,0,75,2,76,2,18,11,15,0,13,64
44,2010-09-01,4,42,28,2,68,1,0,3,14,1,1,71,21,0,0,67,3,69,3,15,14,15,0,22,66
45,2010-10-01,4,38,27,2,65,1,0,4,14,1,1,67,22,0,0,65,2,66,3,14,12,14,0,10,74
46,2010-11-01,4,45,26,3,83,1,0,3,12,1,1,67,21,0,0,61,2,63,2,13,13,11,0,16,72
47,2010-12-01,3,48,23,2,68,1,0,3,11,1,1,67,17,0,0,58,2,56,2,12,10,18,0,13,63
48,2011-01-01,4,53,24,2,76,1,0,3,12,1,1,71,21,0,0,55,4,64,3,15,11,13,0,16,71
49,2011-02-01,3,47,19,2,84,1,0,3,11,1,1,70,23,0,0,61,3,66,3,15,11,14,0,12,80
50,2011-03-01,3,40,21,3,76,1,0,3,10,1,2,71,20,0,0,60,3,66,2,15,13,11,0,16,82
51,2011-04-01,3,42,20,2,78,1,0,4,10,1,1,73,21,0,0,56,3,69,2,15,10,14,0,16,80
52,2011-05-01,3,44,19,2,65,1,0,3,10,1,1,73,18,0,0,56,2,72,3,15,9,11,0,15,72
53,2011-06-01,3,52,19,2,69,1,0,2,9,1,1,78,16,0,0,57,2,74,2,13,12,7,0,16,67
54,2011-07-01,3,50,16,2,71,1,0,3,7,1,1,82,17,0,0,53,2,76,3,15,11,8,0,12,66
55,2011-08-01,2,52,16,2,69,1,0,3,7,1,0,79,14,0,0,58,3,72,2,16,7,9,0,10,68
56,2011-09-01,3,55,19,3,70,1,0,3,10,1,1,77,18,0,0,54,2,71,3,15,12,8,0,15,70
57,2011-10-01,2,49,19,3,64,1,0,3,12,1,1,70,21,0,0,57,3,75,3,14,13,7,0,14,79
58,2011-11-01,2,48,17,2,86,1,0,3,9,1,1,68,16,0,0,48,2,66,2,14,12,8,0,9,69
59,2011-12-01,2,55,16,2,65,1,0,2,8,1,1,66,13,0,0,41,2,60,1,12,9,5,0,9,57
60,2012-01-01,3,56,16,2,65,1,0,3,9,1,1,67,18,0,0,41,2,63,2,12,9,6,0,13,62
61,2012-02-01,3,50,15,2,78,1,0,3,9,1,1,67,21,0,0,49,3,64,2,14,9,6,0,12,70
62,2012-03-01,3,51,16,3,71,1,0,3,8,1,1,65,19,0,0,50,2,67,2,14,11,4,0,13,70
63,2012-04-01,3,54,16,2,75,1,0,3,9,1,1,73,18,0,0,49,3,68,2,15,9,5,0,13,70
64,2012-05-01,2,56,13,2,66,1,0,3,8,1,1,72,16,0,0,47,2,70,2,15,9,4,0,9,65
65,2012-06-01,2,53,13,2,68,1,0,3,7,1,1,76,15,0,0,49,3,76,2,17,8,3,0,13,65
66,2012-07-01,3,55,15,2,69,1,0,3,6,1,0,82,15,0,0,47,2,79,3,16,9,5,0,12,69
67,2012-08-01,2,58,15,2,66,1,0,2,7,1,0,78,15,0,0,49,2,80,3,16,11,4,0,12,68
68,2012-09-01,3,58,17,2,66,0,0,3,9,1,1,73,17,0,0,48,2,77,3,14,10,5,0,11,68
69,2012-10-01,3,60,17,3,64,1,0,3,10,1,1,68,20,0,0,51,2,68,2,14,13,3,0,11,77
70,2012-11-01,2,59,15,2,78,1,0,3,9,1,1,67,16,0,0,41,2,66,2,13,12,5,0,14,69
71,2012-12-01,2,60,15,2,62,1,0,2,8,1,1,62,14,0,0,35,2,64,2,12,8,5,0,11,58
72,2013-01-01,3,54,20,3,73,1,0,4,9,1,1,69,20,0,0,44,2,71,2,14,12,3,0,13,100
73,2013-02-01,3,54,17,2,78,1,0,3,10,1,1,64,20,0,0,47,3,65,2,16,12,6,0,14,88
74,2013-03-01,2,53,17,3,75,1,0,3,9,1,1,68,19,0,0,44,3,73,2,16,13,5,0,13,86
75,2013-04-01,2,54,17,3,76,1,0,3,9,1,1,70,21,0,0,46,3,77,2,17,10,5,0,11,83
76,2013-05-01,2,59,14,2,68,1,0,3,8,1,1,75,16,0,0,45,2,79,2,16,10,4,0,12,77
77,2013-06-01,2,57,14,2,68,1,0,3,7,1,1,81,15,0,0,42,2,79,2,15,8,4,0,10,72
78,2013-07-01,2,60,13,2,69,1,0,3,6,1,0,85,14,0,0,43,2,81,2,17,9,4,0,10,68
79,2013-08-01,2,65,14,3,68,0,0,3,6,1,0,78,13,0,0,42,2,81,2,16,8,4,0,11,65
80,2013-09-01,2,67,17,3,65,1,0,2,8,1,1,76,16,0,0,43,2,79,2,13,12,4,0,9,67
81,2013-10-01,3,63,17,3,65,1,0,3,9,1,1,71,20,0,0,50,3,71,2,14,13,3,0,14,87
82,2013-11-01,2,58,15,3,76,1,0,3,8,1,1,69,17,0,0,43,2,72,2,14,11,7,0,12,76
83,2013-12-01,2,63,16,2,65,1,0,2,8,1,0,67,15,0,0,40,2,62,2,11,9,5,0,9,68
84,2014-01-01,2,67,18,2,70,1,0,3,9,1,1,68,21,0,0,46,3,65,2,14,11,3,0,17,83
85,2014-02-01,3,63,15,3,76,1,0,3,8,1,1,70,20,0,0,45,2,69,2,15,11,3,0,12,82
86,2014-03-01,3,59,17,2,73,1,0,3,8,1,1,71,19,0,0,47,3,73,1,16,8,4,0,15,80
87,2014-04-01,3,60,16,3,74,1,0,3,8,1,1,75,19,0,0,50,3,73,3,17,12,5,0,15,90
88,2014-05-01,2,62,15,2,68,1,0,3,8,1,1,76,18,0,0,49,2,78,2,18,12,5,0,13,84
89,2014-06-01,2,68,15,2,67,1,0,3,7,1,1,77,17,0,0,51,3,80,2,18,11,5,0,13,80
90,2014-07-01,3,67,14,2,71,1,0,3,6,1,0,82,16,0,0,53,3,82,2,17,14,3,0,13,86
91,2014-08-01,2,71,14,3,70,1,0,3,6,1,0,78,15,0,0,48,2,81,2,18,9,4,0,15,77
92,2014-09-01,2,73,16,3,63,1,0,3,7,1,1,74,17,0,0,43,2,78,1,15,10,2,0,11,71
93,2014-10-01,2,71,16,3,61,1,0,3,8,1,1,71,20,0,0,53,3,72,2,16,16,2,0,14,90
94,2014-11-01,2,66,15,3,72,1,0,3,7,1,1,70,16,0,0,44,3,70,2,14,9,4,0,10,84
95,2014-12-01,2,81,15,2,61,1,0,2,7,1,0,69,14,0,0,40,2,67,1,14,10,2,0,8,69
96,2015-01-01,2,68,16,3,68,1,0,3,8,1,0,69,19,0,0,45,2,70,2,15,11,2,0,12,78
97,2015-02-01,2,72,14,3,74,1,0,3,8,1,0,70,22,0,0,48,3,71,2,17,13,2,0,11,88
98,2015-03-01,3,71,15,3,72,1,0,3,8,1,1,73,21,0,0,50,2,77,2,19,12,2,0,11,86
99,2015-04-01,2,74,14,3,73,1,0,3,8,1,1,75,21,0,0,52,3,78,2,18,11,2,0,13,83
100,2015-05-01,2,71,12,3,71,1,0,3,7,1,1,77,18,0,0,52,2,77,2,20,14,3,0,15,85
101,2015-06-01,3,77,14,4,69,1,0,3,6,1,0,83,16,0,0,59,2,82,1,21,12,2,0,14,83
102,2015-07-01,2,75,14,3,72,0,0,3,6,1,0,86,16,0,0,64,3,84,2,21,14,2,0,14,93
103,2015-08-01,2,74,15,3,69,1,0,3,6,1,0,81,15,0,0,56,2,82,2,19,10,2,0,14,86
104,2015-09-01,3,80,16,3,65,1,0,3,7,1,1,75,18,0,0,58,3,80,2,19,11,2,0,11,85
105,2015-10-01,2,75,16,4,64,1,0,3,9,1,1,69,20,0,0,61,3,74,2,17,15,3,0,12,96
106,2015-11-01,2,78,14,3,74,1,0,3,7,1,0,71,16,0,0,50,3,75,2,16,12,1,0,12,84
107,2015-12-01,2,81,12,3,65,1,0,2,6,1,0,70,15,0,0,46,2,67,1,16,10,2,0,13,76
108,2016-01-01,2,73,12,3,66,1,0,3,6,1,1,72,20,0,0,40,2,74,2,16,11,2,0,11,69
109,2016-02-01,2,85,10,3,78,1,0,3,6,1,0,81,22,0,0,46,2,87,2,22,15,1,0,12,81
110,2016-03-01,2,77,11,3,72,1,0,3,6,1,0,81,18,0,0,47,3,84,2,21,12,1,0,13,78
111,2016-04-01,2,75,10,3,77,1,0,3,5,1,0,86,19,0,0,48,2,91,2,22,14,2,0,10,75
112,2016-05-01,2,66,9,3,72,1,0,2,5,1,0,79,17,0,0,47,2,81,2,20,14,1,0,12,75
113,2016-06-01,2,80,10,3,70,1,0,2,5,1,0,82,15,0,0,51,2,83,2,19,14,1,0,9,77
114,2016-07-01,1,88,9,3,68,1,0,2,4,1,0,82,13,0,0,43,2,86,2,18,11,1,0,9,70
115,2016-08-01,1,83,10,4,67,1,0,2,5,1,0,85,16,0,0,46,2,86,1,21,11,1,0,10,66
116,2016-09-01,1,84,10,4,66,0,0,2,5,1,0,77,17,0,0,41,2,85,2,19,11,1,0,11,64
117,2016-10-01,2,76,10,4,62,1,0,3,6,1,0,74,19,0,0,46,2,82,2,19,12,1,0,10,74
118,2016-11-01,1,82,10,4,73,1,0,3,5,1,0,81,17,0,0,45,3,85,1,18,13,1,0,11,77
119,2016-12-01,1,93,9,3,60,1,0,3,4,1,0,77,14,0,0,38,2,74,2,16,9,1,0,9,64
120,2017-01-01,2,86,10,3,64,1,0,3,6,1,0,76,19,0,0,44,2,73,2,18,12,1,0,14,75
121,2017-02-01,2,85,10,4,73,1,0,3,5,1,0,74,19,0,0,49,2,78,2,20,13,1,0,13,87
122,2017-03-01,2,81,9,4,77,1,0,3,5,1,0,79,20,0,0,53,3,81,2,21,14,1,0,14,88
123,2017-04-01,2,85,10,3,82,1,0,3,5,1,0,82,19,0,0,49,3,87,2,21,13,1,0,11,85
124,2017-05-01,2,93,9,3,73,0,0,3,5,1,0,87,17,0,0,52,2,88,2,20,13,1,0,12,87
125,2017-06-01,1,91,8,4,69,1,0,3,4,1,0,86,15,0,0,46,2,88,1,20,10,1,0,12,83
126,2017-07-01,2,98,8,3,74,0,0,2,4,1,0,94,14,0,0,44,2,97,2,21,10,1,0,9,79
127,2017-08-01,2,93,9,4,71,1,0,3,4,1,0,100,26,0,0,47,4,100,2,21,12,1,0,14,80
128,2017-09-01,2,97,9,4,68,1,0,3,6,1,0,84,17,0,0,44,2,93,2,21,11,1,0,10,73
129,2017-10-01,2,91,9,4,65,1,0,3,6,1,0,78,18,0,0,47,3,86,2,19,13,1,0,13,89
130,2017-11-01,2,95,9,3,75,1,0,3,5,1,0,74,15,0,0,45,2,77,2,19,14,0,0,12,81
