,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,7,18,26,5,58,1,0,3,11,0,2,55,38,0,0,86,3,67,5,17,12,67,0,20,88
1,2007-02-01,5,16,30,5,59,1,0,3,14,0,2,52,38,0,0,88,2,68,5,13,10,100,0,25,100
2,2007-03-01,5,16,27,3,61,1,0,3,12,0,2,54,35,0,0,86,1,69,5,12,11,42,0,28,94
3,2007-04-01,5,17,25,7,70,1,0,2,12,0,2,57,31,0,0,83,3,72,5,19,12,42,0,26,84
4,2007-05-01,5,19,24,6,65,1,0,2,11,0,2,65,32,0,0,92,3,70,5,21,21,46,0,28,84
5,2007-06-01,4,16,24,4,58,1,0,3,8,0,1,66,30,0,0,100,2,78,3,20,11,41,0,25,76
6,2007-07-01,6,21,24,3,70,1,0,2,9,0,1,70,28,0,0,94,5,78,4,13,7,45,0,30,78
7,2007-08-01,4,24,25,5,61,1,0,2,9,0,1,65,31,0,0,93,3,86,5,20,13,45,0,25,80
8,2007-09-01,6,18,30,5,66,1,0,3,16,0,2,61,40,0,0,86,5,70,6,13,13,36,0,25,83
9,2007-10-01,7,21,27,6,59,1,0,3,13,0,2,53,35,0,0,93,2,72,4,17,13,53,0,29,86
10,2007-11-01,6,17,28,5,69,1,0,3,14,0,2,54,35,0,0,87,3,70,2,13,18,52,0,19,82
11,2007-12-01,4,22,24,5,55,1,0,2,13,0,2,59,28,0,0,73,3,68,7,12,10,46,0,19,76
12,2008-01-01,7,21,31,5,59,1,0,3,10,0,1,59,34,0,0,87,2,69,7,14,8,51,0,17,67
13,2008-02-01,7,19,27,4,59,0,0,2,12,0,1,55,37,0,0,84,2,70,4,16,12,64,0,18,86
14,2008-03-01,5,17,26,4,63,1,0,3,12,0,1,59,37,0,0,85,4,76,4,12,16,52,0,20,75
15,2008-04-01,5,18,24,6,65,1,0,3,13,0,2,63,33,0,0,86,3,73,2,16,15,43,0,28,81
16,2008-05-01,5,21,24,4,67,1,0,2,12,0,2,64,30,0,0,83,2,74,2,17,5,34,0,20,75
17,2008-06-01,5,21,23,3,62,1,0,2,9,0,1,71,25,0,0,87,3,71,5,20,17,41,0,18,66
18,2008-07-01,5,27,23,3,64,1,0,2,10,0,1,73,28,0,0,93,3,77,4,18,13,38,0,21,68
19,2008-08-01,5,27,26,4,56,1,0,2,10,0,1,65,26,0,0,88,2,79,4,13,8,51,0,27,66
20,2008-09-01,6,29,33,5,62,1,0,3,18,0,2,60,40,0,0,79,3,74,5,22,20,51,0,20,83
21,2008-10-01,5,30,28,4,61,1,0,3,14,0,2,56,38,0,0,86,3,76,4,13,13,47,0,19,85
