,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,JAVA
0,2007-01-01,6,20,37,12,68,0,0,5,68,0,0,68,0,43,0,12,84
1,2007-02-01,8,14,37,6,67,6,0,0,40,0,0,63,10,37,0,24,62
2,2007-03-01,17,23,29,11,69,3,0,3,32,0,0,61,7,36,0,23,68
3,2007-04-01,6,15,36,13,65,0,0,4,44,0,0,59,7,57,0,27,99
4,2007-05-01,6,14,39,11,80,3,0,4,32,0,0,67,0,45,0,10,73
5,2007-06-01,6,23,23,6,63,0,0,3,22,0,0,92,15,72,0,25,62
6,2007-07-01,6,24,13,8,100,3,0,3,30,0,0,63,0,48,0,13,50
7,2007-08-01,8,20,28,10,83,3,0,5,28,0,0,94,0,63,0,10,73
8,2007-09-01,5,10,34,6,74,0,0,3,31,0,0,65,6,53,0,7,78
9,2007-10-01,5,21,33,5,58,3,0,5,30,0,0,59,0,38,0,22,84
10,2007-11-01,5,12,28,0,78,2,0,5,30,0,0,64,0,59,0,13,63
11,2007-12-01,8,17,42,5,51,2,0,0,33,0,0,63,6,52,0,8,57
12,2008-01-01,7,22,40,17,54,2,0,2,29,0,0,64,0,59,0,5,55
13,2008-02-01,6,13,25,5,89,4,0,2,35,0,0,64,0,49,0,7,56
14,2008-03-01,7,25,38,8,63,4,0,5,46,0,0,60,0,45,0,16,42
15,2008-04-01,10,18,23,0,74,0,0,3,39,0,0,86,6,49,0,10,60
16,2008-05-01,4,13,36,4,73,0,0,2,38,0,0,75,5,47,0,7,60
17,2008-06-01,5,18,25,0,82,0,0,5,41,0,0,59,0,69,0,13,61
18,2008-07-01,14,22,21,5,63,4,0,3,36,0,0,63,7,52,0,16,56
19,2008-08-01,0,25,36,14,77,0,0,2,35,0,0,55,7,55,0,14,79
20,2008-09-01,17,26,37,4,50,2,0,2,66,0,0,82,0,59,0,11,66
21,2008-10-01,4,21,25,4,66,2,0,2,34,0,0,63,0,50,0,11,65
22,2008-11-01,6,21,30,5,89,2,0,2,34,0,0,57,5,49,0,13,62
23,2008-12-01,4,32,27,8,78,2,0,4,40,0,0,52,5,47,0,15,40
24,2009-01-01,5,37,27,4,73,3,0,4,30,0,0,56,0,47,0,11,68
25,2009-02-01,4,23,33,11,65,4,0,0,42,0,0,51,6,41,0,20,51
26,2009-03-01,9,27,25,5,61,2,0,2,47,0,0,58,0,51,0,10,51
27,2009-04-01,13,28,36,4,65,3,0,5,42,0,0,60,6,50,0,6,69
28,2009-05-01,7,26,25,0,65,0,0,3,43,0,0,38,6,46,0,12,54
29,2009-06-01,4,32,24,4,79,3,0,3,30,0,0,65,7,59,0,24,76
30,2009-07-01,12,35,17,0,69,2,0,2,21,0,0,70,0,71,0,11,55
31,2009-08-01,4,35,26,9,75,0,0,2,39,0,0,89,0,67,0,12,53
32,2009-09-01,7,27,38,13,60,0,0,3,49,0,0,76,0,56,0,10,43
33,2009-10-01,13,32,48,6,72,2,0,3,63,0,0,92,4,42,0,8,47
34,2009-11-01,5,41,40,11,83,2,0,2,45,0,0,35,0,40,0,18,76
35,2009-12-01,6,47,40,6,60,0,0,4,31,0,0,42,0,42,0,12,53
36,2010-01-01,11,51,37,4,61,3,0,3,37,0,0,76,5,61,0,13,75
37,2010-02-01,4,51,26,4,62,2,0,2,50,0,0,66,5,24,0,15,78
38,2010-03-01,6,37,40,0,65,2,0,3,32,0,0,100,5,52,0,21,76
39,2010-04-01,7,51,38,5,68,4,0,2,40,0,0,56,0,44,0,14,75
40,2010-05-01,8,39,30,9,69,0,0,2,27,0,0,73,0,46,0,13,44
41,2010-06-01,8,62,26,7,70,2,0,4,41,0,0,82,6,59,0,8,66
42,2010-07-01,5,53,27,0,81,0,0,2,32,0,0,88,0,85,0,10,61
43,2010-08-01,13,35,23,8,72,2,0,2,55,0,0,61,5,78,0,19,30
44,2010-09-01,8,41,48,7,58,0,0,3,54,0,0,60,0,48,0,10,55
45,2010-10-01,7,47,55,5,66,2,0,1,33,0,0,90,3,60,0,12,57
46,2010-11-01,8,53,41,2,92,3,0,2,32,0,0,33,0,51,0,13,53
47,2010-12-01,6,50,37,4,64,2,0,1,40,0,0,57,0,56,0,7,59
48,2011-01-01,7,42,43,5,73,3,0,3,37,0,0,54,4,60,0,13,62
49,2011-02-01,3,46,31,2,79,1,0,3,28,0,0,43,3,48,0,7,52
50,2011-03-01,4,34,30,5,67,2,0,2,37,0,0,40,5,44,0,15,55
51,2011-04-01,4,42,29,4,73,0,0,1,35,0,0,70,0,39,0,13,49
52,2011-05-01,5,30,38,3,66,1,0,1,30,0,0,39,0,46,0,23,31
53,2011-06-01,4,51,27,4,68,1,0,4,36,0,0,45,0,57,0,14,57
54,2011-07-01,6,43,18,6,69,1,0,2,41,0,0,47,0,53,0,15,61
55,2011-08-01,6,46,22,4,73,3,0,1,36,0,0,45,0,61,0,9,51
56,2011-09-01,3,52,39,2,63,2,0,2,44,0,0,33,3,51,0,18,64
57,2011-10-01,8,35,28,0,57,2,0,2,41,0,0,36,0,41,0,10,64
58,2011-11-01,7,35,27,4,79,1,0,4,33,0,0,58,0,45,0,11,54
59,2011-12-01,4,55,29,2,62,1,0,1,41,0,0,44,3,47,0,7,43
60,2012-01-01,7,53,31,4,53,2,0,3,50,0,0,42,3,44,0,7,42
61,2012-02-01,3,44,22,4,68,1,0,0,46,0,0,39,2,47,0,18,71
62,2012-03-01,5,35,24,4,65,1,0,4,40,0,0,51,4,50,0,10,44
63,2012-04-01,6,41,28,6,63,1,0,2,51,0,0,49,2,58,0,13,58
64,2012-05-01,6,50,19,5,56,1,0,1,48,0,0,61,3,72,0,9,35
65,2012-06-01,3,36,20,2,60,0,0,2,22,0,0,39,3,58,0,19,48
66,2012-07-01,4,44,30,2,61,1,0,1,24,0,0,32,4,52,0,13,60
67,2012-08-01,2,41,28,3,70,1,0,2,33,0,0,35,0,56,0,13,52
68,2012-09-01,6,44,28,0,59,1,0,1,35,0,0,32,3,61,0,10,62
69,2012-10-01,3,42,30,4,55,2,0,2,45,0,0,36,2,64,0,16,51
70,2012-11-01,5,47,21,4,81,1,0,2,26,0,0,34,2,44,0,15,63
71,2012-12-01,3,39,20,2,55,2,0,1,42,0,0,36,2,52,0,14,58
72,2013-01-01,6,46,32,2,60,1,0,2,45,0,0,34,2,52,0,11,100
73,2013-02-01,3,45,27,4,64,1,0,4,43,0,0,33,4,47,0,14,87
74,2013-03-01,8,47,27,2,56,1,0,1,35,0,0,19,2,74,0,12,75
75,2013-04-01,4,47,27,2,64,2,0,2,43,0,0,36,5,67,0,15,64
76,2013-05-01,3,39,25,8,65,2,0,1,34,0,0,29,3,59,0,22,60
77,2013-06-01,5,55,28,5,64,1,0,3,30,0,0,32,0,75,0,16,49
78,2013-07-01,4,51,16,2,75,0,0,1,22,0,0,30,2,62,0,18,64
79,2013-08-01,3,55,34,2,60,1,0,1,26,0,0,40,2,64,0,13,47
80,2013-09-01,5,51,29,2,54,1,0,3,37,0,0,34,2,60,0,9,56
81,2013-10-01,3,42,27,5,57,1,0,1,41,0,0,38,2,73,0,10,69
82,2013-11-01,2,46,30,4,69,2,0,1,26,0,0,29,0,58,0,10,71
83,2013-12-01,3,62,25,2,53,1,0,1,23,0,0,26,2,42,0,16,40
84,2014-01-01,3,52,27,4,66,1,0,2,38,0,0,35,3,50,0,9,55
85,2014-02-01,5,51,28,3,58,1,0,2,45,0,0,39,2,55,0,9,65
86,2014-03-01,3,55,27,3,60,1,0,1,40,0,0,33,2,60,0,17,60
87,2014-04-01,4,49,30,4,57,1,0,2,53,0,0,40,2,63,0,10,59
88,2014-05-01,3,59,15,3,68,1,0,1,21,0,0,28,3,64,0,17,56
89,2014-06-01,5,57,21,7,73,0,0,1,20,0,0,46,0,66,0,22,41
90,2014-07-01,4,58,16,4,64,1,0,1,15,0,0,42,2,82,0,17,52
91,2014-08-01,4,64,26,4,63,1,0,1,22,0,0,39,2,68,0,21,52
92,2014-09-01,4,61,29,5,53,1,0,2,46,0,0,39,2,54,0,18,35
93,2014-10-01,3,56,20,4,47,1,0,1,42,0,0,42,0,66,0,14,41
94,2014-11-01,5,51,20,3,68,1,0,1,26,0,0,36,2,59,0,15,52
95,2014-12-01,4,63,22,3,52,1,0,1,33,0,0,32,2,47,0,15,44
96,2015-01-01,4,54,26,4,66,2,0,1,33,0,0,19,2,68,0,12,36
97,2015-02-01,2,65,20,4,66,1,0,1,66,0,0,30,4,53,0,11,59
98,2015-03-01,4,52,19,4,64,2,0,1,58,0,0,34,2,65,0,22,50
99,2015-04-01,5,59,20,5,71,1,0,1,57,0,0,39,0,73,0,23,50
