,date,registered nurses,software developers applications,retail sales persons,customer service representatives
0,2007-01-01,44,0,0,0
1,2007-02-01,53,0,0,0
2,2007-03-01,100,0,0,0
3,2007-04-01,59,0,0,0
4,2007-05-01,78,0,0,0
5,2007-06-01,31,0,0,0
6,2007-07-01,58,0,0,0
7,2007-08-01,32,0,0,0
8,2007-09-01,46,0,0,0
9,2007-10-01,40,0,0,0
10,2007-11-01,52,0,0,0
11,2007-12-01,29,0,0,0
12,2008-01-01,44,0,0,0
13,2008-02-01,69,0,0,0
14,2008-03-01,47,0,0,0
15,2008-04-01,47,0,0,0
16,2008-05-01,64,0,0,0
17,2008-06-01,56,0,0,0
18,2008-07-01,61,0,0,0
19,2008-08-01,32,0,0,0
20,2008-09-01,57,0,0,0
21,2008-10-01,68,0,0,0
22,2008-11-01,37,0,0,0
23,2008-12-01,29,0,0,0
24,2009-01-01,38,0,0,0
25,2009-02-01,72,0,0,0
26,2009-03-01,67,0,0,0
27,2009-04-01,83,0,0,0
28,2009-05-01,63,0,0,0
29,2009-06-01,31,0,0,0
30,2009-07-01,67,0,0,0
31,2009-08-01,41,0,0,0
32,2009-09-01,56,0,0,0
33,2009-10-01,57,0,0,0
34,2009-11-01,50,0,0,0
35,2009-12-01,46,0,0,0
36,2010-01-01,55,0,0,0
37,2010-02-01,75,0,0,0
38,2010-03-01,84,0,0,0
39,2010-04-01,35,0,0,0
40,2010-05-01,53,0,0,0
41,2010-06-01,53,0,0,0
42,2010-07-01,81,0,0,0
43,2010-08-01,29,0,0,0
44,2010-09-01,52,0,0,0
45,2010-10-01,50,0,0,0
46,2010-11-01,71,0,0,0
47,2010-12-01,45,0,0,0
48,2011-01-01,38,0,0,0
49,2011-02-01,54,0,0,0
50,2011-03-01,33,0,0,0
51,2011-04-01,42,0,0,0
52,2011-05-01,36,0,0,0
53,2011-06-01,35,0,0,0
54,2011-07-01,32,0,0,0
55,2011-08-01,37,0,0,0
56,2011-09-01,37,0,0,0
57,2011-10-01,41,0,0,0
58,2011-11-01,40,0,0,0
59,2011-12-01,47,0,0,0
60,2012-01-01,42,0,0,0
61,2012-02-01,31,0,0,0
62,2012-03-01,35,0,0,0
63,2012-04-01,44,0,0,0
64,2012-05-01,36,0,0,0
65,2012-06-01,41,0,0,0
66,2012-07-01,34,0,0,0
67,2012-08-01,34,0,0,0
68,2012-09-01,39,0,0,0
69,2012-10-01,45,0,0,0
70,2012-11-01,40,0,0,0
71,2012-12-01,26,0,0,0
72,2013-01-01,33,0,0,0
73,2013-02-01,34,0,0,0
74,2013-03-01,44,0,0,0
75,2013-04-01,27,0,0,0
76,2013-05-01,37,0,0,0
77,2013-06-01,34,0,0,0
78,2013-07-01,31,0,0,0
79,2013-08-01,35,0,0,0
80,2013-09-01,40,0,0,0
81,2013-10-01,54,0,0,0
82,2013-11-01,32,0,0,0
83,2013-12-01,35,0,0,0
84,2014-01-01,32,0,0,0
85,2014-02-01,44,0,0,0
86,2014-03-01,32,0,0,0
87,2014-04-01,35,0,0,0
88,2014-05-01,33,0,0,0
89,2014-06-01,40,0,0,0
90,2014-07-01,42,0,0,0
91,2014-08-01,41,0,0,0
92,2014-09-01,43,0,0,0
93,2014-10-01,36,0,0,0
94,2014-11-01,35,0,0,0
95,2014-12-01,23,0,0,0
96,2015-01-01,33,0,0,0
97,2015-02-01,30,0,0,0
98,2015-03-01,48,0,0,0
99,2015-04-01,29,0,0,0
100,2015-05-01,37,0,0,0
101,2015-06-01,32,0,0,0
102,2015-07-01,35,0,0,0
103,2015-08-01,24,0,0,0
104,2015-09-01,36,0,0,0
105,2015-10-01,35,0,0,0
106,2015-11-01,37,0,0,0
107,2015-12-01,33,0,0,0
108,2016-01-01,41,0,0,0
109,2016-02-01,26,0,0,0
110,2016-03-01,44,0,0,0
111,2016-04-01,35,0,0,0
112,2016-05-01,30,0,0,0
113,2016-06-01,30,0,0,0
114,2016-07-01,33,0,0,0
115,2016-08-01,38,0,0,0
116,2016-09-01,41,0,0,0
117,2016-10-01,35,0,0,0
118,2016-11-01,36,0,0,0
119,2016-12-01,36,0,0,0
120,2017-01-01,34,0,0,0
121,2017-02-01,39,0,0,0
122,2017-03-01,47,0,0,0
123,2017-04-01,54,0,0,0
124,2017-05-01,42,0,0,0
125,2017-06-01,38,0,0,0
126,2017-07-01,41,0,0,0
127,2017-08-01,25,0,0,0
128,2017-09-01,48,0,0,0
129,2017-10-01,47,0,0,0
130,2017-11-01,46,0,0,0
131,2017-12-01,46,0,0,0
