,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,2,0,64,1,3,2,3,1,65,18,1,74,0,14,41,1,10,0,7,6,19,2,1
1,2013-01-13,2,3,0,68,1,3,3,3,0,73,20,1,74,0,14,45,1,11,1,10,3,30,4,6
2,2013-01-20,2,3,0,69,1,3,3,2,0,74,19,1,74,0,12,48,1,11,0,9,5,17,2,4
3,2013-01-27,2,3,0,65,1,6,3,3,0,100,16,1,79,0,13,42,1,10,0,8,5,29,3,4
4,2013-02-03,2,2,1,62,1,3,2,1,0,85,20,0,72,0,14,47,1,10,0,8,3,25,3,4
5,2013-02-10,1,1,0,64,1,3,3,3,0,82,15,1,71,0,9,46,1,14,1,7,5,24,2,4
6,2013-02-17,2,1,1,66,1,3,2,2,1,73,19,1,74,0,9,44,1,9,0,7,3,22,4,3
7,2013-02-24,2,2,0,66,1,4,3,3,0,72,19,2,75,0,10,46,1,11,1,6,3,26,2,2
8,2013-03-03,2,2,0,64,1,5,5,3,1,69,22,1,74,0,11,43,1,11,1,7,3,28,1,4
9,2013-03-10,2,2,0,62,1,5,3,3,0,64,15,1,64,0,12,46,1,11,0,7,1,25,1,4
10,2013-03-17,2,2,0,63,0,4,3,3,1,60,13,2,71,0,10,48,1,10,0,7,4,28,1,5
11,2013-03-24,2,1,0,61,1,4,2,4,0,64,14,2,95,0,11,42,1,13,1,8,3,29,2,3
12,2013-03-31,2,2,0,65,1,4,2,3,1,66,18,2,83,0,14,45,1,13,1,8,7,28,1,2
13,2013-04-07,2,2,0,68,0,3,3,2,0,81,19,1,77,0,10,44,1,9,1,7,3,25,3,5
14,2013-04-14,2,2,0,60,1,3,2,2,1,75,17,1,78,0,17,44,1,12,1,8,5,28,0,6
15,2013-04-21,2,1,0,65,0,2,1,5,0,48,20,1,79,0,10,49,1,13,1,7,6,35,4,4
16,2013-04-28,3,2,0,61,1,4,2,2,0,41,16,1,79,0,12,48,1,13,1,6,4,30,2,4
17,2013-05-05,3,2,0,65,1,5,3,4,0,40,14,0,79,0,12,46,1,15,0,8,4,29,0,5
18,2013-05-12,2,2,0,61,1,2,4,6,0,43,15,1,77,0,14,52,1,16,1,8,3,34,2,4
19,2013-05-19,2,2,0,66,1,2,3,3,0,40,18,1,75,0,10,49,1,12,1,8,5,24,2,6
20,2013-05-26,2,1,0,64,1,5,2,3,0,36,17,1,76,0,16,50,1,13,0,8,8,29,2,5
21,2013-06-02,2,2,0,64,1,3,1,2,0,39,17,1,76,0,10,46,1,14,1,7,6,28,2,4
22,2013-06-09,2,1,0,68,1,3,2,3,1,31,19,1,74,0,14,51,1,12,1,9,4,23,2,5
23,2013-06-16,2,1,0,65,1,4,2,8,0,42,11,1,75,0,14,41,1,16,0,9,8,32,2,6
24,2013-06-23,3,2,0,64,1,3,3,6,0,33,17,1,77,0,12,51,1,13,1,7,6,21,3,4
25,2013-06-30,2,2,0,63,1,2,4,5,0,29,15,1,75,0,13,45,1,14,1,7,5,19,2,5
26,2013-07-07,2,2,0,63,1,2,3,5,1,40,13,1,83,0,13,47,0,11,0,8,4,20,3,4
27,2013-07-14,2,1,0,62,1,4,3,5,1,37,17,1,85,0,12,41,1,12,1,9,4,25,2,8
28,2013-07-21,3,1,0,61,1,3,3,3,0,46,18,1,79,0,10,47,1,12,1,8,4,22,2,2
29,2013-07-28,3,2,0,62,1,3,3,5,1,62,15,1,79,0,14,44,1,12,1,9,3,28,2,2
30,2013-08-04,2,2,1,59,1,3,4,3,0,44,16,1,79,0,15,44,1,11,1,9,9,29,2,2
31,2013-08-11,2,1,0,66,1,3,3,3,0,30,15,1,75,0,14,43,1,12,1,9,3,23,3,4
32,2013-08-18,2,1,1,61,1,2,3,2,0,35,18,1,82,0,13,44,1,10,0,9,4,28,2,3
33,2013-08-25,2,1,1,64,1,3,3,2,1,38,16,2,84,0,14,42,1,12,1,9,5,29,3,5
34,2013-09-01,2,1,0,68,1,6,2,4,0,37,19,1,77,0,12,44,1,11,1,8,4,26,2,5
35,2013-09-08,2,2,1,63,1,4,3,3,0,37,20,2,81,0,12,43,1,11,1,9,6,27,4,3
36,2013-09-15,2,1,1,60,2,3,2,4,0,31,16,1,77,0,12,47,1,13,1,7,5,24,2,2
37,2013-09-22,2,2,0,64,1,4,3,3,1,40,17,1,74,0,11,41,1,10,0,8,5,19,3,3
38,2013-09-29,2,2,0,64,1,3,3,5,0,35,19,1,81,0,13,47,1,10,1,9,8,32,3,6
39,2013-10-06,2,2,0,60,1,3,3,5,0,35,21,0,81,0,12,51,1,10,1,9,4,27,4,2
40,2013-10-13,2,2,0,59,1,2,3,2,0,45,17,1,76,0,19,43,0,12,1,10,3,25,2,4
41,2013-10-20,2,1,0,60,1,2,2,4,1,40,19,2,79,0,18,49,1,11,1,7,5,39,3,3
42,2013-10-27,2,2,1,60,1,3,3,3,0,40,19,2,78,0,13,48,1,13,0,8,4,22,2,2
43,2013-11-03,2,1,0,68,1,4,2,4,0,41,20,1,73,0,14,46,1,10,0,9,3,31,2,3
44,2013-11-10,2,1,0,72,1,3,3,4,0,40,20,1,83,0,12,44,1,12,1,8,5,18,2,4
45,2013-11-17,2,2,0,68,1,4,4,2,1,43,19,1,71,0,15,50,1,13,0,7,7,30,3,8
46,2013-11-24,2,1,0,68,0,2,2,3,1,35,15,1,83,0,11,42,0,19,1,9,5,25,1,3
47,2013-12-01,1,2,1,68,1,4,2,4,0,35,17,1,80,0,15,51,1,11,0,7,3,26,1,5
48,2013-12-08,3,2,0,65,1,5,1,3,0,43,16,2,75,0,16,47,1,14,1,7,4,33,2,3
49,2013-12-15,2,1,0,70,1,2,2,3,0,39,14,1,75,0,13,44,1,13,1,7,3,32,2,4
50,2013-12-22,1,2,0,64,1,1,2,3,0,38,12,1,78,0,11,47,0,20,0,9,2,23,0,3
51,2013-12-29,1,2,0,71,1,2,2,7,1,47,18,1,82,0,14,46,0,22,0,7,4,27,2,5
52,2014-01-05,2,2,0,69,1,3,4,6,1,52,17,0,76,0,14,44,1,10,0,8,4,21,2,4
53,2014-01-12,2,2,0,68,1,3,3,3,1,64,22,1,78,0,18,47,1,11,0,8,4,29,1,1
54,2014-01-19,2,2,1,75,1,2,4,3,1,65,19,1,77,0,16,50,1,11,1,9,3,22,4,4
55,2014-01-26,2,2,0,70,1,2,3,2,1,90,16,1,80,0,18,45,1,10,1,8,5,27,1,5
56,2014-02-02,2,2,0,67,1,2,3,2,1,89,19,2,71,0,17,44,1,12,0,9,4,28,1,2
57,2014-02-09,2,2,0,67,1,3,3,4,0,74,18,1,74,0,12,49,1,18,0,9,3,24,4,3
58,2014-02-16,3,3,0,75,1,3,1,5,0,72,17,1,73,0,9,52,1,12,0,7,4,24,3,4
59,2014-02-23,2,4,0,71,1,2,2,4,0,75,13,1,81,0,11,52,1,15,1,7,3,26,3,6
60,2014-03-02,2,2,0,71,1,2,4,3,0,59,22,1,65,0,10,48,1,15,0,8,5,28,2,3
61,2014-03-09,2,2,0,68,1,2,3,3,0,66,17,1,79,0,9,45,1,14,0,6,3,28,3,4
62,2014-03-16,2,2,0,67,1,4,2,5,0,65,17,1,75,0,10,46,1,14,1,8,3,22,2,4
63,2014-03-23,2,2,0,68,1,2,3,4,0,67,19,1,91,0,10,46,1,13,0,8,3,24,3,6
64,2014-03-30,2,1,0,70,1,2,4,4,0,72,17,1,85,0,13,50,1,14,1,7,4,30,2,3
65,2014-04-06,2,2,0,67,1,4,2,3,0,79,20,1,76,0,10,50,1,16,0,8,4,28,2,4
66,2014-04-13,1,1,0,66,0,4,2,3,0,86,17,1,100,0,11,46,0,14,0,8,6,34,4,4
67,2014-04-20,2,2,0,65,0,3,4,3,0,48,18,2,78,0,11,49,1,20,1,8,2,31,2,4
68,2014-04-27,2,2,1,66,1,4,2,3,0,41,17,1,85,0,13,49,1,13,1,8,6,27,3,2
69,2014-05-04,2,2,0,74,1,3,2,4,0,41,20,1,74,0,11,49,1,19,1,9,6,31,4,3
70,2014-05-11,2,2,0,67,1,4,2,2,0,43,16,2,79,0,12,48,1,20,0,8,4,37,2,2
71,2014-05-18,2,1,0,69,1,3,2,3,0,41,18,1,82,0,14,53,1,12,1,9,5,53,3,2
72,2014-05-25,1,2,0,69,1,2,2,3,1,38,15,2,85,0,12,51,1,18,1,10,7,56,3,6
73,2014-06-01,1,3,0,69,1,3,3,2,0,42,19,1,76,0,13,45,1,14,1,9,3,35,2,5
74,2014-06-08,3,2,0,67,1,5,4,4,0,38,17,1,78,0,12,46,1,14,0,8,7,23,3,9
75,2014-06-15,3,2,0,71,1,4,3,3,0,38,17,2,82,0,13,49,1,18,1,9,6,38,0,6
76,2014-06-22,3,3,0,71,1,3,4,4,0,37,15,1,80,0,16,57,1,13,1,8,3,34,3,4
77,2014-06-29,2,2,0,70,1,2,2,3,0,38,14,0,78,0,11,50,1,14,1,6,4,31,2,3
78,2014-07-06,3,2,0,66,1,2,3,3,0,37,16,1,83,0,13,49,1,14,1,7,7,19,3,6
79,2014-07-13,2,2,1,71,1,3,4,5,1,37,20,1,79,0,12,45,1,12,1,8,5,27,2,4
80,2014-07-20,2,1,0,70,1,2,4,4,1,43,20,1,80,0,15,46,1,13,1,8,5,24,2,4
81,2014-07-27,3,2,0,69,1,5,2,3,1,56,18,1,77,0,13,46,1,15,1,9,3,21,3,2
82,2014-08-03,1,2,0,71,1,5,3,3,0,35,17,2,91,0,12,47,1,13,1,10,4,24,5,4
83,2014-08-10,2,1,1,62,1,3,2,3,0,35,17,1,73,0,10,48,1,14,0,11,3,27,2,2
84,2014-08-17,3,2,0,67,1,3,2,3,0,36,18,1,75,0,11,49,1,15,1,8,3,22,3,4
85,2014-08-24,3,1,1,65,1,2,3,2,0,37,22,1,82,0,10,46,1,13,0,8,2,28,2,2
86,2014-08-31,1,2,1,71,1,4,4,1,0,41,18,1,77,0,10,46,1,11,1,8,4,24,5,2
87,2014-09-07,2,1,1,64,1,3,2,4,0,38,19,2,85,0,13,45,1,13,1,8,2,28,3,4
88,2014-09-14,2,2,0,69,1,3,5,3,0,34,19,1,82,0,10,45,1,13,2,7,5,19,3,4
89,2014-09-21,2,1,0,66,1,3,4,4,1,38,18,2,84,0,9,43,1,14,0,8,4,24,3,4
