,date,anxiety,closing,entrepreneur,home,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better
0,2013-01-06,0,0,0,43,0,38,0,0,26,0,0,25,0,34,0,0
1,2013-01-13,0,0,0,19,0,41,0,0,0,0,0,32,0,35,0,0
2,2013-01-20,0,0,0,31,0,63,57,0,27,0,0,27,0,0,0,0
3,2013-01-27,0,0,0,32,0,82,0,0,26,0,0,71,0,40,0,38
4,2013-02-03,0,0,0,33,0,0,0,0,31,0,0,55,0,0,0,0
5,2013-02-10,0,0,0,35,0,63,0,0,56,0,0,37,0,37,0,0
6,2013-02-17,0,0,0,27,0,40,0,0,37,0,0,39,0,0,0,43
7,2013-02-24,0,25,0,67,0,88,0,0,26,0,0,52,0,0,0,0
8,2013-03-03,0,0,0,61,0,44,0,0,29,0,0,26,0,36,0,0
9,2013-03-10,0,0,0,57,0,35,70,0,24,0,0,36,0,0,0,45
10,2013-03-17,0,0,0,51,0,0,33,0,66,0,0,41,0,0,0,41
11,2013-03-24,0,23,0,33,0,49,0,0,100,0,0,25,0,0,0,34
12,2013-03-31,0,0,0,20,0,41,0,0,73,0,0,25,0,0,0,0
13,2013-04-07,0,0,0,81,0,33,0,0,53,0,0,46,0,0,0,0
14,2013-04-14,0,0,0,43,0,34,0,0,0,0,0,22,0,0,0,0
15,2013-04-21,0,24,0,45,0,0,43,0,30,0,0,29,0,39,0,0
16,2013-04-28,0,0,0,17,0,0,38,0,0,0,0,67,0,45,0,0
17,2013-05-05,0,0,0,40,0,37,0,0,51,0,0,30,0,37,0,0
18,2013-05-12,0,0,0,35,0,0,43,0,0,0,0,80,0,0,0,0
19,2013-05-19,0,0,0,26,0,0,0,0,32,0,0,67,0,79,0,0
20,2013-05-26,0,0,0,47,0,43,58,0,32,0,0,41,0,0,0,0
21,2013-06-02,0,28,0,28,0,59,39,0,0,0,0,49,0,0,0,0
22,2013-06-09,0,0,0,49,0,44,0,0,62,0,0,41,0,0,0,0
23,2013-06-16,0,0,0,43,0,0,0,0,45,0,0,67,0,0,0,0
24,2013-06-23,0,0,0,33,0,0,44,0,34,0,0,64,0,0,0,41
25,2013-06-30,0,0,0,60,0,58,58,0,0,0,0,40,0,0,0,0
26,2013-07-07,0,0,0,50,0,57,39,0,0,0,0,55,0,0,0,37
27,2013-07-14,0,0,0,30,0,0,0,0,0,0,0,27,0,0,0,0
28,2013-07-21,0,0,0,53,0,0,0,0,75,0,0,62,0,0,0,40
29,2013-07-28,0,0,0,42,0,0,0,0,63,0,0,46,0,0,0,0
30,2013-08-04,0,0,0,28,0,0,0,0,28,0,0,56,0,0,0,0
31,2013-08-11,0,0,0,33,0,0,34,0,0,0,0,64,0,0,0,0
32,2013-08-18,0,0,0,64,0,0,0,0,45,0,0,49,0,38,0,0
33,2013-08-25,0,0,0,66,0,0,0,0,54,0,0,45,0,0,0,51
34,2013-09-01,0,0,0,57,0,0,0,0,0,0,0,29,0,45,0,0
35,2013-09-08,0,0,0,41,0,67,0,0,57,0,0,23,0,0,0,0
36,2013-09-15,0,0,0,23,0,32,0,0,35,0,0,22,0,30,0,0
37,2013-09-22,0,0,0,51,0,0,41,0,34,0,0,29,0,0,0,0
38,2013-09-29,0,0,0,29,0,60,35,0,28,0,0,35,0,32,0,0
39,2013-10-06,0,0,0,16,0,0,0,0,0,0,0,42,0,34,0,68
40,2013-10-13,0,0,0,29,0,0,0,0,27,0,0,23,0,37,0,0
41,2013-10-20,0,0,0,29,0,0,34,0,30,0,0,50,0,30,0,29
42,2013-10-27,0,0,0,18,0,34,34,0,26,0,0,24,0,0,0,43
43,2013-11-03,0,0,0,31,0,0,0,0,64,0,0,37,0,34,0,0
44,2013-11-10,0,0,0,61,0,0,0,0,25,0,0,73,0,0,0,42
45,2013-11-17,0,0,0,57,0,0,0,0,34,0,0,43,0,31,0,0
46,2013-11-24,0,16,0,69,0,0,36,0,0,0,0,42,0,33,0,0
47,2013-12-01,0,0,0,47,0,0,32,0,21,0,0,48,0,0,0,0
48,2013-12-08,0,0,0,41,0,0,0,0,46,0,0,68,0,0,0,32
49,2013-12-15,0,0,0,59,0,64,0,0,39,0,0,39,0,0,0,0
50,2013-12-22,0,0,0,58,0,31,0,0,0,0,0,32,0,28,0,0
51,2013-12-29,0,0,0,22,0,0,0,0,31,0,0,22,0,0,0,0
52,2014-01-05,0,14,0,41,0,0,29,0,32,0,0,25,0,29,0,40
53,2014-01-12,0,15,0,42,0,0,84,0,63,0,0,32,0,28,0,0
54,2014-01-19,0,0,0,40,0,33,0,0,23,0,0,46,0,31,0,27
55,2014-01-26,0,0,0,30,0,62,0,0,24,0,0,23,0,27,0,0
56,2014-02-02,0,0,0,35,0,65,45,0,23,0,0,25,0,34,0,0
57,2014-02-09,0,0,0,20,0,31,0,0,0,0,0,59,0,55,0,31
58,2014-02-16,0,0,0,50,0,0,28,0,32,0,0,23,0,0,0,28
59,2014-02-23,0,14,0,50,0,70,28,0,20,0,0,20,0,0,0,0
60,2014-03-02,0,0,0,33,0,28,37,0,19,0,0,42,0,0,0,52
61,2014-03-09,0,0,0,28,0,36,0,0,42,0,0,42,0,47,0,30
62,2014-03-16,0,0,0,28,0,88,27,0,0,0,0,22,0,38,0,48
63,2014-03-23,0,0,0,33,0,42,37,0,21,0,0,37,0,0,0,30
64,2014-03-30,0,0,0,55,0,28,0,0,36,0,0,47,0,27,0,0
65,2014-04-06,0,0,0,13,0,35,29,0,20,0,0,61,0,27,0,27
66,2014-04-13,0,0,0,19,0,0,30,0,21,0,0,28,0,0,0,31
67,2014-04-20,0,0,0,38,0,0,0,0,39,0,0,24,0,0,0,29
68,2014-04-27,0,0,0,44,0,0,31,0,26,0,0,37,0,0,0,31
69,2014-05-04,0,0,0,18,0,42,34,0,24,0,0,27,0,0,0,0
70,2014-05-11,0,0,0,35,0,0,0,0,23,0,0,46,0,30,0,0
71,2014-05-18,0,0,0,55,0,37,0,0,34,0,0,43,0,0,0,0
72,2014-05-25,0,0,0,58,0,0,0,0,58,0,0,95,0,49,0,0
73,2014-06-01,0,0,0,51,0,0,0,0,37,0,0,29,0,0,0,0
74,2014-06-08,0,0,0,56,0,42,0,0,29,0,0,80,0,0,0,39
75,2014-06-15,0,0,0,59,0,0,36,0,68,0,0,25,0,35,0,49
76,2014-06-22,0,0,0,61,0,0,40,0,25,0,0,54,0,0,0,34
77,2014-06-29,0,0,0,45,0,0,0,0,28,0,0,33,0,40,0,0
78,2014-07-06,0,0,0,34,0,0,0,0,53,0,0,51,0,0,0,0
79,2014-07-13,0,0,0,27,0,41,0,0,32,0,0,48,0,0,0,0
80,2014-07-20,0,0,0,21,0,0,0,0,60,0,0,47,0,42,0,41
81,2014-07-27,0,0,0,17,0,0,0,0,27,0,0,27,0,0,0,32
82,2014-08-03,0,19,0,57,0,0,0,0,31,0,0,34,0,0,0,52
83,2014-08-10,0,0,0,32,0,0,35,0,55,0,0,55,0,33,0,0
84,2014-08-17,0,0,0,17,0,0,0,0,28,0,0,0,0,33,0,0
85,2014-08-24,0,0,0,41,0,39,0,0,27,0,0,24,0,0,0,0
86,2014-08-31,0,0,0,37,0,0,0,0,27,0,0,27,0,34,0,48
87,2014-09-07,0,0,0,19,0,0,0,0,25,0,0,50,0,34,0,0
88,2014-09-14,0,0,0,32,0,0,35,0,44,0,0,37,0,32,0,69
89,2014-09-21,0,0,0,66,0,37,0,0,27,0,0,73,0,0,0,33
90,2014-09-28,0,0,0,26,0,0,37,0,49,0,0,59,0,0,0,0
91,2014-10-05,0,19,0,0,0,0,0,0,44,0,0,43,0,0,0,0
92,2014-10-12,0,20,0,57,0,50,0,0,25,0,0,27,0,33,0,0
93,2014-10-19,0,0,0,35,0,32,0,0,41,0,0,62,0,43,0,0
94,2014-10-26,0,0,0,35,0,0,0,0,43,0,0,50,0,63,0,31
95,2014-11-02,0,0,0,59,0,0,0,0,28,0,0,22,0,30,0,30
96,2014-11-09,0,16,0,40,0,0,32,0,0,0,0,20,0,0,0,32
97,2014-11-16,0,0,0,29,0,0,0,0,49,0,0,34,0,39,0,0
98,2014-11-23,0,0,0,35,0,34,36,0,27,0,0,50,0,33,0,39
99,2014-11-30,0,0,0,48,0,0,0,0,46,0,0,38,0,28,0,0
100,2014-12-07,0,0,0,67,0,0,0,0,40,0,0,38,0,0,0,0
101,2014-12-14,0,0,0,16,0,34,0,0,36,0,0,48,0,45,0,0
102,2014-12-21,0,0,0,57,0,39,0,0,28,0,0,83,0,38,0,0
103,2014-12-28,0,0,0,50,0,62,0,0,30,0,0,46,0,35,0,0
104,2015-01-04,0,16,0,41,0,34,44,0,21,0,0,32,0,28,0,41
105,2015-01-11,0,14,0,52,0,37,0,0,51,0,0,27,0,0,0,0
106,2015-01-18,0,0,0,47,0,35,0,0,24,0,0,23,0,0,0,33
107,2015-01-25,0,17,0,31,0,37,0,0,47,0,0,40,0,31,0,43
108,2015-02-01,0,0,0,21,0,92,0,0,0,0,0,37,0,44,0,0
109,2015-02-08,0,0,0,16,0,31,0,0,39,0,0,32,0,29,0,0
110,2015-02-15,0,0,0,64,0,49,34,0,0,0,0,26,0,0,0,0
111,2015-02-22,0,0,0,28,0,37,0,0,44,0,0,31,0,26,0,0
112,2015-03-01,0,0,0,26,0,0,0,0,38,0,0,74,0,51,0,33
113,2015-03-08,0,0,0,69,0,0,0,0,47,0,0,44,0,0,0,0
114,2015-03-15,0,0,0,47,0,0,0,0,0,0,0,58,0,31,0,0
115,2015-03-22,0,0,0,38,0,42,0,0,50,0,0,50,0,0,0,0
116,2015-03-29,0,0,0,39,0,37,0,0,28,0,0,44,0,34,0,39
117,2015-04-05,0,0,0,24,0,0,36,0,32,0,0,25,0,33,0,65
118,2015-04-12,0,0,0,25,0,94,0,0,45,0,0,25,0,56,0,100
119,2015-04-19,0,0,0,72,0,0,0,0,25,0,0,23,0,0,0,0
120,2015-04-26,0,0,0,36,0,47,47,0,41,0,0,52,0,0,0,0
121,2015-05-03,0,0,0,47,0,37,46,0,27,0,0,71,0,36,0,54
122,2015-05-10,0,0,0,74,0,0,40,0,27,0,0,28,0,33,0,0
123,2015-05-17,0,0,0,51,0,0,0,0,29,0,0,79,0,37,0,37
124,2015-05-24,0,0,0,67,0,0,0,0,29,0,0,0,0,44,0,39
125,2015-05-31,0,0,0,26,0,41,0,0,33,0,0,0,0,52,0,0
126,2015-06-07,0,0,0,41,0,38,0,0,48,0,0,40,0,0,0,0
127,2015-06-14,0,0,0,82,0,0,0,0,26,0,0,45,0,48,0,36
128,2015-06-21,0,0,0,30,0,0,0,0,47,0,0,44,0,44,0,0
129,2015-06-28,0,0,0,100,0,0,0,0,29,0,0,57,0,42,0,0
130,2015-07-05,0,0,0,48,0,40,0,0,45,0,0,39,0,40,0,43
131,2015-07-12,0,0,0,30,0,0,0,0,0,0,0,43,0,0,0,0
132,2015-07-19,0,0,0,55,0,36,47,0,35,0,0,48,0,0,0,0
133,2015-07-26,0,17,0,76,0,0,0,0,84,0,0,32,0,0,0,0
134,2015-08-02,0,16,0,48,0,0,39,0,29,0,0,71,0,30,0,0
135,2015-08-09,0,21,0,47,0,0,0,0,0,0,0,37,0,35,0,41
136,2015-08-16,0,0,0,44,0,35,0,0,30,0,0,0,0,0,0,0
137,2015-08-23,0,0,0,91,0,39,34,0,0,0,0,28,0,0,0,0
138,2015-08-30,0,0,0,31,0,0,0,0,22,0,0,44,0,0,0,0
139,2015-09-06,0,0,0,33,0,60,33,0,23,0,0,24,0,0,0,0
140,2015-09-13,0,0,0,25,0,0,58,0,37,0,0,30,0,0,0,0
141,2015-09-20,0,0,0,31,0,0,40,0,55,0,0,37,0,37,0,0
142,2015-09-27,0,0,0,41,0,34,0,0,38,0,0,22,0,0,0,0
143,2015-10-04,0,0,0,42,0,0,0,0,36,0,0,92,0,27,0,31
144,2015-10-11,0,0,0,30,0,0,0,0,73,0,0,39,0,0,0,36
145,2015-10-18,0,0,0,38,0,32,0,0,22,0,0,58,0,0,0,0
146,2015-10-25,0,0,0,38,0,43,43,0,26,0,0,43,0,32,0,31
147,2015-11-01,0,0,0,31,0,30,0,0,23,0,0,27,0,29,0,0
148,2015-11-08,0,16,0,38,0,0,0,0,62,0,0,0,0,0,0,26
149,2015-11-15,0,0,0,52,0,34,0,0,75,0,0,32,0,26,0,0
150,2015-11-22,0,0,0,39,0,38,0,0,22,0,0,34,0,36,0,0
151,2015-11-29,0,0,0,55,0,0,33,0,39,0,0,21,0,28,0,0
152,2015-12-06,0,0,0,46,0,0,0,0,22,0,0,33,0,29,0,30
153,2015-12-13,0,15,0,51,0,28,0,0,64,0,0,33,0,50,0,50
154,2015-12-20,0,0,0,58,0,0,0,0,40,0,0,80,0,53,0,0
155,2015-12-27,0,0,0,44,0,28,0,0,24,0,0,27,0,0,0,0
156,2016-01-03,0,0,0,39,0,31,31,0,20,0,0,86,0,0,0,0
157,2016-01-10,0,11,0,61,0,100,33,0,16,0,0,37,0,21,0,21
158,2016-01-17,0,0,0,31,0,30,0,0,18,0,0,18,0,70,0,33
159,2016-01-24,0,0,0,44,0,72,24,0,34,0,0,17,0,23,0,0
160,2016-01-31,0,0,0,44,0,50,34,0,36,0,0,36,0,24,0,25
161,2016-02-07,0,0,0,49,0,38,58,0,39,0,0,19,0,0,0,0
162,2016-02-14,0,19,0,83,0,46,0,0,22,0,0,0,0,23,0,0
163,2016-02-21,0,0,0,42,0,58,29,0,21,0,0,23,0,31,0,0
164,2016-02-28,0,0,0,33,0,0,27,0,19,0,0,43,0,46,0,51
165,2016-03-06,0,0,0,51,0,36,36,0,68,0,0,55,0,0,0,34
166,2016-03-13,0,0,0,37,0,56,28,0,18,0,0,18,0,0,0,28
167,2016-03-20,0,23,0,34,0,50,25,0,34,0,0,25,0,22,0,47
168,2016-03-27,0,0,0,46,0,51,33,0,21,0,0,29,0,0,0,0
169,2016-04-03,0,0,0,54,0,50,33,0,26,0,0,46,0,47,0,0
170,2016-04-10,0,0,0,24,0,34,43,0,25,0,0,19,0,23,0,0
171,2016-04-17,0,0,0,62,0,39,27,0,46,0,0,20,0,0,0,0
172,2016-04-24,0,0,0,52,0,0,0,0,38,0,0,18,0,26,0,0
173,2016-05-01,0,0,0,48,0,0,0,0,35,0,0,39,0,30,0,0
174,2016-05-08,0,0,0,26,0,24,0,0,31,0,0,32,0,24,0,27
175,2016-05-15,0,0,0,38,0,28,0,0,20,0,0,44,0,35,0,0
176,2016-05-22,0,0,0,80,0,33,0,0,42,0,0,36,0,31,0,0
177,2016-05-29,0,0,0,21,0,29,30,0,33,0,0,33,0,44,0,0
178,2016-06-05,0,0,0,48,0,0,0,0,22,0,0,20,0,0,0,27
179,2016-06-12,0,0,0,39,0,38,28,0,22,0,0,35,0,36,0,0
180,2016-06-19,0,0,0,49,0,0,0,0,28,0,0,41,0,0,0,25
181,2016-06-26,0,12,0,43,0,0,26,0,36,0,0,42,0,0,0,33
182,2016-07-03,0,0,0,28,0,0,0,0,21,0,0,44,0,28,0,0
183,2016-07-10,0,0,0,36,0,36,26,0,53,0,0,73,0,25,0,25
184,2016-07-17,0,0,0,28,0,42,0,0,42,0,0,49,0,28,0,39
185,2016-07-24,0,0,0,27,0,0,0,0,55,0,0,41,0,0,0,0
186,2016-07-31,0,15,0,33,0,36,25,0,33,0,0,33,0,26,0,0
187,2016-08-07,0,14,0,29,0,0,0,0,0,0,0,26,0,69,0,0
188,2016-08-14,0,0,0,65,0,0,0,0,22,0,0,21,0,0,0,0
189,2016-08-21,0,0,0,62,0,0,0,0,44,0,0,28,0,0,0,0
190,2016-08-28,0,0,0,41,0,30,25,0,91,0,0,40,0,0,0,34
191,2016-09-04,0,0,0,44,0,52,0,0,19,0,0,20,0,26,0,24
192,2016-09-11,0,0,0,55,0,28,0,0,20,0,0,20,0,24,0,0
193,2016-09-18,0,0,0,46,0,0,0,0,21,0,0,18,0,44,0,22
194,2016-09-25,0,0,0,54,0,30,27,0,0,0,0,44,0,23,0,0
195,2016-10-02,0,12,0,27,0,25,0,0,26,0,0,34,0,23,0,23
196,2016-10-09,0,0,0,22,0,0,29,0,18,0,0,31,0,41,0,0
197,2016-10-16,0,18,0,19,0,38,38,0,20,0,0,35,0,27,0,0
198,2016-10-23,0,0,0,64,0,0,25,0,27,0,0,70,0,0,0,0
199,2016-10-30,0,0,0,42,0,0,0,0,35,0,0,19,0,46,0,0
200,2016-11-06,0,0,0,50,0,24,0,0,17,0,0,35,0,0,0,24
201,2016-11-13,0,0,0,45,0,36,25,0,39,0,0,20,0,24,0,23
202,2016-11-20,0,0,0,35,0,25,0,0,53,0,0,27,0,0,0,0
203,2016-11-27,0,0,0,35,0,0,0,0,18,0,0,32,0,49,0,0
204,2016-12-04,0,0,0,42,0,0,0,0,0,0,0,24,0,31,0,0
205,2016-12-11,0,0,0,50,0,25,0,0,16,0,0,47,0,28,0,28
206,2016-12-18,0,0,0,42,0,25,0,0,38,0,0,66,0,27,0,24
207,2016-12-25,0,0,0,35,0,0,0,0,23,0,0,22,0,0,0,21
208,2017-01-01,0,10,0,35,0,0,0,0,29,0,0,23,0,36,0,20
209,2017-01-08,0,10,0,37,0,26,39,0,16,0,0,16,0,22,0,25
210,2017-01-15,0,0,0,24,0,0,0,0,32,0,0,53,0,0,0,44
211,2017-01-22,0,0,0,55,0,49,0,0,45,0,0,31,0,24,0,0
212,2017-01-29,0,0,0,42,0,53,0,0,19,0,0,35,0,20,0,0
213,2017-02-05,0,0,0,32,0,63,0,0,70,0,0,34,0,21,0,0
214,2017-02-12,0,0,0,30,0,24,20,0,45,0,0,23,0,56,0,0
215,2017-02-19,0,0,0,39,0,35,38,0,27,0,0,32,0,20,0,0
216,2017-02-26,0,0,0,37,0,42,0,0,15,0,0,44,0,39,0,20
217,2017-03-05,0,13,0,49,0,37,21,0,21,0,0,41,0,54,0,19
218,2017-03-12,0,0,0,58,0,22,21,0,15,0,0,59,0,0,0,20
219,2017-03-19,0,0,0,39,0,31,0,0,29,0,0,40,0,0,0,0
220,2017-03-26,0,0,0,39,0,0,0,0,39,0,0,36,0,40,0,27
221,2017-04-02,0,0,0,34,0,0,0,0,30,0,0,30,0,31,0,0
222,2017-04-09,0,12,0,53,0,47,0,0,19,0,0,37,0,38,0,0
223,2017-04-16,0,0,0,43,0,23,0,0,35,0,0,40,0,0,0,0
224,2017-04-23,0,0,0,38,0,32,32,0,36,0,0,38,0,24,0,0
225,2017-04-30,0,0,0,58,0,23,23,0,39,0,0,33,0,22,0,22
226,2017-05-07,0,0,0,36,0,28,0,0,36,0,0,18,0,27,0,24
227,2017-05-14,0,0,0,42,0,0,0,0,30,0,0,39,0,54,0,27
228,2017-05-21,0,0,0,24,0,36,36,0,28,0,0,34,0,33,0,0
229,2017-05-28,0,0,0,32,0,28,0,0,35,0,0,41,0,26,0,33
230,2017-06-04,0,0,0,76,0,0,0,0,45,0,0,43,0,0,0,0
231,2017-06-11,0,0,0,34,0,0,0,0,29,0,0,20,0,0,0,0
232,2017-06-18,0,0,0,38,0,0,27,0,18,0,0,45,0,0,0,0
233,2017-06-25,0,0,0,39,0,30,0,0,0,0,0,20,0,24,0,0
234,2017-07-02,0,14,0,40,0,27,0,0,19,0,0,30,0,0,0,0
235,2017-07-09,0,16,0,52,0,0,34,0,22,0,0,73,0,24,0,27
236,2017-07-16,0,0,0,48,0,0,34,0,19,0,0,40,0,27,0,0
237,2017-07-23,0,0,0,73,0,28,35,0,19,0,0,28,0,42,0,37
238,2017-07-30,0,0,0,55,0,0,28,0,20,0,0,33,0,0,0,0
