,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,88,53,35,57,12,0,73,16,2,29,0,7,87,5,31,0,43,14,38,6,7
1,2007-02-01,2,1,0,94,51,63,32,46,0,86,15,1,31,0,4,81,2,25,0,40,8,38,4,14
2,2007-03-01,2,1,1,98,53,45,49,34,1,57,14,1,30,0,5,83,5,26,0,38,15,48,6,9
3,2007-04-01,1,2,1,93,54,37,33,58,0,77,16,2,37,0,4,84,2,40,0,37,15,38,7,6
4,2007-05-01,2,2,0,96,44,40,32,12,0,30,12,1,30,0,4,100,6,34,0,35,8,29,7,12
5,2007-06-01,2,2,0,95,53,61,74,35,0,30,12,1,27,0,6,95,3,39,0,41,19,27,6,7
6,2007-07-01,2,2,1,100,58,65,37,20,0,28,10,0,33,0,4,92,5,34,0,35,16,23,3,4
7,2007-08-01,1,1,0,91,70,50,51,19,1,27,11,1,35,0,5,86,4,26,0,45,9,21,4,9
8,2007-09-01,3,2,0,90,46,49,36,49,0,26,8,1,32,0,6,84,3,37,0,36,9,33,7,9
9,2007-10-01,3,1,0,84,41,34,48,52,1,34,12,1,40,0,8,80,3,33,0,35,5,35,5,8
10,2007-11-01,1,1,1,87,49,42,56,28,0,30,12,1,35,0,7,77,4,36,0,42,10,37,5,6
11,2007-12-01,1,2,0,77,35,60,35,28,0,30,13,1,32,0,9,70,2,46,0,36,11,31,5,13
12,2008-01-01,1,1,0,95,29,32,48,55,0,73,14,1,34,0,10,70,4,33,0,35,8,40,5,20
13,2008-02-01,2,1,0,93,45,45,32,29,1,89,15,1,39,0,6,85,3,37,0,35,10,39,4,9
14,2008-03-01,2,1,0,90,25,42,70,42,1,63,14,2,38,0,6,77,3,33,0,28,8,37,5,17
15,2008-04-01,1,1,0,86,34,60,72,34,0,81,14,1,34,0,8,84,5,41,0,41,9,45,3,7
16,2008-05-01,1,1,1,94,21,56,42,32,0,51,13,1,37,0,8,88,2,49,0,43,11,32,3,7
17,2008-06-01,1,1,0,90,31,34,41,48,1,33,13,1,33,0,5,94,4,31,0,41,6,36,4,13
18,2008-07-01,2,2,0,95,44,51,35,51,1,34,12,1,37,0,5,86,2,26,0,38,7,29,5,10
19,2008-08-01,1,2,1,90,50,34,25,37,1,28,12,1,38,0,6,84,2,29,0,32,10,26,5,7
20,2008-09-01,2,1,0,89,40,37,20,60,0,30,13,2,35,0,6,83,3,34,0,27,5,34,3,7
21,2008-10-01,3,2,0,82,49,71,44,27,0,35,13,1,36,0,8,78,4,32,0,35,4,33,6,14
22,2008-11-01,2,3,0,82,39,74,50,44,1,26,13,1,39,0,11,70,3,40,0,38,4,32,5,9
23,2008-12-01,1,1,0,90,37,55,46,29,1,32,14,2,41,0,11,78,2,40,0,40,5,38,6,17
24,2009-01-01,2,2,1,91,26,74,48,48,1,69,13,1,44,0,13,81,5,33,0,42,9,27,3,13
25,2009-02-01,1,2,0,84,37,59,48,79,1,98,15,1,42,0,14,79,5,29,0,41,3,30,6,9
26,2009-03-01,2,2,1,91,46,76,46,53,1,72,16,1,40,0,14,75,6,33,0,40,2,30,5,11
27,2009-04-01,2,3,0,90,28,85,39,41,0,81,13,1,40,0,14,83,2,36,0,42,6,42,4,11
28,2009-05-01,2,2,0,94,45,59,50,39,1,26,14,1,43,0,11,84,4,34,0,38,7,30,5,9
29,2009-06-01,2,3,0,92,49,100,43,40,0,37,13,1,45,0,14,84,2,30,0,37,4,30,3,6
30,2009-07-01,1,2,0,94,36,47,50,30,0,31,15,1,43,0,14,96,4,24,0,39,4,32,7,5
31,2009-08-01,2,2,0,90,40,75,75,46,1,30,18,2,44,0,13,92,5,33,0,40,3,30,4,5
32,2009-09-01,1,1,0,89,79,66,39,47,0,33,17,1,45,0,15,91,5,27,0,40,5,26,4,11
33,2009-10-01,2,1,1,91,60,52,47,45,0,35,19,1,49,0,14,81,4,33,0,38,5,27,4,9
34,2009-11-01,2,2,0,88,54,62,41,62,0,32,20,1,51,0,17,84,4,36,0,40,5,46,4,8
35,2009-12-01,2,1,0,86,38,63,58,60,0,39,20,1,48,0,17,74,3,45,0,45,5,36,2,5
36,2010-01-01,2,2,1,91,40,56,42,44,0,77,21,1,51,0,23,77,3,31,0,48,8,33,3,10
37,2010-02-01,1,2,1,82,55,57,52,50,0,84,19,2,47,0,18,75,4,30,0,44,6,36,7,7
38,2010-03-01,2,2,1,90,45,65,63,43,0,78,19,2,54,0,17,84,7,33,0,43,7,34,4,7
39,2010-04-01,2,2,0,93,25,62,53,55,1,86,20,3,57,0,14,83,3,38,0,49,4,39,7,5
40,2010-05-01,2,2,1,90,45,60,43,48,0,31,17,1,49,0,19,84,4,40,0,42,4,36,3,6
41,2010-06-01,2,2,0,88,38,71,56,53,0,35,19,2,51,0,16,79,3,35,0,47,7,27,3,5
42,2010-07-01,2,2,0,87,46,67,37,42,0,30,20,1,46,0,17,86,4,35,0,46,7,31,4,8
43,2010-08-01,2,2,0,85,44,62,46,53,0,29,18,1,52,0,12,82,3,30,0,46,6,37,3,6
44,2010-09-01,2,1,1,86,47,63,59,31,0,33,20,2,52,0,13,77,2,35,0,43,5,39,6,12
45,2010-10-01,2,2,1,81,45,62,53,87,0,37,19,1,54,0,15,75,3,37,0,42,4,38,5,8
46,2010-11-01,2,2,0,80,40,42,44,53,0,30,16,2,52,0,19,67,3,39,0,52,4,41,4,8
47,2010-12-01,3,2,0,83,36,59,32,46,0,38,17,1,57,0,20,68,4,52,0,48,6,42,5,5
48,2011-01-01,3,2,0,87,41,51,47,68,0,86,22,2,54,0,20,69,5,38,0,42,9,35,6,7
49,2011-02-01,3,2,0,87,44,63,48,44,0,100,17,1,51,0,16,78,4,43,0,52,7,35,3,6
50,2011-03-01,2,2,1,81,28,65,43,59,0,64,19,1,55,0,12,76,5,39,0,45,8,35,6,5
51,2011-04-01,2,2,1,82,47,53,30,42,0,78,18,1,60,0,15,77,4,44,0,39,5,44,4,8
52,2011-05-01,2,2,0,90,43,46,54,45,0,29,18,1,57,0,13,79,5,39,0,46,6,37,2,6
53,2011-06-01,2,2,0,92,68,48,47,53,0,29,19,1,55,0,15,79,5,47,0,47,6,34,5,4
54,2011-07-01,2,2,0,83,32,49,41,59,0,30,20,1,54,0,13,87,3,43,0,48,8,31,2,4
55,2011-08-01,2,2,0,87,35,54,45,34,0,31,19,1,53,0,14,80,3,40,0,49,8,40,4,8
56,2011-09-01,2,2,1,85,49,52,36,42,0,27,16,1,58,0,12,80,5,42,0,48,8,36,5,5
57,2011-10-01,3,2,0,78,40,35,46,46,0,29,17,2,55,0,14,79,3,52,0,46,7,32,4,5
58,2011-11-01,3,1,0,81,48,47,37,68,0,28,19,2,60,0,16,70,4,56,0,43,9,33,2,6
59,2011-12-01,3,3,0,79,43,40,26,61,0,30,18,1,61,0,13,64,5,64,0,46,6,39,5,6
60,2012-01-01,2,2,1,87,35,51,48,52,0,64,19,1,58,0,18,72,3,56,0,51,6,42,4,6
61,2012-02-01,3,1,0,76,34,35,48,57,0,78,17,1,61,0,14,78,5,61,0,48,10,38,7,8
62,2012-03-01,3,2,0,79,29,52,25,49,0,50,17,1,63,0,12,79,4,59,0,51,9,38,3,5
63,2012-04-01,2,3,0,83,47,45,35,48,0,60,22,1,64,0,12,85,5,62,0,45,8,49,5,4
64,2012-05-01,2,2,0,88,30,57,40,44,0,27,19,1,63,0,12,85,5,59,0,43,6,45,5,5
65,2012-06-01,2,2,0,83,37,45,56,43,0,32,17,1,63,0,12,83,5,64,0,43,8,46,3,5
66,2012-07-01,3,2,0,85,31,43,36,67,0,33,18,1,60,0,11,82,4,66,0,51,7,51,1,5
