,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,83,23,43,27,9,0,67,11,1,29,0,4,66,2,30,2,39,4,29,4,5
1,2007-02-01,1,2,0,84,24,36,20,9,0,74,11,1,31,0,3,70,4,29,3,37,2,30,2,6
2,2007-03-01,2,2,0,85,23,33,25,12,0,56,10,1,30,0,3,70,3,29,4,39,6,23,3,6
3,2007-04-01,1,1,0,82,24,35,29,21,0,77,10,0,30,0,3,68,3,38,5,41,5,28,2,6
4,2007-05-01,1,1,0,88,18,26,21,11,0,35,8,1,33,0,3,75,3,29,4,33,4,22,2,7
5,2007-06-01,2,1,0,80,27,28,19,12,0,32,10,1,32,0,3,80,3,28,3,43,3,25,2,8
6,2007-07-01,2,1,0,82,17,39,25,10,0,36,8,1,30,0,5,76,3,30,4,43,6,22,3,5
7,2007-08-01,2,1,0,84,22,38,26,11,0,35,9,1,31,0,4,70,3,30,3,46,4,22,4,6
8,2007-09-01,2,1,0,81,19,35,26,14,0,26,11,1,32,0,3,68,2,26,2,35,6,29,2,7
9,2007-10-01,2,1,0,79,17,39,30,12,0,29,9,1,34,0,3,65,2,34,3,39,3,24,3,7
10,2007-11-01,2,2,0,81,18,35,23,24,0,27,10,1,34,0,4,65,3,36,2,37,3,30,3,6
11,2007-12-01,2,2,0,84,21,26,18,15,0,35,9,0,35,0,4,65,2,40,3,33,3,26,3,8
12,2008-01-01,1,2,0,86,21,40,26,12,0,75,11,1,33,0,5,69,4,30,4,40,2,28,2,11
13,2008-02-01,2,2,0,83,18,40,24,13,0,85,10,0,34,0,5,70,4,28,4,40,3,24,3,7
14,2008-03-01,1,2,0,86,20,42,23,19,0,74,11,0,37,0,5,71,4,26,3,45,3,21,4,11
15,2008-04-01,2,2,0,86,18,42,30,13,0,86,12,1,36,0,5,72,4,26,4,44,4,30,3,7
16,2008-05-01,2,2,0,85,24,49,26,19,0,56,9,1,34,0,4,80,5,29,3,43,4,24,2,6
17,2008-06-01,2,2,0,85,27,41,27,10,0,38,9,1,34,0,5,83,5,27,4,41,4,31,3,6
18,2008-07-01,2,2,0,85,19,47,26,10,0,39,9,1,36,0,7,78,5,27,3,46,3,22,3,5
19,2008-08-01,2,3,0,78,23,39,21,12,0,32,9,0,36,0,6,69,4,26,3,43,5,23,2,4
20,2008-09-01,2,2,0,80,20,53,19,12,0,29,12,1,35,0,7,61,4,28,3,38,5,25,3,6
21,2008-10-01,2,2,0,80,25,53,27,38,0,41,12,1,38,0,8,64,4,30,3,44,4,22,3,8
22,2008-11-01,1,4,0,81,15,49,31,32,1,32,13,1,40,0,11,62,3,31,3,41,2,26,3,5
23,2008-12-01,2,3,0,86,25,57,36,83,1,36,12,0,40,0,12,65,4,33,2,39,2,26,2,9
24,2009-01-01,2,4,0,84,19,62,36,25,1,78,13,1,40,0,16,66,6,27,4,41,3,26,2,8
25,2009-02-01,2,3,0,86,20,59,26,26,1,100,15,1,43,0,13,70,4,29,3,41,4,27,3,7
26,2009-03-01,1,3,0,89,22,61,38,19,1,79,12,1,43,0,15,73,5,28,4,43,5,23,3,6
27,2009-04-01,2,2,0,86,21,71,31,33,1,86,14,1,45,0,14,74,4,31,2,45,4,26,3,7
28,2009-05-01,2,5,0,85,21,69,27,22,1,45,13,1,42,0,14,76,3,26,4,41,3,24,2,5
29,2009-06-01,1,2,0,83,26,66,33,18,1,44,13,1,41,0,18,81,6,25,4,50,3,24,2,6
30,2009-07-01,2,2,0,82,21,67,39,21,1,47,14,1,45,0,17,83,4,25,3,43,2,27,3,4
31,2009-08-01,2,2,0,84,24,64,30,16,0,41,15,1,44,0,17,77,4,26,2,46,3,26,2,6
32,2009-09-01,2,2,1,81,20,55,26,23,0,32,15,2,47,0,15,67,4,26,4,49,4,25,2,5
33,2009-10-01,2,2,0,84,25,55,36,20,0,33,16,1,49,0,16,68,5,27,4,47,4,25,2,5
34,2009-11-01,2,2,0,88,19,53,28,27,0,36,18,1,49,0,18,68,4,31,2,49,4,32,3,5
35,2009-12-01,2,2,0,87,25,41,30,22,0,42,15,1,48,0,15,69,4,36,3,48,2,25,3,4
36,2010-01-01,2,4,0,89,26,52,38,25,0,80,15,1,50,0,19,70,4,30,4,49,4,24,4,7
37,2010-02-01,2,4,0,86,19,53,36,24,0,88,17,1,50,0,15,76,3,32,3,46,3,26,3,6
38,2010-03-01,2,2,0,88,28,52,25,18,0,75,18,1,54,0,18,73,6,34,3,49,3,27,4,6
39,2010-04-01,2,2,0,94,27,49,29,18,0,86,19,2,55,0,17,75,5,31,4,52,3,31,2,6
40,2010-05-01,2,2,0,97,16,55,28,21,0,42,15,1,53,0,16,78,6,35,4,49,5,27,2,6
41,2010-06-01,2,2,0,80,19,57,44,27,0,46,17,1,50,0,22,80,5,35,4,47,3,25,2,5
42,2010-07-01,2,2,0,80,20,59,41,23,0,41,16,1,53,0,25,81,5,32,4,49,2,29,2,6
43,2010-08-01,2,2,0,78,18,48,32,28,0,41,15,1,50,0,18,74,4,27,4,49,4,24,3,6
44,2010-09-01,2,2,0,78,13,45,35,15,0,33,14,1,53,0,13,73,5,35,4,46,4,33,3,4
45,2010-10-01,2,2,0,77,18,49,36,30,0,35,16,2,51,0,14,67,4,36,3,53,5,38,4,4
46,2010-11-01,2,2,0,83,14,42,32,36,0,32,16,1,51,0,14,66,5,37,4,56,3,28,3,4
47,2010-12-01,2,3,0,86,16,37,27,28,0,45,15,1,52,0,18,70,5,49,3,47,4,26,3,4
48,2011-01-01,2,5,0,89,19,45,26,32,0,70,17,1,53,0,19,71,5,36,3,50,3,26,4,4
49,2011-02-01,2,3,0,87,23,48,24,23,0,82,15,1,54,0,15,74,5,38,3,46,5,31,4,5
50,2011-03-01,2,2,0,88,21,42,28,36,0,68,16,1,58,0,14,74,7,41,4,46,4,29,3,4
51,2011-04-01,2,2,0,83,17,39,25,23,0,72,16,1,59,0,14,72,7,43,3,46,5,31,3,5
52,2011-05-01,2,2,0,92,18,37,27,35,0,33,15,1,53,0,17,75,6,46,3,50,4,30,3,5
53,2011-06-01,2,2,0,87,22,46,27,19,0,32,16,1,59,0,15,80,5,41,4,52,5,31,2,4
54,2011-07-01,2,2,0,87,19,44,24,23,0,35,18,1,57,0,16,78,6,41,4,50,4,30,2,5
55,2011-08-01,2,2,0,82,19,44,23,19,0,36,17,1,55,0,15,69,4,39,3,47,4,30,3,5
56,2011-09-01,2,2,0,76,18,40,27,27,0,27,16,1,57,0,13,70,7,44,4,46,5,36,2,5
57,2011-10-01,2,2,0,72,22,41,30,21,0,33,17,1,60,0,14,71,6,52,4,48,4,36,3,5
58,2011-11-01,2,2,0,75,15,51,28,39,0,29,13,1,60,0,14,65,6,55,3,49,5,38,2,4
59,2011-12-01,2,2,0,76,17,38,25,24,0,36,14,1,66,0,13,68,5,68,4,52,7,41,3,4
60,2012-01-01,2,2,0,80,18,47,27,25,0,69,16,1,63,0,16,70,5,53,4,52,6,49,3,5
61,2012-02-01,2,2,0,78,19,43,28,24,0,73,16,1,66,0,12,72,6,56,3,47,6,51,3,5
62,2012-03-01,2,2,0,78,19,41,22,27,0,57,16,1,64,0,13,74,5,56,3,48,5,57,3,6
63,2012-04-01,2,2,0,75,21,41,21,37,0,63,16,1,66,0,13,74,7,60,4,52,6,82,4,7
64,2012-05-01,2,2,0,80,16,46,24,32,0,30,17,1,63,0,13,79,6,67,4,50,5,80,3,5
65,2012-06-01,2,2,0,80,19,42,24,33,0,31,15,1,69,0,12,78,6,63,3,53,5,64,2,4
66,2012-07-01,2,2,0,81,22,47,23,27,0,36,14,1,68,0,14,78,5,61,4,50,6,54,2,5
67,2012-08-01,2,5,0,76,20,35,25,24,0,37,14,1,62,0,12,71,5,59,3,50,7,53,3,4
68,2012-09-01,2,2,0,74,22,44,26,25,0,31,16,1,62,0,11,69,5,66,3,49,6,53,3,5
69,2012-10-01,3,2,0,71,18,37,28,43,0,33,16,1,65,0,12,64,6,68,4,48,5,46,3,6
70,2012-11-01,2,2,0,72,18,35,25,100,0,31,14,1,65,0,10,62,6,66,2,47,6,50,3,4
71,2012-12-01,2,2,0,74,16,29,24,37,0,32,13,1,61,0,12,64,4,72,3,48,7,46,2,4
72,2013-01-01,2,3,0,82,18,35,22,31,0,67,17,1,62,0,13,67,6,61,3,49,5,54,2,4
73,2013-02-01,2,2,0,80,20,39,25,25,0,83,16,1,66,0,11,70,6,67,3,52,6,56,3,6
74,2013-03-01,2,2,0,78,15,31,24,24,0,55,16,1,68,0,9,76,6,67,3,47,5,50,3,5
75,2013-04-01,3,2,0,83,22,33,27,32,0,64,17,2,64,0,10,71,5,62,3,49,5,52,2,7
76,2013-05-01,2,2,0,88,18,27,22,28,0,31,15,1,63,0,10,75,5,70,3,47,7,50,2,6
77,2013-06-01,2,2,0,86,19,32,20,44,0,29,16,1,63,0,11,78,5,60,3,51,5,45,2,6
78,2013-07-01,3,2,0,84,16,38,25,28,0,31,15,1,65,0,11,77,6,58,4,49,6,45,2,5
79,2013-08-01,3,2,0,80,15,27,27,23,0,32,16,1,64,0,10,73,5,56,3,47,5,42,3,5
80,2013-09-01,3,2,0,78,18,34,22,35,0,29,16,1,66,0,9,72,5,58,3,50,7,49,3,5
81,2013-10-01,3,2,0,75,19,27,24,38,0,32,19,1,64,0,11,69,5,64,3,50,7,59,3,6
82,2013-11-01,3,2,0,78,20,26,24,30,0,27,17,1,66,0,9,66,5,75,3,54,5,55,2,6
83,2013-12-01,2,2,0,79,19,26,21,38,0,31,15,1,66,0,10,71,5,77,3,50,7,52,3,5
84,2014-01-01,2,6,0,83,20,24,24,35,0,55,19,1,68,0,12,74,5,67,3,51,5,45,3,5
85,2014-02-01,2,5,0,81,16,29,22,27,0,79,18,1,69,0,9,74,6,74,3,50,7,43,4,7
86,2014-03-01,3,2,0,87,17,30,21,27,0,56,19,1,68,0,8,75,6,79,3,53,5,47,3,6
87,2014-04-01,3,3,0,81,18,24,23,31,0,54,17,2,70,0,9,74,6,86,3,49,7,56,3,6
88,2014-05-01,2,2,0,87,16,28,23,29,0,29,16,1,66,0,8,78,5,94,3,50,6,64,3,5
89,2014-06-01,3,2,0,90,19,27,25,25,0,29,17,1,66,0,8,83,6,69,3,50,7,53,2,5
