,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,1,1,1,83,29,48,18,13,1,71,9,1,2,28,3,33,4,30,7,6
1,2007-02-01,2,3,0,74,37,52,22,35,0,89,10,1,2,28,2,25,4,30,3,4
2,2007-03-01,1,1,0,74,22,50,29,31,0,56,10,1,2,25,1,31,5,27,4,6
3,2007-04-01,2,1,1,72,27,40,22,42,0,71,13,1,3,32,2,26,3,32,4,7
4,2007-05-01,1,1,0,73,21,51,28,7,0,30,11,1,4,22,2,32,6,28,5,6
5,2007-06-01,2,1,0,83,40,64,35,10,1,31,10,1,4,32,1,30,3,22,2,4
6,2007-07-01,1,1,0,88,28,61,24,13,0,28,9,1,2,33,3,31,5,23,3,7
7,2007-08-01,1,2,0,75,34,65,23,15,0,31,12,1,2,26,4,31,4,23,4,5
8,2007-09-01,2,1,0,71,25,43,20,22,0,24,11,0,2,25,2,29,5,25,5,4
9,2007-10-01,1,1,0,67,28,69,28,30,0,34,13,1,4,31,4,31,5,35,1,8
10,2007-11-01,1,1,0,66,30,41,25,37,0,28,13,1,3,28,3,34,5,29,4,6
11,2007-12-01,1,1,0,71,20,38,11,13,0,33,10,1,3,33,3,34,3,30,3,5
12,2008-01-01,2,2,0,77,32,59,20,24,1,78,11,1,3,30,4,33,4,29,5,12
13,2008-02-01,1,2,0,73,26,41,20,16,1,93,10,1,3,22,2,33,3,27,4,11
14,2008-03-01,1,2,0,75,32,40,21,13,1,64,10,1,2,23,1,30,5,33,2,7
15,2008-04-01,2,2,0,74,22,52,26,15,0,80,10,1,3,25,1,33,5,31,5,8
16,2008-05-01,1,1,0,76,21,53,28,25,0,55,9,1,4,30,3,36,6,22,4,6
17,2008-06-01,1,1,0,81,24,53,14,12,0,38,10,1,4,25,3,34,4,30,2,7
18,2008-07-01,1,2,0,84,25,62,24,17,1,30,8,1,4,26,2,34,4,35,3,7
19,2008-08-01,1,1,0,77,29,37,34,12,1,31,10,1,3,25,2,33,7,26,5,5
20,2008-09-01,2,2,0,71,29,67,28,21,0,30,11,1,3,24,2,32,6,35,2,7
21,2008-10-01,2,2,0,70,31,69,31,13,1,37,12,1,3,28,3,35,4,27,4,7
