,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,88,28,33,20,13,0,64,11,1,28,0,4,70,2,28,2,27,5,37,3,8
1,2007-02-01,2,1,0,85,27,34,22,11,0,78,11,1,28,0,3,73,1,26,2,25,5,36,4,6
2,2007-03-01,2,2,0,91,17,32,20,12,0,65,10,1,28,0,3,76,2,26,2,29,5,34,4,7
3,2007-04-01,2,1,0,90,22,36,23,13,0,89,10,1,29,0,4,74,2,28,2,30,6,36,5,8
4,2007-05-01,2,2,0,89,23,34,20,13,0,31,11,1,28,0,3,83,1,29,2,30,4,34,4,7
5,2007-06-01,2,1,0,93,23,34,25,8,0,31,9,1,30,0,4,84,2,29,3,30,4,30,2,9
6,2007-07-01,2,1,0,97,26,37,20,11,0,32,10,1,30,0,4,85,2,27,2,34,5,34,2,8
7,2007-08-01,2,2,0,92,24,48,19,8,0,30,10,1,28,0,4,78,2,29,2,28,6,29,3,7
8,2007-09-01,2,1,0,83,23,33,19,12,0,28,10,1,33,0,4,71,2,25,2,29,5,32,3,10
9,2007-10-01,2,1,0,81,23,35,17,13,0,33,11,1,32,0,4,69,2,27,2,29,5,34,3,8
10,2007-11-01,1,1,0,85,24,39,23,12,0,31,12,1,32,0,4,71,2,28,2,29,4,37,2,6
11,2007-12-01,1,1,0,82,24,35,14,11,0,37,10,1,32,0,4,70,2,34,2,28,3,34,3,6
12,2008-01-01,2,2,0,89,23,44,21,11,0,68,11,1,33,0,5,73,2,28,2,29,5,34,3,14
13,2008-02-01,2,2,0,85,24,45,21,13,0,89,12,1,33,0,4,72,3,27,2,29,4,34,3,10
14,2008-03-01,2,2,0,89,22,47,18,13,0,71,12,1,35,0,4,76,2,27,2,29,4,39,3,11
15,2008-04-01,2,2,0,87,18,55,19,14,0,91,12,1,35,0,5,77,2,25,2,32,5,36,2,10
16,2008-05-01,2,2,0,88,23,59,20,14,0,53,12,1,33,0,5,87,2,27,2,31,6,36,3,8
17,2008-06-01,2,1,0,89,26,53,16,15,0,38,11,1,36,0,6,92,2,28,2,33,5,34,3,8
