,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,83,55,49,0,0,0,62,11,1,28,0,3,67,6,33,3,6
1,2007-02-01,2,2,0,81,55,51,0,0,0,77,10,1,29,0,3,66,4,34,3,7
2,2007-03-01,2,2,0,83,54,50,0,0,0,71,11,1,29,0,3,69,5,33,3,7
3,2007-04-01,2,2,0,83,51,48,0,0,0,100,11,1,31,0,3,68,5,33,3,6
4,2007-05-01,2,2,0,79,54,46,0,0,0,34,11,1,29,0,3,71,4,33,3,6
5,2007-06-01,2,2,0,83,54,48,0,0,0,32,10,1,29,0,3,72,4,30,3,7
6,2007-07-01,2,2,0,87,52,49,0,0,0,33,10,1,29,0,3,74,5,30,2,6
7,2007-08-01,2,2,0,85,56,58,0,0,0,32,10,1,29,0,3,70,5,29,2,7
8,2007-09-01,2,1,0,80,54,49,0,0,0,30,10,1,32,0,3,65,5,30,2,8
9,2007-10-01,2,2,0,74,53,52,0,0,0,34,11,1,31,0,3,59,4,31,2,7
10,2007-11-01,2,1,0,74,53,49,0,0,0,32,11,1,30,0,3,61,4,32,2,6
11,2007-12-01,2,2,0,73,51,47,0,0,0,36,9,1,30,0,3,61,4,31,3,7
12,2008-01-01,2,2,0,80,53,56,0,0,1,61,11,1,31,0,4,60,4,30,3,10
13,2008-02-01,2,2,0,76,50,56,0,0,1,76,10,1,31,0,3,61,3,31,3,8
14,2008-03-01,2,2,0,78,48,62,0,0,1,70,11,1,32,0,3,64,4,30,3,9
15,2008-04-01,2,2,0,76,49,74,0,0,0,87,11,1,32,0,4,64,4,30,3,8
16,2008-05-01,2,2,0,76,41,66,0,0,1,48,10,1,32,0,3,69,4,31,3,6
17,2008-06-01,2,2,0,77,44,62,0,0,0,34,10,1,31,0,4,74,4,28,2,6
18,2008-07-01,2,3,0,77,44,71,0,0,0,31,9,1,31,0,4,67,4,28,2,6
19,2008-08-01,2,4,0,72,42,66,0,0,0,29,9,1,31,0,4,61,5,26,2,5
20,2008-09-01,2,2,0,69,43,84,0,0,1,32,10,1,30,0,5,54,4,27,2,6
21,2008-10-01,2,2,0,65,41,84,0,0,1,38,11,1,31,0,5,51,3,26,2,7
22,2008-11-01,2,4,0,66,41,84,0,0,2,31,12,1,31,0,6,52,3,28,3,5
23,2008-12-01,2,3,0,70,45,85,0,0,2,33,11,1,32,0,7,54,3,28,2,7
24,2009-01-01,2,3,0,73,43,98,0,0,3,56,12,1,32,0,8,53,3,28,2,7
25,2009-02-01,2,3,0,71,42,100,0,0,2,80,12,1,33,0,8,54,3,27,2,6
26,2009-03-01,2,2,0,71,43,93,0,0,2,78,12,1,33,0,8,57,3,27,3,6
27,2009-04-01,2,2,0,70,45,92,0,0,1,79,12,1,34,0,7,57,3,27,2,6
28,2009-05-01,2,3,0,67,38,91,0,0,1,32,12,1,33,0,6,56,3,26,2,5
29,2009-06-01,2,2,0,68,39,98,0,0,1,32,11,1,32,0,7,57,2,24,2,5
30,2009-07-01,2,2,0,70,43,92,0,0,1,33,12,1,33,0,7,58,3,23,2,4
31,2009-08-01,2,2,0,67,41,83,0,0,1,30,11,1,33,0,6,59,2,23,2,4
32,2009-09-01,2,2,0,64,39,77,0,0,0,30,12,1,33,0,7,51,3,24,2,4
33,2009-10-01,2,2,0,64,38,79,0,0,0,32,13,1,34,0,7,47,3,25,2,4
34,2009-11-01,2,2,0,63,40,73,0,0,0,31,13,1,34,0,7,46,3,25,2,4
35,2009-12-01,2,2,0,63,39,70,0,0,0,33,12,1,33,0,6,48,2,25,2,4
36,2010-01-01,2,2,0,67,39,73,0,0,0,51,13,1,33,0,7,47,3,24,2,4
37,2010-02-01,2,2,0,63,40,78,0,0,0,58,13,1,33,0,7,48,3,25,2,4
38,2010-03-01,2,2,0,62,37,77,0,0,1,56,14,1,34,0,7,49,3,25,2,4
39,2010-04-01,2,2,0,62,37,72,0,0,0,65,14,1,36,0,6,47,3,24,2,4
40,2010-05-01,2,2,0,60,34,66,0,0,0,28,12,1,34,0,6,50,3,26,2,4
41,2010-06-01,2,2,0,62,35,73,0,0,0,29,13,1,33,0,8,51,3,25,2,4
42,2010-07-01,2,2,0,58,34,62,0,0,0,25,12,1,32,0,10,48,2,23,1,3
43,2010-08-01,2,1,0,54,34,62,0,0,0,24,10,1,32,0,5,46,2,23,2,4
44,2010-09-01,2,1,0,54,32,59,0,0,0,25,11,1,32,0,5,44,2,23,2,3
45,2010-10-01,2,1,0,52,33,56,0,0,0,26,11,1,33,0,5,41,3,26,2,3
46,2010-11-01,2,1,0,53,30,49,0,0,0,24,11,1,32,0,5,41,2,24,2,3
47,2010-12-01,1,2,0,53,32,48,0,0,0,30,11,1,33,0,7,42,2,25,2,3
48,2011-01-01,3,3,1,81,47,91,0,0,0,64,18,1,51,0,8,66,4,31,3,5
49,2011-02-01,3,3,0,78,47,96,0,0,0,76,17,1,50,0,7,66,5,35,3,5
