,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,86,45,42,29,19,7,33,3,8
1,2007-02-01,2,2,1,82,40,45,34,13,5,38,4,6
2,2007-03-01,2,2,0,84,38,53,30,19,7,30,4,10
3,2007-04-01,2,2,0,84,40,49,31,20,6,36,3,8
4,2007-05-01,2,2,0,89,38,48,24,18,5,30,4,7
5,2007-06-01,2,1,0,88,35,51,24,17,7,26,3,9
6,2007-07-01,2,1,0,91,39,62,30,20,7,31,3,7
7,2007-08-01,2,1,0,87,39,63,31,14,7,30,2,10
8,2007-09-01,2,1,0,82,38,53,29,24,6,29,3,9
9,2007-10-01,2,1,0,79,34,55,31,17,5,34,2,8
10,2007-11-01,2,1,0,82,34,52,24,19,4,32,4,8
11,2007-12-01,1,2,0,79,42,44,24,14,6,33,2,9
12,2008-01-01,2,2,0,88,41,53,33,17,6,35,3,11
13,2008-02-01,2,2,0,85,36,60,29,22,5,30,4,13
14,2008-03-01,2,2,0,87,33,58,25,19,7,34,4,12
15,2008-04-01,2,2,0,87,29,75,33,20,4,35,3,9
16,2008-05-01,2,1,0,88,41,61,29,18,4,39,4,8
17,2008-06-01,2,2,0,87,32,68,34,16,4,30,2,7
18,2008-07-01,2,2,0,89,40,65,35,18,5,29,3,8
19,2008-08-01,2,3,0,83,39,58,28,19,8,27,4,5
20,2008-09-01,2,2,0,82,37,77,34,22,7,29,3,6
21,2008-10-01,2,2,0,78,35,81,30,19,3,32,3,9
22,2008-11-01,2,3,0,80,36,80,33,25,4,33,3,7
23,2008-12-01,2,3,0,81,38,85,37,40,3,33,3,11
24,2009-01-01,2,4,0,87,42,91,33,27,4,31,3,10
25,2009-02-01,2,3,0,86,39,99,40,35,5,35,3,10
26,2009-03-01,2,3,0,88,36,91,39,31,4,33,3,9
27,2009-04-01,2,3,0,85,36,91,34,35,4,35,4,7
28,2009-05-01,2,4,0,88,36,97,32,31,5,33,3,6
29,2009-06-01,2,2,0,90,38,100,34,32,3,33,3,9
30,2009-07-01,2,2,0,88,46,97,33,29,4,30,2,7
31,2009-08-01,2,2,0,86,37,85,34,27,3,30,3,8
32,2009-09-01,2,2,0,82,38,96,43,24,4,32,3,6
33,2009-10-01,2,3,0,83,37,78,33,31,3,33,3,6
34,2009-11-01,2,2,0,83,36,86,36,34,6,38,5,6
35,2009-12-01,2,2,0,82,42,79,33,30,4,33,3,6
36,2010-01-01,2,2,0,90,46,95,34,32,4,35,3,6
37,2010-02-01,2,3,0,87,37,87,37,33,5,33,2,5
38,2010-03-01,2,3,0,85,36,85,39,28,4,32,4,6
39,2010-04-01,2,3,0,89,36,82,37,30,4,37,5,9
40,2010-05-01,2,2,0,86,39,81,36,32,3,39,4,6
41,2010-06-01,2,2,0,89,41,88,36,35,5,32,3,6
42,2010-07-01,2,2,0,85,38,85,37,33,4,29,3,7
43,2010-08-01,2,2,0,80,37,83,26,27,3,30,4,7
44,2010-09-01,2,2,0,80,31,86,36,28,5,34,3,6
45,2010-10-01,2,2,1,75,33,76,33,44,5,39,3,5
46,2010-11-01,2,2,0,79,34,81,33,54,5,38,4,7
47,2010-12-01,2,2,0,77,37,71,31,70,5,35,3,6
48,2011-01-01,2,3,0,78,31,78,30,48,5,35,3,6
49,2011-02-01,2,4,0,77,33,82,32,28,6,33,3,5
50,2011-03-01,2,3,0,74,32,75,30,47,5,35,2,5
51,2011-04-01,2,3,0,77,29,70,27,35,5,33,3,5
52,2011-05-01,2,2,0,82,33,65,27,36,5,32,3,5
53,2011-06-01,2,2,0,81,33,72,30,27,4,28,2,5
54,2011-07-01,2,2,0,77,33,62,23,32,5,29,2,5
55,2011-08-01,2,2,0,77,30,67,25,29,4,31,4,5
56,2011-09-01,3,2,0,74,31,68,23,30,5,37,3,5
57,2011-10-01,2,2,0,71,28,70,23,33,5,35,3,5
58,2011-11-01,2,2,0,74,31,68,25,38,6,36,4,5
59,2011-12-01,2,3,0,72,34,59,24,32,5,33,3,4
60,2012-01-01,3,2,0,77,34,73,25,41,5,34,3,5
61,2012-02-01,3,3,0,76,32,66,25,37,5,37,4,5
62,2012-03-01,2,3,0,77,31,59,28,45,5,37,4,6
63,2012-04-01,2,3,0,82,32,59,29,43,6,40,5,7
64,2012-05-01,2,2,0,81,37,59,27,38,5,41,3,6
65,2012-06-01,2,2,0,83,31,63,23,42,6,40,3,5
66,2012-07-01,2,2,0,82,27,67,26,37,6,38,3,5
67,2012-08-01,3,6,0,77,32,59,24,32,6,34,3,5
68,2012-09-01,2,2,0,75,30,50,25,31,7,38,3,5
69,2012-10-01,3,2,0,71,33,53,25,36,6,39,3,5
70,2012-11-01,2,2,0,77,30,53,23,46,6,36,3,5
71,2012-12-01,3,2,0,77,31,41,24,49,6,32,3,5
72,2013-01-01,3,2,0,83,32,60,28,50,7,36,3,5
73,2013-02-01,3,3,0,80,34,54,28,36,6,39,4,6
74,2013-03-01,3,3,1,79,31,48,30,37,6,40,3,6
75,2013-04-01,3,4,0,83,35,44,28,46,7,42,3,7
