,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,75,31,36,67,28,1,67,13,1,34,0,5,69,2,32,3,37,7,36,5,6
1,2007-02-01,2,4,0,73,31,43,63,24,0,80,13,1,31,0,4,72,4,35,1,37,4,40,4,6
2,2007-03-01,2,2,0,76,35,37,45,24,1,71,12,1,32,0,4,69,2,31,2,38,6,34,3,5
3,2007-04-01,2,2,0,77,47,38,52,42,0,92,13,1,34,0,4,74,3,39,2,43,7,36,4,4
4,2007-05-01,2,2,0,79,39,45,49,27,0,35,11,1,35,0,4,76,2,32,2,49,5,31,5,9
5,2007-06-01,1,2,0,76,38,45,49,30,0,35,11,1,33,0,4,75,2,32,2,47,5,32,3,5
6,2007-07-01,2,2,0,88,32,39,59,21,0,38,11,1,33,0,4,80,3,31,2,50,7,30,1,5
7,2007-08-01,3,1,0,82,41,37,50,24,0,37,12,1,34,0,4,76,4,28,2,43,7,33,2,7
8,2007-09-01,2,2,0,75,40,39,55,17,0,33,10,1,38,0,4,70,2,28,1,42,7,31,2,9
9,2007-10-01,2,2,0,73,44,48,52,30,1,35,14,2,38,0,4,67,2,32,2,46,6,35,3,7
10,2007-11-01,2,2,0,74,29,40,42,31,0,31,13,1,37,0,4,66,2,33,2,44,6,31,3,5
11,2007-12-01,2,3,0,74,35,35,40,28,0,37,11,1,38,0,4,68,3,43,1,43,5,36,4,6
12,2008-01-01,2,2,0,79,44,49,61,35,1,70,14,1,37,0,6,71,3,33,2,43,7,36,5,12
13,2008-02-01,2,3,0,74,36,57,53,31,0,87,15,1,40,0,4,69,2,30,2,43,6,35,4,11
14,2008-03-01,2,2,0,76,38,53,50,31,0,77,14,1,42,0,5,75,2,33,2,48,6,35,4,8
15,2008-04-01,2,2,0,80,47,61,51,26,0,92,16,1,38,0,5,71,4,31,2,46,5,34,5,9
16,2008-05-01,2,2,0,81,30,58,37,31,0,51,13,2,38,0,5,82,5,30,2,46,5,36,4,8
17,2008-06-01,2,2,0,81,30,55,45,33,1,42,13,1,39,0,6,86,4,28,2,48,4,37,1,5
18,2008-07-01,2,2,0,83,46,53,50,25,1,38,11,1,39,0,7,79,3,27,2,46,6,33,2,5
19,2008-08-01,2,3,0,81,40,48,42,25,0,37,12,1,40,0,7,76,3,29,2,49,7,31,3,5
20,2008-09-01,2,2,0,75,31,69,49,33,1,34,14,1,39,0,8,63,3,27,2,49,4,33,3,8
21,2008-10-01,3,2,0,73,39,65,48,33,2,44,15,1,39,0,8,60,3,31,2,46,4,34,5,9
22,2008-11-01,2,4,0,74,36,70,43,38,2,36,17,1,43,0,11,62,3,33,2,51,4,38,3,5
23,2008-12-01,2,5,0,76,54,76,56,33,2,34,16,1,44,0,15,67,3,43,1,48,5,34,2,8
24,2009-01-01,2,5,0,79,39,93,49,39,3,69,18,1,45,0,16,66,4,34,2,48,4,35,4,7
25,2009-02-01,2,4,0,74,40,91,66,72,2,100,22,2,43,0,17,68,4,31,2,45,4,36,4,6
26,2009-03-01,2,3,0,79,43,86,60,59,2,80,21,1,47,0,18,71,4,31,2,45,5,36,5,8
27,2009-04-01,2,3,0,80,34,81,58,46,1,85,18,2,48,0,15,72,3,30,2,49,5,37,4,6
28,2009-05-01,2,5,0,79,42,87,45,38,1,38,18,2,46,0,14,74,5,35,2,47,4,40,4,6
29,2009-06-01,3,3,0,81,40,100,59,53,0,42,19,1,46,0,16,78,4,30,2,47,4,33,4,6
