,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,worse,future,expectations,interest rate
0,2007-01-01,2,4,0,94,25,35,28,10,0,60,11,1,6,31,3,6
1,2007-02-01,2,10,1,88,27,37,31,13,0,71,9,1,3,30,3,7
2,2007-03-01,2,4,0,88,24,37,32,20,0,68,10,1,4,32,4,8
3,2007-04-01,2,2,1,91,20,38,26,23,0,89,10,1,5,31,3,6
4,2007-05-01,2,2,0,93,26,37,33,16,0,39,10,1,5,34,4,9
5,2007-06-01,2,2,0,90,26,35,33,16,0,36,9,1,5,29,2,8
6,2007-07-01,2,3,0,93,25,29,28,15,0,37,10,1,6,30,3,7
7,2007-08-01,2,2,0,95,26,38,29,13,0,35,9,1,4,28,2,7
8,2007-09-01,2,2,0,88,22,40,30,17,0,33,9,1,5,32,3,9
9,2007-10-01,2,2,0,88,24,37,30,16,0,36,10,1,5,30,3,9
10,2007-11-01,2,2,0,89,25,39,22,15,0,32,10,1,3,33,2,7
11,2007-12-01,2,4,0,84,25,32,25,17,0,36,8,1,3,28,2,7
12,2008-01-01,2,4,0,91,21,45,32,21,0,64,11,1,4,31,3,13
13,2008-02-01,2,5,0,89,21,43,33,15,0,76,10,1,4,31,2,9
14,2008-03-01,2,2,1,93,27,45,25,12,0,69,10,1,5,29,3,11
15,2008-04-01,2,3,0,90,21,45,30,19,0,83,11,1,5,32,4,9
16,2008-05-01,2,2,0,89,16,48,24,20,0,48,9,1,5,30,4,7
17,2008-06-01,2,2,0,91,20,45,28,18,0,37,9,1,4,31,2,8
18,2008-07-01,2,3,0,91,21,52,31,18,0,34,9,1,3,28,2,8
19,2008-08-01,2,4,0,86,20,42,27,15,0,31,9,1,5,24,2,6
20,2008-09-01,3,3,0,84,22,58,30,18,0,34,10,1,6,26,2,7
21,2008-10-01,2,3,1,80,23,56,28,24,1,39,11,1,3,29,3,9
22,2008-11-01,2,5,0,80,22,63,34,23,1,30,10,1,3,32,3,7
23,2008-12-01,2,4,0,88,21,60,30,18,1,34,11,1,4,30,4,9
24,2009-01-01,2,8,0,96,20,74,34,19,1,59,13,1,4,31,3,8
25,2009-02-01,2,4,1,93,22,75,36,31,1,88,13,1,3,33,4,9
26,2009-03-01,2,5,0,96,24,82,39,23,1,76,14,1,3,32,3,9
27,2009-04-01,2,3,0,96,24,80,37,22,1,82,13,1,3,35,2,9
28,2009-05-01,2,6,1,95,23,81,31,25,1,40,12,1,3,33,4,7
29,2009-06-01,2,4,0,95,24,100,36,22,0,38,14,1,3,32,2,7
30,2009-07-01,2,3,0,92,24,86,37,21,0,39,14,1,3,31,2,7
31,2009-08-01,3,3,1,95,25,76,30,21,0,39,14,1,3,26,2,7
32,2009-09-01,2,3,0,90,25,71,31,23,0,36,13,1,4,32,3,6
33,2009-10-01,3,3,1,91,24,75,34,28,0,41,16,1,3,31,3,7
34,2009-11-01,3,3,0,95,25,79,36,27,0,37,16,1,4,36,3,6
35,2009-12-01,2,5,0,92,26,64,31,25,0,40,15,1,3,31,3,6
36,2010-01-01,3,3,0,95,27,74,35,31,0,68,16,1,4,33,3,7
37,2010-02-01,3,11,1,95,25,67,34,26,0,72,15,1,2,28,3,7
38,2010-03-01,2,4,0,93,25,76,39,28,0,72,17,1,4,36,3,6
39,2010-04-01,3,3,1,97,23,70,35,25,0,82,17,1,4,33,3,8
40,2010-05-01,3,3,0,95,23,69,37,27,0,41,15,1,3,33,3,7
41,2010-06-01,2,3,1,94,23,78,39,31,0,41,16,1,4,33,2,8
42,2010-07-01,2,3,0,93,25,66,37,26,0,39,16,1,3,31,3,7
43,2010-08-01,3,3,0,90,27,71,34,26,0,41,14,1,3,28,3,6
44,2010-09-01,3,3,1,84,20,66,35,26,0,38,14,1,4,34,3,6
45,2010-10-01,3,3,1,82,23,64,33,42,0,37,14,1,4,36,4,6
46,2010-11-01,3,2,1,87,22,60,32,36,0,35,16,1,4,34,4,7
47,2010-12-01,2,4,1,86,22,54,27,29,0,46,15,1,4,39,3,6
48,2011-01-01,2,9,1,85,16,58,34,38,0,62,15,1,3,29,3,6
49,2011-02-01,3,6,1,79,21,60,40,31,0,70,15,1,4,36,4,6
50,2011-03-01,3,3,1,81,20,62,35,35,0,64,14,1,5,32,3,5
51,2011-04-01,2,4,1,80,17,54,33,29,0,68,14,1,4,33,3,6
52,2011-05-01,3,3,0,79,16,44,26,39,0,30,12,1,4,30,3,5
53,2011-06-01,3,3,0,83,20,59,27,24,0,30,14,1,4,29,2,4
54,2011-07-01,3,4,0,85,16,47,27,28,0,31,15,1,4,27,3,5
55,2011-08-01,3,5,0,84,15,46,28,25,0,32,14,1,5,29,2,5
56,2011-09-01,3,3,0,80,16,47,24,29,0,30,13,1,4,33,2,5
57,2011-10-01,3,3,1,80,17,46,28,28,0,29,13,1,4,32,3,5
