,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,3,1,66,25,34,13,12,1,62,12,1,32,0,3,71,2,46,0,37,10,24,9,8
1,2007-02-01,1,6,0,58,12,32,38,27,1,79,11,1,34,0,4,70,2,39,0,44,4,35,9,10
2,2007-03-01,3,2,0,59,24,21,29,11,0,72,11,2,32,0,2,72,0,49,0,34,11,33,3,9
3,2007-04-01,1,1,1,65,36,40,23,29,0,88,14,2,35,0,3,68,2,36,0,28,5,30,3,4
4,2007-05-01,2,1,1,60,14,33,33,25,0,34,12,1,36,0,2,79,4,42,0,35,9,33,12,0
5,2007-06-01,1,1,0,65,20,64,17,25,1,29,15,0,31,0,4,73,2,42,0,45,7,28,3,4
6,2007-07-01,1,1,1,64,41,43,16,15,1,32,13,1,32,0,4,77,5,33,0,41,10,24,5,5
7,2007-08-01,1,2,0,66,18,61,18,12,1,36,14,1,33,0,3,83,5,33,0,41,11,30,11,8
8,2007-09-01,2,1,0,64,19,50,25,19,1,28,10,3,35,0,5,70,4,40,0,29,12,36,6,8
9,2007-10-01,1,2,1,60,17,45,45,15,0,26,11,2,32,0,4,69,6,42,0,41,6,41,6,10
10,2007-11-01,2,1,0,61,30,33,22,8,1,22,17,1,41,0,5,64,2,46,0,44,10,40,3,6
11,2007-12-01,1,2,1,53,24,21,15,14,0,35,12,2,39,0,5,67,2,48,0,36,3,25,5,3
12,2008-01-01,2,2,1,66,21,49,24,13,1,63,11,2,34,0,6,78,5,48,0,36,5,29,6,13
13,2008-02-01,2,3,0,64,22,24,29,18,1,86,13,2,37,0,5,87,2,48,0,46,8,44,0,9
14,2008-03-01,2,1,0,67,12,32,31,16,0,74,12,2,37,0,5,73,3,40,0,33,6,36,3,6
15,2008-04-01,2,2,1,67,16,29,30,8,1,97,16,3,37,0,7,74,4,30,0,42,7,42,3,8
16,2008-05-01,2,1,1,75,24,36,31,14,1,48,15,3,41,0,4,78,3,42,0,35,4,30,6,9
17,2008-06-01,2,1,0,69,23,32,21,23,1,38,10,2,36,0,4,89,2,30,0,37,6,30,7,9
18,2008-07-01,2,2,0,63,41,49,22,30,0,30,12,2,39,0,9,79,5,46,0,46,5,35,4,9
19,2008-08-01,2,2,0,67,27,46,19,10,1,29,13,1,41,0,7,74,3,37,0,36,8,25,7,11
20,2008-09-01,2,2,0,66,37,69,26,21,0,35,15,2,39,0,8,62,3,36,0,36,5,22,5,7
21,2008-10-01,2,2,0,68,22,37,32,13,1,43,15,2,40,0,7,64,4,31,0,42,7,29,3,4
22,2008-11-01,2,3,1,69,27,52,29,24,1,36,12,2,42,0,11,69,0,41,0,44,5,30,4,5
23,2008-12-01,2,2,1,70,28,69,25,12,1,32,12,1,41,0,13,61,3,40,0,41,4,37,5,3
24,2009-01-01,2,5,0,71,36,65,29,18,2,64,18,2,37,0,13,77,4,37,0,44,3,43,5,7
25,2009-02-01,2,3,0,71,27,52,25,30,3,100,18,2,46,0,13,69,5,33,0,48,3,34,7,11
26,2009-03-01,2,5,1,72,20,64,16,32,2,80,16,1,46,0,12,72,7,43,0,44,6,45,4,4
27,2009-04-01,2,1,0,74,23,59,34,17,2,87,20,2,49,0,12,82,2,40,0,48,5,40,6,9
28,2009-05-01,2,4,1,78,14,49,22,22,1,32,18,1,46,0,11,79,4,57,0,46,5,26,8,5
29,2009-06-01,3,2,1,69,33,100,42,21,1,38,15,2,43,0,16,78,3,33,0,38,5,29,3,6
30,2009-07-01,2,2,0,70,33,61,32,22,1,41,19,2,45,0,13,87,2,28,0,41,3,32,5,6
31,2009-08-01,2,2,0,66,32,63,16,15,1,42,15,1,53,0,17,81,10,35,0,45,0,26,3,5
32,2009-09-01,2,2,1,67,27,48,23,27,1,29,19,2,48,0,13,66,3,37,0,37,7,28,8,6
33,2009-10-01,2,2,1,75,28,62,18,26,1,37,21,3,53,0,13,66,3,43,0,47,5,26,3,10
34,2009-11-01,3,2,0,71,45,51,17,32,1,31,24,2,54,0,16,72,3,49,0,52,7,40,2,6
35,2009-12-01,2,3,1,72,27,35,24,24,1,35,19,2,51,0,15,69,3,45,0,50,3,47,3,5
36,2010-01-01,2,2,1,74,10,53,20,41,1,72,20,1,51,0,13,66,2,37,0,57,5,27,5,8
37,2010-02-01,2,6,1,68,20,47,26,20,1,81,18,2,53,0,14,67,4,40,0,45,2,29,5,3
38,2010-03-01,2,2,1,78,37,63,39,21,1,74,21,1,51,0,14,73,4,51,0,46,5,29,3,6
39,2010-04-01,2,3,1,78,19,50,25,21,0,84,20,4,54,0,17,71,3,41,0,48,7,31,6,7
40,2010-05-01,1,1,1,82,24,63,36,24,0,35,18,2,54,0,10,77,3,49,0,50,5,33,4,9
41,2010-06-01,2,2,1,72,38,75,45,39,1,41,17,2,45,0,20,88,4,47,0,47,8,45,0,6
42,2010-07-01,2,1,0,66,22,53,29,27,1,34,20,1,54,0,23,83,3,42,0,44,5,29,2,6
43,2010-08-01,2,2,0,63,21,86,19,30,1,35,22,1,55,0,14,78,3,37,0,51,6,35,3,9
44,2010-09-01,2,2,1,67,19,42,25,25,1,34,20,2,55,0,12,68,6,45,0,48,5,36,4,7
45,2010-10-01,1,1,1,71,24,40,26,26,1,36,20,2,57,0,11,70,4,45,0,42,4,25,4,12
46,2010-11-01,1,2,1,77,31,33,28,31,1,33,21,2,57,0,13,64,5,52,0,47,3,40,3,9
47,2010-12-01,1,2,1,74,18,46,24,24,1,39,17,2,54,0,15,70,5,54,0,46,6,20,2,9
48,2011-01-01,2,8,0,81,18,56,18,41,0,65,20,2,57,0,15,71,4,51,0,49,4,26,3,3
49,2011-02-01,2,5,0,77,23,56,17,22,1,84,18,1,55,0,11,74,4,43,0,46,3,30,4,6
50,2011-03-01,2,2,0,85,18,53,25,40,0,68,18,2,62,0,9,71,5,53,0,46,5,31,5,5
51,2011-04-01,2,2,0,80,24,51,20,23,0,81,20,1,64,0,10,71,5,62,0,49,8,29,5,5
52,2011-05-01,3,2,0,82,14,47,20,45,0,33,16,2,62,0,10,74,4,60,0,46,4,37,2,5
53,2011-06-01,2,2,0,79,30,51,26,29,0,30,18,1,58,0,9,81,3,57,0,49,4,34,3,6
54,2011-07-01,2,2,0,74,16,62,19,29,0,31,23,1,60,0,10,77,5,50,0,50,3,29,2,3
55,2011-08-01,2,4,1,78,28,64,19,32,0,27,17,2,59,0,12,71,5,45,0,40,6,31,4,6
56,2011-09-01,3,2,1,80,27,46,24,25,0,27,19,2,60,0,11,71,2,47,0,46,5,37,2,5
57,2011-10-01,2,2,0,83,28,48,24,36,0,28,20,2,61,0,13,73,6,52,0,44,4,31,2,6
58,2011-11-01,2,2,0,85,20,42,25,49,0,24,19,3,64,0,10,65,4,61,0,50,5,31,4,5
59,2011-12-01,2,3,0,79,22,39,15,35,0,29,19,2,69,0,11,68,3,73,0,50,6,27,3,4
60,2012-01-01,3,3,0,90,21,57,20,33,1,66,22,1,66,0,12,71,3,54,0,45,5,32,3,5
61,2012-02-01,2,2,1,80,19,42,27,38,0,76,21,2,64,0,10,78,4,53,0,45,5,41,3,6
62,2012-03-01,2,2,0,89,17,41,24,39,0,65,21,2,65,0,10,74,5,58,0,45,5,49,2,7
63,2012-04-01,2,2,0,77,18,60,19,40,0,75,21,1,68,0,10,68,3,58,0,45,5,45,4,7
64,2012-05-01,2,2,0,90,19,57,23,30,0,31,18,2,60,0,10,76,5,66,0,39,5,41,3,6
65,2012-06-01,2,2,0,78,24,41,25,30,0,28,20,2,69,0,10,82,4,59,0,50,4,41,3,5
66,2012-07-01,2,2,0,72,24,42,25,33,0,30,18,1,64,0,10,76,5,66,0,44,4,39,4,4
67,2012-08-01,2,5,0,74,27,43,17,21,0,31,19,1,62,0,10,76,5,60,0,47,6,37,2,4
68,2012-09-01,3,2,1,76,21,29,26,20,0,29,19,2,64,0,11,72,5,51,0,46,6,38,4,4
69,2012-10-01,3,4,0,83,25,39,18,28,1,30,19,2,62,0,11,65,7,54,0,41,5,36,3,5
70,2012-11-01,3,2,0,84,20,35,19,36,0,31,19,2,71,0,12,66,5,64,0,47,4,31,4,4
71,2012-12-01,2,2,0,84,28,27,18,46,0,32,15,2,63,0,10,63,5,74,0,48,6,33,2,3
72,2013-01-01,3,2,0,100,26,36,27,49,1,69,23,1,67,0,13,69,5,57,0,47,5,44,2,6
73,2013-02-01,2,2,1,85,23,39,22,28,0,89,21,1,63,0,10,73,6,64,0,43,5,39,3,7
74,2013-03-01,2,3,0,92,25,43,22,29,0,70,22,1,67,0,10,72,5,65,0,47,7,43,4,9
75,2013-04-01,3,2,0,88,20,37,25,37,0,73,23,2,64,0,9,70,5,61,0,45,6,48,5,8
76,2013-05-01,2,2,0,99,17,32,25,28,0,37,20,2,63,0,9,73,6,66,0,45,5,46,4,6
77,2013-06-01,2,2,0,91,25,29,24,39,0,32,19,1,59,0,8,83,5,65,0,49,6,36,2,6
78,2013-07-01,2,2,0,78,19,26,16,28,0,26,18,1,63,0,9,81,3,67,0,49,7,36,3,4
79,2013-08-01,2,2,0,81,28,28,17,36,0,28,16,1,67,0,9,77,3,54,0,46,4,42,3,5
80,2013-09-01,3,2,1,85,23,28,10,28,0,24,19,1,70,0,9,74,4,50,0,43,8,42,2,4
81,2013-10-01,3,2,0,89,22,18,20,32,0,29,22,2,67,0,10,69,6,57,0,45,7,50,3,6
82,2013-11-01,3,2,1,86,22,21,21,31,0,23,23,3,71,0,9,70,4,77,0,46,7,52,5,6
83,2013-12-01,2,7,0,77,16,30,19,42,0,26,19,2,70,0,13,74,4,76,0,43,6,41,2,4
84,2014-01-01,3,10,0,87,25,32,19,37,0,53,22,1,72,0,17,74,5,67,0,46,5,46,3,4
85,2014-02-01,3,8,1,83,29,39,22,36,0,80,24,1,72,0,13,78,3,77,0,50,4,37,3,7
86,2014-03-01,3,4,0,89,22,36,21,23,0,62,23,1,72,0,13,77,6,81,0,52,4,41,5,6
87,2014-04-01,3,2,0,83,19,37,24,37,0,68,24,2,67,0,13,74,5,83,0,49,5,52,2,8
88,2014-05-01,3,2,0,92,23,30,33,33,0,33,21,2,67,0,11,76,5,88,0,48,5,63,2,7
89,2014-06-01,2,2,0,85,23,33,19,24,0,32,21,1,61,0,9,87,3,76,0,49,6,48,2,5
90,2014-07-01,3,2,0,74,23,29,22,36,0,29,20,1,64,0,8,83,3,71,0,48,6,39,3,6
91,2014-08-01,4,2,0,78,24,39,20,24,0,29,20,1,58,0,6,86,5,63,0,50,6,46,6,5
92,2014-09-01,4,2,1,82,16,33,26,30,0,28,20,1,65,0,7,74,6,74,0,45,8,40,4,6
93,2014-10-01,3,2,0,84,23,33,23,32,0,30,23,2,62,0,7,71,5,84,0,50,7,44,4,7
94,2014-11-01,3,2,0,80,26,31,27,24,0,25,24,2,61,0,6,70,6,87,0,41,6,42,4,6
95,2014-12-01,3,2,0,83,22,30,21,27,0,31,21,2,61,0,6,72,2,90,0,41,7,35,4,5
96,2015-01-01,3,6,1,88,20,36,23,36,1,60,23,1,66,0,8,74,5,80,0,50,5,44,2,5
97,2015-02-01,3,5,1,83,28,29,26,36,0,77,23,2,64,0,9,77,5,74,0,63,6,35,3,6
98,2015-03-01,3,5,1,92,26,32,26,27,0,65,24,1,66,0,8,78,5,74,0,55,7,39,3,9
99,2015-04-01,3,3,0,87,20,34,26,30,1,69,22,3,65,0,7,79,5,78,0,59,8,46,3,6
100,2015-05-01,3,2,0,92,18,29,23,26,0,33,20,3,58,0,7,81,3,89,0,48,8,49,3,6
101,2015-06-01,3,2,0,82,23,24,27,28,0,32,22,1,54,0,6,82,4,78,0,46,6,38,3,7
102,2015-07-01,3,2,0,75,33,40,25,34,0,32,22,1,57,0,6,86,4,74,0,42,6,54,3,4
103,2015-08-01,3,3,0,79,27,31,25,25,0,29,18,1,57,0,5,88,5,67,0,44,6,51,3,4
104,2015-09-01,3,2,1,80,17,34,23,27,0,28,22,2,60,0,5,76,4,76,0,45,5,85,2,6
105,2015-10-01,2,3,0,89,20,32,22,33,0,30,23,2,62,0,6,74,4,82,0,43,7,100,2,6
106,2015-11-01,3,3,0,93,17,21,13,27,0,27,24,4,62,0,5,70,7,98,0,41,7,59,4,6
107,2015-12-01,3,2,0,93,22,28,28,42,0,31,21,2,63,0,6,74,4,100,0,46,5,53,2,8
108,2016-01-01,3,6,0,93,19,44,33,44,1,55,21,1,60,0,8,94,4,77,0,45,7,52,3,6
109,2016-02-01,3,4,0,81,15,29,20,39,0,82,22,2,60,0,7,87,6,85,0,56,6,62,4,8
