,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,83,30,44,43,17,0,78,12,1,26,0,5,77,2,29,3,31,4,31,2,5
1,2007-02-01,1,2,0,81,33,39,43,17,0,90,11,1,27,0,4,76,2,30,3,30,4,34,2,6
2,2007-03-01,2,2,0,79,33,45,39,20,0,76,12,1,28,0,4,79,2,29,2,30,4,33,3,6
3,2007-04-01,2,2,0,78,30,45,39,21,0,86,11,1,30,0,4,78,2,31,3,33,4,32,3,6
4,2007-05-01,2,2,0,80,30,42,37,16,0,46,11,1,29,0,5,83,2,30,3,34,4,32,3,6
5,2007-06-01,2,1,0,84,29,51,38,18,0,50,11,1,29,0,5,85,2,30,3,37,4,27,2,7
6,2007-07-01,2,2,0,87,34,54,41,15,0,48,11,1,29,0,5,82,2,29,3,36,5,31,3,5
7,2007-08-01,2,2,0,84,32,54,40,18,0,50,11,1,30,0,5,80,2,29,3,34,5,29,3,6
8,2007-09-01,2,1,0,75,32,53,41,21,0,39,11,1,33,0,4,74,2,28,3,32,4,32,3,7
9,2007-10-01,2,1,0,73,27,52,37,16,0,43,12,1,32,0,5,74,2,31,3,34,4,33,3,6
10,2007-11-01,2,1,0,75,26,57,38,19,0,45,14,1,31,0,5,75,2,35,3,33,3,32,2,6
11,2007-12-01,2,2,0,74,30,47,32,17,0,45,10,1,31,0,5,75,2,40,2,31,4,32,3,6
12,2008-01-01,2,2,0,82,32,57,39,18,0,91,13,1,32,0,6,79,2,30,3,32,4,33,4,10
13,2008-02-01,2,2,0,78,30,59,41,20,0,96,13,1,34,0,6,77,3,29,3,32,4,34,3,7
14,2008-03-01,2,2,0,80,29,55,44,18,0,78,13,1,36,0,5,82,2,28,3,33,5,32,3,9
15,2008-04-01,2,2,0,80,27,64,42,17,0,90,14,1,34,0,6,83,3,27,3,35,4,32,3,8
16,2008-05-01,2,2,0,78,26,65,36,24,0,64,12,1,34,0,5,90,3,29,2,33,3,31,3,7
17,2008-06-01,2,2,0,82,29,64,37,19,0,48,12,1,35,0,7,91,3,27,3,35,3,33,2,7
18,2008-07-01,2,3,0,81,28,72,39,17,0,46,12,1,35,0,8,85,3,26,3,36,3,31,3,5
