,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,87,27,46,28,18,0,73,10,1,3,31,4,40,5,27,3,6
1,2007-02-01,1,2,0,80,29,47,27,14,0,85,9,1,3,33,3,37,4,26,2,6
2,2007-03-01,2,2,0,83,28,49,29,13,0,66,9,1,3,31,3,37,4,26,2,6
3,2007-04-01,2,2,0,84,24,40,31,19,0,84,9,1,3,36,4,41,4,26,3,7
4,2007-05-01,2,2,0,84,29,52,26,15,0,43,9,1,3,33,4,40,3,24,2,6
5,2007-06-01,1,2,0,85,27,42,23,14,0,43,9,1,4,31,4,44,4,23,2,6
6,2007-07-01,2,1,0,89,34,44,27,16,0,48,9,1,3,32,4,44,4,23,3,4
7,2007-08-01,2,2,0,85,27,50,27,16,0,45,9,1,2,31,4,41,3,23,3,6
8,2007-09-01,2,2,0,78,26,47,27,15,0,38,10,1,3,31,4,40,3,26,3,7
9,2007-10-01,2,2,0,77,24,47,29,15,0,42,10,1,3,34,4,42,3,25,3,6
10,2007-11-01,2,2,0,78,25,48,29,25,0,38,10,1,2,36,3,39,3,26,2,7
11,2007-12-01,1,1,0,78,29,41,23,18,0,42,8,1,3,43,3,41,4,27,3,6
12,2008-01-01,1,3,0,85,26,56,27,19,0,80,11,1,3,33,4,40,4,25,3,11
13,2008-02-01,1,2,0,81,30,52,25,16,0,92,10,1,3,33,3,40,3,25,3,9
14,2008-03-01,2,2,0,83,27,53,28,17,0,77,10,1,4,31,3,39,3,26,4,9
15,2008-04-01,2,2,0,85,23,53,26,16,0,94,10,1,4,32,4,42,3,27,3,8
16,2008-05-01,1,2,0,83,26,54,22,18,0,63,9,1,4,34,4,42,3,27,2,6
17,2008-06-01,1,2,0,85,26,53,29,16,0,49,10,1,4,30,3,44,3,24,2,6
18,2008-07-01,1,2,0,87,22,58,26,15,0,53,10,1,4,30,3,46,3,24,3,5
19,2008-08-01,2,3,0,80,24,51,25,16,0,43,9,1,3,30,4,44,4,24,2,4
20,2008-09-01,2,2,1,78,26,70,31,21,0,43,11,1,4,30,4,45,5,27,1,5
21,2008-10-01,2,2,1,76,23,73,28,25,1,50,11,1,4,33,4,45,3,25,2,7
22,2008-11-01,2,4,0,77,27,75,31,27,1,42,12,1,3,35,3,45,2,29,3,5
23,2008-12-01,2,3,0,80,29,78,29,29,1,43,10,1,4,38,3,43,3,27,2,7
24,2009-01-01,2,4,0,87,30,83,32,22,2,81,13,1,4,33,5,44,3,25,3,8
25,2009-02-01,2,3,0,84,29,85,33,29,1,100,14,1,4,31,3,44,3,27,2,6
26,2009-03-01,2,4,0,84,23,80,30,30,1,81,13,1,4,32,4,43,3,27,3,7
27,2009-04-01,2,2,0,84,26,81,28,23,1,83,14,1,4,30,3,46,3,27,3,7
28,2009-05-01,2,4,0,86,27,77,29,22,0,48,13,1,3,30,4,45,3,28,2,6
29,2009-06-01,2,3,0,87,26,100,29,26,0,51,14,1,4,29,3,45,3,25,2,5
30,2009-07-01,2,2,0,86,24,81,32,21,1,57,14,1,4,29,4,49,3,22,2,6
31,2009-08-01,2,2,0,82,28,78,32,23,0,49,14,1,4,30,4,44,3,24,3,5
32,2009-09-01,2,3,0,82,25,74,32,23,0,45,14,1,4,30,4,48,4,28,2,4
33,2009-10-01,2,2,0,83,25,75,32,28,0,48,16,1,4,33,4,47,4,29,2,5
34,2009-11-01,2,2,1,81,28,67,30,34,0,46,16,1,4,40,4,48,3,31,3,4
35,2009-12-01,2,2,0,81,29,66,26,29,0,48,14,1,4,46,3,50,3,31,2,5
36,2010-01-01,2,4,1,87,31,76,29,27,0,83,15,1,4,34,4,51,3,27,3,5
37,2010-02-01,2,4,1,83,27,75,28,25,0,90,16,1,4,35,4,50,3,27,4,6
38,2010-03-01,2,3,1,83,26,74,32,23,0,78,18,1,4,34,4,48,3,28,3,5
39,2010-04-01,2,2,0,85,23,67,28,21,0,81,17,2,4,36,3,49,3,27,3,6
40,2010-05-01,2,2,0,83,24,67,27,24,0,43,15,1,5,39,4,49,3,26,3,5
41,2010-06-01,2,2,0,84,24,74,31,32,0,49,16,1,4,36,4,52,3,27,2,4
42,2010-07-01,2,2,0,80,23,65,26,26,0,45,15,1,4,33,4,48,3,25,2,4
43,2010-08-01,2,2,0,74,26,65,25,28,0,42,14,1,4,34,4,44,4,25,2,4
44,2010-09-01,2,1,1,74,20,64,25,29,0,39,14,1,4,35,4,47,4,27,3,4
45,2010-10-01,2,2,0,71,20,55,27,40,0,41,14,1,4,38,4,47,4,30,4,4
46,2010-11-01,2,2,0,73,22,57,23,35,0,38,14,1,4,41,3,48,4,30,3,5
47,2010-12-01,2,3,0,73,24,51,21,27,0,45,13,1,4,62,3,47,3,32,3,4
48,2011-01-01,2,6,0,77,21,56,22,43,0,68,15,1,5,38,4,50,4,27,3,3
49,2011-02-01,2,3,0,76,23,58,25,29,0,79,14,1,5,42,3,49,4,28,2,4
50,2011-03-01,2,2,0,74,19,55,24,39,0,60,14,1,5,40,4,47,4,30,3,4
51,2011-04-01,2,2,0,73,21,54,22,28,0,66,14,1,5,46,4,48,4,34,3,4
52,2011-05-01,2,2,0,77,21,45,21,43,0,36,13,1,5,49,4,49,4,33,3,4
53,2011-06-01,2,2,0,76,22,51,19,27,0,35,14,1,5,42,4,47,5,34,2,4
54,2011-07-01,2,3,0,79,21,51,20,29,0,38,16,1,5,40,4,49,4,34,2,4
55,2011-08-01,2,2,1,79,20,54,20,28,0,38,16,1,6,40,4,51,4,37,3,3
56,2011-09-01,2,2,0,75,20,50,20,32,0,35,15,1,5,45,4,50,4,44,2,4
