,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,83,32,39,0,0,0,67,10,1,24,0,3,76,2,48,2,22,6,35,4,9
1,2007-02-01,2,2,1,88,42,48,0,0,0,75,12,1,27,0,2,79,2,31,2,29,5,43,6,12
2,2007-03-01,2,2,1,84,29,53,0,0,0,72,12,1,29,0,2,75,2,33,2,24,7,47,2,9
3,2007-04-01,2,2,0,81,44,34,0,0,0,100,10,1,29,0,2,77,1,40,2,26,8,36,5,7
4,2007-05-01,2,2,0,82,45,23,0,0,0,34,10,1,28,0,3,77,2,34,2,32,9,37,2,4
5,2007-06-01,2,2,0,91,39,46,0,0,0,35,9,1,31,0,2,86,1,35,2,31,4,35,2,7
6,2007-07-01,2,1,1,87,45,21,0,0,0,35,10,1,28,0,3,85,2,37,1,33,4,36,4,4
7,2007-08-01,1,2,1,87,30,36,0,0,0,30,9,1,28,0,2,81,3,28,3,33,6,30,1,8
8,2007-09-01,2,1,0,87,32,40,0,0,0,33,11,1,30,0,2,75,2,30,3,35,5,30,3,10
9,2007-10-01,2,2,1,77,39,34,0,0,0,34,11,1,28,0,3,73,2,28,2,29,2,38,3,6
10,2007-11-01,2,2,0,77,39,18,0,0,0,29,10,1,33,0,2,68,1,41,3,26,7,45,3,8
11,2007-12-01,2,4,0,76,29,37,0,0,0,30,8,1,31,0,2,69,2,49,2,28,2,29,3,11
12,2008-01-01,2,2,0,86,37,34,0,0,0,63,10,0,31,0,3,75,1,36,3,26,7,31,5,8
13,2008-02-01,2,2,0,80,40,34,0,0,0,83,11,1,30,0,3,75,2,32,1,27,3,28,1,15
14,2008-03-01,2,2,0,83,31,87,0,0,0,77,10,1,33,0,3,76,2,30,3,33,5,31,4,9
15,2008-04-01,2,3,0,81,36,100,0,0,0,94,12,1,31,0,2,76,2,28,3,31,5,35,4,11
16,2008-05-01,2,2,1,83,32,57,0,0,0,49,11,1,35,0,2,80,3,31,2,33,4,27,2,9
17,2008-06-01,2,2,1,83,29,55,0,0,0,37,8,0,34,0,3,87,2,28,2,28,3,35,1,10
18,2008-07-01,2,3,1,86,35,33,0,0,1,38,9,1,35,0,5,80,2,31,3,35,4,34,3,7
19,2008-08-01,2,4,0,83,37,46,0,0,0,36,9,1,32,0,3,72,3,31,3,37,5,37,3,10
20,2008-09-01,2,2,1,79,39,53,0,0,0,34,11,1,33,0,5,67,2,31,2,34,6,35,3,5
21,2008-10-01,2,3,1,76,29,55,0,0,0,39,14,1,37,0,5,63,2,37,2,38,3,34,3,10
22,2008-11-01,2,3,0,71,37,70,0,0,0,31,11,1,40,0,5,66,1,35,3,33,6,34,4,9
23,2008-12-01,2,3,0,80,47,89,0,0,1,35,13,1,35,0,6,68,2,55,1,36,5,40,3,10
24,2009-01-01,2,4,1,84,42,52,0,0,1,62,12,1,36,0,7,74,2,41,1,33,5,36,3,12
25,2009-02-01,2,2,1,85,45,53,0,0,0,95,13,0,40,0,8,82,3,36,3,33,3,34,6,9
26,2009-03-01,2,3,0,79,38,59,0,0,1,82,13,1,40,0,7,77,1,36,2,33,4,38,4,10
27,2009-04-01,2,2,0,85,28,60,0,0,1,99,15,1,42,0,8,73,3,38,4,28,3,29,2,9
28,2009-05-01,3,3,0,80,45,63,0,0,0,41,15,1,41,0,7,82,3,41,2,31,4,36,2,7
29,2009-06-01,2,3,0,87,38,91,0,0,0,43,14,1,38,0,8,85,2,33,3,35,4,33,1,7
30,2009-07-01,2,3,0,83,42,58,0,0,1,43,14,1,42,0,7,85,2,35,3,36,7,33,4,6
31,2009-08-01,2,2,1,83,45,55,0,0,1,33,14,1,45,0,9,80,3,38,2,33,3,33,3,6
32,2009-09-01,2,2,0,79,44,59,0,0,1,35,15,1,44,0,7,70,3,31,3,35,5,35,3,6
33,2009-10-01,2,2,0,86,35,50,0,0,1,38,16,1,44,0,9,68,3,37,2,36,3,33,2,7
34,2009-11-01,3,3,1,85,34,56,0,0,0,36,16,1,42,0,10,70,3,42,2,39,4,32,4,5
35,2009-12-01,2,2,1,77,44,67,0,0,0,36,13,1,42,0,8,69,2,60,2,41,6,35,3,7
36,2010-01-01,2,3,1,84,39,56,0,0,0,72,16,1,47,0,9,72,3,45,1,36,5,37,2,5
37,2010-02-01,3,2,0,81,37,67,0,0,0,85,17,1,47,0,11,75,3,39,2,37,4,37,4,8
38,2010-03-01,3,4,1,78,41,70,0,0,0,75,17,1,47,0,9,76,3,47,2,40,4,41,5,9
39,2010-04-01,3,2,0,80,38,66,0,0,1,90,17,1,50,0,11,70,3,40,3,37,3,42,3,5
40,2010-05-01,2,2,1,83,35,47,0,0,0,45,16,1,49,0,10,75,3,39,2,32,5,40,4,8
41,2010-06-01,3,2,1,86,41,67,0,0,0,44,16,1,46,0,14,76,3,41,1,41,7,38,3,7
42,2010-07-01,2,2,0,84,26,59,0,0,0,48,15,1,50,0,14,76,4,37,2,38,6,34,2,5
43,2010-08-01,2,1,1,78,51,70,0,0,0,37,14,1,51,0,8,75,3,40,3,39,4,36,4,8
44,2010-09-01,3,3,1,77,33,55,0,0,0,36,16,1,50,0,9,67,3,44,4,37,7,38,2,6
