,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,77,25,39,33,20,0,68,11,1,31,0,3,68,2,27,2,39,10,34,2,6
1,2007-02-01,2,2,0,74,24,43,18,13,0,83,12,1,31,0,3,69,2,26,3,28,3,40,4,6
2,2007-03-01,1,2,0,78,23,37,31,20,0,67,14,1,33,0,2,73,4,27,2,33,7,36,3,6
3,2007-04-01,2,1,0,75,16,54,25,16,0,71,14,1,37,0,3,74,3,33,3,38,5,36,5,8
4,2007-05-01,2,1,0,77,33,36,26,14,0,33,10,1,33,0,2,82,2,27,2,37,5,35,4,6
5,2007-06-01,2,1,0,83,29,43,26,15,0,36,10,1,36,0,2,89,2,23,2,41,4,27,2,10
6,2007-07-01,1,1,0,84,28,46,18,12,0,36,10,1,32,0,3,84,1,31,3,38,9,26,3,5
7,2007-08-01,2,2,0,76,32,42,27,10,0,33,10,1,34,0,2,79,2,28,1,37,8,27,3,6
8,2007-09-01,2,1,0,73,24,38,20,11,0,26,11,2,35,0,3,64,2,24,3,36,6,33,3,16
9,2007-10-01,2,2,0,72,28,32,21,25,0,31,13,1,37,0,3,63,3,29,2,37,9,42,2,6
10,2007-11-01,2,1,0,75,24,46,21,12,1,29,13,1,37,0,3,71,3,29,3,37,6,32,4,5
11,2007-12-01,1,2,0,72,24,37,24,16,0,37,13,1,36,0,3,67,2,39,2,36,5,34,5,8
12,2008-01-01,2,2,0,82,26,46,21,17,1,83,12,1,36,0,4,72,4,28,1,38,7,39,1,14
13,2008-02-01,2,3,0,74,28,45,29,14,0,92,14,1,37,0,2,71,3,29,2,33,6,36,4,9
14,2008-03-01,2,2,0,81,24,52,20,20,0,71,12,2,36,0,3,79,2,29,2,37,5,35,2,13
15,2008-04-01,2,1,1,80,20,48,31,15,0,80,16,2,37,0,4,74,3,26,1,36,8,38,4,12
16,2008-05-01,2,2,0,78,27,56,21,18,0,56,13,0,37,0,3,79,2,25,3,35,4,37,2,7
17,2008-06-01,2,6,0,82,24,63,29,10,0,34,10,1,34,0,4,85,3,24,2,35,3,30,2,10
18,2008-07-01,2,2,0,88,20,45,28,12,0,35,13,1,37,0,5,84,3,23,1,38,5,27,3,8
19,2008-08-01,2,2,0,83,29,55,24,11,1,31,9,1,36,0,3,75,3,28,3,39,8,23,1,8
