,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,1,1,1,78,27,32,10,13,1,68,12,1,29,0,6,62,3,29,3,41,14,28,3,8
1,2007-02-01,2,0,1,78,38,21,22,15,0,95,9,1,26,0,5,65,2,36,5,39,10,42,5,5
2,2007-03-01,2,2,0,79,23,40,17,15,1,66,8,1,30,0,5,65,3,30,2,40,14,37,6,11
3,2007-04-01,1,1,0,84,34,23,26,19,0,92,10,1,30,0,4,65,4,37,4,43,5,40,7,9
4,2007-05-01,1,1,0,82,30,24,24,14,1,30,8,1,32,0,4,74,3,30,5,47,8,36,4,8
5,2007-06-01,1,1,0,78,34,28,8,9,3,31,9,1,28,0,3,72,3,35,5,45,9,23,5,15
6,2007-07-01,1,1,0,86,30,40,21,14,3,33,8,1,25,0,5,69,2,26,4,47,13,30,2,6
7,2007-08-01,1,1,0,84,15,42,17,10,1,24,9,0,27,0,3,69,3,24,3,49,9,20,2,7
8,2007-09-01,2,1,0,80,22,29,15,20,0,26,11,1,30,0,4,61,3,37,2,44,12,25,2,10
9,2007-10-01,1,1,0,77,16,45,16,12,0,31,11,1,33,0,4,59,4,28,2,52,9,42,5,7
10,2007-11-01,2,1,0,77,20,46,17,17,0,27,12,1,34,0,6,59,2,29,2,44,5,36,3,9
11,2007-12-01,2,1,0,72,37,29,20,12,1,30,10,1,33,0,6,67,3,41,3,44,8,37,2,13
12,2008-01-01,2,2,0,86,23,36,27,8,0,77,11,0,33,0,7,65,2,34,3,49,8,35,5,10
13,2008-02-01,1,1,0,80,22,44,16,14,1,87,11,1,32,0,5,64,4,36,4,41,7,34,3,15
14,2008-03-01,2,1,0,86,25,41,24,10,1,78,12,1,34,0,6,70,3,34,2,44,5,34,3,11
15,2008-04-01,2,1,0,81,16,44,18,12,0,88,12,1,34,0,6,70,4,36,2,48,9,30,5,12
16,2008-05-01,1,1,0,78,19,40,18,14,1,52,9,1,30,0,5,78,4,37,3,45,7,35,5,12
17,2008-06-01,2,1,0,84,22,35,15,13,1,35,9,1,32,0,5,80,2,31,2,48,8,34,5,7
18,2008-07-01,2,2,0,82,25,43,19,9,1,28,9,0,33,0,6,78,3,39,2,51,7,24,6,6
19,2008-08-01,2,2,0,78,27,31,15,4,1,24,6,0,30,0,5,68,3,28,1,48,13,25,3,6
20,2008-09-01,2,2,0,82,23,60,11,11,0,28,9,2,37,0,8,61,2,24,2,52,5,38,4,6
21,2008-10-01,2,2,1,73,28,49,19,12,1,34,11,2,36,0,10,58,3,29,2,46,9,35,3,9
22,2008-11-01,1,2,1,67,19,83,18,10,1,26,11,1,36,0,12,58,3,34,2,45,2,40,2,9
23,2008-12-01,1,2,0,72,32,55,14,22,1,33,9,1,37,0,13,57,3,38,1,44,8,39,2,12
24,2009-01-01,2,3,0,82,30,100,26,15,1,70,13,1,38,0,16,66,6,36,3,45,6,32,5,10
25,2009-02-01,1,2,0,77,28,73,20,21,1,100,15,1,34,0,12,59,6,34,3,52,5,38,3,16
26,2009-03-01,2,2,0,75,20,59,20,24,1,72,13,1,38,0,14,66,4,29,2,47,5,34,5,10
27,2009-04-01,2,1,0,78,16,61,22,14,1,82,12,2,43,0,14,65,2,34,2,51,6,33,4,7
28,2009-05-01,2,3,0,80,24,77,20,11,1,33,12,1,39,0,11,68,5,33,2,50,8,29,3,15
29,2009-06-01,2,2,1,81,24,80,21,33,0,32,12,2,39,0,12,71,2,33,2,51,4,31,5,7
30,2009-07-01,2,1,0,81,27,59,30,18,0,30,14,1,38,0,12,73,4,29,2,59,3,32,3,8
31,2009-08-01,1,1,0,82,28,76,22,14,0,28,12,1,38,0,12,74,3,31,3,45,4,25,5,5
32,2009-09-01,2,1,0,73,21,56,23,17,0,31,15,1,39,0,11,62,4,31,3,48,4,40,0,7
33,2009-10-01,2,2,0,75,26,61,24,15,0,32,14,2,45,0,13,59,4,31,7,50,6,41,2,6
34,2009-11-01,2,1,0,78,27,61,21,21,0,36,15,1,45,0,13,62,3,39,2,53,9,37,4,7
35,2009-12-01,1,1,0,74,15,65,27,23,0,36,15,1,43,0,15,54,4,36,3,46,5,39,4,6
36,2010-01-01,2,2,0,74,29,60,26,14,0,69,16,1,42,0,17,60,2,33,3,53,3,37,4,5
37,2010-02-01,2,2,0,76,31,60,29,18,0,83,18,2,45,0,15,64,3,39,3,55,6,39,7,10
38,2010-03-01,1,2,0,76,22,58,19,19,0,64,18,2,46,0,14,62,3,38,3,53,13,40,3,3
39,2010-04-01,2,2,0,82,24,59,23,21,1,76,19,1,47,0,13,60,6,37,3,53,4,38,5,9
40,2010-05-01,2,1,1,79,32,48,16,21,1,37,14,1,43,0,11,62,2,42,3,49,4,35,5,8
41,2010-06-01,1,2,0,76,30,66,30,32,1,29,15,1,44,0,17,67,5,26,2,59,5,28,2,5
42,2010-07-01,1,2,1,80,22,56,20,15,0,33,17,1,43,0,19,70,3,34,2,49,3,33,2,8
43,2010-08-01,2,1,0,79,30,46,17,18,0,27,13,2,42,0,13,64,4,34,4,47,4,36,2,10
44,2010-09-01,3,1,0,77,23,45,19,17,0,30,14,2,46,0,11,62,4,35,3,50,5,36,5,6
45,2010-10-01,2,1,0,69,23,57,14,40,0,28,15,2,49,0,12,59,5,41,2,59,7,34,6,8
46,2010-11-01,2,1,0,71,22,59,16,30,0,27,17,1,46,0,13,56,4,39,3,51,4,40,6,5
47,2010-12-01,3,1,0,73,32,48,15,18,0,39,18,1,50,0,15,56,4,46,3,56,3,35,4,5
48,2011-01-01,2,2,1,77,26,53,15,28,0,69,18,1,49,0,14,60,4,42,3,60,4,34,4,6
49,2011-02-01,2,1,0,75,25,52,23,25,0,94,16,1,49,0,11,62,4,42,3,61,4,44,4,9
50,2011-03-01,2,2,0,77,30,54,14,24,0,69,16,2,51,0,10,64,5,42,3,50,6,43,4,6
51,2011-04-01,2,1,0,76,30,66,18,17,0,76,17,2,53,0,10,61,5,48,2,52,6,39,3,5
52,2011-05-01,2,1,0,79,28,54,20,29,0,28,15,1,53,0,9,64,4,48,2,60,6,36,2,6
53,2011-06-01,2,1,0,81,23,51,18,14,0,29,14,1,52,0,9,70,4,50,3,54,4,36,2,6
54,2011-07-01,2,2,0,80,27,54,14,18,0,27,16,1,50,0,11,71,3,44,2,51,7,28,2,6
55,2011-08-01,2,2,0,79,16,55,16,17,1,28,17,1,48,0,8,66,4,43,2,58,5,32,2,8
56,2011-09-01,2,2,0,75,28,51,20,15,0,26,17,1,53,0,9,64,4,46,3,57,7,39,5,5
57,2011-10-01,2,1,0,73,25,47,17,21,0,28,16,2,56,0,10,61,3,52,2,58,6,34,3,8
58,2011-11-01,2,1,0,76,20,49,17,33,0,25,16,1,56,0,10,62,4,56,3,56,8,33,4,6
59,2011-12-01,2,2,0,74,24,42,15,17,0,31,15,1,56,0,10,56,4,68,3,55,8,34,3,7
60,2012-01-01,3,2,0,80,23,50,22,17,0,69,18,1,57,0,13,61,4,54,4,56,7,40,4,6
61,2012-02-01,2,2,0,78,21,44,16,25,0,83,17,1,57,0,9,65,5,55,3,56,7,38,3,7
62,2012-03-01,2,1,1,78,21,40,13,31,0,57,15,2,54,0,8,68,4,61,2,58,7,41,3,7
63,2012-04-01,2,1,0,78,28,47,17,27,0,65,17,2,62,0,10,64,5,60,2,53,7,43,4,6
64,2012-05-01,2,1,0,80,24,44,18,18,0,30,15,1,57,0,8,64,5,77,2,58,7,44,2,6
65,2012-06-01,2,1,0,78,21,44,21,31,0,27,14,2,55,0,8,70,5,70,2,51,6,44,3,6
66,2012-07-01,2,1,0,83,24,41,15,22,0,28,14,1,56,0,10,72,4,70,2,55,8,38,2,6
67,2012-08-01,2,4,0,78,32,39,17,24,0,26,14,1,55,0,7,68,4,59,2,50,5,33,4,6
68,2012-09-01,2,1,0,75,24,44,19,22,0,26,15,1,58,0,8,66,6,62,3,54,9,36,3,4
69,2012-10-01,3,2,0,72,26,41,19,24,0,30,16,2,56,0,10,58,5,72,3,51,8,33,4,8
70,2012-11-01,2,2,1,73,22,43,17,24,0,30,16,1,59,0,9,56,4,71,2,57,6,37,4,7
71,2012-12-01,2,1,0,74,23,28,19,22,0,31,14,1,59,0,8,58,5,86,2,54,6,33,3,4
72,2013-01-01,2,2,0,80,29,39,18,22,0,61,18,1,55,0,11,61,4,68,3,56,10,37,5,7
73,2013-02-01,2,2,0,76,25,36,18,19,0,84,17,2,60,0,7,66,5,67,2,54,8,37,3,9
74,2013-03-01,2,2,0,81,25,29,19,24,0,57,18,2,59,0,7,65,5,73,2,51,8,30,4,9
75,2013-04-01,2,1,0,81,28,35,17,24,0,64,16,2,57,0,8,63,5,68,2,53,7,42,2,7
76,2013-05-01,2,2,0,85,22,31,13,26,0,28,17,2,58,0,6,67,4,79,3,57,7,39,3,8
77,2013-06-01,3,1,0,86,23,26,17,38,0,24,15,1,56,0,6,69,6,68,2,54,7,37,2,7
78,2013-07-01,3,1,0,88,25,33,16,28,0,23,15,1,56,0,7,71,5,68,2,52,7,35,6,6
79,2013-08-01,2,1,0,83,22,27,18,20,0,22,14,1,55,0,6,70,4,62,2,51,8,32,4,6
