,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,84,27,43,30,14,0,65,12,1,33,0,5,69,2,31,2,34,5,35,3,7
1,2007-02-01,2,7,0,79,28,41,28,15,0,80,11,1,33,0,4,71,2,30,2,32,5,31,3,7
2,2007-03-01,2,2,0,83,25,39,32,20,0,66,12,1,34,0,4,72,3,29,2,34,5,32,3,7
3,2007-04-01,2,2,0,84,22,40,31,20,0,85,12,1,35,0,4,71,2,34,2,34,5,30,3,7
4,2007-05-01,2,2,0,83,29,38,34,15,0,37,12,1,33,0,4,76,2,30,2,37,4,31,3,6
5,2007-06-01,2,2,0,85,26,42,34,12,0,34,10,1,32,0,4,79,3,28,2,38,4,27,2,7
6,2007-07-01,2,2,0,91,29,50,33,24,0,35,11,1,32,0,4,79,3,29,2,38,4,28,2,7
7,2007-08-01,2,2,0,87,23,48,29,12,0,34,10,1,33,0,4,77,2,29,2,38,5,28,3,8
8,2007-09-01,2,2,0,81,26,41,28,18,0,33,11,1,36,0,3,69,3,27,2,36,4,30,3,7
9,2007-10-01,2,2,0,78,31,47,33,15,0,36,13,1,36,0,4,65,3,31,3,37,5,30,3,7
10,2007-11-01,2,2,0,80,26,46,32,18,0,36,12,1,36,0,4,65,2,30,2,37,4,32,3,6
11,2007-12-01,2,4,0,80,29,38,26,19,0,36,11,1,36,0,4,66,3,39,1,36,6,35,3,7
12,2008-01-01,2,3,0,85,30,50,31,20,1,74,13,1,37,0,6,71,3,32,2,38,5,34,3,11
13,2008-02-01,2,7,0,82,23,52,33,18,0,89,13,1,38,0,5,70,3,30,2,37,4,32,3,8
14,2008-03-01,2,2,0,85,24,50,31,17,1,77,13,1,39,0,5,73,3,27,2,37,4,31,3,10
15,2008-04-01,2,2,0,83,29,51,32,17,0,88,13,1,38,0,5,73,3,28,2,37,4,34,3,9
16,2008-05-01,2,2,0,83,27,58,32,17,0,54,11,1,37,0,4,81,4,28,2,40,4,34,3,8
17,2008-06-01,2,2,0,86,29,48,29,15,1,39,11,1,36,0,6,84,3,28,2,38,4,29,2,7
18,2008-07-01,2,3,0,87,27,52,30,14,1,39,12,1,37,0,6,79,3,28,2,41,4,31,2,6
19,2008-08-01,2,4,0,83,28,58,29,14,0,36,10,1,36,0,5,70,3,25,2,39,5,27,2,6
20,2008-09-01,2,3,1,81,26,71,27,18,1,38,13,2,38,0,6,65,3,27,2,41,5,33,2,6
21,2008-10-01,2,3,0,77,27,62,36,18,1,46,14,1,41,0,8,62,3,32,2,41,3,34,3,8
22,2008-11-01,2,5,0,78,27,79,31,27,2,37,16,1,42,0,10,64,3,33,2,38,3,34,3,7
23,2008-12-01,2,6,0,82,26,77,32,26,2,36,12,1,42,0,11,69,2,39,1,38,3,38,3,8
24,2009-01-01,2,7,1,86,29,79,35,29,3,70,15,1,44,0,14,70,3,31,3,39,4,35,3,8
25,2009-02-01,2,3,0,86,26,88,40,32,2,100,17,2,44,0,14,71,4,29,3,40,4,35,3,7
26,2009-03-01,2,3,0,84,25,76,42,36,1,79,16,1,43,0,13,71,4,29,3,41,3,34,2,8
27,2009-04-01,2,3,0,84,26,83,38,27,1,85,17,2,47,0,13,71,3,29,2,41,4,34,4,7
28,2009-05-01,2,7,0,86,26,98,31,24,1,41,15,1,45,0,11,74,2,30,2,41,4,34,3,7
29,2009-06-01,2,4,0,86,28,100,35,32,1,40,15,1,43,0,13,79,3,28,2,41,3,30,3,6
30,2009-07-01,2,3,0,87,29,91,33,25,1,42,17,1,46,0,13,83,3,29,2,42,4,30,3,6
31,2009-08-01,3,3,0,87,28,85,36,23,1,43,15,1,47,0,12,83,3,28,3,41,4,32,3,6
32,2009-09-01,2,3,0,84,31,79,34,25,1,42,17,2,49,0,12,69,3,30,3,42,4,31,3,6
33,2009-10-01,3,3,0,83,34,75,38,26,1,44,19,2,51,0,13,66,3,32,2,40,4,34,3,7
34,2009-11-01,3,3,1,86,33,72,33,32,1,43,20,2,54,0,14,66,3,35,3,46,5,35,3,5
35,2009-12-01,2,3,0,86,29,66,26,29,0,45,17,1,52,0,12,68,3,47,2,44,3,37,3,6
36,2010-01-01,3,4,0,87,36,72,35,31,0,78,19,1,51,0,15,68,4,36,3,46,4,34,3,6
37,2010-02-01,2,5,1,85,26,77,37,27,0,90,19,2,50,0,13,68,3,35,3,45,3,37,3,7
38,2010-03-01,3,3,0,84,28,79,37,26,1,79,20,1,54,0,14,71,4,34,3,44,4,35,3,6
39,2010-04-01,2,3,0,91,28,69,36,27,0,91,20,2,56,0,13,70,4,37,2,42,4,35,4,6
40,2010-05-01,2,2,0,87,27,73,33,26,0,41,18,1,53,0,11,72,4,38,2,46,4,35,3,5
41,2010-06-01,2,2,0,85,27,84,33,30,0,42,18,1,50,0,16,76,3,35,2,43,3,32,2,5
42,2010-07-01,2,2,0,84,29,71,35,24,0,44,19,1,51,0,22,79,4,34,2,44,3,35,2,6
43,2010-08-01,2,2,0,82,31,73,32,28,0,46,17,1,51,0,12,76,4,34,2,41,4,32,3,7
44,2010-09-01,3,2,1,79,26,72,31,23,0,41,17,2,52,0,11,68,3,36,2,42,3,35,3,6
45,2010-10-01,3,2,1,76,25,67,31,42,0,41,18,2,54,0,10,64,3,40,3,46,4,39,3,7
46,2010-11-01,2,2,0,80,27,70,29,38,0,41,19,2,54,0,12,65,4,42,2,47,5,37,4,6
47,2010-12-01,2,3,0,80,29,59,30,34,0,50,18,2,55,0,15,68,3,55,2,42,4,39,4,5
48,2011-01-01,3,4,0,81,23,58,29,55,0,76,18,1,55,0,14,66,4,38,3,45,5,29,4,5
49,2011-02-01,3,8,1,79,22,61,28,35,0,78,17,1,54,0,11,71,4,40,2,43,5,32,3,5
50,2011-03-01,3,3,0,81,22,58,30,51,0,65,17,2,58,0,10,72,4,40,3,43,5,32,3,5
51,2011-04-01,3,2,0,79,22,57,29,36,0,74,17,2,60,0,10,69,4,45,2,44,5,32,3,6
52,2011-05-01,3,2,0,80,22,47,28,46,0,31,15,1,56,0,9,72,4,48,2,43,5,32,3,4
53,2011-06-01,2,2,0,82,23,53,28,26,0,29,16,1,57,0,10,77,4,42,2,44,5,30,2,4
54,2011-07-01,3,3,0,82,23,48,23,29,0,29,19,1,56,0,11,79,4,40,2,45,5,29,2,4
55,2011-08-01,3,3,0,82,25,51,25,26,0,31,17,1,58,0,11,75,4,39,2,43,5,30,3,4
56,2011-09-01,3,3,0,77,21,48,26,30,0,30,17,2,58,0,10,71,4,43,2,44,5,34,3,4
57,2011-10-01,3,3,0,75,22,50,28,26,0,31,17,2,59,0,10,67,3,53,2,43,5,34,3,5
58,2011-11-01,3,2,0,77,21,54,24,40,0,28,17,2,62,0,11,64,3,57,2,46,5,33,3,4
59,2011-12-01,2,3,0,76,19,45,22,28,0,30,16,2,65,0,11,65,3,63,2,45,6,32,3,4
60,2012-01-01,3,3,0,80,20,53,22,28,0,64,18,1,64,0,14,68,4,53,2,46,5,34,2,4
61,2012-02-01,3,3,0,77,20,51,26,31,0,74,18,2,64,0,12,75,4,54,2,46,6,38,3,5
62,2012-03-01,3,3,0,80,21,48,23,34,0,50,18,1,63,0,10,74,4,51,2,44,6,42,3,5
63,2012-04-01,3,3,0,80,21,49,23,36,0,57,17,1,66,0,10,72,4,55,2,45,6,49,4,5
64,2012-05-01,3,3,0,83,22,45,24,31,0,29,17,1,62,0,10,81,4,62,2,44,6,49,3,4
65,2012-06-01,3,3,0,81,22,45,22,34,0,27,16,1,64,0,10,81,4,55,2,43,5,47,2,4
66,2012-07-01,3,3,0,82,19,47,21,30,0,28,16,1,63,0,11,82,4,55,2,43,7,44,2,4
67,2012-08-01,3,7,0,80,21,48,20,30,0,30,16,1,60,0,10,78,4,52,2,43,6,43,2,4
68,2012-09-01,3,3,0,77,21,44,22,27,0,28,16,2,61,0,11,71,4,54,2,43,6,44,2,4
69,2012-10-01,3,3,0,76,21,46,25,29,0,30,17,2,64,0,11,66,4,58,2,42,6,41,3,5
70,2012-11-01,3,3,0,79,20,42,22,35,0,29,16,2,62,0,11,65,4,62,2,45,6,41,3,4
71,2012-12-01,3,3,0,82,20,38,20,43,0,31,16,2,63,0,11,64,3,70,2,44,6,40,2,4
72,2013-01-01,3,3,0,89,23,45,23,40,0,67,19,1,66,0,13,70,4,59,2,46,6,45,3,4
73,2013-02-01,3,5,0,81,24,45,22,28,0,82,18,1,63,0,9,71,5,65,2,45,6,48,3,5
74,2013-03-01,3,6,0,79,22,41,23,34,0,56,18,1,64,0,8,73,4,62,2,43,6,44,3,5
75,2013-04-01,3,3,0,86,23,37,24,34,0,60,19,2,62,0,9,70,4,57,2,42,5,44,3,5
76,2013-05-01,3,3,0,91,21,34,23,36,0,30,17,1,60,0,8,74,4,69,2,43,6,43,3,5
77,2013-06-01,3,3,0,87,21,33,21,48,0,26,16,1,60,0,8,77,4,58,2,42,6,37,2,5
78,2013-07-01,3,2,0,88,23,42,23,34,0,28,17,1,61,0,8,80,4,57,2,44,6,39,2,5
79,2013-08-01,3,2,0,85,24,34,23,28,0,27,17,1,63,0,8,75,4,53,2,43,5,37,3,5
80,2013-09-01,3,3,0,80,23,32,24,30,0,26,17,2,63,0,8,72,4,55,2,44,7,41,3,5
81,2013-10-01,3,3,0,82,26,32,27,37,0,29,20,2,64,0,9,71,4,60,2,44,6,46,3,5
82,2013-11-01,3,3,0,82,24,31,23,31,0,26,20,2,65,0,8,71,4,71,2,47,7,45,3,4
83,2013-12-01,3,4,0,84,22,30,24,39,0,30,17,2,69,0,10,76,4,77,2,46,6,42,3,4
84,2014-01-01,4,11,0,86,23,35,29,40,0,55,22,1,71,0,15,77,4,67,3,46,6,41,3,4
85,2014-02-01,4,6,0,82,24,36,28,30,0,80,21,1,67,0,13,78,5,77,2,45,6,39,4,5
86,2014-03-01,4,4,0,85,23,35,26,29,0,57,22,1,69,0,12,80,4,81,2,45,6,44,4,5
87,2014-04-01,4,3,0,89,25,35,27,36,0,60,21,2,68,0,12,77,5,82,2,45,6,50,4,5
88,2014-05-01,3,3,0,91,23,33,24,32,0,29,19,1,64,0,10,79,4,87,2,44,6,68,3,5
89,2014-06-01,3,3,0,91,24,35,23,31,0,30,18,1,62,0,8,84,4,72,2,44,7,50,2,5
90,2014-07-01,4,3,0,95,24,35,26,34,0,32,19,1,62,0,8,88,4,68,2,46,6,41,2,5
91,2014-08-01,4,3,0,88,25,31,24,30,0,29,18,1,63,0,6,83,4,67,2,45,6,41,3,4
92,2014-09-01,4,3,1,86,23,33,24,30,0,29,18,2,66,0,6,76,4,70,2,43,7,41,3,4
93,2014-10-01,4,3,0,81,24,33,27,32,0,30,19,2,64,0,6,73,4,79,2,44,6,43,3,5
94,2014-11-01,4,3,0,86,25,32,22,33,0,29,20,2,63,0,7,74,4,86,2,46,6,41,4,5
95,2014-12-01,4,3,0,85,24,30,24,36,0,33,19,1,62,0,7,72,4,89,2,44,6,42,4,4
96,2015-01-01,4,9,0,87,25,33,26,33,0,68,23,1,66,0,8,78,4,77,2,46,6,45,3,5
97,2015-02-01,4,9,1,82,25,33,26,30,0,86,21,1,65,0,7,82,5,81,2,60,6,42,4,6
98,2015-03-01,4,3,0,87,25,34,28,30,0,67,21,2,65,0,6,84,4,76,2,55,6,42,4,7
99,2015-04-01,4,3,0,93,25,34,28,26,0,63,21,2,67,0,6,79,5,80,2,51,6,50,4,7
100,2015-05-01,4,3,0,94,21,31,25,27,0,31,18,1,62,0,6,84,4,95,2,44,6,52,3,5
101,2015-06-01,4,3,0,94,24,33,27,28,0,32,19,1,61,0,6,88,4,77,2,43,6,45,2,5
102,2015-07-01,4,3,0,97,23,40,27,30,0,34,18,1,61,0,6,94,4,74,2,45,6,55,2,5
103,2015-08-01,4,3,0,93,26,35,24,29,0,32,17,1,60,0,5,90,4,70,2,42,6,50,2,5
104,2015-09-01,4,3,0,88,23,32,23,30,0,31,18,2,62,0,5,82,4,81,2,43,7,63,2,6
105,2015-10-01,4,3,0,88,24,32,27,33,0,31,19,2,62,0,5,76,4,85,2,43,6,100,3,6
106,2015-11-01,4,3,0,91,23,29,25,28,0,31,20,2,65,0,5,75,4,95,2,44,7,50,3,6
107,2015-12-01,4,3,0,92,23,28,24,33,0,34,18,2,66,0,6,76,4,100,2,45,6,46,3,6
108,2016-01-01,4,5,0,89,21,35,25,36,0,59,20,1,65,0,7,81,5,87,2,47,7,52,3,5
109,2016-02-01,5,5,0,85,20,38,27,30,0,77,20,2,66,0,6,85,5,90,2,54,7,59,4,7
110,2016-03-01,5,4,0,88,20,37,26,33,0,60,20,1,68,0,5,84,5,91,2,51,7,51,4,6
111,2016-04-01,5,4,0,94,21,35,27,31,0,63,20,2,63,0,5,83,5,81,2,51,7,53,3,7
