,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,87,30,56,28,14,0,67,12,1,30,0,7,67,2,31,2,35,5,37,5,7
1,2007-02-01,2,6,0,77,28,39,25,9,0,78,12,1,31,0,7,67,2,28,2,37,5,33,4,5
2,2007-03-01,2,2,1,83,24,45,23,16,0,57,14,1,31,0,6,74,2,31,2,34,7,33,5,6
3,2007-04-01,2,2,0,79,26,42,30,16,0,73,13,1,35,0,7,69,2,37,3,41,6,36,3,6
4,2007-05-01,2,1,0,82,23,48,24,13,0,30,12,1,34,0,5,80,2,35,2,41,7,30,4,5
5,2007-06-01,2,1,0,87,31,49,29,11,0,32,11,1,32,0,6,83,1,31,2,37,5,30,2,7
6,2007-07-01,2,2,0,89,25,43,18,8,0,43,10,1,32,0,7,78,2,31,2,42,5,29,5,7
7,2007-08-01,2,2,0,85,36,49,20,16,0,30,10,1,32,0,6,71,3,25,3,40,6,28,4,6
8,2007-09-01,2,1,0,80,21,48,23,11,0,26,12,2,36,0,5,67,3,32,2,37,3,31,2,8
9,2007-10-01,2,1,1,79,21,43,32,11,0,30,12,1,37,0,6,66,3,31,1,41,3,35,3,7
10,2007-11-01,2,2,0,78,29,45,22,15,0,29,14,1,36,0,6,63,3,30,2,39,4,35,5,7
11,2007-12-01,2,3,0,81,22,36,16,17,0,33,11,1,36,0,7,65,2,41,3,36,6,30,3,7
12,2008-01-01,2,2,1,88,26,53,23,18,0,78,13,1,38,0,9,71,2,33,3,39,6,34,3,10
13,2008-02-01,2,4,0,82,23,53,25,17,0,92,11,1,37,0,7,71,2,33,2,38,6,35,4,9
14,2008-03-01,2,2,0,86,26,47,20,13,0,76,13,1,38,0,7,74,3,29,2,38,5,33,4,8
15,2008-04-01,2,2,0,81,27,55,26,18,0,85,15,1,38,0,8,74,4,26,3,43,7,37,3,8
16,2008-05-01,2,2,0,88,25,56,20,19,0,63,11,1,35,0,7,86,4,31,2,43,3,35,2,7
17,2008-06-01,2,3,1,85,27,59,22,16,0,39,12,1,35,0,8,85,3,31,3,40,3,27,2,8
18,2008-07-01,2,3,0,87,25,53,24,19,1,35,11,1,35,0,10,80,3,26,2,43,7,31,3,7
19,2008-08-01,2,3,0,86,19,55,22,14,1,30,11,1,36,0,9,70,4,25,3,41,5,30,4,4
20,2008-09-01,2,2,1,78,28,72,19,19,1,33,14,1,37,0,10,64,3,29,2,43,6,36,3,6
21,2008-10-01,2,2,0,74,21,65,29,21,1,40,15,2,38,0,11,60,4,30,3,44,6,33,4,8
22,2008-11-01,2,4,0,77,20,76,23,24,1,34,15,1,42,0,13,62,2,32,2,43,4,37,4,7
23,2008-12-01,2,4,0,79,38,67,24,25,1,34,15,2,44,0,18,68,3,34,2,42,4,38,5,9
24,2009-01-01,2,6,0,86,24,72,24,23,1,74,15,1,41,0,20,65,4,28,2,44,4,32,4,7
25,2009-02-01,2,3,0,85,24,71,28,26,1,100,15,2,45,0,19,67,3,29,3,41,5,34,5,7
26,2009-03-01,2,3,0,86,24,77,24,29,1,76,16,1,45,0,21,72,3,29,3,40,3,38,3,8
27,2009-04-01,3,3,0,85,23,71,24,34,1,79,16,2,50,0,19,70,4,32,3,43,4,39,6,6
28,2009-05-01,2,6,0,84,23,84,21,17,1,36,16,1,45,0,19,76,3,31,2,44,5,36,4,7
29,2009-06-01,3,4,0,93,29,100,28,29,1,39,17,1,42,0,23,79,3,28,3,43,5,31,3,7
30,2009-07-01,2,3,0,90,21,89,21,22,1,36,16,1,45,0,21,81,3,27,3,41,4,28,3,5
31,2009-08-01,2,2,0,90,26,61,26,23,0,33,15,1,47,0,19,76,4,26,3,41,4,30,3,5
32,2009-09-01,2,2,0,82,25,64,25,26,0,34,16,2,51,0,18,66,4,31,3,45,4,36,4,5
33,2009-10-01,3,2,0,82,30,61,25,28,0,33,19,1,51,0,18,63,3,33,3,45,4,37,4,5
