,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,79,31,51,34,11,0,68,11,1,26,0,5,59,3,26,2,34,8,39,3,10
1,2007-02-01,2,2,0,81,38,46,29,11,1,78,9,1,26,0,4,57,3,28,2,39,6,43,4,9
2,2007-03-01,2,2,0,82,36,44,35,22,0,58,11,1,25,0,4,62,2,28,3,34,6,41,4,9
3,2007-04-01,2,1,0,79,27,50,27,33,0,75,10,1,29,0,5,62,2,30,4,39,8,40,3,7
4,2007-05-01,2,1,0,82,35,38,36,9,0,29,11,1,26,0,5,66,2,32,2,41,8,42,4,10
5,2007-06-01,2,1,0,83,38,54,29,9,0,29,10,0,29,0,4,70,2,38,3,49,8,31,5,8
6,2007-07-01,2,2,0,88,23,53,34,13,0,33,9,1,27,0,5,71,2,31,2,44,10,39,3,8
7,2007-08-01,2,1,0,79,34,51,36,12,0,33,10,1,30,0,4,61,3,29,2,35,7,32,3,8
8,2007-09-01,2,1,0,76,27,71,29,19,0,24,9,1,32,0,4,59,3,27,3,38,8,41,5,9
9,2007-10-01,2,1,0,78,24,61,34,26,1,30,12,1,31,0,4,57,2,37,4,38,6,42,5,6
10,2007-11-01,1,1,0,77,30,52,31,27,0,28,12,1,29,0,5,57,2,32,2,41,8,41,6,9
11,2007-12-01,1,3,0,77,45,43,21,21,0,32,9,1,30,0,6,58,2,40,1,38,7,35,3,5
12,2008-01-01,2,2,0,87,25,47,27,27,1,72,10,1,31,0,6,57,3,36,3,43,6,32,3,14
13,2008-02-01,2,3,0,82,43,53,27,31,0,88,10,1,31,0,6,61,4,32,2,41,5,44,4,11
14,2008-03-01,2,2,0,85,32,50,34,19,0,69,10,1,32,0,4,65,3,32,3,38,7,35,4,12
15,2008-04-01,2,1,0,84,37,58,29,16,0,84,12,1,33,0,5,63,4,27,3,45,5,41,5,11
16,2008-05-01,1,2,0,83,32,71,31,22,0,54,10,1,32,0,4,72,3,31,2,40,7,48,5,8
