,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,1,0,74,36,42,38,19,1,65,11,1,34,0,8,67,3,33,3,46,10,38,4,6
1,2007-02-01,2,3,0,73,27,37,43,18,0,76,11,1,36,0,6,71,2,35,3,40,6,44,2,7
2,2007-03-01,2,1,0,74,38,45,32,25,0,52,12,1,32,0,5,71,2,34,2,46,10,39,5,9
3,2007-04-01,2,1,0,73,35,46,37,17,0,69,12,1,38,0,5,69,2,40,3,43,7,39,3,9
4,2007-05-01,2,1,0,79,34,40,31,18,0,25,10,1,33,0,6,78,2,36,2,43,9,37,5,6
5,2007-06-01,2,1,0,77,36,60,36,18,0,24,10,1,36,0,6,82,2,37,2,47,6,28,3,9
6,2007-07-01,2,1,0,79,32,48,37,19,0,27,10,1,35,0,7,79,3,34,4,45,8,30,3,7
7,2007-08-01,1,1,0,75,39,58,26,8,0,24,9,1,37,0,5,78,3,33,3,45,6,29,4,7
8,2007-09-01,2,1,0,69,25,52,32,22,0,21,11,1,38,0,6,70,3,34,2,46,7,34,4,6
9,2007-10-01,1,1,0,69,28,47,31,18,0,24,12,1,38,0,6,68,4,42,2,44,7,37,5,7
10,2007-11-01,2,1,0,71,32,43,27,20,0,26,14,1,39,0,6,66,5,40,2,44,5,36,5,7
11,2007-12-01,2,2,0,71,37,45,31,22,0,29,10,1,40,0,7,67,2,49,3,47,6,37,2,6
12,2008-01-01,2,2,0,77,23,53,27,20,0,71,13,1,41,0,8,70,3,39,3,41,5,41,3,11
13,2008-02-01,2,4,0,75,23,45,38,20,0,88,11,1,41,0,6,73,4,41,3,42,6,42,4,7
14,2008-03-01,2,2,0,77,30,45,29,16,0,64,14,1,43,0,6,75,3,34,3,50,5,40,4,14
15,2008-04-01,2,1,0,80,19,57,38,20,1,83,13,1,41,0,7,74,4,33,3,52,6,41,7,10
16,2008-05-01,2,2,0,82,33,61,24,19,0,55,12,1,41,0,7,88,5,36,3,47,6,38,2,9
17,2008-06-01,2,2,0,81,38,63,31,17,0,33,9,1,40,0,9,85,3,31,2,46,5,28,2,8
18,2008-07-01,2,2,0,82,24,59,31,20,0,32,11,1,42,0,11,81,4,33,2,47,6,34,3,5
19,2008-08-01,2,2,0,82,40,57,24,16,0,22,12,1,40,0,8,73,5,34,3,47,6,29,5,5
20,2008-09-01,2,2,0,76,28,75,44,16,0,26,12,1,43,0,9,66,3,31,2,51,8,31,3,6
21,2008-10-01,2,2,0,73,26,83,42,35,1,37,17,1,45,0,11,64,3,32,2,47,4,32,3,6
22,2008-11-01,2,3,0,73,31,73,30,29,1,29,17,1,44,0,13,65,5,38,2,49,6,42,5,6
23,2008-12-01,2,4,0,78,23,74,36,25,1,29,12,1,45,0,17,71,3,41,2,48,5,39,5,8
24,2009-01-01,2,5,0,84,29,89,38,24,2,69,16,1,46,0,24,69,4,32,2,46,4,30,5,7
