,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,83,37,55,35,21,0,67,11,1,30,0,3,67,0,30,3,35,5,27,3,5
1,2007-02-01,2,1,0,81,37,49,37,11,0,78,12,1,32,0,3,67,0,28,3,37,4,26,4,6
2,2007-03-01,2,2,0,85,44,50,43,19,0,64,12,1,32,0,3,68,0,27,3,36,5,30,5,7
3,2007-04-01,2,1,0,85,47,44,38,23,0,79,13,1,33,0,3,72,0,32,3,41,4,32,5,7
4,2007-05-01,2,1,0,88,35,41,43,9,0,39,9,1,30,0,2,78,0,32,3,39,3,29,4,7
5,2007-06-01,2,1,0,90,29,52,40,13,0,35,9,1,35,0,3,73,0,30,3,43,4,26,4,6
6,2007-07-01,2,1,0,95,38,41,57,18,0,39,11,1,34,0,3,76,0,30,4,40,4,23,2,7
7,2007-08-01,2,1,0,86,39,58,34,11,0,38,9,1,33,0,3,69,0,25,3,43,5,24,4,6
8,2007-09-01,1,1,0,80,27,36,37,19,0,26,10,1,35,0,3,67,0,25,3,40,4,25,3,9
9,2007-10-01,2,1,0,76,24,46,39,18,0,31,11,1,34,0,3,60,0,34,2,39,4,30,3,6
10,2007-11-01,1,1,0,73,20,38,38,30,0,32,10,1,33,0,3,69,0,34,3,37,5,30,3,6
11,2007-12-01,2,1,0,78,39,46,38,18,0,37,10,1,36,0,3,69,0,42,5,38,5,25,3,4
12,2008-01-01,2,1,0,83,32,56,42,23,0,79,10,1,38,0,3,72,0,35,3,42,3,29,5,9
13,2008-02-01,2,2,0,83,22,54,38,25,0,87,13,1,37,0,3,67,0,32,4,38,4,27,4,9
14,2008-03-01,2,1,0,84,37,51,38,19,0,71,11,1,40,0,2,73,0,27,3,41,3,26,3,10
15,2008-04-01,2,1,0,85,41,66,43,17,0,83,11,1,39,0,3,74,0,28,4,40,3,29,4,10
16,2008-05-01,2,1,0,83,22,68,32,19,0,63,10,1,37,0,3,84,0,29,2,45,3,28,1,6
17,2008-06-01,2,2,0,88,39,43,44,22,0,41,10,0,34,0,3,86,0,30,2,46,3,28,3,8
18,2008-07-01,1,2,0,92,29,51,42,15,0,37,11,1,41,0,4,77,0,30,3,40,3,27,2,6
19,2008-08-01,2,3,0,83,40,46,45,13,0,33,9,0,37,0,4,67,0,26,2,42,5,24,4,4
20,2008-09-01,1,2,0,87,38,60,53,18,0,30,12,1,36,0,13,63,0,26,3,45,4,25,2,4
21,2008-10-01,2,1,0,79,37,65,48,22,0,42,13,1,40,0,6,65,0,30,3,49,4,31,3,6
22,2008-11-01,2,2,0,72,33,74,35,25,0,31,12,1,41,0,5,67,0,28,2,41,4,32,4,6
23,2008-12-01,2,2,0,81,32,54,33,28,1,37,11,1,44,0,6,67,0,33,3,45,4,27,2,7
24,2009-01-01,2,2,0,86,35,69,49,26,1,77,14,1,43,0,8,71,0,26,3,47,3,25,3,7
25,2009-02-01,2,2,0,82,31,71,57,30,0,100,13,1,44,0,7,69,0,32,3,46,4,30,5,7
26,2009-03-01,2,2,0,84,24,70,51,42,0,69,14,1,46,0,8,74,0,29,3,46,4,30,4,5
27,2009-04-01,2,2,0,83,29,86,36,34,0,78,13,1,49,0,7,77,0,28,3,44,4,33,5,7
28,2009-05-01,2,4,0,85,30,79,42,35,0,42,14,1,46,0,8,81,0,29,4,39,2,28,3,6
29,2009-06-01,2,2,0,91,32,94,55,33,0,36,12,1,44,0,8,82,0,24,4,42,3,21,4,6
30,2009-07-01,2,1,0,91,45,80,44,25,0,38,16,1,48,0,10,81,0,26,2,45,4,23,2,6
31,2009-08-01,2,1,0,88,30,68,40,32,0,40,16,1,47,0,10,78,0,26,2,46,4,28,3,5
32,2009-09-01,2,1,0,84,40,55,35,30,0,36,14,1,51,0,9,69,0,26,3,51,2,31,3,6
33,2009-10-01,2,2,0,82,36,69,46,35,0,34,16,1,52,0,9,66,0,32,3,48,3,27,4,4
34,2009-11-01,2,2,0,82,24,76,40,46,0,37,17,1,54,0,11,65,0,33,4,44,2,31,5,4
35,2009-12-01,2,1,0,82,26,65,47,46,0,40,13,1,51,0,10,72,0,35,3,47,4,23,3,4
36,2010-01-01,2,2,0,85,37,67,53,37,0,86,16,1,53,0,11,71,0,29,4,51,4,29,4,4
37,2010-02-01,2,3,1,80,34,70,40,28,0,86,17,1,53,0,10,73,0,30,3,51,3,31,5,6
38,2010-03-01,2,2,0,86,34,70,42,28,0,67,20,1,57,0,10,76,0,29,3,49,5,30,4,6
39,2010-04-01,2,2,0,89,38,62,47,31,0,74,18,2,59,0,10,73,0,35,4,50,4,27,4,5
40,2010-05-01,2,2,0,87,25,65,46,24,0,42,17,1,52,0,9,79,0,36,2,48,4,32,3,5
41,2010-06-01,2,1,0,86,31,99,49,38,0,37,16,1,53,0,12,83,0,32,3,53,4,30,1,7
42,2010-07-01,2,2,0,88,30,79,41,34,0,37,17,1,57,0,13,80,0,32,4,51,4,30,3,5
