,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,2,0,79,42,42,41,24,0,65,13,1,37,0,6,69,2,38,2,42,7,37,4,6
1,2007-02-01,2,4,0,75,48,35,37,18,0,80,11,2,36,0,5,71,2,39,2,41,5,35,4,6
2,2007-03-01,2,3,0,76,46,42,39,22,0,70,12,1,36,0,4,67,3,35,3,41,8,34,5,8
3,2007-04-01,2,2,0,77,40,40,40,33,0,86,12,2,39,0,4,70,2,40,2,44,5,37,4,7
4,2007-05-01,2,2,0,81,42,35,32,27,0,32,12,1,39,0,4,73,3,35,2,52,6,34,5,6
5,2007-06-01,2,2,0,78,39,47,30,19,0,34,11,1,38,0,4,77,3,33,2,50,7,29,4,7
6,2007-07-01,2,2,0,86,39,38,34,23,0,35,12,1,40,0,5,83,3,34,2,50,5,28,2,6
7,2007-08-01,2,2,0,81,45,39,35,18,0,39,11,1,40,0,5,79,4,31,2,47,7,29,3,7
8,2007-09-01,3,2,0,76,42,36,35,28,0,31,11,1,42,0,4,69,2,34,2,43,6,31,3,8
9,2007-10-01,2,2,0,73,46,37,36,28,0,34,12,2,42,0,4,65,3,35,2,42,5,37,4,6
10,2007-11-01,2,1,0,76,45,42,33,29,1,33,13,1,41,0,5,67,3,40,2,40,6,31,4,7
11,2007-12-01,2,5,0,74,41,36,35,24,0,34,11,1,42,0,5,68,3,47,2,39,6,32,3,8
12,2008-01-01,2,4,0,79,47,48,36,24,1,71,14,1,42,0,7,70,3,37,2,45,7,32,3,10
13,2008-02-01,2,3,0,76,45,47,36,25,1,88,13,2,43,0,6,69,3,36,2,43,5,35,4,9
14,2008-03-01,2,2,0,82,45,47,37,26,1,77,13,1,45,0,6,73,3,33,2,45,6,31,3,11
15,2008-04-01,3,2,0,81,46,47,34,24,1,94,13,2,42,0,6,74,3,32,2,46,5,37,4,10
16,2008-05-01,2,2,0,83,40,55,37,29,0,54,13,2,43,0,6,80,4,33,2,45,5,36,4,8
17,2008-06-01,2,2,0,85,40,43,31,23,1,38,11,1,42,0,7,84,4,32,2,46,5,30,3,6
18,2008-07-01,2,3,0,84,42,47,33,22,1,40,12,1,45,0,7,82,4,31,2,49,6,30,3,6
19,2008-08-01,2,3,0,82,44,46,33,20,0,42,12,1,44,0,7,79,3,30,2,53,7,30,2,6
20,2008-09-01,3,3,0,79,41,62,38,25,1,36,14,2,43,0,8,66,3,30,2,48,6,31,3,8
21,2008-10-01,3,3,0,74,41,61,40,24,2,44,15,2,45,0,9,63,4,36,2,50,4,33,3,10
22,2008-11-01,2,4,0,76,41,83,37,35,3,35,15,2,45,0,11,65,3,38,2,48,6,34,4,7
23,2008-12-01,2,6,0,80,43,80,42,33,2,35,15,2,46,0,13,68,3,48,2,47,5,34,4,9
24,2009-01-01,2,6,0,81,47,86,42,32,4,68,16,1,47,0,17,70,5,38,2,50,4,36,4,8
25,2009-02-01,2,4,0,79,47,90,48,46,3,100,18,2,48,0,18,72,4,32,3,48,5,34,3,8
26,2009-03-01,3,4,0,77,45,82,44,42,2,83,17,2,47,0,17,72,4,34,2,46,5,36,3,9
27,2009-04-01,3,3,1,83,45,82,46,34,2,91,16,2,51,0,15,73,3,37,2,47,5,35,3,8
28,2009-05-01,3,5,0,85,48,86,41,35,1,40,15,1,50,0,15,79,4,33,3,48,4,35,3,7
29,2009-06-01,3,3,0,85,47,100,40,42,1,41,16,1,50,0,14,80,3,32,2,49,4,29,3,7
30,2009-07-01,3,2,0,86,46,84,39,32,1,47,17,1,51,0,18,86,3,33,2,50,4,30,2,7
31,2009-08-01,3,2,0,85,47,72,41,32,1,43,17,1,53,0,16,90,4,33,3,48,4,31,3,7
32,2009-09-01,3,2,0,81,44,73,42,38,1,40,18,2,53,0,16,73,4,36,3,48,4,30,3,6
33,2009-10-01,3,2,0,79,52,79,44,35,1,42,18,2,56,0,17,68,5,39,2,52,5,34,4,9
34,2009-11-01,3,2,0,79,47,72,38,42,1,41,20,2,56,0,18,67,4,45,2,52,6,36,3,6
35,2009-12-01,3,3,0,75,42,62,30,37,1,39,17,2,55,0,16,68,3,53,2,55,4,35,4,6
36,2010-01-01,3,3,0,79,48,74,46,41,1,73,20,1,55,0,20,71,4,42,2,55,5,30,3,6
37,2010-02-01,3,5,0,78,42,77,36,37,0,87,20,2,56,0,18,69,5,40,2,50,4,31,4,7
38,2010-03-01,3,3,0,81,45,71,38,38,1,78,21,2,57,0,18,72,5,39,3,53,5,33,4,8
39,2010-04-01,3,3,0,83,37,58,34,45,1,91,20,2,60,0,17,69,4,46,3,52,5,36,4,8
40,2010-05-01,3,2,0,84,39,59,34,37,1,42,18,2,57,0,16,74,4,46,2,54,6,35,4,6
41,2010-06-01,3,3,0,82,43,73,37,47,0,37,19,2,57,0,21,76,4,41,2,51,5,33,3,6
