,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2007-01-01,2,3,0,86,31,31,34,18,0,66,11,1,34,0,5,74,2,36,2,34,6,34,5,8
1,2007-02-01,2,8,0,83,23,39,31,12,0,80,10,1,33,0,4,72,3,33,3,31,5,34,3,5
2,2007-03-01,2,3,0,84,29,40,27,23,0,70,11,1,35,0,5,76,2,30,3,37,7,32,5,5
3,2007-04-01,2,2,0,86,27,42,28,22,0,91,11,1,37,0,4,74,3,35,3,37,6,32,4,5
4,2007-05-01,2,2,0,84,28,33,25,19,0,35,11,1,36,0,4,84,2,31,3,40,6,33,3,6
5,2007-06-01,2,2,0,87,35,40,39,16,0,36,10,1,36,0,4,88,3,29,2,42,7,27,2,5
6,2007-07-01,2,2,0,93,30,41,30,21,0,37,10,1,36,0,5,86,2,33,4,41,5,27,2,5
7,2007-08-01,2,2,0,88,40,40,33,12,0,35,10,1,35,0,5,80,3,29,3,39,7,28,2,6
8,2007-09-01,2,2,0,81,29,40,28,15,0,32,10,1,40,0,5,72,2,29,3,35,7,32,3,8
9,2007-10-01,2,2,0,79,30,39,35,15,0,35,11,1,38,0,6,69,3,35,3,36,7,35,2,9
10,2007-11-01,2,2,0,81,30,51,31,19,0,35,12,1,39,0,6,71,3,33,3,37,6,34,3,7
11,2007-12-01,2,4,0,80,34,36,32,26,0,40,10,1,40,0,5,73,2,43,2,33,4,35,3,7
12,2008-01-01,2,4,0,88,28,53,37,26,0,79,12,1,41,0,7,77,3,34,3,38,6,33,4,11
13,2008-02-01,2,5,0,84,32,41,34,23,0,88,10,1,40,0,6,73,3,31,3,37,5,31,4,10
14,2008-03-01,2,2,0,87,28,43,32,22,0,80,11,1,42,0,5,76,2,32,3,39,6,31,3,9
15,2008-04-01,2,2,0,87,26,51,36,20,0,94,12,2,39,0,5,77,3,31,3,41,5,35,4,8
16,2008-05-01,2,2,0,86,30,48,29,19,0,53,11,1,40,0,5,85,3,32,2,39,5,33,3,7
17,2008-06-01,2,2,0,89,30,55,33,21,0,39,10,1,41,0,6,88,3,28,3,39,4,32,2,9
18,2008-07-01,2,3,0,90,31,53,34,16,0,39,12,1,40,0,6,87,2,31,2,39,6,31,3,6
19,2008-08-01,2,4,0,85,35,51,37,16,0,35,11,1,40,0,7,77,3,29,3,39,7,26,3,5
20,2008-09-01,2,3,1,80,25,70,34,20,0,37,12,1,41,0,7,69,2,28,3,40,6,32,3,7
21,2008-10-01,2,3,0,78,28,64,30,18,1,42,12,1,44,0,9,65,3,32,3,39,4,33,3,9
22,2008-11-01,2,5,0,79,33,72,38,32,1,34,14,1,46,0,11,68,2,32,2,41,4,33,3,6
23,2008-12-01,2,4,0,83,27,77,39,24,1,35,12,1,45,0,13,77,3,40,2,37,4,36,3,9
24,2009-01-01,2,7,0,88,33,87,35,26,1,71,14,1,44,0,15,72,4,34,3,39,5,31,2,8
25,2009-02-01,2,4,0,86,29,77,38,34,1,100,15,1,48,0,17,77,3,31,2,41,4,35,3,8
26,2009-03-01,2,5,0,86,37,82,44,33,1,83,16,1,46,0,15,76,4,29,2,41,4,31,3,8
27,2009-04-01,2,3,0,88,32,73,38,31,1,93,15,2,48,0,14,79,3,32,2,43,4,35,2,8
28,2009-05-01,2,5,0,87,33,76,29,23,1,44,15,2,49,0,13,84,4,30,3,39,3,35,3,6
29,2009-06-01,2,3,0,89,29,100,38,27,0,41,14,1,48,0,14,86,4,29,2,39,4,30,2,7
30,2009-07-01,2,3,0,89,35,86,40,24,1,42,14,1,48,0,14,88,3,32,3,41,4,32,2,7
31,2009-08-01,2,2,0,89,32,86,38,23,0,40,15,1,49,0,14,87,4,30,2,41,4,28,4,6
32,2009-09-01,3,3,1,81,26,70,31,37,0,36,15,1,51,0,13,73,4,31,3,43,4,32,3,7
33,2009-10-01,3,3,0,82,30,77,35,30,0,39,17,2,54,0,14,71,3,34,3,40,5,34,3,7
34,2009-11-01,2,2,0,86,35,72,39,32,1,38,19,2,57,0,15,74,3,39,2,44,4,36,3,6
35,2009-12-01,2,5,0,81,30,62,38,37,0,39,15,2,54,0,16,72,3,46,2,42,4,34,4,6
36,2010-01-01,2,3,0,87,35,68,34,45,0,73,17,1,50,0,17,75,4,40,3,44,4,31,3,6
37,2010-02-01,2,10,0,82,33,66,38,26,0,80,15,1,52,0,15,70,4,35,3,41,4,30,4,6
38,2010-03-01,3,3,0,86,36,73,49,36,0,79,20,2,57,0,15,78,4,38,3,44,5,31,4,6
39,2010-04-01,3,3,0,89,32,65,46,34,0,87,20,2,59,0,16,76,4,40,3,43,4,38,3,8
40,2010-05-01,3,2,0,88,25,68,33,30,0,40,17,2,56,0,13,79,3,40,4,45,5,38,4,5
41,2010-06-01,2,2,0,86,31,80,41,37,0,41,17,1,54,0,16,83,4,39,3,43,4,33,3,6
42,2010-07-01,2,3,0,87,30,69,40,29,0,42,18,1,55,0,20,86,3,40,3,43,4,35,3,5
43,2010-08-01,2,2,0,82,28,72,40,39,0,44,17,1,55,0,14,79,4,37,3,43,4,33,3,7
44,2010-09-01,3,3,0,79,33,60,40,28,0,38,16,2,56,0,11,72,4,39,3,41,4,36,4,5
45,2010-10-01,3,2,0,76,31,69,38,53,0,38,17,2,57,0,12,69,4,43,3,45,5,40,4,6
46,2010-11-01,3,2,1,77,28,60,34,42,0,36,18,2,58,0,13,68,4,44,3,47,6,39,3,5
47,2010-12-01,2,3,0,79,29,61,33,34,0,46,17,2,57,0,15,71,4,56,2,43,4,37,3,6
48,2011-01-01,2,7,0,87,31,55,29,53,0,64,17,1,60,0,17,72,5,41,4,46,4,33,3,5
49,2011-02-01,3,4,1,82,35,62,32,32,0,82,17,2,61,0,14,75,4,42,3,46,4,41,3,5
50,2011-03-01,3,3,0,83,30,53,33,45,0,65,18,2,63,0,12,73,4,42,3,46,4,42,4,6
51,2011-04-01,3,3,0,83,32,56,37,38,0,82,16,2,66,0,13,74,4,47,3,45,5,41,3,5
52,2011-05-01,2,3,0,85,29,50,31,51,0,34,16,1,64,0,12,79,4,48,3,46,6,43,4,5
53,2011-06-01,2,3,0,84,32,56,34,28,0,32,16,1,64,0,13,83,4,47,3,46,4,35,3,5
54,2011-07-01,3,4,0,88,31,52,29,34,0,34,18,1,66,0,13,84,4,45,3,47,5,37,3,6
55,2011-08-01,3,4,0,87,28,50,27,28,0,38,17,1,64,0,13,76,5,42,3,45,6,35,3,6
56,2011-09-01,3,3,0,83,32,54,32,36,0,30,17,2,64,0,12,72,4,46,3,45,5,42,3,5
57,2011-10-01,3,3,1,79,30,47,30,31,0,31,17,2,65,0,15,72,4,52,3,47,4,39,3,5
58,2011-11-01,3,2,1,79,29,49,28,45,0,29,16,2,65,0,13,68,4,56,3,49,6,39,3,5
59,2011-12-01,3,3,0,82,28,45,29,38,0,33,16,2,72,0,14,71,3,67,2,47,6,37,3,4
60,2012-01-01,3,4,0,85,30,57,32,41,0,62,18,1,70,0,17,73,4,54,3,46,6,38,3,5
61,2012-02-01,3,3,0,81,29,51,30,37,0,74,18,2,71,0,14,75,4,56,3,47,6,41,4,6
62,2012-03-01,3,3,0,82,31,49,29,37,0,58,19,2,69,0,12,73,4,57,3,48,5,47,3,6
63,2012-04-01,3,3,0,83,31,47,32,52,0,68,18,2,73,0,13,75,4,61,3,46,5,56,5,6
64,2012-05-01,3,3,0,88,30,50,32,44,0,34,18,2,67,0,11,80,5,65,4,45,6,51,3,7
65,2012-06-01,3,3,0,85,33,55,30,38,0,32,18,1,71,0,12,81,4,63,3,47,6,50,2,6
66,2012-07-01,3,3,0,90,34,48,30,37,0,35,17,1,72,0,13,83,4,60,3,47,8,46,3,5
67,2012-08-01,3,7,0,83,33,49,30,35,0,40,17,1,65,0,11,78,4,59,3,46,7,49,3,5
68,2012-09-01,3,3,1,80,32,44,30,30,0,32,17,1,69,0,12,73,5,58,3,46,6,46,4,6
69,2012-10-01,3,6,0,80,28,46,30,33,0,35,18,2,70,0,13,68,5,59,3,44,7,43,3,6
70,2012-11-01,3,3,0,82,30,46,27,48,0,31,17,2,71,0,12,70,4,64,3,45,6,43,3,6
71,2012-12-01,3,2,0,79,28,38,24,61,0,37,15,1,67,0,13,70,4,68,3,43,6,44,3,3
72,2013-01-01,3,4,0,83,26,39,29,46,0,59,18,1,68,0,15,73,5,60,3,45,7,48,3,5
73,2013-02-01,3,3,0,81,26,41,27,36,0,84,19,2,67,0,13,75,5,61,3,46,6,50,4,5
74,2013-03-01,3,5,0,82,29,40,32,36,0,63,18,1,70,0,11,72,5,62,3,45,6,48,3,6
75,2013-04-01,3,2,1,91,28,36,32,42,0,74,19,2,68,0,11,74,4,57,3,45,6,50,3,6
76,2013-05-01,3,3,0,90,29,33,27,37,0,33,17,1,65,0,11,79,5,66,3,44,6,51,3,5
77,2013-06-01,3,3,0,90,24,33,27,56,0,29,16,1,66,0,12,83,4,62,3,44,6,44,2,4
78,2013-07-01,3,3,0,95,32,41,32,40,0,33,18,1,66,0,11,84,4,59,3,44,6,47,3,6
79,2013-08-01,3,2,0,86,31,30,27,36,0,37,17,1,70,0,10,82,4,56,3,45,5,44,3,5
80,2013-09-01,3,3,1,84,31,34,32,37,0,29,18,1,70,0,11,74,5,55,3,46,7,44,4,6
81,2013-10-01,3,3,1,83,34,36,36,54,0,32,22,2,69,0,18,72,4,58,3,45,8,57,4,6
82,2013-11-01,3,3,0,85,33,28,30,39,0,29,21,2,72,0,11,71,5,70,3,49,6,53,3,5
83,2013-12-01,3,6,0,81,33,30,28,58,0,31,18,2,75,0,14,75,4,79,3,47,7,50,2,5
84,2014-01-01,3,9,0,90,36,32,38,49,0,54,22,1,76,0,17,75,4,71,3,47,7,48,3,5
85,2014-02-01,3,9,1,87,34,38,39,41,0,80,21,2,72,0,15,77,5,78,3,47,6,47,3,5
86,2014-03-01,3,7,0,88,31,35,38,38,0,62,23,2,73,0,14,77,4,82,3,46,6,54,4,6
87,2014-04-01,4,3,1,92,37,35,35,47,0,67,22,2,73,0,15,78,5,87,3,50,7,63,4,7
